"Date (UTC)","CorrelationId","Service","Category","Activity","Result","ResultReason","User Agent","ActorType","ActorDisplayName","ActorObjectId","ActorUserPrincipalName","IPAddress","ActorHomeTenantId","ActorHomeTenantName","ActorServicePrincipalId","ActorServicePrincipalName","Target1Type","Target1DisplayName","Target1ObjectId","Target1UserPrincipalName","Target1ModifiedProperty1Name","Target1ModifiedProperty1OldValue","Target1ModifiedProperty1NewValue","Target1ModifiedProperty2Name","Target1ModifiedProperty2OldValue","Target1ModifiedProperty2NewValue","Target1ModifiedProperty3Name","Target1ModifiedProperty3OldValue","Target1ModifiedProperty3NewValue","Target1ModifiedProperty4Name","Target1ModifiedProperty4OldValue","Target1ModifiedProperty4NewValue","Target1ModifiedProperty5Name","Target1ModifiedProperty5OldValue","Target1ModifiedProperty5NewValue","Target2Type","Target2DisplayName","Target2ObjectId","Target2UserPrincipalName","Target2ModifiedProperty1Name","Target2ModifiedProperty1OldValue","Target2ModifiedProperty1NewValue","Target2ModifiedProperty2Name","Target2ModifiedProperty2OldValue","Target2ModifiedProperty2NewValue","Target2ModifiedProperty3Name","Target2ModifiedProperty3OldValue","Target2ModifiedProperty3NewValue","Target2ModifiedProperty4Name","Target2ModifiedProperty4OldValue","Target2ModifiedProperty4NewValue","Target2ModifiedProperty5Name","Target2ModifiedProperty5OldValue","Target2ModifiedProperty5NewValue","Target3Type","Target3DisplayName","Target3ObjectId","Target3UserPrincipalName","Target3ModifiedProperty1Name","Target3ModifiedProperty1OldValue","Target3ModifiedProperty1NewValue","Target3ModifiedProperty2Name","Target3ModifiedProperty2OldValue","Target3ModifiedProperty2NewValue","Target3ModifiedProperty3Name","Target3ModifiedProperty3OldValue","Target3ModifiedProperty3NewValue","Target3ModifiedProperty4Name","Target3ModifiedProperty4OldValue","Target3ModifiedProperty4NewValue","Target3ModifiedProperty5Name","Target3ModifiedProperty5OldValue","Target3ModifiedProperty5NewValue","AdditionalDetail1Key","AdditionalDetail1Value","AdditionalDetail2Key","AdditionalDetail2Value","AdditionalDetail3Key","AdditionalDetail3Value","AdditionalDetail4Key","AdditionalDetail4Value","AdditionalDetail5Key","AdditionalDetail5Value","AdditionalDetail6Key","AdditionalDetail6Value"
"2025-09-16T06:12:18.2721126Z","e05f4e41-3b1f-44ce-8757-71e114b4deff","Core Directory","UserManagement","Update user","Success","","","User","Microsoft Office 365 Portal","39c0205b-1ee8-44c2-803c-fafdeaf0b1c3","admin@adatum.onmicrosoft.com","2a01:111:f100:3001::a83e:7cc","","","","","User","","93eb8db3-9a0f-4ffa-89b3-64b7dabc5703","powell4.michelle2@adatum.com","StsRefreshTokensValidFrom","[""2025-09-16T06:12:17Z""]","[""2025-09-16T06:12:18Z""]","Included Updated Properties","","""StsRefreshTokensValidFrom""","TargetId.UserType","","""Member""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","UserType","Member","User-Agent","O365AdminPortal","","","","","","","","","{84}","{85}"
"2025-09-16T06:12:18.2711123Z","e05f4e41-3b1f-44ce-8757-71e114b4deff","Core Directory","UserManagement","Update StsRefreshTokenValidFrom Timestamp","Success","","","User","Microsoft Office 365 Portal","39c0205b-1ee8-44c2-803c-fafdeaf0b1c3","admin@adatum.onmicrosoft.com","2a01:111:f100:3001::a83e:7cc","","","","","User","","93eb8db3-9a0f-4ffa-89b3-64b7dabc5703","powell4.michelle2@adatum.com","StsRefreshTokensValidFrom","[""2025-09-16T06:12:17Z""]","[""2025-09-16T06:12:18Z""]","Included Updated Properties","","""StsRefreshTokensValidFrom""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","User-Agent","O365AdminPortal","","","","","","","","","","","{84}","{85}"
"2025-09-16T06:12:17.9628613Z","73940711-1343-4af1-873f-1d098e5776e5","Core Directory","UserManagement","Update StsRefreshTokenValidFrom Timestamp","Success","","","User","Microsoft Office 365 Portal","39c0205b-1ee8-44c2-803c-fafdeaf0b1c3","admin@adatum.onmicrosoft.com","2a01:111:f100:3001::a83e:7cc","","","","","User","","93eb8db3-9a0f-4ffa-89b3-64b7dabc5703","powell4.michelle2@adatum.com","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","User-Agent","O365AdminPortal","","","","","","","","","","","{84}","{85}"
"2025-09-16T06:12:17.9618614Z","73940711-1343-4af1-873f-1d098e5776e5","Core Directory","UserManagement","Reset user password","Success","","","User","Microsoft Office 365 Portal","39c0205b-1ee8-44c2-803c-fafdeaf0b1c3","admin@adatum.onmicrosoft.com","2a01:111:f100:3001::a83e:7cc","","","","","User","","93eb8db3-9a0f-4ffa-89b3-64b7dabc5703","powell4.michelle2@adatum.com","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","User-Agent","O365AdminPortal","","","","","","","","","","","{84}","{85}"
"2025-09-16T06:12:17.7448617Z","73940711-1343-4af1-873f-1d098e5776e5","Core Directory","UserManagement","Update PasswordProfile","Success","","","User","Microsoft Office 365 Portal","39c0205b-1ee8-44c2-803c-fafdeaf0b1c3","admin@adatum.onmicrosoft.com","2a01:111:f100:3001::a83e:7cc","","","","","User","","93eb8db3-9a0f-4ffa-89b3-64b7dabc5703","powell4.michelle2@adatum.com","ForceChangePassword","""True""","""False""","Password","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","User-Agent","O365AdminPortal","","","","","","","","","","","{84}","{85}"
"2025-09-16T06:12:17.7388586Z","73940711-1343-4af1-873f-1d098e5776e5","Core Directory","UserManagement","Update user","Success","","","User","Microsoft Office 365 Portal","39c0205b-1ee8-44c2-803c-fafdeaf0b1c3","admin@adatum.onmicrosoft.com","2a01:111:f100:3001::a83e:7cc","","","","","User","","93eb8db3-9a0f-4ffa-89b3-64b7dabc5703","powell4.michelle2@adatum.com","StsRefreshTokensValidFrom","[""2025-09-16T06:12:08Z""]","[""2025-09-16T06:12:17Z""]","Included Updated Properties","","""StsRefreshTokensValidFrom""","TargetId.UserType","","""Member""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","UserType","Member","User-Agent","O365AdminPortal","","","","","","","","","{84}","{85}"
"2025-09-16T06:12:17.4698576Z","73940711-1343-4af1-873f-1d098e5776e5","Core Directory","UserManagement","Update PasswordProfile","Success","","","User","Microsoft Office 365 Portal","39c0205b-1ee8-44c2-803c-fafdeaf0b1c3","admin@adatum.onmicrosoft.com","2a01:111:f100:3001::a83e:7cc","","","","","User","","93eb8db3-9a0f-4ffa-89b3-64b7dabc5703","powell4.michelle2@adatum.com","ForceChangePassword","""False""","""True""","Password","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","User-Agent","O365AdminPortal","","","","","","","","","","","{84}","{85}"
"2025-09-16T06:12:08.5729868Z","fe0fdb3b-ca78-40aa-8df6-355206007469","Core Directory","UserManagement","Update user","Success","","","User","Microsoft Office 365 Portal","39c0205b-1ee8-44c2-803c-fafdeaf0b1c3","admin@adatum.onmicrosoft.com","2a01:111:f100:3001::a83e:7cc","","","","","User","","93eb8db3-9a0f-4ffa-89b3-64b7dabc5703","powell4.michelle2@adatum.com","StsRefreshTokensValidFrom","[""2025-09-16T06:12:01Z""]","[""2025-09-16T06:12:08Z""]","Included Updated Properties","","""StsRefreshTokensValidFrom""","TargetId.UserType","","""Member""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","UserType","Member","User-Agent","O365AdminPortal","","","","","","","","","{84}","{85}"
"2025-09-16T06:12:08.5719914Z","fe0fdb3b-ca78-40aa-8df6-355206007469","Core Directory","UserManagement","Update StsRefreshTokenValidFrom Timestamp","Success","","","User","Microsoft Office 365 Portal","39c0205b-1ee8-44c2-803c-fafdeaf0b1c3","admin@adatum.onmicrosoft.com","2a01:111:f100:3001::a83e:7cc","","","","","User","","93eb8db3-9a0f-4ffa-89b3-64b7dabc5703","powell4.michelle2@adatum.com","StsRefreshTokensValidFrom","[""2025-09-16T06:12:01Z""]","[""2025-09-16T06:12:08Z""]","Included Updated Properties","","""StsRefreshTokensValidFrom""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","User-Agent","O365AdminPortal","","","","","","","","","","","{84}","{85}"
"2025-09-16T06:12:08.2603623Z","96aff27d-3fbc-4012-88ad-3c291f658394","Core Directory","UserManagement","Update user","Success","","","User","Microsoft Office 365 Portal","39c0205b-1ee8-44c2-803c-fafdeaf0b1c3","admin@adatum.onmicrosoft.com","2a01:111:f100:3001::a83e:7cc","","","","","User","","93eb8db3-9a0f-4ffa-89b3-64b7dabc5703","powell4.michelle2@adatum.com","AccountEnabled","[true]","[false]","Included Updated Properties","","""AccountEnabled""","TargetId.UserType","","""Member""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","UserType","Member","User-Agent","O365AdminPortal","","","","","","","","","{84}","{85}"
"2025-09-16T06:12:08.2593638Z","96aff27d-3fbc-4012-88ad-3c291f658394","Core Directory","UserManagement","Disable account","Success","","","User","Microsoft Office 365 Portal","39c0205b-1ee8-44c2-803c-fafdeaf0b1c3","admin@adatum.onmicrosoft.com","2a01:111:f100:3001::a83e:7cc","","","","","User","","93eb8db3-9a0f-4ffa-89b3-64b7dabc5703","powell4.michelle2@adatum.com","AccountEnabled","[true]","[false]","Included Updated Properties","","""AccountEnabled""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","User-Agent","O365AdminPortal","","","","","","","","","","","{84}","{85}"
