"Date","ActorUserPrincipalName","IPAddress","UserAgent","Activity","Result","Target1UserPrincipalName","Target1ModifiedProperty1Name","Service","Category","ResultReason","ActorType","ActorDisplayName","Target1Type","Target1DisplayName","Target1ModifiedProperty1OldValue","Target1ModifiedProperty1NewValue","Target1ModifiedProperty2Name","Target1ModifiedProperty2OldValue","Target1ModifiedProperty2NewValue","Target1ModifiedProperty3Name","Target1ModifiedProperty3OldValue","Target1ModifiedProperty3NewValue","Target1ModifiedProperty4Name","Target1ModifiedProperty4OldValue","Target1ModifiedProperty4NewValue","Target1ModifiedProperty5Name","Target1ModifiedProperty5OldValue","Target1ModifiedProperty5NewValue","AdditionalDetail1Key","AdditionalDetail1Value"
"2025-09-16T06:12:18.2721126Z","admin@adatum.onmicrosoft.com","2a01:111:f100:3001::a83e:7cc","","Update user","Success","powell4.michelle2@adatum.com","StsRefreshTokensValidFrom","Core Directory","UserManagement","","User","Microsoft Office 365 Portal","User","","[""2025-09-16T06:12:17Z""]","[""2025-09-16T06:12:18Z""]","Included Updated Properties","","""StsRefreshTokensValidFrom""","TargetId.UserType","","""Member""","","","","","","","User-Agent","O365AdminPortal"
"2025-09-16T06:12:18.2711123Z","admin@adatum.onmicrosoft.com","2a01:111:f100:3001::a83e:7cc","","Update StsRefreshTokenValidFrom Timestamp","Success","powell4.michelle2@adatum.com","StsRefreshTokensValidFrom","Core Directory","UserManagement","","User","Microsoft Office 365 Portal","User","","[""2025-09-16T06:12:17Z""]","[""2025-09-16T06:12:18Z""]","Included Updated Properties","","""StsRefreshTokensValidFrom""","","","","","","","","","","",""
"2025-09-16T06:12:17.9628613Z","admin@adatum.onmicrosoft.com","2a01:111:f100:3001::a83e:7cc","","Update StsRefreshTokenValidFrom Timestamp","Success","powell4.michelle2@adatum.com","","Core Directory","UserManagement","","User","Microsoft Office 365 Portal","User","","","","","","","","","","","","","","","","",""
"2025-09-16T06:12:17.9618614Z","admin@adatum.onmicrosoft.com","2a01:111:f100:3001::a83e:7cc","","Reset user password","Success","powell4.michelle2@adatum.com","","Core Directory","UserManagement","","User","Microsoft Office 365 Portal","User","","","","","","","","","","","","","","","","",""
"2025-09-16T06:12:17.7448617Z","admin@adatum.onmicrosoft.com","2a01:111:f100:3001::a83e:7cc","","Update PasswordProfile","Success","powell4.michelle2@adatum.com","ForceChangePassword","Core Directory","UserManagement","","User","Microsoft Office 365 Portal","User","","""True""","""False""","Password","","","","","","","","","","","","",""
"2025-09-16T06:12:17.7388586Z","admin@adatum.onmicrosoft.com","2a01:111:f100:3001::a83e:7cc","","Update user","Success","powell4.michelle2@adatum.com","StsRefreshTokensValidFrom","Core Directory","UserManagement","","User","Microsoft Office 365 Portal","User","","[""2025-09-16T06:12:08Z""]","[""2025-09-16T06:12:17Z""]","Included Updated Properties","","""StsRefreshTokensValidFrom""","TargetId.UserType","","""Member""","","","","","","","User-Agent","O365AdminPortal"
"2025-09-16T06:12:17.4698576Z","admin@adatum.onmicrosoft.com","2a01:111:f100:3001::a83e:7cc","","Update PasswordProfile","Success","powell4.michelle2@adatum.com","ForceChangePassword","Core Directory","UserManagement","","User","Microsoft Office 365 Portal","User","","""False""","""True""","Password","","","","","","","","","","","","",""
"2025-09-16T06:12:08.5729868Z","admin@adatum.onmicrosoft.com","2a01:111:f100:3001::a83e:7cc","","Update user","Success","powell4.michelle2@adatum.com","StsRefreshTokensValidFrom","Core Directory","UserManagement","","User","Microsoft Office 365 Portal","User","","[""2025-09-16T06:12:01Z""]","[""2025-09-16T06:12:08Z""]","Included Updated Properties","","""StsRefreshTokensValidFrom""","TargetId.UserType","","""Member""","","","","","","","User-Agent","O365AdminPortal"
"2025-09-16T06:12:08.5719914Z","admin@adatum.onmicrosoft.com","2a01:111:f100:3001::a83e:7cc","","Update StsRefreshTokenValidFrom Timestamp","Success","powell4.michelle2@adatum.com","StsRefreshTokensValidFrom","Core Directory","UserManagement","","User","Microsoft Office 365 Portal","User","","[""2025-09-16T06:12:01Z""]","[""2025-09-16T06:12:08Z""]","Included Updated Properties","","""StsRefreshTokensValidFrom""","","","","","","","","","","",""
"2025-09-16T06:12:08.2603623Z","admin@adatum.onmicrosoft.com","2a01:111:f100:3001::a83e:7cc","","Update user","Success","powell4.michelle2@adatum.com","AccountEnabled","Core Directory","UserManagement","","User","Microsoft Office 365 Portal","User","","[true]","[false]","Included Updated Properties","","""AccountEnabled""","TargetId.UserType","","""Member""","","","","","","","User-Agent","O365AdminPortal"
