"Date (UTC)","Request ID","User agent","Correlation ID","User ID","User","Username","User type","Cross tenant access type","Incoming token type","Authentication Protocol","Unique token identifier","Original transfer method","Client credential type","Token Protection - Sign In Session","Token Protection - Sign In Session StatusCode","Application","Application ID ","App owner tenant ID","Resource","Resource ID ","Resource tenant ID","Resource owner tenant ID","Home tenant ID","Home tenant name","IP address","Location","Status","Sign-in error code","Failure reason","Client app","Device ID","Browser","Operating System","Compliant","Managed","Join Type","Multifactor authentication result","Multifactor authentication auth method","Multifactor authentication auth detail","Authentication requirement","Sign-in identifier","Session ID","IP address (seen by resource)","Through Global Secure Access","Global Secure Access IP address","Autonomous system  number","Flagged for review","Token issuer type","Incoming token type","Token issuer name","Latency","Conditional Access","Managed Identity type","Associated Resource Id","Federated Token Id","Federated Token Issuer"
"2025-11-01T01:00:54Z","c98d0881-f5ae-4f8b-823e-097ffb6e9b66","Windows-AzureAD-Authentication-Provider/1.0","fc5f2b2c-6a7b-4a79-8503-01456bf4fb5c","12adf75a-18f6-4265-817f-ca7394eb3d77","Lewis Stephen1","lewis.stephen1@acme.com","member","none","primaryRefreshToken","none","xT8GOan0o0SicvBhz0crAA","none","none","bound","","Windows Sign In","38aa3b87-a06d-4817-b275-7a316988d93b","","Windows Azure Active Directory","00000002-0000-0000-c000-000000000000","92e5b9cf-c9a2-495d-83b2-3fc82f96324f","f8cdef31-a31e-4b4a-93e4-5f571e91255a","92e5b9cf-c9a2-495d-83b2-3fc82f96324f","","76.89.196.26","Elmwood 3, East Province 2, US","Success","","Other.","Mobile Apps and Desktop clients","20736c30-f74b-404f-8916-1788a60abb08","","Windows","false","false","Azure AD joined","MFA requirement satisfied by claim in the token","","","Multifactor authentication","","a18d33b2-7608-408e-8a56-ce6098480b6d","","false","","20001","false","Microsoft Entra ID","Primary refresh token","","86","Not Applied","None","","",""
"2025-11-01T00:53:00Z","5884001b-d27e-426a-80b3-bdd2feddee6c","Windows-AzureAD-Authentication-Provider/1.0","cbdbb6f2-42d4-4e8c-8f1a-0366f5de78f3","45a00e82-adc4-46e7-8690-6c4d3b86e55e","Torres1 Joyce","torres1.joyce@acme.com","member","none","primaryRefreshToken","none","xl-YFaSfHU2vYnZ1k3ECAA","none","none","bound","","Windows Sign In","38aa3b87-a06d-4817-b275-7a316988d93b","","Windows Azure Active Directory","00000002-0000-0000-c000-000000000000","92e5b9cf-c9a2-495d-83b2-3fc82f96324f","f8cdef31-a31e-4b4a-93e4-5f571e91255a","92e5b9cf-c9a2-495d-83b2-3fc82f96324f","","70.168.253.125","Bridgeport, East Province 2, US","Success","","Other.","Mobile Apps and Desktop clients","9576a59a-0704-4623-851d-c4816951c8da","","Windows","false","false","Azure AD joined","MFA not required during Windows broker logon flow","","","Multifactor authentication","","8a9a44e0-c2cc-49e8-84e7-e6489a83ee09","","false","","22773","false","Microsoft Entra ID","Primary refresh token","","95","Not Applied","None","","",""
"2025-11-01T00:45:40Z","9134efd0-484b-4596-89d8-3f593cb7fbff","Windows-AzureAD-Authentication-Provider/1.0","26eea53a-4b73-49bb-8ef2-6d4651bc4dc7","62334a89-c0ef-4390-86ec-c1230885b8aa","Ramos Foster","ramos.foster@acme.com","member","none","primaryRefreshToken","none","lxB6OmgGQUid0L4BLHkpAA","none","none","bound","","Windows Sign In","38aa3b87-a06d-4817-b275-7a316988d93b","","Windows Azure Active Directory","00000002-0000-0000-c000-000000000000","92e5b9cf-c9a2-495d-83b2-3fc82f96324f","f8cdef31-a31e-4b4a-93e4-5f571e91255a","92e5b9cf-c9a2-495d-83b2-3fc82f96324f","","107.190.255.49","Kingsport 1, Highland Region 3, US","Success","","Other.","Mobile Apps and Desktop clients","62cbe567-4f22-4fc1-8d0a-88883df61004","","Windows","false","false","Azure AD joined","MFA requirement satisfied by claim in the token","","","Single-factor authentication","","792c71b8-e88e-4ba7-8590-d0a447f4e431","","false","","23316","false","Microsoft Entra ID","Primary refresh token","","56","Not Applied","None","","",""
"2025-11-01T00:42:08Z","587ac90c-c977-40af-8816-8fbbccc414e3","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.52 Safari/537.36","f26ec642-449e-4d35-8bbb-04010e554132","cf56d50b-75f0-48ef-897b-d251e3b36819","Power Bi","power.bi@acme.com","member","none","none","none","giNhjVGlH0ukMt_CW0gmAA","none","none","unbound","1002","Microsoft Power BI","b6f14365-51f4-4e64-82a6-c61bae68c3ea","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Power BI Service","00000009-0000-0000-c000-000000000000","92e5b9cf-c9a2-495d-83b2-3fc82f96324f","f8cdef31-a31e-4b4a-93e4-5f571e91255a","92e5b9cf-c9a2-495d-83b2-3fc82f96324f","","142.127.105.4","Cedarville 5, Highland Region 4, CA","Success","","Other.","Browser","","Chrome 140.0.0","Windows10","false","false","","","","","Single-factor authentication","power.bi@acme.com","f54c451f-5be1-4679-8ec3-775a11adc2eb","","false","","577","false","Microsoft Entra ID","None","","66","Success","None","","",""
"2025-11-01T00:42:06Z","a657948a-8bdb-460a-8b8e-e107af84caa8","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.52 Safari/537.36","f26ec642-449e-4d35-8bbb-04010e554132","cf56d50b-75f0-48ef-897b-d251e3b36819","Power Bi","power.bi@acme.com","member","none","none","none","KilazSQsyEeXVrVmBwcpAA","none","none","unbound","1002","Microsoft Power BI","b6f14365-51f4-4e64-82a6-c61bae68c3ea","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Power BI Service","00000009-0000-0000-c000-000000000000","92e5b9cf-c9a2-495d-83b2-3fc82f96324f","f8cdef31-a31e-4b4a-93e4-5f571e91255a","92e5b9cf-c9a2-495d-83b2-3fc82f96324f","","142.127.105.4","Cedarville 5, Highland Region 4, CA","Interrupted","50140","This occurred due to 'Keep me signed in' interrupt when the user was signing in.","Browser","","Chrome 140.0.0","Windows10","false","false","","This is an expected part of the login flow, where a user is asked if they want to remain signed into this browser to make further logins easier. For more details, see https://techcommunity.microsoft.com/t5/microsoft-entra/the-new-azure-ad-sign-in-and-keep-me-signed-in-experiences/td-p/128267","","","Single-factor authentication","power.bi@acme.com","f54c451f-5be1-4679-8ec3-775a11adc2eb","","false","","577","false","Microsoft Entra ID","None","","143","Success","None","","",""
"2025-11-01T00:40:01Z","b0ff0b16-387a-449d-89da-a195cbc7eab3","Mozilla/5.0 (Windows NT 10.0; Win64; x64; WebView/3.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.26100","c374a47f-298b-482f-88e5-2247edbdca77","cf56d50b-75f0-48ef-897b-d251e3b36819","Power Bi","power.bi@acme.com","member","none","none","none","s0g6x6F9pUyGdSkvMB0pAA","none","none","unbound","1002","Power BI Desktop","3bdde280-b83c-4050-85cb-37144ab81707","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Power BI Service","00000009-0000-0000-c000-000000000000","92e5b9cf-c9a2-495d-83b2-3fc82f96324f","f8cdef31-a31e-4b4a-93e4-5f571e91255a","92e5b9cf-c9a2-495d-83b2-3fc82f96324f","","142.127.105.4","Cedarville 5, Highland Region 4, CA","Success","","Other.","Mobile Apps and Desktop clients","","Edge 18.26100","Windows10","false","false","","","","","Single-factor authentication","power.bi@acme.com","c6d11f81-c71d-4b96-82d9-ff55f3b2b882","","false","","577","false","Microsoft Entra ID","None","","164","Success","None","","",""
"2025-11-01T00:37:28Z","8e37c239-78a2-4cb0-8e08-de598c449a0d","Windows-AzureAD-Authentication-Provider/1.0","48c27980-7461-4825-8899-c32eaa324397","f2ac467b-8dd5-44ef-8370-ecda672fd055","Sandra2 Sandra3","sandra2.sandra3@acme.com","member","none","primaryRefreshToken","none","WtgpIqyul0Gy9s7jqK4qAA","none","none","bound","","Windows Sign In","38aa3b87-a06d-4817-b275-7a316988d93b","","Windows Azure Active Directory","00000002-0000-0000-c000-000000000000","92e5b9cf-c9a2-495d-83b2-3fc82f96324f","f8cdef31-a31e-4b4a-93e4-5f571e91255a","92e5b9cf-c9a2-495d-83b2-3fc82f96324f","","47.147.123.152","Vandalia 1, East Province 2, US","Success","","Other.","Mobile Apps and Desktop clients","e5dc27b9-0d68-4243-8d7f-352a30d895cd","","Windows","false","false","Azure AD joined","MFA requirement satisfied by claim in the token","","","Single-factor authentication","","1ed78f75-20f3-4e3b-809e-0927674845c3","","false","","5650","false","Microsoft Entra ID","Primary refresh token","","78","Not Applied","None","","",""
"2025-11-01T00:20:59Z","13fc30fd-6d0a-49b9-8744-755507a68646","Windows-AzureAD-Authentication-Provider/1.0","43424dbb-bb6f-4a5c-8c30-d5c185c33662","cac8bad3-5a50-4c62-8c15-8016969c932f","Murphy Cook","murphy.cook@acme.com","member","none","primaryRefreshToken","none","3YK0hRKSK0u1OtHxweEUAA","none","none","bound","","Windows Sign In","38aa3b87-a06d-4817-b275-7a316988d93b","","Windows Azure Active Directory","00000002-0000-0000-c000-000000000000","92e5b9cf-c9a2-495d-83b2-3fc82f96324f","f8cdef31-a31e-4b4a-93e4-5f571e91255a","92e5b9cf-c9a2-495d-83b2-3fc82f96324f","","47.148.75.50","Vandalia 1, East Province 2, US","Success","","Other.","Mobile Apps and Desktop clients","8fe5e3b4-6b05-412b-8786-377194d7454e","","Windows","false","false","Azure AD joined","MFA requirement satisfied by claim in the token","","","Single-factor authentication","","4092bbed-4d20-43ac-8516-c226642f8c4f","","false","","5650","false","Microsoft Entra ID","Primary refresh token","","63","Not Applied","None","","",""
"2025-11-01T00:16:05Z","0d892693-dd90-4722-8918-a6aac3a504d0","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.52 Safari/537.36","eeb6c5b4-f337-42c3-883f-a5ab5aed7cae","21c8a508-dcb1-45f5-8590-258bcfe483c5","Victoria1 Heather3","victoria1.heather3@acme.com","member","none","none","none","hyrtGvs-ek28GfPWVGAlAA","none","none","unbound","1002","Office Online Core SSO","f5522a1e-b277-4286-8074-46294306f945","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Office Online Service","17aa5431-e2cf-41a9-8c91-07a54c59028d","92e5b9cf-c9a2-495d-83b2-3fc82f96324f","f8cdef31-a31e-4b4a-93e4-5f571e91255a","92e5b9cf-c9a2-495d-83b2-3fc82f96324f","","70.168.253.125","Bridgeport, East Province 2, US","Success","","Other.","Browser","","Chrome 140.0.0","Windows10","false","false","","","","","Single-factor authentication","","ceb7f8a4-d4e7-466f-873b-9f54165f1ccc","","false","","22773","false","Microsoft Entra ID","None","","96","Success","None","","",""
"2025-11-01T00:15:59Z","a8fece55-0397-4874-8f20-16b32834aefa","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.52 Safari/537.36","42abf21a-b887-4f44-85e6-dbafa6471eff","21c8a508-dcb1-45f5-8590-258bcfe483c5","Victoria1 Heather3","victoria1.heather3@acme.com","member","none","none","none","1ACyPOuEd0KxY3ICfdYnAA","none","none","unbound","1002","Office 365 SharePoint Online","00000003-0000-0ff1-ce00-000000000000","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Office 365 SharePoint Online","00000003-0000-0ff1-ce00-000000000000","92e5b9cf-c9a2-495d-83b2-3fc82f96324f","f8cdef31-a31e-4b4a-93e4-5f571e91255a","92e5b9cf-c9a2-495d-83b2-3fc82f96324f","","70.168.253.125","Bridgeport, East Province 2, US","Success","","Other.","Browser","","Chrome 140.0.0","Windows10","false","false","","","","","Single-factor authentication","","ceb7f8a4-d4e7-466f-873b-9f54165f1ccc","","false","","22773","false","Microsoft Entra ID","None","","62","Success","None","","",""
