"DateUTC","DateOnly","TimeOnly","User","Username","IPaddress","City","Region","Country","Status","SignInErrorCode","UserType","AuthRequirement","ConditionalAccess","TokenType","Application","ApplicationID","Resource","ResourceID","FailureReason","ClientApp","DeviceID","Browser","OS","UserAgent","Compliant","Managed","JoinType","Latency","MFAResult","MFAMethod","MFADetail","SignInIdentifier","SessionID","AuthenticationProtocol","UniqueToken","TransferMethod","ClientCredential","TokenProtectionSession","TokenProtectionStatusCode","CorrelationID"
"2025-11-01T01:00:54Z","2025-11-01","01:00:54","Lewis Stephen1","lewis.stephen1@acme.com","76.89.196.26","Elmwood 3"," East Province 2"," US","Success","","member","Multifactor authentication","Not Applied","primaryRefreshToken","Windows Sign In","38aa3b87-a06d-4817-b275-7a316988d93b","Windows Azure Active Directory","00000002-0000-0000-c000-000000000000","Other.","Mobile Apps and Desktop clients","20736c30-f74b-404f-8916-1788a60abb08","","Windows","Windows-AzureAD-Authentication-Provider/1.0","false","false","Azure AD joined","86","MFA requirement satisfied by claim in the token","","","","a18d33b2-7608-408e-8a56-ce6098480b6d","none","xT8GOan0o0SicvBhz0crAA","none","none","bound","","fc5f2b2c-6a7b-4a79-8503-01456bf4fb5c"
"2025-11-01T00:53:00Z","2025-11-01","00:53:00","Torres1 Joyce","torres1.joyce@acme.com","70.168.253.125","Bridgeport"," East Province 2"," US","Success","","member","Multifactor authentication","Not Applied","primaryRefreshToken","Windows Sign In","38aa3b87-a06d-4817-b275-7a316988d93b","Windows Azure Active Directory","00000002-0000-0000-c000-000000000000","Other.","Mobile Apps and Desktop clients","9576a59a-0704-4623-851d-c4816951c8da","","Windows","Windows-AzureAD-Authentication-Provider/1.0","false","false","Azure AD joined","95","MFA not required during Windows broker logon flow","","","","8a9a44e0-c2cc-49e8-84e7-e6489a83ee09","none","xl-YFaSfHU2vYnZ1k3ECAA","none","none","bound","","cbdbb6f2-42d4-4e8c-8f1a-0366f5de78f3"
"2025-11-01T00:45:40Z","2025-11-01","00:45:40","Ramos Foster","ramos.foster@acme.com","107.190.255.49","Kingsport 1"," Highland Region 3"," US","Success","","member","Single-factor authentication","Not Applied","primaryRefreshToken","Windows Sign In","38aa3b87-a06d-4817-b275-7a316988d93b","Windows Azure Active Directory","00000002-0000-0000-c000-000000000000","Other.","Mobile Apps and Desktop clients","62cbe567-4f22-4fc1-8d0a-88883df61004","","Windows","Windows-AzureAD-Authentication-Provider/1.0","false","false","Azure AD joined","56","MFA requirement satisfied by claim in the token","","","","792c71b8-e88e-4ba7-8590-d0a447f4e431","none","lxB6OmgGQUid0L4BLHkpAA","none","none","bound","","26eea53a-4b73-49bb-8ef2-6d4651bc4dc7"
"2025-11-01T00:42:08Z","2025-11-01","00:42:08","Power Bi","power.bi@acme.com","142.127.105.4","Cedarville 5"," Highland Region 4"," CA","Success","","member","Single-factor authentication","Success","none","Microsoft Power BI","b6f14365-51f4-4e64-82a6-c61bae68c3ea","Power BI Service","00000009-0000-0000-c000-000000000000","Other.","Browser","","Chrome 140.0.0","Windows10","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.52 Safari/537.36","false","false","","66","","","","power.bi@acme.com","f54c451f-5be1-4679-8ec3-775a11adc2eb","none","giNhjVGlH0ukMt_CW0gmAA","none","none","unbound","1002","f26ec642-449e-4d35-8bbb-04010e554132"
"2025-11-01T00:42:06Z","2025-11-01","00:42:06","Power Bi","power.bi@acme.com","142.127.105.4","Cedarville 5"," Highland Region 4"," CA","Interrupted","50140","member","Single-factor authentication","Success","none","Microsoft Power BI","b6f14365-51f4-4e64-82a6-c61bae68c3ea","Power BI Service","00000009-0000-0000-c000-000000000000","This occurred due to 'Keep me signed in' interrupt when the user was signing in.","Browser","","Chrome 140.0.0","Windows10","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.52 Safari/537.36","false","false","","143","This is an expected part of the login flow, where a user is asked if they want to remain signed into this browser to make further logins easier. For more details, see https://techcommunity.microsoft.com/t5/microsoft-entra/the-new-azure-ad-sign-in-and-keep-me-signed-in-experiences/td-p/128267","","","power.bi@acme.com","f54c451f-5be1-4679-8ec3-775a11adc2eb","none","KilazSQsyEeXVrVmBwcpAA","none","none","unbound","1002","f26ec642-449e-4d35-8bbb-04010e554132"
"2025-11-01T00:40:01Z","2025-11-01","00:40:01","Power Bi","power.bi@acme.com","142.127.105.4","Cedarville 5"," Highland Region 4"," CA","Success","","member","Single-factor authentication","Success","none","Power BI Desktop","3bdde280-b83c-4050-85cb-37144ab81707","Power BI Service","00000009-0000-0000-c000-000000000000","Other.","Mobile Apps and Desktop clients","","Edge 18.26100","Windows10","Mozilla/5.0 (Windows NT 10.0; Win64; x64; WebView/3.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.26100","false","false","","164","","","","power.bi@acme.com","c6d11f81-c71d-4b96-82d9-ff55f3b2b882","none","s0g6x6F9pUyGdSkvMB0pAA","none","none","unbound","1002","c374a47f-298b-482f-88e5-2247edbdca77"
"2025-11-01T00:37:28Z","2025-11-01","00:37:28","Sandra2 Sandra3","sandra2.sandra3@acme.com","47.147.123.152","Vandalia 1"," East Province 2"," US","Success","","member","Single-factor authentication","Not Applied","primaryRefreshToken","Windows Sign In","38aa3b87-a06d-4817-b275-7a316988d93b","Windows Azure Active Directory","00000002-0000-0000-c000-000000000000","Other.","Mobile Apps and Desktop clients","e5dc27b9-0d68-4243-8d7f-352a30d895cd","","Windows","Windows-AzureAD-Authentication-Provider/1.0","false","false","Azure AD joined","78","MFA requirement satisfied by claim in the token","","","","1ed78f75-20f3-4e3b-809e-0927674845c3","none","WtgpIqyul0Gy9s7jqK4qAA","none","none","bound","","48c27980-7461-4825-8899-c32eaa324397"
"2025-11-01T00:20:59Z","2025-11-01","00:20:59","Murphy Cook","murphy.cook@acme.com","47.148.75.50","Vandalia 1"," East Province 2"," US","Success","","member","Single-factor authentication","Not Applied","primaryRefreshToken","Windows Sign In","38aa3b87-a06d-4817-b275-7a316988d93b","Windows Azure Active Directory","00000002-0000-0000-c000-000000000000","Other.","Mobile Apps and Desktop clients","8fe5e3b4-6b05-412b-8786-377194d7454e","","Windows","Windows-AzureAD-Authentication-Provider/1.0","false","false","Azure AD joined","63","MFA requirement satisfied by claim in the token","","","","4092bbed-4d20-43ac-8516-c226642f8c4f","none","3YK0hRKSK0u1OtHxweEUAA","none","none","bound","","43424dbb-bb6f-4a5c-8c30-d5c185c33662"
"2025-11-01T00:16:05Z","2025-11-01","00:16:05","Victoria1 Heather3","victoria1.heather3@acme.com","70.168.253.125","Bridgeport"," East Province 2"," US","Success","","member","Single-factor authentication","Success","none","Office Online Core SSO","f5522a1e-b277-4286-8074-46294306f945","Office Online Service","17aa5431-e2cf-41a9-8c91-07a54c59028d","Other.","Browser","","Chrome 140.0.0","Windows10","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.52 Safari/537.36","false","false","","96","","","","","ceb7f8a4-d4e7-466f-873b-9f54165f1ccc","none","hyrtGvs-ek28GfPWVGAlAA","none","none","unbound","1002","eeb6c5b4-f337-42c3-883f-a5ab5aed7cae"
"2025-11-01T00:15:59Z","2025-11-01","00:15:59","Victoria1 Heather3","victoria1.heather3@acme.com","70.168.253.125","Bridgeport"," East Province 2"," US","Success","","member","Single-factor authentication","Success","none","Office 365 SharePoint Online","00000003-0000-0ff1-ce00-000000000000","Office 365 SharePoint Online","00000003-0000-0ff1-ce00-000000000000","Other.","Browser","","Chrome 140.0.0","Windows10","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.52 Safari/537.36","false","false","","62","","","","","ceb7f8a4-d4e7-466f-873b-9f54165f1ccc","none","1ACyPOuEd0KxY3ICfdYnAA","none","none","unbound","1002","42abf21a-b887-4f44-85e6-dbafa6471eff"
