Description,Enabled,Identity,InError,ErrorType,Name,Priority,RuleIdentity,SupportedByTask,Legacy,AnyCategory,ExceptIfAnyCategory,AssignedCategories,ExceptIfAssignedCategories,BodyContainsWords,ExceptIfBodyContainsWords,FlaggedForAction,ExceptIfFlaggedForAction,FromAddressContainsWords,ExceptIfFromAddressContainsWords,From,ExceptIfFrom,HasAttachment,ExceptIfHasAttachment,HasClassification,ExceptIfHasClassification,HeaderContainsWords,ExceptIfHeaderContainsWords,MessageTypeMatches,ExceptIfMessageTypeMatches,MyNameInCcBox,ExceptIfMyNameInCcBox,MyNameInToBox,ExceptIfMyNameInToBox,MyNameInToOrCcBox,ExceptIfMyNameInToOrCcBox,MyNameNotInToBox,ExceptIfMyNameNotInToBox,ReceivedAfterDate,ExceptIfReceivedAfterDate,ReceivedBeforeDate,ExceptIfReceivedBeforeDate,RecipientAddressContainsWords,ExceptIfRecipientAddressContainsWords,SentOnlyToMe,ExceptIfSentOnlyToMe,SentTo,ExceptIfSentTo,SubjectContainsWords,ExceptIfSubjectContainsWords,SubjectOrBodyContainsWords,ExceptIfSubjectOrBodyContainsWords,WithImportance,ExceptIfWithImportance,WithinSizeRangeMaximum,ExceptIfWithinSizeRangeMaximum,WithinSizeRangeMinimum,ExceptIfWithinSizeRangeMinimum,WithSensitivity,ExceptIfWithSensitivity,ApplyCategory,ApplySystemCategory,ClearCategories,ClearFlag,CompleteFlag,CopyToFolder,DeleteMessage,DeleteSystemCategory,FlagMessage,ForwardAsAttachmentTo,ForwardTo,MarkAsRead,MarkImportance,MoveToFolder,PermanentDelete,PinMessage,RedirectTo,SendTextMessageNotificationTo,SoftDeleteMessage,StopProcessingRules,DisplayAlert,PlaySound,MailboxOwnerId,IsValid,ObjectState
"If the message:
	the message was received from 'postmaster@partner1.example'
	and the message includes specific words in the subject or body 'Project Update Contract Services Agreement FY2025'
Take the following actions:
	move the message to folder 'CDBP Procurement '
	and stop processing more rules on this message
",TRUE,ruiz2\578169943195910145,FALSE,None,For all messages from postmaster@partner1.example,1,578169943195910145,TRUE,,FALSE,FALSE,,,,,,,,,"""postmaster@partner1.example"" [SMTP:postmaster@partner1.example]",,FALSE,FALSE,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,FALSE,FALSE,,,,,Project Update Contract Services Agreement FY2025,,,,,,,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,FALSE,,Procurement ,FALSE,FALSE,,,FALSE,TRUE,,,ruiz2,TRUE,Unchanged
"If the message:
	the message was received from 'postmaster@partner1.example'
Take the following actions:
	move the message to folder 'CDBP Procurement '
	and stop processing more rules on this message
",TRUE,ruiz2\506112349157982209,FALSE,None,Move all messages from postmaster@partner1.example to Procurement ,2,506112349157982209,TRUE,,FALSE,FALSE,,,,,,,,,"""postmaster@partner1.example"" [SMTP:postmaster@partner1.example]",,FALSE,FALSE,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,FALSE,,Procurement ,FALSE,FALSE,,,FALSE,TRUE,,,ruiz2,TRUE,Unchanged
"If the message:
	the message was received from 'chavez8@treyresearch.com'
	and the message includes specific words in the subject 'Project Update Contract Services Agreement FY2025'
Take the following actions:
	move the message to folder 'CDBP Procurement '
	and stop processing more rules on this message
",TRUE,ruiz2\434054755120054273,FALSE,None,Move all messages from Microsoft Outlook to Procurement ,3,434054755120054273,TRUE,,FALSE,FALSE,,,,,,,,,"""chavez8@treyresearch.com"" [SMTP:chavez8@treyresearch.com]",,FALSE,FALSE,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,FALSE,FALSE,,,Project Update Contract Services Agreement FY2025,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,FALSE,,Procurement ,FALSE,FALSE,,,FALSE,TRUE,,,ruiz2,TRUE,Unchanged
"If the message:
	the message was received from 'hernandez2@partner2.example'
Take the following actions:
	move the message to folder 'LAWYER'
",TRUE,ruiz2\1368385041641504769,FALSE,None,Move all messages from Tommy to LAWYER,4,1368385041641504769,TRUE,,FALSE,FALSE,,,,,,,,,"""hernandez2@partner2.example"" [SMTP:hernandez2@partner2.example]",,FALSE,FALSE,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,FALSE,,LAWYER,FALSE,FALSE,,,FALSE,FALSE,,,ruiz2,TRUE,Unchanged
"If the message:
	the message was received from 'hernandez2@partner2.example'
Take the following actions:
	move the message to folder 'LAWYER'
",TRUE,ruiz2\1080154665489793025,FALSE,None,Move all messages from Tommy to LAWYER,5,1080154665489793025,TRUE,,FALSE,FALSE,,,,,,,,,"""hernandez2@partner2.example"" [SMTP:hernandez2@partner2.example]",,FALSE,FALSE,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,FALSE,,LAWYER,FALSE,FALSE,,,FALSE,FALSE,,,ruiz2,TRUE,Unchanged
"If the message:
	the message was received from 'mark5@partner2.example'
Take the following actions:
	move the message to folder 'LAWYER'
	and stop processing more rules on this message
",TRUE,ruiz2\1008097071451865089,FALSE,None,Move all messages from Rogers5 Nutt to LAWYER,6,1008097071451865089,TRUE,,FALSE,FALSE,,,,,,,,,"""mark5@partner2.example"" [SMTP:mark5@partner2.example]",,FALSE,FALSE,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,FALSE,,LAWYER,FALSE,FALSE,,,FALSE,TRUE,,,ruiz2,TRUE,Unchanged
"If the message:
	the message was received from 'larry5@partner3.example'
Take the following actions:
	move the message to folder 'GMA CITY MANAGER '
	and stop processing more rules on this message
",TRUE,ruiz2\11108135138158968833,FALSE,None,Move all messages from Becky Carol4 to MANAGER,7,11108135138158968833,TRUE,,FALSE,FALSE,,,,,,,,,"""larry5@partner3.example"" [SMTP:larry5@partner3.example]",,FALSE,FALSE,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,FALSE,,MANAGER ,FALSE,FALSE,,,FALSE,TRUE,,,ruiz2,TRUE,Unchanged
"If the message:
	the message was sent to 'DDA Board'
Take the following actions:
	move the message to folder 'DDA'
	and stop processing more rules on this message
",TRUE,ruiz2\14067521227493212161,FALSE,None,Move all messages sent to DDA Board to DDA,8,14067521227493212161,TRUE,,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,FALSE,FALSE,"""DDA Board"" [EX:/o=ExchangeLabs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=8a3ad9e6bf8343f9b4ca938ae0e4299d-dd1d563b-74]",,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,FALSE,,DDA,FALSE,FALSE,,,FALSE,TRUE,,,ruiz2,TRUE,Unchanged
"If the message:
	the message was received from 'carol3@freemail1.example'
Take the following actions:
	move the message to folder 'DDA'
	and stop processing more rules on this message
",TRUE,ruiz2\5642808010104373249,FALSE,None,Move all messages from Kizzy Gordon to DDA,9,5642808010104373249,TRUE,,FALSE,FALSE,,,,,,,,,"""carol3@freemail1.example"" [EX:/o=ExchangeLabs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=b7dd290c7520484d990a12eaa5cf8805-Guest_5ab33]",,FALSE,FALSE,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,FALSE,,DDA,FALSE,FALSE,,,FALSE,TRUE,,,ruiz2,TRUE,Unchanged
"If the message:
	the message was received from 'maria2.gary3@partner4.example'
Take the following actions:
	move the message to folder 'DDA'
	and stop processing more rules on this message
",TRUE,ruiz2\5570750416066445313,FALSE,None,Move all messages from Maria2 Gary3 to DDA,10,5570750416066445313,TRUE,,FALSE,FALSE,,,,,,,,,"""maria2.gary3@partner4.example"" [EX:/o=ExchangeLabs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=0108098125c746f480feac17084f930c-Guest_73053]",,FALSE,FALSE,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,FALSE,,DDA,FALSE,FALSE,,,FALSE,TRUE,,,ruiz2,TRUE,Unchanged
