"Date (UTC)","Request ID","User agent","Correlation ID","User ID","User","Username","User type","Cross tenant access type","Incoming token type","Authentication Protocol","Unique token identifier","Original transfer method","Client credential type","Token Protection - Sign In Session","Token Protection - Sign In Session StatusCode","Application","Application ID ","App owner tenant ID","Resource","Resource ID ","Resource tenant ID","Resource owner tenant ID","Home tenant ID","Home tenant name","IP address","Location","Status","Sign-in error code","Failure reason","Client app","Device ID","Browser","Operating System","Compliant","Managed","Join Type","Multifactor authentication result","Multifactor authentication auth method","Multifactor authentication auth detail","Authentication requirement","Sign-in identifier","Session ID","IP address (seen by resource)","Through Global Secure Access","Global Secure Access IP address","Autonomous system  number","Flagged for review","Token issuer type","Incoming token type","Token issuer name","Latency","Conditional Access","Managed Identity type","Associated Resource Id","Federated Token Id","Federated Token Issuer"
"2025-11-29T20:56:26Z","0e80481d-52e8-4b0c-8937-63aa8e8cf43c","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.247 Safari/537.36","d8a34e3f-1edf-4958-8e2b-bdebdeb7dcf2","f5c384ad-7a56-4bce-8c5e-27bd553719c1","Matthew3 Ward","harris4@treyresearch.com","member","none","none","none","PRb2Zax27kKMSRK1ptkXAA","none","none","none","1002","One Outlook Web","cdc8e5d8-63d8-4f32-8e40-b075edfcf6b4","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Office 365 Exchange Online","00000002-0000-0ff1-ce00-000000000000","fbb71c05-02fa-4edd-8a24-60414e69daa9","f8cdef31-a31e-4b4a-93e4-5f571e91255a","fbb71c05-02fa-4edd-8a24-60414e69daa9","","64.39.144.49","Riverton 1, Coastal Region, US","Success","","Other.","Browser","","Chrome 141.0.0","Windows10","false","","0","","","","Single-factor authentication","","6f6c4791-e92c-4f04-8fbe-09c2fc516023","","false","","16700","false","Microsoft Entra ID","None","","84","Not Applied","None","","",""
"2025-11-29T20:44:41Z","185ed9f9-3722-4b98-8c16-48417a7ca9c7","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.247 Safari/537.36","7163f3dd-cb43-4a1f-87ab-bbe49dc79273","5f763a5d-1d4d-4faa-8732-a7bd1fa8e7de","Julie3 Clark2","larry6@treyresearch.com","member","none","none","none","4mjj2-hFGUiam44fT8a3AA","none","none","none","1002","One Outlook Web","cdc8e5d8-63d8-4f32-8e40-b075edfcf6b4","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Office 365 Exchange Online","00000002-0000-0ff1-ce00-000000000000","fbb71c05-02fa-4edd-8a24-60414e69daa9","f8cdef31-a31e-4b4a-93e4-5f571e91255a","fbb71c05-02fa-4edd-8a24-60414e69daa9","","173.214.156.249","Thornbury 1, Coastal Region, US","Success","","Other.","Browser","","Chrome 141.0.0","Windows10","false","","0","","","","Multifactor authentication","","54d9cfbd-f813-4cca-8f66-086b292d7936","","false","","16700","false","Microsoft Entra ID","None","","129","Not Applied","None","","",""
"2025-11-29T19:58:46Z","fad996d4-e5ac-4ed9-8df7-29c77b604998","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.247 Safari/537.36","95f08db9-7c41-4efc-84b0-5b94b613bd19","a80c3209-a267-4953-85e5-70661297db2d","Rogers6 Admin","admin@treyresearch.com","member","none","none","none","s5zE2RQH-UqN4DuYk-1iAA","none","none","none","1002","Microsoft 365 Admin portal","6fe2f814-bfe4-4cbb-8d9c-78b1503490ed","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Microsoft Graph","00000003-0000-0000-c000-000000000000","fbb71c05-02fa-4edd-8a24-60414e69daa9","f8cdef31-a31e-4b4a-93e4-5f571e91255a","fbb71c05-02fa-4edd-8a24-60414e69daa9","","47.220.159.76","Kingsport, South Province, US","Success","","Other.","Browser","","Chrome 141.0.0","Windows10","false","","0","","","","Multifactor authentication","","18337306-cd6a-43ac-8934-f242708d4966","","false","","19108","false","Microsoft Entra ID","None","","92","Not Applied","None","","",""
"2025-11-29T19:58:44Z","486e3af1-3076-4fa4-8edf-4e4be81ffb72","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.247 Safari/537.36","3effbbe3-03a1-45bb-845e-7f51a1022678","a80c3209-a267-4953-85e5-70661297db2d","Rogers6 Admin","admin@treyresearch.com","member","none","none","none","XVilHy_FPEaYlpzTsCENAA","none","none","none","1002","Microsoft Office 365 Portal","00000006-0000-0ff1-ce00-000000000000","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Windows Azure Active Directory","00000002-0000-0000-c000-000000000000","fbb71c05-02fa-4edd-8a24-60414e69daa9","f8cdef31-a31e-4b4a-93e4-5f571e91255a","fbb71c05-02fa-4edd-8a24-60414e69daa9","","47.220.159.76","Kingsport, South Province, US","Success","","Other.","Browser","","Chrome 141.0.0","Windows10","false","","0","","","","Multifactor authentication","","18337306-cd6a-43ac-8934-f242708d4966","","false","","19108","false","Microsoft Entra ID","None","","77","Not Applied","None","","",""
"2025-11-29T19:58:30Z","58f7d0c2-486a-4112-8548-4bb1d9da026d","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.247 Safari/537.36","3804a832-2107-4713-85dd-26c61aa31ba1","a80c3209-a267-4953-85e5-70661297db2d","Rogers6 Admin","admin@treyresearch.com","member","none","none","none","KbvbCYfD8kyyrWzjB3-QAA","none","none","none","1002","OfficeHome","4765445b-32c6-49b0-83e6-1d93765276ca","f8cdef31-a31e-4b4a-93e4-5f571e91255a","OfficeHome","4765445b-32c6-49b0-83e6-1d93765276ca","fbb71c05-02fa-4edd-8a24-60414e69daa9","","fbb71c05-02fa-4edd-8a24-60414e69daa9","","47.220.159.76","Kingsport, South Province, US","Success","","Other.","Browser","","Chrome 141.0.0","Windows10","false","","0","","","","Multifactor authentication","","18337306-cd6a-43ac-8934-f242708d4966","","false","","19108","false","Microsoft Entra ID","None","","58","Not Applied","None","","",""
"2025-11-29T19:58:29Z","40da9a0e-8548-40ca-82a3-4cd7da40dfb6","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.247 Safari/537.36","e8de5686-4487-4c97-8a40-c835dc591065","a80c3209-a267-4953-85e5-70661297db2d","Rogers6 Admin","admin@treyresearch.com","member","none","none","none","9B3ezhs8ukKXCgVLyGjEAA","none","none","none","1002","OfficeHome","4765445b-32c6-49b0-83e6-1d93765276ca","f8cdef31-a31e-4b4a-93e4-5f571e91255a","OfficeHome","4765445b-32c6-49b0-83e6-1d93765276ca","fbb71c05-02fa-4edd-8a24-60414e69daa9","","fbb71c05-02fa-4edd-8a24-60414e69daa9","","47.220.159.76","Kingsport, South Province, US","Success","","Other.","Browser","","Chrome 141.0.0","Windows10","false","","0","","","","Multifactor authentication","","18337306-cd6a-43ac-8934-f242708d4966","","false","","19108","false","Microsoft Entra ID","None","","55","Not Applied","None","","",""
"2025-11-29T19:58:29Z","f1cf383c-34a3-4929-8933-76937734916e","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.247 Safari/537.36","8e0852fd-dc3b-4a7e-8072-f25536912ef9","a80c3209-a267-4953-85e5-70661297db2d","Rogers6 Admin","admin@treyresearch.com","member","none","none","none","9B3ezhs8ukKXCgVLsmjEAA","none","none","none","1002","OfficeHome","4765445b-32c6-49b0-83e6-1d93765276ca","f8cdef31-a31e-4b4a-93e4-5f571e91255a","OfficeHome","4765445b-32c6-49b0-83e6-1d93765276ca","fbb71c05-02fa-4edd-8a24-60414e69daa9","","fbb71c05-02fa-4edd-8a24-60414e69daa9","","47.220.159.76","Kingsport, South Province, US","Success","","Other.","Browser","","Chrome 141.0.0","Windows10","false","","0","","","","Multifactor authentication","admin@treyresearch.com","18337306-cd6a-43ac-8934-f242708d4966","","false","","19108","false","Microsoft Entra ID","None","","95","Not Applied","None","","",""
"2025-11-29T19:58:24Z","12e8d90f-0fad-45c1-8be4-9309c3427d35","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.247 Safari/537.36","8e0852fd-dc3b-4a7e-8072-f25536912ef9","a80c3209-a267-4953-85e5-70661297db2d","Rogers6 Admin","admin@treyresearch.com","member","none","none","none","XVilHy_FPEaYlpzT-x4NAA","none","none","none","1002","OfficeHome","4765445b-32c6-49b0-83e6-1d93765276ca","f8cdef31-a31e-4b4a-93e4-5f571e91255a","OfficeHome","4765445b-32c6-49b0-83e6-1d93765276ca","fbb71c05-02fa-4edd-8a24-60414e69daa9","","fbb71c05-02fa-4edd-8a24-60414e69daa9","","47.220.159.76","Kingsport, South Province, US","Interrupted","50140","This occurred due to 'Keep me signed in' interrupt when the user was signing in.","Browser","","Chrome 141.0.0","Windows10","false","","0","This is an expected part of the login flow, where a user is asked if they want to remain signed into this browser to make further logins easier. For more details, see https://techcommunity.microsoft.com/t5/microsoft-entra/the-new-azure-ad-sign-in-and-keep-me-signed-in-experiences/td-p/128267","","","Multifactor authentication","admin@treyresearch.com","18337306-cd6a-43ac-8934-f242708d4966","","false","","19108","false","Microsoft Entra ID","None","","92","Not Applied","None","","",""
"2025-11-29T19:50:07Z","6261aaef-319b-45c6-8848-fe14ec040856","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.247 Safari/537.36 Edg/141.0.0.247 OS/10.0.19045","8a667529-52fc-49ed-825d-4421cc5787a2","f00e8e5c-1ae4-462d-81f1-de8b6904646e","Carol2 Cox2","murphy2@treyresearch.com","member","none","primaryRefreshToken","none","vtW5kEU-C0CarBP434YyAA","none","none","none","","External Application 1","7ab7862c-4c57-491e-8a45-d52a7e023983","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Microsoft Graph","00000003-0000-0000-c000-000000000000","fbb71c05-02fa-4edd-8a24-60414e69daa9","f8cdef31-a31e-4b4a-93e4-5f571e91255a","fbb71c05-02fa-4edd-8a24-60414e69daa9","","173.214.157.177","Thornbury 1, Coastal Region, US","Success","","Other.","Browser","c4145171-26d8-43cc-8492-f8f6dd1e3ad4","Edge 141.0.0","Windows10","false","","0","","","","Multifactor authentication","","851cc711-02f1-4eb6-81b1-24f375c2c523","","false","","16700","false","Microsoft Entra ID","Primary refresh token","","250","Not Applied","None","","",""
"2025-11-29T19:45:10Z","b1b8649f-4498-4369-892c-e7941e95c6ab","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.247 Safari/537.36 Edg/141.0.0.247","8745b202-2332-4937-8365-09e7c13a3a04","f00e8e5c-1ae4-462d-81f1-de8b6904646e","Carol2 Cox2","murphy2@treyresearch.com","member","none","primaryRefreshToken","none","jvIscWS54UKmaxAaK-IXAA","none","none","none","","Office365 Shell WCSS-Client","f8cc6824-4371-448d-8767-94d062735947","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Office365 Shell WCSS-Server","1a431eca-db99-4815-8c5a-bf70f9a71d86","fbb71c05-02fa-4edd-8a24-60414e69daa9","","fbb71c05-02fa-4edd-8a24-60414e69daa9","","173.214.157.177","Thornbury 1, Coastal Region, US","Success","","Other.","Browser","c4145171-26d8-43cc-8492-f8f6dd1e3ad4","Edge 141.0.0","Windows10","false","","0","","","","Multifactor authentication","","851cc711-02f1-4eb6-81b1-24f375c2c523","","false","","16700","false","Microsoft Entra ID","Primary refresh token","","109","Not Applied","None","","",""
"2025-11-29T19:45:10Z","e594f075-81f0-4459-8014-cbec9ba643ac","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.247 Safari/537.36 Edg/141.0.0.247","cc1f002e-808a-4f54-8035-cb12b1343cef","f00e8e5c-1ae4-462d-81f1-de8b6904646e","Carol2 Cox2","murphy2@treyresearch.com","member","none","primaryRefreshToken","none","pDCGh2JMSEWwqZ34j7UBAA","none","none","none","","Office365 Shell WCSS-Client","f8cc6824-4371-448d-8767-94d062735947","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Microsoft Graph","00000003-0000-0000-c000-000000000000","fbb71c05-02fa-4edd-8a24-60414e69daa9","f8cdef31-a31e-4b4a-93e4-5f571e91255a","fbb71c05-02fa-4edd-8a24-60414e69daa9","","173.214.157.177","Thornbury 1, Coastal Region, US","Success","","Other.","Browser","c4145171-26d8-43cc-8492-f8f6dd1e3ad4","Edge 141.0.0","Windows10","false","","0","","","","Multifactor authentication","","851cc711-02f1-4eb6-81b1-24f375c2c523","","false","","16700","false","Microsoft Entra ID","Primary refresh token","","117","Not Applied","None","","",""
"2025-11-29T19:45:10Z","f5ed8f67-fd17-43ad-8557-fc33c5ccfa51","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.247 Safari/537.36 Edg/141.0.0.247","70877109-bf48-4130-8b4a-b65d40189d6d","f00e8e5c-1ae4-462d-81f1-de8b6904646e","Carol2 Cox2","murphy2@treyresearch.com","member","none","primaryRefreshToken","none","YXuh6_Wly0af8-8dSNyqAA","none","none","none","","Office365 Shell WCSS-Client","f8cc6824-4371-448d-8767-94d062735947","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Microsoft Graph","00000003-0000-0000-c000-000000000000","fbb71c05-02fa-4edd-8a24-60414e69daa9","f8cdef31-a31e-4b4a-93e4-5f571e91255a","fbb71c05-02fa-4edd-8a24-60414e69daa9","","173.214.157.177","Thornbury 1, Coastal Region, US","Success","","Other.","Browser","c4145171-26d8-43cc-8492-f8f6dd1e3ad4","Edge 141.0.0","Windows10","false","","0","","","","Multifactor authentication","","851cc711-02f1-4eb6-81b1-24f375c2c523","","false","","16700","false","Microsoft Entra ID","Primary refresh token","","75","Not Applied","None","","",""
"2025-11-29T19:45:06Z","afc57d47-85b6-47b7-8d86-d51c738a7162","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.247 Safari/537.36 Edg/141.0.0.247","fd87b600-61f6-40e2-8c90-a6708a71c5ce","f00e8e5c-1ae4-462d-81f1-de8b6904646e","Carol2 Cox2","murphy2@treyresearch.com","member","none","primaryRefreshToken","none","NaNQIkNbTUa6XHjIRe9bAA","none","none","none","","Office365 Shell WCSS-Client","f8cc6824-4371-448d-8767-94d062735947","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Microsoft Graph","00000003-0000-0000-c000-000000000000","fbb71c05-02fa-4edd-8a24-60414e69daa9","f8cdef31-a31e-4b4a-93e4-5f571e91255a","fbb71c05-02fa-4edd-8a24-60414e69daa9","","173.214.157.177","Thornbury 1, Coastal Region, US","Success","","Other.","Browser","c4145171-26d8-43cc-8492-f8f6dd1e3ad4","Edge 141.0.0","Windows10","false","","0","","","","Multifactor authentication","","851cc711-02f1-4eb6-81b1-24f375c2c523","","false","","16700","false","Microsoft Entra ID","Primary refresh token","","132","Not Applied","None","","",""
