"DateUTC","DateOnly","TimeOnly","User","Username","IPaddress","City","Region","Country","Status","SignInErrorCode","UserType","AuthRequirement","ConditionalAccess","TokenType","Application","ApplicationID","Resource","ResourceID","FailureReason","ClientApp","DeviceID","Browser","OS","UserAgent","Compliant","Managed","JoinType","Latency","MFAResult","MFAMethod","MFADetail","SignInIdentifier","SessionID","AuthenticationProtocol","UniqueToken","TransferMethod","ClientCredential","TokenProtectionSession","TokenProtectionStatusCode","CorrelationID"
"2025-11-29T20:56:26Z","2025-11-29","20:56:26","Matthew3 Ward","harris4@treyresearch.com","64.39.144.49","Riverton 1"," Coastal Region"," US","Success","","member","Single-factor authentication","Not Applied","none","One Outlook Web","cdc8e5d8-63d8-4f32-8e40-b075edfcf6b4","Office 365 Exchange Online","00000002-0000-0ff1-ce00-000000000000","Other.","Browser","","Chrome 141.0.0","Windows10","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.247 Safari/537.36","false","","0","84","","","","","6f6c4791-e92c-4f04-8fbe-09c2fc516023","none","PRb2Zax27kKMSRK1ptkXAA","none","none","none","1002","d8a34e3f-1edf-4958-8e2b-bdebdeb7dcf2"
"2025-11-29T20:44:41Z","2025-11-29","20:44:41","Julie3 Clark2","larry6@treyresearch.com","173.214.156.249","Thornbury 1"," Coastal Region"," US","Success","","member","Multifactor authentication","Not Applied","none","One Outlook Web","cdc8e5d8-63d8-4f32-8e40-b075edfcf6b4","Office 365 Exchange Online","00000002-0000-0ff1-ce00-000000000000","Other.","Browser","","Chrome 141.0.0","Windows10","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.247 Safari/537.36","false","","0","129","","","","","54d9cfbd-f813-4cca-8f66-086b292d7936","none","4mjj2-hFGUiam44fT8a3AA","none","none","none","1002","7163f3dd-cb43-4a1f-87ab-bbe49dc79273"
"2025-11-29T19:58:46Z","2025-11-29","19:58:46","Rogers6 Admin","admin@treyresearch.com","47.220.159.76","Kingsport"," South Province"," US","Success","","member","Multifactor authentication","Not Applied","none","Microsoft 365 Admin portal","6fe2f814-bfe4-4cbb-8d9c-78b1503490ed","Microsoft Graph","00000003-0000-0000-c000-000000000000","Other.","Browser","","Chrome 141.0.0","Windows10","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.247 Safari/537.36","false","","0","92","","","","","18337306-cd6a-43ac-8934-f242708d4966","none","s5zE2RQH-UqN4DuYk-1iAA","none","none","none","1002","95f08db9-7c41-4efc-84b0-5b94b613bd19"
"2025-11-29T19:58:44Z","2025-11-29","19:58:44","Rogers6 Admin","admin@treyresearch.com","47.220.159.76","Kingsport"," South Province"," US","Success","","member","Multifactor authentication","Not Applied","none","Microsoft Office 365 Portal","00000006-0000-0ff1-ce00-000000000000","Windows Azure Active Directory","00000002-0000-0000-c000-000000000000","Other.","Browser","","Chrome 141.0.0","Windows10","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.247 Safari/537.36","false","","0","77","","","","","18337306-cd6a-43ac-8934-f242708d4966","none","XVilHy_FPEaYlpzTsCENAA","none","none","none","1002","3effbbe3-03a1-45bb-845e-7f51a1022678"
"2025-11-29T19:58:30Z","2025-11-29","19:58:30","Rogers6 Admin","admin@treyresearch.com","47.220.159.76","Kingsport"," South Province"," US","Success","","member","Multifactor authentication","Not Applied","none","OfficeHome","4765445b-32c6-49b0-83e6-1d93765276ca","OfficeHome","4765445b-32c6-49b0-83e6-1d93765276ca","Other.","Browser","","Chrome 141.0.0","Windows10","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.247 Safari/537.36","false","","0","58","","","","","18337306-cd6a-43ac-8934-f242708d4966","none","KbvbCYfD8kyyrWzjB3-QAA","none","none","none","1002","3804a832-2107-4713-85dd-26c61aa31ba1"
"2025-11-29T19:58:29Z","2025-11-29","19:58:29","Rogers6 Admin","admin@treyresearch.com","47.220.159.76","Kingsport"," South Province"," US","Success","","member","Multifactor authentication","Not Applied","none","OfficeHome","4765445b-32c6-49b0-83e6-1d93765276ca","OfficeHome","4765445b-32c6-49b0-83e6-1d93765276ca","Other.","Browser","","Chrome 141.0.0","Windows10","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.247 Safari/537.36","false","","0","55","","","","","18337306-cd6a-43ac-8934-f242708d4966","none","9B3ezhs8ukKXCgVLyGjEAA","none","none","none","1002","e8de5686-4487-4c97-8a40-c835dc591065"
"2025-11-29T19:58:29Z","2025-11-29","19:58:29","Rogers6 Admin","admin@treyresearch.com","47.220.159.76","Kingsport"," South Province"," US","Success","","member","Multifactor authentication","Not Applied","none","OfficeHome","4765445b-32c6-49b0-83e6-1d93765276ca","OfficeHome","4765445b-32c6-49b0-83e6-1d93765276ca","Other.","Browser","","Chrome 141.0.0","Windows10","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.247 Safari/537.36","false","","0","95","","","","admin@treyresearch.com","18337306-cd6a-43ac-8934-f242708d4966","none","9B3ezhs8ukKXCgVLsmjEAA","none","none","none","1002","8e0852fd-dc3b-4a7e-8072-f25536912ef9"
"2025-11-29T19:58:24Z","2025-11-29","19:58:24","Rogers6 Admin","admin@treyresearch.com","47.220.159.76","Kingsport"," South Province"," US","Interrupted","50140","member","Multifactor authentication","Not Applied","none","OfficeHome","4765445b-32c6-49b0-83e6-1d93765276ca","OfficeHome","4765445b-32c6-49b0-83e6-1d93765276ca","This occurred due to 'Keep me signed in' interrupt when the user was signing in.","Browser","","Chrome 141.0.0","Windows10","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.247 Safari/537.36","false","","0","92","This is an expected part of the login flow, where a user is asked if they want to remain signed into this browser to make further logins easier. For more details, see https://techcommunity.microsoft.com/t5/microsoft-entra/the-new-azure-ad-sign-in-and-keep-me-signed-in-experiences/td-p/128267","","","admin@treyresearch.com","18337306-cd6a-43ac-8934-f242708d4966","none","XVilHy_FPEaYlpzT-x4NAA","none","none","none","1002","8e0852fd-dc3b-4a7e-8072-f25536912ef9"
"2025-11-29T19:50:07Z","2025-11-29","19:50:07","Carol2 Cox2","murphy2@treyresearch.com","173.214.157.177","Thornbury 1"," Coastal Region"," US","Success","","member","Multifactor authentication","Not Applied","primaryRefreshToken","External Application 1","7ab7862c-4c57-491e-8a45-d52a7e023983","Microsoft Graph","00000003-0000-0000-c000-000000000000","Other.","Browser","c4145171-26d8-43cc-8492-f8f6dd1e3ad4","Edge 141.0.0","Windows10","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.247 Safari/537.36 Edg/141.0.0.247 OS/10.0.19045","false","","0","250","","","","","851cc711-02f1-4eb6-81b1-24f375c2c523","none","vtW5kEU-C0CarBP434YyAA","none","none","none","","8a667529-52fc-49ed-825d-4421cc5787a2"
"2025-11-29T19:45:10Z","2025-11-29","19:45:10","Carol2 Cox2","murphy2@treyresearch.com","173.214.157.177","Thornbury 1"," Coastal Region"," US","Success","","member","Multifactor authentication","Not Applied","primaryRefreshToken","Office365 Shell WCSS-Client","f8cc6824-4371-448d-8767-94d062735947","Office365 Shell WCSS-Server","1a431eca-db99-4815-8c5a-bf70f9a71d86","Other.","Browser","c4145171-26d8-43cc-8492-f8f6dd1e3ad4","Edge 141.0.0","Windows10","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.247 Safari/537.36 Edg/141.0.0.247","false","","0","109","","","","","851cc711-02f1-4eb6-81b1-24f375c2c523","none","jvIscWS54UKmaxAaK-IXAA","none","none","none","","8745b202-2332-4937-8365-09e7c13a3a04"
