"ActivityDateTime","ActivityDisplayName","AdditionalDetails.1.Key","AdditionalDetails.1.Value","AdditionalDetails.1.AdditionalProperties","AdditionalDetails.2.Key","AdditionalDetails.2.Value","AdditionalDetails.2.AdditionalProperties","Category","CorrelationId","Id","InitiatedBy.App.AppId","InitiatedBy.App.DisplayName","InitiatedBy.App.ServicePrincipalId","InitiatedBy.App.ServicePrincipalName","InitiatedBy.App.AdditionalProperties","InitiatedBy.LinkableIdentifiers.DeviceId","InitiatedBy.LinkableIdentifiers.SessionId","InitiatedBy.LinkableIdentifiers.TokenDetails.IssuedAtDateTime","InitiatedBy.LinkableIdentifiers.TokenDetails.UniqueTokenIdentifier","InitiatedBy.LinkableIdentifiers.TokenDetails.AdditionalProperties","InitiatedBy.LinkableIdentifiers.AdditionalProperties","InitiatedBy.User.DisplayName","InitiatedBy.User.HomeTenantId","InitiatedBy.User.HomeTenantName","InitiatedBy.User.IPAddress","InitiatedBy.User.Id","InitiatedBy.User.UserPrincipalName","InitiatedBy.User.AdditionalProperties","InitiatedBy.AdditionalProperties","LoggedByService","OperationType","Result","ResultReason","TargetResources.1.DisplayName","TargetResources.1.GroupType","TargetResources.1.Id","TargetResources.1.ModifiedProperties.1.DisplayName","TargetResources.1.ModifiedProperties.1.NewValue","TargetResources.1.ModifiedProperties.1.OldValue","TargetResources.1.ModifiedProperties.1.AdditionalProperties","TargetResources.1.ModifiedProperties.2.DisplayName","TargetResources.1.ModifiedProperties.2.NewValue","TargetResources.1.ModifiedProperties.2.OldValue","TargetResources.1.ModifiedProperties.2.AdditionalProperties","TargetResources.1.ModifiedProperties.3.DisplayName","TargetResources.1.ModifiedProperties.3.NewValue","TargetResources.1.ModifiedProperties.3.OldValue","TargetResources.1.ModifiedProperties.3.AdditionalProperties","TargetResources.1.Type","TargetResources.1.UserPrincipalName","TargetResources.1.AdditionalProperties","UserAgent","AdditionalProperties"
"2025-11-30 16:16:17","Update user","UserType","Member","","User-Agent","O365AdminPortal","","UserManagement","46574576-948a-49e4-8dbf-8b3ca5a9be7d","Directory_46574576-948a-49e4-8dbf-8b3ca5a9be7d_U2XES_239406345","","","","","","","","","","","","Joshua3 Castillo3 365 Patrick2","","","2603:1036:2405:8a09:e65e:ee69:58:d271","50418c34-c899-46f5-8c24-34c3341ee5d4","administrator@proseware.com","","","Core Directory","Update","success","","","","654e1dfa-d976-4d64-897c-b9bb3ede9321","StsRefreshTokensValidFrom","[""2025-11-30T16:16:17Z""]","[""2025-11-30T16:16:08Z""]","","Included Updated Properties","""StsRefreshTokensValidFrom""","","","TargetId.UserType","""Member""","","","User","mark@proseware.com","","",""
"2025-11-30 16:16:17","Update StsRefreshTokenValidFrom Timestamp","User-Agent","O365AdminPortal","","","","","UserManagement","46574576-948a-49e4-8dbf-8b3ca5a9be7d","Directory_46574576-948a-49e4-8dbf-8b3ca5a9be7d_U2XES_239406337","","","","","","","","","","","","Joshua3 Castillo3 365 Patrick2","","","2603:1036:2405:8a09:e65e:ee69:58:d271","50418c34-c899-46f5-8c24-34c3341ee5d4","administrator@proseware.com","","","Core Directory","Update","success","","","","654e1dfa-d976-4d64-897c-b9bb3ede9321","StsRefreshTokensValidFrom","[""2025-11-30T16:16:17Z""]","[""2025-11-30T16:16:08Z""]","","Included Updated Properties","""StsRefreshTokensValidFrom""","","","","","","","User","mark@proseware.com","","",""
"2025-11-30 16:16:17","Update user","UserType","Member","","User-Agent","O365AdminPortal","","UserManagement","2efc42f4-fdfc-4b3b-8a8e-82eab0a0e8a0","Directory_2efc42f4-fdfc-4b3b-8a8e-82eab0a0e8a0_EGOC8_368369742","","","","","","","","","","","","Joshua3 Castillo3 365 Patrick2","","","2603:1036:2405:8a09:e65e:ee69:58:d271","50418c34-c899-46f5-8c24-34c3341ee5d4","administrator@proseware.com","","","Core Directory","Update","success","","","","654e1dfa-d976-4d64-897c-b9bb3ede9321","AccountEnabled","[true]","[false]","","Included Updated Properties","""AccountEnabled""","","","TargetId.UserType","""Member""","","","User","mark@proseware.com","","",""
"2025-11-30 16:16:17","Enable account","User-Agent","O365AdminPortal","","","","","UserManagement","2efc42f4-fdfc-4b3b-8a8e-82eab0a0e8a0","Directory_2efc42f4-fdfc-4b3b-8a8e-82eab0a0e8a0_EGOC8_368369735","","","","","","","","","","","","Joshua3 Castillo3 365 Patrick2","","","2603:1036:2405:8a09:e65e:ee69:58:d271","50418c34-c899-46f5-8c24-34c3341ee5d4","administrator@proseware.com","","","Core Directory","Update","success","","","","654e1dfa-d976-4d64-897c-b9bb3ede9321","AccountEnabled","[true]","[false]","","Included Updated Properties","""AccountEnabled""","","","","","","","User","mark@proseware.com","","",""
"2025-11-30 16:16:08","Update user","UserType","Member","","User-Agent","O365AdminPortal","","UserManagement","29fa909b-2b6e-4ca1-8c0d-39fb55c27411","Directory_29fa909b-2b6e-4ca1-8c0d-39fb55c27411_UWHF2_558519179","","","","","","","","","","","","Joshua3 Castillo3 365 Patrick2","","","2603:1036:2405:8a09:e65e:ee69:58:d271","50418c34-c899-46f5-8c24-34c3341ee5d4","administrator@proseware.com","","","Core Directory","Update","success","","","","654e1dfa-d976-4d64-897c-b9bb3ede9321","Included Updated Properties","""""","","","TargetId.UserType","""Member""","","","","","","","User","mark@proseware.com","","",""
"2025-11-30 16:16:08","Update StsRefreshTokenValidFrom Timestamp","User-Agent","O365AdminPortal","","","","","UserManagement","29fa909b-2b6e-4ca1-8c0d-39fb55c27411","Directory_29fa909b-2b6e-4ca1-8c0d-39fb55c27411_UWHF2_558519153","","","","","","","","","","","","Joshua3 Castillo3 365 Patrick2","","","2603:1036:2405:8a09:e65e:ee69:58:d271","50418c34-c899-46f5-8c24-34c3341ee5d4","administrator@proseware.com","","","Core Directory","Update","success","","","","654e1dfa-d976-4d64-897c-b9bb3ede9321","Included Updated Properties","""""","","","","","","","","","","","User","mark@proseware.com","","",""
"2025-11-30 16:16:08","Update StsRefreshTokenValidFrom Timestamp","User-Agent","O365AdminPortal","","","","","UserManagement","0f17d221-0ca8-4cfc-848d-5b1c4e3322ea","Directory_0f17d221-0ca8-4cfc-848d-5b1c4e3322ea_KCBKR_138013362","","","","","","","","","","","","Joshua3 Castillo3 365 Patrick2","","","2603:1036:2405:8a09:e65e:ee69:58:d271","50418c34-c899-46f5-8c24-34c3341ee5d4","administrator@proseware.com","","","Core Directory","Update","success","","","","654e1dfa-d976-4d64-897c-b9bb3ede9321","","","","","","","","","","","","","User","mark@proseware.com","","",""
"2025-11-30 16:16:08","Gregory3 user password","User-Agent","O365AdminPortal","","","","","UserManagement","0f17d221-0ca8-4cfc-848d-5b1c4e3322ea","Directory_0f17d221-0ca8-4cfc-848d-5b1c4e3322ea_KCBKR_138013354","","","","","","","","","","","","Joshua3 Castillo3 365 Patrick2","","","2603:1036:2405:8a09:e65e:ee69:58:d271","50418c34-c899-46f5-8c24-34c3341ee5d4","administrator@proseware.com","","","Core Directory","Update","success","","","","654e1dfa-d976-4d64-897c-b9bb3ede9321","","","","","","","","","","","","","User","mark@proseware.com","","",""
"2025-11-30 16:16:08","Update PasswordProfile","User-Agent","O365AdminPortal","","","","","UserManagement","0f17d221-0ca8-4cfc-848d-5b1c4e3322ea","Directory_0f17d221-0ca8-4cfc-848d-5b1c4e3322ea_KCBKR_138012918","","","","","","","","","","","","Joshua3 Castillo3 365 Patrick2","","","2603:1036:2405:8a09:e65e:ee69:58:d271","50418c34-c899-46f5-8c24-34c3341ee5d4","administrator@proseware.com","","","Core Directory","Update","success","","","","654e1dfa-d976-4d64-897c-b9bb3ede9321","Password","","","","","","","","","","","","User","mark@proseware.com","","",""
"2025-11-30 16:16:08","Update user","UserType","Member","","User-Agent","O365AdminPortal","","UserManagement","0f17d221-0ca8-4cfc-848d-5b1c4e3322ea","Directory_0f17d221-0ca8-4cfc-848d-5b1c4e3322ea_KCBKR_138012880","","","","","","","","","","","","Joshua3 Castillo3 365 Patrick2","","","2603:1036:2405:8a09:e65e:ee69:58:d271","50418c34-c899-46f5-8c24-34c3341ee5d4","administrator@proseware.com","","","Core Directory","Update","success","","","","654e1dfa-d976-4d64-897c-b9bb3ede9321","StsRefreshTokensValidFrom","[""2025-11-30T16:16:07Z""]","[""2025-11-30T15:58:47Z""]","","Included Updated Properties","""StsRefreshTokensValidFrom""","","","TargetId.UserType","""Member""","","","User","mark@proseware.com","","",""
