"Name","UPN","Department","Victoria Status","SignIn Status","Authentication Methods","MFA Status","MFA Phone","Microsoft Authenticator Configured Device","Is 3rd-Party Authenticator Used","Additional Details"
"Proseware","administrator@proseware.com","","Unlicensed","Allowed","PasswordAuthentication,SoftwareOath","Weak","-","-","True",""
"Jerry Justin2","ramos@proseware.com","","Licensed","Allowed","PasswordAuthentication","Disabled","-","-","False",""
"Jerry Cox3","thomas@proseware.com","","Licensed","Allowed","PasswordAuthentication","Disabled","-","-","False",""
"jimenez","jimenez@proseware.com","","Licensed","Allowed","PasswordAuthentication","Disabled","-","-","False",""
"External Vendor 2 Admin","chavez@proseware.com","","Unlicensed","Allowed","AuthenticatorApp,PasswordAuthentication,PhoneAuthentication","Strong","+1 2815550143","iPhone","False","PhoneAuthentication : mobile +1 2815550143, AuthenticatorApp : iPhone"
"Craig Ketola","benjamin@proseware.com","","Licensed","Allowed","PasswordAuthentication","Disabled","-","-","False",""
"Clifford Stoll","cstoll@proseware.com","","Licensed","Allowed","PasswordAuthentication,SoftwareOath","Weak","-","-","True",""
"Sharon Green","mendoza@proseware.com","","Licensed","Allowed","PasswordAuthentication","Disabled","-","-","False",""
"David Mills","turner@proseware.com","","Licensed","Allowed","PasswordAuthentication","Disabled","-","-","False",""
"King Young","mark@proseware.com","","Licensed","Allowed","PasswordAuthentication","Disabled","-","-","False",""
"Eric Krout","jack@proseware.com","","Licensed","Allowed","PasswordAuthentication","Disabled","-","-","False",""
"Jennifer Bracci","jackson@proseware.com","","Licensed","Allowed","PasswordAuthentication","Disabled","-","-","False",""
"John Davy","rogers@proseware.com","","Licensed","Allowed","PasswordAuthentication","Disabled","-","-","False",""
"Cox Ortiz2","ward@proseware.com","","Licensed","Allowed","AuthenticatorApp,PasswordAuthentication,PhoneAuthentication","Strong","+1 843-555-0142","iPhone","False","PhoneAuthentication : mobile +1 843-555-0142, AuthenticatorApp : iPhone"
"Michelle Anthony","tyler@proseware.com","","Licensed","Allowed","PasswordAuthentication","Disabled","-","-","False",""
"Michelle Phillips","edwards@proseware.com","","Licensed","Allowed","PasswordAuthentication","Disabled","-","-","False",""
"Michael Macdonald","victoria2@proseware.com","","Licensed","Allowed","PasswordAuthentication","Disabled","-","-","False",""
"Matthew Strauss","jeffrey2@proseware.com","","Licensed","Allowed","PasswordAuthentication","Disabled","-","-","False",""
"CHRIS2","chris2@proseware.com","","Licensed","Allowed","PasswordAuthentication","Disabled","-","-","False",""
"Stacy Garner","sanchez2@proseware.com","","Licensed","Allowed","AuthenticatorApp,PasswordAuthentication,PhoneAuthentication","Strong","+1 8035550144","iPhone 13 Pro Max","False","PhoneAuthentication : mobile +1 8035550144, AuthenticatorApp : iPhone 13 Pro Max"
"Shop Tech","richard2@proseware.com","","Licensed","Allowed","PasswordAuthentication","Disabled","-","-","False",""
"Scott Salisbury","susan2@proseware.com","","Licensed","Allowed","PasswordAuthentication","Disabled","-","-","False",""
"Edward2 Aaron2","morales2@proseware.com","","Licensed","Allowed","PasswordAuthentication","Disabled","-","-","False",""
"Teresa Ford","adam3@proseware.com","","Licensed","Allowed","PasswordAuthentication","Disabled","-","-","False",""
"extadmin","scott2@proseware.com","","Unlicensed","Allowed","PasswordAuthentication,PhoneAuthentication,SoftwareOath","Strong","+1 8035550145","-","True","PhoneAuthentication : mobile +1 8035550145, SoftwareOath : mobile +1 8035550145"
"Virgil  Washington","edwards2@proseware.com","","Licensed","Allowed","AuthenticatorApp,PasswordAuthentication","Strong","-","iPhone SE (3rd generation)","False","AuthenticatorApp : iPhone SE (3rd generation)"
"Larry3 Chris","cynthia3@proseware.com","","Licensed","Allowed","PasswordAuthentication","Disabled","-","-","False",""
