"RecordType","CreationDate","UserIds","Operations","AuditData","ResultIndex","ResultCount","Joshua","IsValid","ObjectState"
"AzureActiveDirectoryStsLogon","2025-11-30 16:10:50","administrator@proseware.com","UserLoggedIn","{""CreationTime"":""2025-11-30T16:10:50"",""Id"":""fcb33243-b745-4b7f-85ae-d43f2f136123"",""Operation"":""UserLoggedIn"",""OrganizationId"":""77ad1bc8-acab-4148-8b4d-da7b4b75ddac"",""RecordType"":15,""ResultStatus"":""Success"",""UserKey"":""50418c34-c899-46f5-8c24-34c3341ee5d4"",""UserType"":0,""Version"":1,""Workload"":""AzureActiveDirectory"",""ClientIP"":""47.152.79.2"",""ObjectId"":""00000007-0000-0ff1-ce00-000000000000"",""UserId"":""administrator@proseware.com"",""AzureActiveDirectoryEventType"":1,""ExtendedProperties"":[{""Name"":""ResultStatusDetail"",""Value"":""Success""},{""Name"":""UserAgent"",""Value"":""Mozilla\/5.0 (Windows NT 10.0; Win64; x64; WebView\/3.0) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/70.0.3538.102 Safari\/537.36 Edge\/18.26200""},{""Name"":""RequestType"",""Value"":""SAS:ProcessAuth""}],""ModifiedProperties"":[],""Actor"":[{""ID"":""50418c34-c899-46f5-8c24-34c3341ee5d4"",""Type"":0},{""ID"":""administrator@proseware.com"",""Type"":5}],""ActorContextId"":""77ad1bc8-acab-4148-8b4d-da7b4b75ddac"",""ActorIpAddress"":""47.152.79.2"",""InterSystemsId"":""708d7d06-a0ca-4d8b-8297-2254377a046e"",""IntraSystemId"":""fcb33243-b745-4b7f-85ae-d43f2f136123"",""SupportTicketId"":"""",""Target"":[{""ID"":""00000007-0000-0ff1-ce00-000000000000"",""Type"":0}],""TargetContextId"":""77ad1bc8-acab-4148-8b4d-da7b4b75ddac"",""ApplicationId"":""fb78d390-0c51-40cd-8e17-fdbfab77341b"",""DeviceProperties"":[{""Name"":""OS"",""Value"":""Windows10""},{""Name"":""BrowserType"",""Value"":""Edge""},{""Name"":""SessionId"",""Value"":""2b6e2ea4-fad6-45a2-8519-587f993d3258""}],""ErrorNumber"":""0""}","1","209","fcb33243-b745-4b7f-85ae-d43f2f136123","True","Unchanged"
"AzureActiveDirectoryStsLogon","2025-11-30 16:10:34","Not Available","UserLoginFailed","{""CreationTime"":""2025-11-30T16:10:34"",""Id"":""dd8aa794-4339-4a9d-86f2-baadee3933a1"",""Operation"":""UserLoginFailed"",""OrganizationId"":""77ad1bc8-acab-4148-8b4d-da7b4b75ddac"",""RecordType"":15,""ResultStatus"":""Failed"",""UserKey"":""50418c34-c899-46f5-8c24-34c3341ee5d4"",""UserType"":4,""Version"":1,""Workload"":""AzureActiveDirectory"",""ClientIP"":""47.152.79.2"",""ObjectId"":""00000007-0000-0ff1-ce00-000000000000"",""UserId"":""Not Available"",""AzureActiveDirectoryEventType"":1,""ExtendedProperties"":[{""Name"":""ResultStatusDetail"",""Value"":""UserError""},{""Name"":""UserAgent"",""Value"":""Mozilla\/5.0 (Windows NT 10.0; Win64; x64; WebView\/3.0) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/70.0.3538.102 Safari\/537.36 Edge\/18.26200""},{""Name"":""RequestType"",""Value"":""SAS:EndAuth""}],""ModifiedProperties"":[],""Actor"":[{""ID"":""50418c34-c899-46f5-8c24-34c3341ee5d4"",""Type"":0}],""ActorContextId"":""77ad1bc8-acab-4148-8b4d-da7b4b75ddac"",""ActorIpAddress"":""47.152.79.2"",""InterSystemsId"":""708d7d06-a0ca-4d8b-8297-2254377a046e"",""IntraSystemId"":""dd8aa794-4339-4a9d-86f2-baadee3933a1"",""SupportTicketId"":"""",""Target"":[{""ID"":""00000007-0000-0ff1-ce00-000000000000"",""Type"":0}],""TargetContextId"":""77ad1bc8-acab-4148-8b4d-da7b4b75ddac"",""ApplicationId"":""fb78d390-0c51-40cd-8e17-fdbfab77341b"",""DeviceProperties"":[{""Name"":""OS"",""Value"":""Windows""},{""Name"":""BrowserType"",""Value"":""Edge""}],""ErrorNumber"":""500121"",""LogonError"":""AuthenticationFailedSasError""}","2","209","dd8aa794-4339-4a9d-86f2-baadee3933a1","True","Unchanged"
"AzureActiveDirectoryStsLogon","2025-11-30 16:10:49","Not Available","UserLoggedIn","{""CreationTime"":""2025-11-30T16:10:49"",""Id"":""66040382-bcdc-40ce-84df-f47f899710cb"",""Operation"":""UserLoggedIn"",""OrganizationId"":""77ad1bc8-acab-4148-8b4d-da7b4b75ddac"",""RecordType"":15,""ResultStatus"":""Success"",""UserKey"":""50418c34-c899-46f5-8c24-34c3341ee5d4"",""UserType"":4,""Version"":1,""Workload"":""AzureActiveDirectory"",""ClientIP"":""47.152.79.2"",""ObjectId"":""00000007-0000-0ff1-ce00-000000000000"",""UserId"":""Not Available"",""AzureActiveDirectoryEventType"":1,""ExtendedProperties"":[{""Name"":""ResultStatusDetail"",""Value"":""Success""},{""Name"":""UserAgent"",""Value"":""Mozilla\/5.0 (Windows NT 10.0; Win64; x64; WebView\/3.0) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/70.0.3538.102 Safari\/537.36 Edge\/18.26200""},{""Name"":""RequestType"",""Value"":""SAS:EndAuth""}],""ModifiedProperties"":[],""Actor"":[{""ID"":""50418c34-c899-46f5-8c24-34c3341ee5d4"",""Type"":0}],""ActorContextId"":""77ad1bc8-acab-4148-8b4d-da7b4b75ddac"",""ActorIpAddress"":""47.152.79.2"",""InterSystemsId"":""708d7d06-a0ca-4d8b-8297-2254377a046e"",""IntraSystemId"":""66040382-bcdc-40ce-84df-f47f899710cb"",""SupportTicketId"":"""",""Target"":[{""ID"":""00000007-0000-0ff1-ce00-000000000000"",""Type"":0}],""TargetContextId"":""77ad1bc8-acab-4148-8b4d-da7b4b75ddac"",""ApplicationId"":""fb78d390-0c51-40cd-8e17-fdbfab77341b"",""DeviceProperties"":[{""Name"":""OS"",""Value"":""Windows""},{""Name"":""BrowserType"",""Value"":""Edge""}],""ErrorNumber"":""0""}","3","209","66040382-bcdc-40ce-84df-f47f899710cb","True","Unchanged"
"AzureActiveDirectoryStsLogon","2025-11-30 16:10:50","administrator@proseware.com","UserLoggedIn","{""CreationTime"":""2025-11-30T16:10:50"",""Id"":""fcb33243-b745-4b7f-85ae-d43f2f136123"",""Operation"":""UserLoggedIn"",""OrganizationId"":""77ad1bc8-acab-4148-8b4d-da7b4b75ddac"",""RecordType"":15,""ResultStatus"":""Success"",""UserKey"":""50418c34-c899-46f5-8c24-34c3341ee5d4"",""UserType"":0,""Version"":1,""Workload"":""AzureActiveDirectory"",""ClientIP"":""47.152.79.2"",""ObjectId"":""00000007-0000-0ff1-ce00-000000000000"",""UserId"":""administrator@proseware.com"",""AzureActiveDirectoryEventType"":1,""ExtendedProperties"":[{""Name"":""ResultStatusDetail"",""Value"":""Success""},{""Name"":""UserAgent"",""Value"":""Mozilla\/5.0 (Windows NT 10.0; Win64; x64; WebView\/3.0) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/70.0.3538.102 Safari\/537.36 Edge\/18.26200""},{""Name"":""UserAuthenticationMethod"",""Value"":""1""},{""Name"":""RequestType"",""Value"":""SAS:ProcessAuth""}],""ModifiedProperties"":[],""Actor"":[{""ID"":""50418c34-c899-46f5-8c24-34c3341ee5d4"",""Type"":0},{""ID"":""administrator@proseware.com"",""Type"":5}],""ActorContextId"":""77ad1bc8-acab-4148-8b4d-da7b4b75ddac"",""ActorIpAddress"":""47.152.79.2"",""InterSystemsId"":""708d7d06-a0ca-4d8b-8297-2254377a046e"",""IntraSystemId"":""fcb33243-b745-4b7f-85ae-d43f2f136123"",""SupportTicketId"":"""",""Target"":[{""ID"":""00000007-0000-0ff1-ce00-000000000000"",""Type"":0}],""TargetContextId"":""77ad1bc8-acab-4148-8b4d-da7b4b75ddac"",""ApplicationId"":""fb78d390-0c51-40cd-8e17-fdbfab77341b"",""DeviceProperties"":[{""Name"":""OS"",""Value"":""Windows10""},{""Name"":""BrowserType"",""Value"":""Edge""},{""Name"":""SessionId"",""Value"":""2b6e2ea4-fad6-45a2-8519-587f993d3258""}],""ErrorNumber"":""0""}","4","209","fcb33243-b745-4b7f-85ae-d43f2f136123","True","Unchanged"
"AzureActiveDirectoryStsLogon","2025-11-30 16:11:28","administrator@proseware.com","UserLoginFailed","{""CreationTime"":""2025-11-30T16:11:28"",""Id"":""4b9b09a6-2739-4c3a-8291-e8cdfd3276bc"",""Operation"":""UserLoginFailed"",""OrganizationId"":""77ad1bc8-acab-4148-8b4d-da7b4b75ddac"",""RecordType"":15,""ResultStatus"":""Success"",""UserKey"":""50418c34-c899-46f5-8c24-34c3341ee5d4"",""UserType"":0,""Version"":1,""Workload"":""AzureActiveDirectory"",""ClientIP"":""47.152.79.2"",""ObjectId"":""00000002-0000-0ff1-ce00-000000000000"",""UserId"":""administrator@proseware.com"",""AzureActiveDirectoryEventType"":1,""ExtendedProperties"":[{""Name"":""ResultStatusDetail"",""Value"":""Success""},{""Name"":""UserAgent"",""Value"":""Mozilla\/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/141.0.0.176 Safari\/537.36 Edg\/141.0.0.176 OS\/10.0.26200""},{""Name"":""RequestType"",""Value"":""Login:reprocess""}],""ModifiedProperties"":[],""Actor"":[{""ID"":""50418c34-c899-46f5-8c24-34c3341ee5d4"",""Type"":0},{""ID"":""administrator@proseware.com"",""Type"":5}],""ActorContextId"":""77ad1bc8-acab-4148-8b4d-da7b4b75ddac"",""ActorIpAddress"":""47.152.79.2"",""InterSystemsId"":""09d44e9c-c393-4b6c-8f86-bf7865a1d3bf"",""IntraSystemId"":""4b9b09a6-2739-4c3a-8291-e8cdfd3276bc"",""SupportTicketId"":"""",""Target"":[{""ID"":""00000002-0000-0ff1-ce00-000000000000"",""Type"":0}],""TargetContextId"":""77ad1bc8-acab-4148-8b4d-da7b4b75ddac"",""ApplicationId"":""fb78d390-0c51-40cd-8e17-fdbfab77341b"",""DeviceProperties"":[{""Name"":""OS"",""Value"":""Windows10""},{""Name"":""BrowserType"",""Value"":""Edge""},{""Name"":""SessionId"",""Value"":""1b0d2d7e-4753-401f-8681-0f534964f022""}],""ErrorNumber"":""50199"",""LogonError"":""CmsiInterrupt""}","5","209","4b9b09a6-2739-4c3a-8291-e8cdfd3276bc","True","Unchanged"
"AzureActiveDirectoryStsLogon","2025-11-30 16:11:36","administrator@proseware.com","UserLoggedIn","{""CreationTime"":""2025-11-30T16:11:36"",""Id"":""b5dfaa91-a3e4-445e-84b6-9af5e091fe8c"",""Operation"":""UserLoggedIn"",""OrganizationId"":""77ad1bc8-acab-4148-8b4d-da7b4b75ddac"",""RecordType"":15,""ResultStatus"":""Success"",""UserKey"":""50418c34-c899-46f5-8c24-34c3341ee5d4"",""UserType"":0,""Version"":1,""Workload"":""AzureActiveDirectory"",""ClientIP"":""47.152.79.2"",""ObjectId"":""00000002-0000-0ff1-ce00-000000000000"",""UserId"":""administrator@proseware.com"",""AzureActiveDirectoryEventType"":1,""ExtendedProperties"":[{""Name"":""ResultStatusDetail"",""Value"":""Success""},{""Name"":""UserAgent"",""Value"":""Mozilla\/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/141.0.0.176 Safari\/537.36 Edg\/141.0.0.176 OS\/10.0.26200""},{""Name"":""RequestType"",""Value"":""Cmsi:Cmsi""}],""ModifiedProperties"":[],""Actor"":[{""ID"":""50418c34-c899-46f5-8c24-34c3341ee5d4"",""Type"":0},{""ID"":""administrator@proseware.com"",""Type"":5}],""ActorContextId"":""77ad1bc8-acab-4148-8b4d-da7b4b75ddac"",""ActorIpAddress"":""47.152.79.2"",""InterSystemsId"":""09d44e9c-c393-4b6c-8f86-bf7865a1d3bf"",""IntraSystemId"":""b5dfaa91-a3e4-445e-84b6-9af5e091fe8c"",""SupportTicketId"":"""",""Target"":[{""ID"":""00000002-0000-0ff1-ce00-000000000000"",""Type"":0}],""TargetContextId"":""77ad1bc8-acab-4148-8b4d-da7b4b75ddac"",""ApplicationId"":""fb78d390-0c51-40cd-8e17-fdbfab77341b"",""DeviceProperties"":[{""Name"":""OS"",""Value"":""Windows10""},{""Name"":""BrowserType"",""Value"":""Edge""},{""Name"":""SessionId"",""Value"":""1b0d2d7e-4753-401f-8681-0f534964f022""}],""ErrorNumber"":""0""}","6","209","b5dfaa91-a3e4-445e-84b6-9af5e091fe8c","True","Unchanged"
"AzureActiveDirectoryStsLogon","2025-11-30 16:10:20","Not Available","UserLoggedIn","{""CreationTime"":""2025-11-30T16:10:20"",""Id"":""62d5ac57-fe32-49d0-8473-334f906b75ff"",""Operation"":""UserLoggedIn"",""OrganizationId"":""77ad1bc8-acab-4148-8b4d-da7b4b75ddac"",""RecordType"":15,""ResultStatus"":""Success"",""UserKey"":""50418c34-c899-46f5-8c24-34c3341ee5d4"",""UserType"":4,""Version"":1,""Workload"":""AzureActiveDirectory"",""ClientIP"":""47.152.79.2"",""ObjectId"":""00000007-0000-0ff1-ce00-000000000000"",""UserId"":""Not Available"",""AzureActiveDirectoryEventType"":1,""ExtendedProperties"":[{""Name"":""ResultStatusDetail"",""Value"":""Success""},{""Name"":""UserAgent"",""Value"":""Mozilla\/5.0 (Windows NT 10.0; Win64; x64; WebView\/3.0) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/70.0.3538.102 Safari\/537.36 Edge\/18.26200""},{""Name"":""RequestType"",""Value"":""SAS:BeginAuth""}],""ModifiedProperties"":[],""Actor"":[{""ID"":""50418c34-c899-46f5-8c24-34c3341ee5d4"",""Type"":0}],""ActorContextId"":""77ad1bc8-acab-4148-8b4d-da7b4b75ddac"",""ActorIpAddress"":""47.152.79.2"",""InterSystemsId"":""708d7d06-a0ca-4d8b-8297-2254377a046e"",""IntraSystemId"":""62d5ac57-fe32-49d0-8473-334f906b75ff"",""SupportTicketId"":"""",""Target"":[{""ID"":""00000007-0000-0ff1-ce00-000000000000"",""Type"":0}],""TargetContextId"":""77ad1bc8-acab-4148-8b4d-da7b4b75ddac"",""ApplicationId"":""fb78d390-0c51-40cd-8e17-fdbfab77341b"",""DeviceProperties"":[{""Name"":""OS"",""Value"":""Windows""},{""Name"":""BrowserType"",""Value"":""Edge""}],""ErrorNumber"":""0""}","7","209","62d5ac57-fe32-49d0-8473-334f906b75ff","True","Unchanged"
"AzureActiveDirectoryStsLogon","2025-11-30 16:10:19","administrator@proseware.com","UserLoginFailed","{""CreationTime"":""2025-11-30T16:10:19"",""Id"":""64d6bcd5-f87d-4c2d-860b-36cc628fc62b"",""Operation"":""UserLoginFailed"",""OrganizationId"":""77ad1bc8-acab-4148-8b4d-da7b4b75ddac"",""RecordType"":15,""ResultStatus"":""Success"",""UserKey"":""50418c34-c899-46f5-8c24-34c3341ee5d4"",""UserType"":0,""Version"":1,""Workload"":""AzureActiveDirectory"",""ClientIP"":""47.152.79.2"",""ObjectId"":""00000007-0000-0ff1-ce00-000000000000"",""UserId"":""administrator@proseware.com"",""AzureActiveDirectoryEventType"":1,""ExtendedProperties"":[{""Name"":""ResultStatusDetail"",""Value"":""Success""},{""Name"":""UserAgent"",""Value"":""Mozilla\/5.0 (Windows NT 10.0; Win64; x64; WebView\/3.0) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/70.0.3538.102 Safari\/537.36 Edge\/18.26200""},{""Name"":""UserAuthenticationMethod"",""Value"":""1""},{""Name"":""RequestType"",""Value"":""Login:login""}],""ModifiedProperties"":[],""Actor"":[{""ID"":""50418c34-c899-46f5-8c24-34c3341ee5d4"",""Type"":0},{""ID"":""administrator@proseware.com"",""Type"":5}],""ActorContextId"":""77ad1bc8-acab-4148-8b4d-da7b4b75ddac"",""ActorIpAddress"":""47.152.79.2"",""InterSystemsId"":""708d7d06-a0ca-4d8b-8297-2254377a046e"",""IntraSystemId"":""64d6bcd5-f87d-4c2d-860b-36cc628fc62b"",""SupportTicketId"":"""",""Target"":[{""ID"":""00000007-0000-0ff1-ce00-000000000000"",""Type"":0}],""TargetContextId"":""77ad1bc8-acab-4148-8b4d-da7b4b75ddac"",""ApplicationId"":""fb78d390-0c51-40cd-8e17-fdbfab77341b"",""DeviceProperties"":[{""Name"":""OS"",""Value"":""Windows10""},{""Name"":""BrowserType"",""Value"":""Edge""},{""Name"":""SessionId"",""Value"":""2b6e2ea4-fad6-45a2-8519-587f993d3258""}],""ErrorNumber"":""50074"",""LogonError"":""UserStrongAuthClientAuthNRequiredInterrupt""}","8","209","64d6bcd5-f87d-4c2d-860b-36cc628fc62b","True","Unchanged"
"AzureActiveDirectoryStsLogon","2025-11-30 16:10:50","administrator@proseware.com","UserLoggedIn","{""CreationTime"":""2025-11-30T16:10:50"",""Id"":""fcb33243-b745-4b7f-85ae-d43f2f136123"",""Operation"":""UserLoggedIn"",""OrganizationId"":""77ad1bc8-acab-4148-8b4d-da7b4b75ddac"",""RecordType"":15,""ResultStatus"":""Success"",""UserKey"":""50418c34-c899-46f5-8c24-34c3341ee5d4"",""UserType"":0,""Version"":1,""Workload"":""AzureActiveDirectory"",""ClientIP"":""47.152.79.2"",""ObjectId"":""00000007-0000-0ff1-ce00-000000000000"",""UserId"":""administrator@proseware.com"",""AzureActiveDirectoryEventType"":1,""ExtendedProperties"":[{""Name"":""ResultStatusDetail"",""Value"":""Success""},{""Name"":""UserAgent"",""Value"":""Mozilla\/5.0 (Windows NT 10.0; Win64; x64; WebView\/3.0) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/70.0.3538.102 Safari\/537.36 Edge\/18.26200""},{""Name"":""RequestType"",""Value"":""SAS:ProcessAuth""}],""ModifiedProperties"":[],""Actor"":[{""ID"":""50418c34-c899-46f5-8c24-34c3341ee5d4"",""Type"":0},{""ID"":""administrator@proseware.com"",""Type"":5}],""ActorContextId"":""77ad1bc8-acab-4148-8b4d-da7b4b75ddac"",""ActorIpAddress"":""47.152.79.2"",""InterSystemsId"":""708d7d06-a0ca-4d8b-8297-2254377a046e"",""IntraSystemId"":""fcb33243-b745-4b7f-85ae-d43f2f136123"",""SupportTicketId"":"""",""Target"":[{""ID"":""00000007-0000-0ff1-ce00-000000000000"",""Type"":0}],""TargetContextId"":""77ad1bc8-acab-4148-8b4d-da7b4b75ddac"",""ApplicationId"":""fb78d390-0c51-40cd-8e17-fdbfab77341b"",""DeviceProperties"":[{""Name"":""OS"",""Value"":""Windows10""},{""Name"":""BrowserType"",""Value"":""Edge""},{""Name"":""SessionId"",""Value"":""2b6e2ea4-fad6-45a2-8519-587f993d3258""}],""ErrorNumber"":""0""}","9","209","fcb33243-b745-4b7f-85ae-d43f2f136123","True","Unchanged"
"AzureActiveDirectoryStsLogon","2025-11-30 16:09:18","administrator@proseware.com","UserLoggedIn","{""CreationTime"":""2025-11-30T16:09:18"",""Id"":""7404ee3e-a844-40ff-8e94-17b03d943171"",""Operation"":""UserLoggedIn"",""OrganizationId"":""77ad1bc8-acab-4148-8b4d-da7b4b75ddac"",""RecordType"":15,""ResultStatus"":""Success"",""UserKey"":""50418c34-c899-46f5-8c24-34c3341ee5d4"",""UserType"":0,""Version"":1,""Workload"":""AzureActiveDirectory"",""ClientIP"":""47.152.79.2"",""ObjectId"":""00000003-0000-0000-c000-000000000000"",""UserId"":""administrator@proseware.com"",""AzureActiveDirectoryEventType"":1,""ExtendedProperties"":[{""Name"":""ResultStatusDetail"",""Value"":""Redirect""},{""Name"":""UserAgent"",""Value"":""Mozilla\/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/141.0.0.176 Safari\/537.36 Edg\/141.0.0.176 OS\/10.0.26200""},{""Name"":""RequestType"",""Value"":""Consent:Set""}],""ModifiedProperties"":[],""Actor"":[{""ID"":""50418c34-c899-46f5-8c24-34c3341ee5d4"",""Type"":0},{""ID"":""administrator@proseware.com"",""Type"":5}],""ActorContextId"":""77ad1bc8-acab-4148-8b4d-da7b4b75ddac"",""ActorIpAddress"":""47.152.79.2"",""InterSystemsId"":""4649c323-dfed-4209-8133-49bd83172767"",""IntraSystemId"":""7404ee3e-a844-40ff-8e94-17b03d943171"",""SupportTicketId"":"""",""Target"":[{""ID"":""00000003-0000-0000-c000-000000000000"",""Type"":0}],""TargetContextId"":""77ad1bc8-acab-4148-8b4d-da7b4b75ddac"",""ApplicationId"":""da433143-109e-4992-863f-24df70515103"",""DeviceProperties"":[{""Name"":""OS"",""Value"":""Windows10""},{""Name"":""BrowserType"",""Value"":""Edge""},{""Name"":""SessionId"",""Value"":""1b0d2d7e-4753-401f-8681-0f534964f022""}],""ErrorNumber"":""0""}","10","209","7404ee3e-a844-40ff-8e94-17b03d943171","True","Unchanged"
