"DateUTC","DateOnly","TimeOnly","User","Username","IPaddress","City","Region","Country","Status","SignInErrorCode","UserType","AuthRequirement","ConditionalAccess","TokenType","Application","ApplicationID","Resource","ResourceID","FailureReason","ClientApp","DeviceID","Browser","OS","UserAgent","Compliant","Managed","JoinType","Latency","MFAResult","MFAMethod","MFADetail","SignInIdentifier","SessionID","AuthenticationProtocol","UniqueToken","TransferMethod","ClientCredential","TokenProtectionSession","TokenProtectionStatusCode","CorrelationID","IP_Country_geolite2local","IP_Region_geolite2local","IP_City_geolite2local","IP_ISP_geolite2local","IP_Org_geolite2local","IP_Type_geolite2local","IP_Score_geolite2local","IP_ASN_geolite2local","IP_Range_geolite2local","IP_Country_ipapiis","IP_Region_ipapiis","IP_City_ipapiis","IP_ISP_ipapiis","IP_Org_ipapiis","IP_Type_ipapiis","IP_Score_ipapiis","IP_ASN_ipapiis","IP_Range_ipapiis","IP_Country_scamalytics","IP_Region_scamalytics","IP_City_scamalytics","IP_ISP_scamalytics","IP_Org_scamalytics","IP_Type_scamalytics","IP_Score_scamalytics","IP_ASN_scamalytics","IP_Range_scamalytics","IP_Country_findipnet","IP_Region_findipnet","IP_City_findipnet","IP_ISP_findipnet","IP_Org_findipnet","IP_Type_findipnet","IP_Score_findipnet","IP_ASN_findipnet","IP_Range_findipnet"
"2025-11-30T16:01:08Z","2025-11-30","16:01:08","Proseware","administrator@proseware.com","2600:1700:e420:e82c:b7dd:8261:c12a:4ebc","Linden 1"," North Province"," US","Success","","member","Multifactor authentication","Not Applied","none","Exchange Admin Center","a17e2ede-63c2-4a8d-821f-dcbb331c59f2","Microsoft Graph","00000003-0000-0000-c000-000000000000","Other.","Browser","","Chrome 141.0.0","Windows10","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.176 Safari/537.36","FALSE","FALSE","","71","MFA requirement satisfied by claim in the token","","","","637941c0-46bc-496e-8f01-75522d942e3b","none","UoO4T_rhdEKlVIQuEmgFAA","none","none","unbound","1002","2b2aedd8-1dbf-4b7f-8cac-20467996d63a","US","Georgia","Valdosta","""AT&T Enterprises, LLC""","""AT&T Enterprises, LLC""","","","AS7018","2600:1700:e240:5151::-2600:1700:e530:d70f:ffff:ffff:ffff:ffff","US","Georgia","Valdosta","AT&T Enterprises, LLC","AT&T Enterprises, LLC","","0.0001 (Very Low)","7018","2600:1700::/28","","","","","","","5","","","US","Georgia, Lowndes","Remerton","AT&T Enterprises, LLC","AT&T Internet Services","business","","",""
"2025-11-30T16:00:44Z","2025-11-30","16:00:44","King Young","mark@proseware.com","84.239.10.234","Clearwater"," North Province"," US","Failure","50057","member","Single-factor authentication","Not Applied","none","One Outlook Web","89a3c347-cde1-43f5-8699-daa820092d58","Office 365 Exchange Online","00000002-0000-0ff1-ce00-000000000000","The user account is disabled.","Browser","","Firefox 144.0","Windows10","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:144.0) Gecko/20100101 Firefox/144.0","FALSE","FALSE","","834","https://learn.microsoft.com/troubleshoot/azure/entra/entra-id/app-ruth/error-code-aadsts50057-user-account-is-disabled","","","","6160d0eb-f299-4637-8741-97647c1d2139","none","cngynhZPN06x99QT1kdVAA","none","none","unbound","1002","12e70e96-f2fa-4af5-8f5d-8ef4d1b666d3","US","Virginia","Virginia Beach","Datacamp Limited","Datacamp Limited","","","AS212238","84.239.10.0-84.239.10.255","US","Tennessee","Nashville","Datacamp Limited","INVITE Systems SRL","""is_datacenter""","0.0269 (Elevated)","212238","84.239.10.0/24","","","","","","","69","","","US","Virginia, Virginia Beach","Virginia Beach","Datacamp Limited","BINBOX Virginia Beach","hosting","","",""
"2025-11-30T15:56:07Z","2025-11-30","15:56:07","Proseware","administrator@proseware.com","2600:1700:e420:e82c:b7dd:8261:c12a:4ebc","Linden 1"," North Province"," US","Success","","member","Multifactor authentication","Not Applied","none","Azure Portal","c44b4083-3bb0-49c1-b47d-974e53cbdf3c","Azure Resource Manager","a67c7ab8-8500-4c92-8dc2-c2eb88761e1b","Other.","Browser","","Chrome 141.0.0","Windows10","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.176 Safari/537.36","FALSE","FALSE","","192","MFA requirement satisfied by claim in the token","","","","637941c0-46bc-496e-8f01-75522d942e3b","none","qMHx6RgzPkeoWKmF7PkjAA","none","none","unbound","1002","5de0f584-f8ad-44ec-8fb8-4559ca87d409","US","Georgia","Valdosta","""AT&T Enterprises, LLC""","""AT&T Enterprises, LLC""","","","AS7018","2600:1700:e240:5151::-2600:1700:e530:d70f:ffff:ffff:ffff:ffff","US","Georgia","Valdosta","AT&T Enterprises, LLC","AT&T Enterprises, LLC","","0.0001 (Very Low)","7018","2600:1700::/28","","","","","","","5","","","US","Georgia, Lowndes","Remerton","AT&T Enterprises, LLC","AT&T Internet Services","business","","",""
"2025-11-30T15:55:56Z","2025-11-30","15:55:56","Proseware","administrator@proseware.com","2600:1700:e420:e82c:b7dd:8261:c12a:4ebc","Linden 1"," North Province"," US","Success","","member","Multifactor authentication","Not Applied","none","Microsoft 365 Admin portal","a5c99414-2db9-40a7-8e31-af64dc1ad203","Microsoft Graph","00000003-0000-0000-c000-000000000000","Other.","Browser","","Chrome 141.0.0","Windows10","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.176 Safari/537.36","FALSE","FALSE","","95","MFA requirement satisfied by claim in the token","","","","637941c0-46bc-496e-8f01-75522d942e3b","none","nKR25UnZO0uprVQgtgc1AA","none","none","unbound","1002","44c6be52-8a4e-45dc-8b4b-ffb12be8b0cc","US","Georgia","Valdosta","""AT&T Enterprises, LLC""","""AT&T Enterprises, LLC""","","","AS7018","2600:1700:e240:5151::-2600:1700:e530:d70f:ffff:ffff:ffff:ffff","US","Georgia","Valdosta","AT&T Enterprises, LLC","AT&T Enterprises, LLC","","0.0001 (Very Low)","7018","2600:1700::/28","","","","","","","5","","","US","Georgia, Lowndes","Remerton","AT&T Enterprises, LLC","AT&T Internet Services","business","","",""
"2025-11-30T15:55:51Z","2025-11-30","15:55:51","Proseware","administrator@proseware.com","2600:1700:e420:e82c:b7dd:8261:c12a:4ebc","Linden 1"," North Province"," US","Success","","member","Multifactor authentication","Not Applied","none","Microsoft Exchange REST API Based Powershell","fb78d390-0c51-40cd-8e17-fdbfab77341b","Office 365 Exchange Online","00000002-0000-0ff1-ce00-000000000000","Other.","Mobile Apps and Desktop clients","","IE 7.0","Windows10","Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 10.0; Win64; x64; Trident/7.0; .NET4.0C; .NET4.0E; Matthew4 3.6.0; Matthew4 3.6.0)","FALSE","FALSE","","45","MFA completed in Azure AD","OATH ramos3 code","","administrator@proseware.com","04e7be23-815c-41a7-81c9-cbfd4da0b2bf","none","q5lRM1-0mUyzTQW-yEuGAA","none","none","unbound","1002","7a023727-181b-4fd7-831a-61d7313c3383","US","Georgia","Valdosta","""AT&T Enterprises, LLC""","""AT&T Enterprises, LLC""","","","AS7018","2600:1700:e240:5151::-2600:1700:e530:d70f:ffff:ffff:ffff:ffff","US","Georgia","Valdosta","AT&T Enterprises, LLC","AT&T Enterprises, LLC","","0.0001 (Very Low)","7018","2600:1700::/28","","","","","","","5","","","US","Georgia, Lowndes","Remerton","AT&T Enterprises, LLC","AT&T Internet Services","business","","",""
"2025-11-30T15:55:15Z","2025-11-30","15:55:15","Proseware","administrator@proseware.com","2600:1700:e420:e82c:b7dd:8261:c12a:4ebc","Linden 1"," North Province"," US","Success","","member","Multifactor authentication","Not Applied","none","OfficeHome","4765445b-32c6-49b0-83e6-1d93765276ca","OfficeHome","4765445b-32c6-49b0-83e6-1d93765276ca","Other.","Browser","","Chrome 141.0.0","Windows10","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.176 Safari/537.36","FALSE","FALSE","","94","MFA requirement satisfied by claim in the token","","","","637941c0-46bc-496e-8f01-75522d942e3b","none","MRXrust55kqauwaG6HQmAA","none","none","unbound","1002","650a88c4-8b94-404b-82ad-e59e0147cf9f","US","Georgia","Valdosta","""AT&T Enterprises, LLC""","""AT&T Enterprises, LLC""","","","AS7018","2600:1700:e240:5151::-2600:1700:e530:d70f:ffff:ffff:ffff:ffff","US","Georgia","Valdosta","AT&T Enterprises, LLC","AT&T Enterprises, LLC","","0.0001 (Very Low)","7018","2600:1700::/28","","","","","","","5","","","US","Georgia, Lowndes","Remerton","AT&T Enterprises, LLC","AT&T Internet Services","business","","",""
"2025-11-30T15:55:14Z","2025-11-30","15:55:14","Proseware","administrator@proseware.com","2600:1700:e420:e82c:b7dd:8261:c12a:4ebc","Linden 1"," North Province"," US","Success","","member","Multifactor authentication","Not Applied","none","OfficeHome","4765445b-32c6-49b0-83e6-1d93765276ca","OfficeHome","4765445b-32c6-49b0-83e6-1d93765276ca","Other.","Browser","","Chrome 141.0.0","Windows10","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.176 Safari/537.36","FALSE","FALSE","","84","MFA requirement satisfied by claim in the token","","","administrator@proseware.com","637941c0-46bc-496e-8f01-75522d942e3b","none","nKR25UnZO0uprVQgkv40AA","none","none","unbound","1002","650a88c4-8b94-404b-82ad-e59e0147cf9f","US","Georgia","Valdosta","""AT&T Enterprises, LLC""","""AT&T Enterprises, LLC""","","","AS7018","2600:1700:e240:5151::-2600:1700:e530:d70f:ffff:ffff:ffff:ffff","US","Georgia","Valdosta","AT&T Enterprises, LLC","AT&T Enterprises, LLC","","0.0001 (Very Low)","7018","2600:1700::/28","","","","","","","5","","","US","Georgia, Lowndes","Remerton","AT&T Enterprises, LLC","AT&T Internet Services","business","","",""
"2025-11-30T15:55:11Z","2025-11-30","15:55:11","Proseware","administrator@proseware.com","2600:1700:e420:e82c:b7dd:8261:c12a:4ebc","Linden 1"," North Province"," US","Interrupted","50140","member","Multifactor authentication","Not Applied","none","OfficeHome","4765445b-32c6-49b0-83e6-1d93765276ca","OfficeHome","4765445b-32c6-49b0-83e6-1d93765276ca","This occurred due to 'Keep me signed in' interrupt when the user was signing in.","Browser","","Chrome 141.0.0","Windows10","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.176 Safari/537.36","FALSE","FALSE","","58","This is an expected part of the login flow, where a user is asked if they want to remain signed into this browser to make further perez2 easier. For more details, see https://techcommunity.microsoft.com/t5/microsoft-entra/the-new-azure-ad-sign-in-and-keep-me-signed-in-experiences/td-p/128267","OATH ramos3 code","","administrator@proseware.com","637941c0-46bc-496e-8f01-75522d942e3b","none","lvFPKcVRYEycJfiT_2srAQ","none","none","unbound","1002","650a88c4-8b94-404b-82ad-e59e0147cf9f","US","Georgia","Valdosta","""AT&T Enterprises, LLC""","""AT&T Enterprises, LLC""","","","AS7018","2600:1700:e240:5151::-2600:1700:e530:d70f:ffff:ffff:ffff:ffff","US","Georgia","Valdosta","AT&T Enterprises, LLC","AT&T Enterprises, LLC","","0.0001 (Very Low)","7018","2600:1700::/28","","","","","","","5","","","US","Georgia, Lowndes","Remerton","AT&T Enterprises, LLC","AT&T Internet Services","business","","",""
"2025-11-30T15:05:56Z","2025-11-30","15:05:56","King Young","mark@proseware.com","84.239.10.234","Clearwater"," North Province"," US","Success","","member","Single-factor authentication","Not Applied","none","SharePoint Online Web Client Extensibility","68da7807-63e0-4c5c-8e04-a31f2b81ae44","Microsoft Graph","00000003-0000-0000-c000-000000000000","Other.","Browser","","Firefox 144.0","Windows10","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:144.0) Gecko/20100101 Firefox/144.0","FALSE","FALSE","","90","","","","","6160d0eb-f299-4637-8741-97647c1d2139","none","TejhN8GGLU6XwDdm5gGJAA","none","none","unbound","1002","e752926d-1715-47c9-8ec4-ab8717635a25","US","Virginia","Virginia Beach","Datacamp Limited","Datacamp Limited","","","AS212238","84.239.10.0-84.239.10.255","US","Tennessee","Nashville","Datacamp Limited","INVITE Systems SRL","""is_datacenter""","0.0269 (Elevated)","212238","84.239.10.0/24","","","","","","","69","","","US","Virginia, Virginia Beach","Virginia Beach","Datacamp Limited","BINBOX Virginia Beach","hosting","","",""
"2025-11-30T15:05:55Z","2025-11-30","15:05:55","King Young","mark@proseware.com","84.239.10.234","Clearwater"," North Province"," US","Success","","member","Single-factor authentication","Not Applied","none","SharePoint Online Web Client Extensibility","68da7807-63e0-4c5c-8e04-a31f2b81ae44","Microsoft Graph","00000003-0000-0000-c000-000000000000","Other.","Browser","","Firefox 144.0","Windows10","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:144.0) Gecko/20100101 Firefox/144.0","FALSE","FALSE","","125","","","","","6160d0eb-f299-4637-8741-97647c1d2139","none","XSOQkOYyG0Cf6QWvPEYAAA","none","none","unbound","1002","e752926d-1715-47c9-8ec4-ab8717635a25","US","Virginia","Virginia Beach","Datacamp Limited","Datacamp Limited","","","AS212238","84.239.10.0-84.239.10.255","US","Tennessee","Nashville","Datacamp Limited","INVITE Systems SRL","""is_datacenter""","0.0269 (Elevated)","212238","84.239.10.0/24","","","","","","","69","","","US","Virginia, Virginia Beach","Virginia Beach","Datacamp Limited","BINBOX Virginia Beach","hosting","","",""
"2025-11-30T15:01:58Z","2025-11-30","15:01:58","King Young","mark@proseware.com","84.239.10.234","Clearwater"," North Province"," US","Success","","member","Single-factor authentication","Not Applied","none","OfficeHome","4765445b-32c6-49b0-83e6-1d93765276ca","OfficeHome","4765445b-32c6-49b0-83e6-1d93765276ca","Other.","Browser","","Firefox 144.0","Windows10","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:144.0) Gecko/20100101 Firefox/144.0","FALSE","FALSE","","56","","","","","6160d0eb-f299-4637-8741-97647c1d2139","none","hiPfUF_-FE-DLLiaCgRHAA","none","none","unbound","1002","d1ba5dc6-d438-4b77-8c0d-0f8b30ce9676","US","Virginia","Virginia Beach","Datacamp Limited","Datacamp Limited","","","AS212238","84.239.10.0-84.239.10.255","US","Tennessee","Nashville","Datacamp Limited","INVITE Systems SRL","""is_datacenter""","0.0269 (Elevated)","212238","84.239.10.0/24","","","","","","","69","","","US","Virginia, Virginia Beach","Virginia Beach","Datacamp Limited","BINBOX Virginia Beach","hosting","","",""
"2025-11-30T15:01:55Z","2025-11-30","15:01:55","King Young","mark@proseware.com","84.239.10.234","Clearwater"," North Province"," US","Success","","member","Single-factor authentication","Not Applied","none","Office 365 SharePoint Online","00000003-0000-0ff1-ce00-000000000000","Office 365 SharePoint Online","00000003-0000-0ff1-ce00-000000000000","Other.","Browser","","Firefox 144.0","Windows10","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:144.0) Gecko/20100101 Firefox/144.0","FALSE","FALSE","","88","","","","","6160d0eb-f299-4637-8741-97647c1d2139","none","x_JkDf-s1Uu7-P5rr_gEAA","none","none","unbound","1002","817fa813-a851-44af-8811-d355506cf25d","US","Virginia","Virginia Beach","Datacamp Limited","Datacamp Limited","","","AS212238","84.239.10.0-84.239.10.255","US","Tennessee","Nashville","Datacamp Limited","INVITE Systems SRL","""is_datacenter""","0.0269 (Elevated)","212238","84.239.10.0/24","","","","","","","69","","","US","Virginia, Virginia Beach","Virginia Beach","Datacamp Limited","BINBOX Virginia Beach","hosting","","",""
