"UserId","Operation","Recordtypes","CreationTime","Id","OrganizationId","ResultStatus","UserKey","UserType","Version","Workload","ClientIP","ObjectId","AzureActiveDirectoryEventType","ExtendedProperties.1.Name","ExtendedProperties.1.Value","ExtendedProperties.2.Name","ExtendedProperties.2.Value","ExtendedProperties.3.Name","ExtendedProperties.3.Value","ModifiedProperties","Actor.1.ID","Actor.1.Type","Actor.2.ID","Actor.2.Type","ActorContextId","ActorIpAddress","InterSystemsId","IntraSystemId","SupportTicketId","Target.1.ID","Target.1.Type","TargetContextId","ApplicationId","DeviceProperties.1.Name","DeviceProperties.1.Value","DeviceProperties.2.Name","DeviceProperties.2.Value","DeviceProperties.3.Name","DeviceProperties.3.Value","ErrorNumber","ExtendedProperties.4.Name","ExtendedProperties.4.Value","ExtendedProperties.5.Name","ExtendedProperties.5.Value","DeviceProperties.4.Name","DeviceProperties.4.Value","DeviceProperties.5.Name","DeviceProperties.5.Value","DeviceProperties.6.Name","DeviceProperties.6.Value","LogonError","IP_Country_geolite2local","IP_Region_geolite2local","IP_City_geolite2local","IP_ISP_geolite2local","IP_Org_geolite2local","IP_Type_geolite2local","IP_Score_geolite2local","IP_ASN_geolite2local","IP_Range_geolite2local","IP_Country_ipapiis","IP_Region_ipapiis","IP_City_ipapiis","IP_ISP_ipapiis","IP_Org_ipapiis","IP_Type_ipapiis","IP_Score_ipapiis","IP_ASN_ipapiis","IP_Range_ipapiis","IP_Country_scamalytics","IP_Region_scamalytics","IP_City_scamalytics","IP_ISP_scamalytics","IP_Org_scamalytics","IP_Type_scamalytics","IP_Score_scamalytics","IP_ASN_scamalytics","IP_Range_scamalytics","IP_Country_findipnet","IP_Region_findipnet","IP_City_findipnet","IP_ISP_findipnet","IP_Org_findipnet","IP_Type_findipnet","IP_Score_findipnet","IP_ASN_findipnet","IP_Range_findipnet"
"morales2@proseware.com","UserLoggedIn","15","2025-11-30T19:19:35","10e9a04a-20a7-4825-87b1-596f046bc802","77ad1bc8-acab-4148-8b4d-da7b4b75ddac","Success","137a0cf7-c356-4be2-83a5-74085cc0edff","0","1","AzureActiveDirectory","2600:1004:b25d:d852:928c:736:ef42:a4d0","00000003-0000-0000-c000-000000000000","1","ResultStatusDetail","Redirect","UserAgent","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Safari/605.1.15","RequestType","OAuth2:Authorize","","137a0cf7-c356-4be2-83a5-74085cc0edff","0","morales2@proseware.com","5","77ad1bc8-acab-4148-8b4d-da7b4b75ddac","2600:1004:b25d:d852:928c:736:ef42:a4d0","c9af24a6-ea73-4cae-8209-c1ca8d1009f9","10e9a04a-20a7-4825-87b1-596f046bc802","","00000003-0000-0000-c000-000000000000","0","77ad1bc8-acab-4148-8b4d-da7b4b75ddac","89a3c347-cde1-43f5-8699-daa820092d58","OS","MacOs","BrowserType","Safari","SessionId","ee71392c-2499-4c19-8a12-b841ba6b9e25","0","","","","","","","","","","","","US","North Carolina","Charlotte","Verizon Business","Verizon Business","","","AS6167","2600:1004:b238::-2600:1004:b2b0:ffff:ffff:ffff:ffff:ffff","US","North Carolina","Charlotte","Verizon Business","Verizon Business","""is_mobile""","0.0001 (Very Low)","6167","2600:1004:b250::/44","","","","","","","4","","","US","South Carolina, Lexington","Chapin","Verizon Business","Verizon Business","cellular","","",""
"ramos@proseware.com","UserLoginFailed","15","2025-11-30T18:46:39","82f3e9fb-401b-47d0-837c-4029db76ec1c","77ad1bc8-acab-4148-8b4d-da7b4b75ddac","Success","9d1a899d-8948-42b1-8e28-39013feb9812","0","1","AzureActiveDirectory","98.170.57.105","4765445b-32c6-49b0-83e6-1d93765276ca","1","ResultStatusDetail","Success","UserAgent","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/116.0","UserAuthenticationMethod","1","","9d1a899d-8948-42b1-8e28-39013feb9812","0","ramos@proseware.com","5","77ad1bc8-acab-4148-8b4d-da7b4b75ddac","98.170.57.105","940d6b6c-d59f-4bd9-85da-5144506d6aaf","82f3e9fb-401b-47d0-837c-4029db76ec1c","","4765445b-32c6-49b0-83e6-1d93765276ca","0","77ad1bc8-acab-4148-8b4d-da7b4b75ddac","4765445b-32c6-49b0-83e6-1d93765276ca","OS","Windows10","BrowserType","Firefox","","","50126","RequestType","Login:login","","","","","","","","","InvalidUserNameOrPassword","US","","","Cox Communications Inc.","Cox Communications Inc.","","","AS22773","98.169.248.136-98.170.167.107","US","New York","New York City","Cox Communications Inc.","Cox Communications","","0.0004 (Very Low)","22773","98.160.0.0/11","","","","","","","14","","","US","Georgia, Fulton","Atlanta (Perimeter Center)","Cox Communications Inc.","Cox Communications","business","","",""
"administrator@proseware.com","UserLoggedIn","15","2025-11-30T16:11:36","b5dfaa91-a3e4-445e-84b6-9af5e091fe8c","77ad1bc8-acab-4148-8b4d-da7b4b75ddac","Success","50418c34-c899-46f5-8c24-34c3341ee5d4","0","1","AzureActiveDirectory","47.152.79.2","00000002-0000-0ff1-ce00-000000000000","1","ResultStatusDetail","Success","UserAgent","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.176 Safari/537.36 Edg/141.0.0.176 OS/10.0.26200","RequestType","Cmsi:Cmsi","","50418c34-c899-46f5-8c24-34c3341ee5d4","0","administrator@proseware.com","5","77ad1bc8-acab-4148-8b4d-da7b4b75ddac","47.152.79.2","09d44e9c-c393-4b6c-8f86-bf7865a1d3bf","b5dfaa91-a3e4-445e-84b6-9af5e091fe8c","","00000002-0000-0ff1-ce00-000000000000","0","77ad1bc8-acab-4148-8b4d-da7b4b75ddac","fb78d390-0c51-40cd-8e17-fdbfab77341b","OS","Windows10","BrowserType","Edge","SessionId","1b0d2d7e-4753-401f-8681-0f534964f022","0","","","","","","","","","","","","US","California","Redlands","""Frontier Communications of America, Inc.""","""Frontier Communications of America, Inc.""","","","AS5650","47.152.60.194-47.152.91.108","US","California","San Bernardino","Frontier Communications of America, Inc.","Frontier Communications Corporation","","0.0001 (Very Low)","5650","47.152.0.0/14","","","","","","","","","","US","California, San Bernardino","Mentone","Frontier Communications Solutions","FTR3 FIOS-D Mentone CA","residential","","",""
"administrator@proseware.com","UserLoginFailed","15","2025-11-30T16:11:28","4b9b09a6-2739-4c3a-8291-e8cdfd3276bc","77ad1bc8-acab-4148-8b4d-da7b4b75ddac","Success","50418c34-c899-46f5-8c24-34c3341ee5d4","0","1","AzureActiveDirectory","47.152.79.2","00000002-0000-0ff1-ce00-000000000000","1","ResultStatusDetail","Success","UserAgent","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.176 Safari/537.36 Edg/141.0.0.176 OS/10.0.26200","RequestType","Login:reprocess","","50418c34-c899-46f5-8c24-34c3341ee5d4","0","administrator@proseware.com","5","77ad1bc8-acab-4148-8b4d-da7b4b75ddac","47.152.79.2","09d44e9c-c393-4b6c-8f86-bf7865a1d3bf","4b9b09a6-2739-4c3a-8291-e8cdfd3276bc","","00000002-0000-0ff1-ce00-000000000000","0","77ad1bc8-acab-4148-8b4d-da7b4b75ddac","fb78d390-0c51-40cd-8e17-fdbfab77341b","OS","Windows10","BrowserType","Edge","SessionId","1b0d2d7e-4753-401f-8681-0f534964f022","50199","","","","","","","","","","","CmsiInterrupt","US","California","Redlands","""Frontier Communications of America, Inc.""","""Frontier Communications of America, Inc.""","","","AS5650","47.152.60.194-47.152.91.108","US","California","San Bernardino","Frontier Communications of America, Inc.","Frontier Communications Corporation","","0.0001 (Very Low)","5650","47.152.0.0/14","","","","","","","","","","US","California, San Bernardino","Mentone","Frontier Communications Solutions","FTR3 FIOS-D Mentone CA","residential","","",""
"administrator@proseware.com","UserLoggedIn","15","2025-11-30T16:10:50","fcb33243-b745-4b7f-85ae-d43f2f136123","77ad1bc8-acab-4148-8b4d-da7b4b75ddac","Success","50418c34-c899-46f5-8c24-34c3341ee5d4","0","1","AzureActiveDirectory","47.152.79.2","00000007-0000-0ff1-ce00-000000000000","1","ResultStatusDetail","Success","UserAgent","Mozilla/5.0 (Windows NT 10.0; Win64; x64; WebView/3.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.26200","UserAuthenticationMethod","1","","50418c34-c899-46f5-8c24-34c3341ee5d4","0","administrator@proseware.com","5","77ad1bc8-acab-4148-8b4d-da7b4b75ddac","47.152.79.2","708d7d06-a0ca-4d8b-8297-2254377a046e","fcb33243-b745-4b7f-85ae-d43f2f136123","","00000007-0000-0ff1-ce00-000000000000","0","77ad1bc8-acab-4148-8b4d-da7b4b75ddac","fb78d390-0c51-40cd-8e17-fdbfab77341b","OS","Windows10","BrowserType","Edge","SessionId","2b6e2ea4-fad6-45a2-8519-587f993d3258","0","RequestType","SAS:ProcessAuth","","","","","","","","","","US","California","Redlands","""Frontier Communications of America, Inc.""","""Frontier Communications of America, Inc.""","","","AS5650","47.152.60.194-47.152.91.108","US","California","San Bernardino","Frontier Communications of America, Inc.","Frontier Communications Corporation","","0.0001 (Very Low)","5650","47.152.0.0/14","","","","","","","","","","US","California, San Bernardino","Mentone","Frontier Communications Solutions","FTR3 FIOS-D Mentone CA","residential","","",""
"Not Available","UserLoggedIn","15","2025-11-30T16:10:49","66040382-bcdc-40ce-84df-f47f899710cb","77ad1bc8-acab-4148-8b4d-da7b4b75ddac","Success","50418c34-c899-46f5-8c24-34c3341ee5d4","4","1","AzureActiveDirectory","47.152.79.2","00000007-0000-0ff1-ce00-000000000000","1","ResultStatusDetail","Success","UserAgent","Mozilla/5.0 (Windows NT 10.0; Win64; x64; WebView/3.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.26200","RequestType","SAS:EndAuth","","50418c34-c899-46f5-8c24-34c3341ee5d4","0","","","77ad1bc8-acab-4148-8b4d-da7b4b75ddac","47.152.79.2","708d7d06-a0ca-4d8b-8297-2254377a046e","66040382-bcdc-40ce-84df-f47f899710cb","","00000007-0000-0ff1-ce00-000000000000","0","77ad1bc8-acab-4148-8b4d-da7b4b75ddac","fb78d390-0c51-40cd-8e17-fdbfab77341b","OS","Windows","BrowserType","Edge","","","0","","","","","","","","","","","","US","California","Redlands","""Frontier Communications of America, Inc.""","""Frontier Communications of America, Inc.""","","","AS5650","47.152.60.194-47.152.91.108","US","California","San Bernardino","Frontier Communications of America, Inc.","Frontier Communications Corporation","","0.0001 (Very Low)","5650","47.152.0.0/14","","","","","","","","","","US","California, San Bernardino","Mentone","Frontier Communications Solutions","FTR3 FIOS-D Mentone CA","residential","","",""
"Not Available","UserLoginFailed","15","2025-11-30T16:10:34","dd8aa794-4339-4a9d-86f2-baadee3933a1","77ad1bc8-acab-4148-8b4d-da7b4b75ddac","Failed","50418c34-c899-46f5-8c24-34c3341ee5d4","4","1","AzureActiveDirectory","47.152.79.2","00000007-0000-0ff1-ce00-000000000000","1","ResultStatusDetail","UserError","UserAgent","Mozilla/5.0 (Windows NT 10.0; Win64; x64; WebView/3.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.26200","RequestType","SAS:EndAuth","","50418c34-c899-46f5-8c24-34c3341ee5d4","0","","","77ad1bc8-acab-4148-8b4d-da7b4b75ddac","47.152.79.2","708d7d06-a0ca-4d8b-8297-2254377a046e","dd8aa794-4339-4a9d-86f2-baadee3933a1","","00000007-0000-0ff1-ce00-000000000000","0","77ad1bc8-acab-4148-8b4d-da7b4b75ddac","fb78d390-0c51-40cd-8e17-fdbfab77341b","OS","Windows","BrowserType","Edge","","","500121","","","","","","","","","","","AuthenticationFailedSasError","US","California","Redlands","""Frontier Communications of America, Inc.""","""Frontier Communications of America, Inc.""","","","AS5650","47.152.60.194-47.152.91.108","US","California","San Bernardino","Frontier Communications of America, Inc.","Frontier Communications Corporation","","0.0001 (Very Low)","5650","47.152.0.0/14","","","","","","","","","","US","California, San Bernardino","Mentone","Frontier Communications Solutions","FTR3 FIOS-D Mentone CA","residential","","",""
"Not Available","UserLoggedIn","15","2025-11-30T16:10:20","62d5ac57-fe32-49d0-8473-334f906b75ff","77ad1bc8-acab-4148-8b4d-da7b4b75ddac","Success","50418c34-c899-46f5-8c24-34c3341ee5d4","4","1","AzureActiveDirectory","47.152.79.2","00000007-0000-0ff1-ce00-000000000000","1","ResultStatusDetail","Success","UserAgent","Mozilla/5.0 (Windows NT 10.0; Win64; x64; WebView/3.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.26200","RequestType","SAS:BeginAuth","","50418c34-c899-46f5-8c24-34c3341ee5d4","0","","","77ad1bc8-acab-4148-8b4d-da7b4b75ddac","47.152.79.2","708d7d06-a0ca-4d8b-8297-2254377a046e","62d5ac57-fe32-49d0-8473-334f906b75ff","","00000007-0000-0ff1-ce00-000000000000","0","77ad1bc8-acab-4148-8b4d-da7b4b75ddac","fb78d390-0c51-40cd-8e17-fdbfab77341b","OS","Windows","BrowserType","Edge","","","0","","","","","","","","","","","","US","California","Redlands","""Frontier Communications of America, Inc.""","""Frontier Communications of America, Inc.""","","","AS5650","47.152.60.194-47.152.91.108","US","California","San Bernardino","Frontier Communications of America, Inc.","Frontier Communications Corporation","","0.0001 (Very Low)","5650","47.152.0.0/14","","","","","","","","","","US","California, San Bernardino","Mentone","Frontier Communications Solutions","FTR3 FIOS-D Mentone CA","residential","","",""
"administrator@proseware.com","UserLoginFailed","15","2025-11-30T16:10:19","64d6bcd5-f87d-4c2d-860b-36cc628fc62b","77ad1bc8-acab-4148-8b4d-da7b4b75ddac","Success","50418c34-c899-46f5-8c24-34c3341ee5d4","0","1","AzureActiveDirectory","47.152.79.2","00000007-0000-0ff1-ce00-000000000000","1","ResultStatusDetail","Success","UserAgent","Mozilla/5.0 (Windows NT 10.0; Win64; x64; WebView/3.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.26200","UserAuthenticationMethod","1","","50418c34-c899-46f5-8c24-34c3341ee5d4","0","administrator@proseware.com","5","77ad1bc8-acab-4148-8b4d-da7b4b75ddac","47.152.79.2","708d7d06-a0ca-4d8b-8297-2254377a046e","64d6bcd5-f87d-4c2d-860b-36cc628fc62b","","00000007-0000-0ff1-ce00-000000000000","0","77ad1bc8-acab-4148-8b4d-da7b4b75ddac","fb78d390-0c51-40cd-8e17-fdbfab77341b","OS","Windows10","BrowserType","Edge","SessionId","2b6e2ea4-fad6-45a2-8519-587f993d3258","50074","RequestType","Login:login","","","","","","","","","UserStrongAuthClientAuthNRequiredInterrupt","US","California","Redlands","""Frontier Communications of America, Inc.""","""Frontier Communications of America, Inc.""","","","AS5650","47.152.60.194-47.152.91.108","US","California","San Bernardino","Frontier Communications of America, Inc.","Frontier Communications Corporation","","0.0001 (Very Low)","5650","47.152.0.0/14","","","","","","","","","","US","California, San Bernardino","Mentone","Frontier Communications Solutions","FTR3 FIOS-D Mentone CA","residential","","",""
"administrator@proseware.com","UserLoggedIn","15","2025-11-30T16:09:25","f1831565-aad8-4ef9-8074-fecca5a77e32","77ad1bc8-acab-4148-8b4d-da7b4b75ddac","Success","50418c34-c899-46f5-8c24-34c3341ee5d4","0","1","AzureActiveDirectory","47.152.79.2","00000003-0000-0000-c000-000000000000","1","ResultStatusDetail","Redirect","UserAgent","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.176 Safari/537.36 Edg/141.0.0.176 OS/10.0.26200","RequestType","Login:reprocess","","50418c34-c899-46f5-8c24-34c3341ee5d4","0","administrator@proseware.com","5","77ad1bc8-acab-4148-8b4d-da7b4b75ddac","47.152.79.2","f67820f8-bae2-4b50-8033-046a0f7c9f12","f1831565-aad8-4ef9-8074-fecca5a77e32","","00000003-0000-0000-c000-000000000000","0","77ad1bc8-acab-4148-8b4d-da7b4b75ddac","da433143-109e-4992-863f-24df70515103","OS","Windows10","BrowserType","Edge","SessionId","1b0d2d7e-4753-401f-8681-0f534964f022","0","","","","","","","","","","","","US","California","Redlands","""Frontier Communications of America, Inc.""","""Frontier Communications of America, Inc.""","","","AS5650","47.152.60.194-47.152.91.108","US","California","San Bernardino","Frontier Communications of America, Inc.","Frontier Communications Corporation","","0.0001 (Very Low)","5650","47.152.0.0/14","","","","","","","","","","US","California, San Bernardino","Mentone","Frontier Communications Solutions","FTR3 FIOS-D Mentone CA","residential","","",""
"administrator@proseware.com","UserLoggedIn","15","2025-11-30T16:09:18","7404ee3e-a844-40ff-8e94-17b03d943171","77ad1bc8-acab-4148-8b4d-da7b4b75ddac","Success","50418c34-c899-46f5-8c24-34c3341ee5d4","0","1","AzureActiveDirectory","47.152.79.2","00000003-0000-0000-c000-000000000000","1","ResultStatusDetail","Redirect","UserAgent","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.176 Safari/537.36 Edg/141.0.0.176 OS/10.0.26200","RequestType","Consent:Set","","50418c34-c899-46f5-8c24-34c3341ee5d4","0","administrator@proseware.com","5","77ad1bc8-acab-4148-8b4d-da7b4b75ddac","47.152.79.2","4649c323-dfed-4209-8133-49bd83172767","7404ee3e-a844-40ff-8e94-17b03d943171","","00000003-0000-0000-c000-000000000000","0","77ad1bc8-acab-4148-8b4d-da7b4b75ddac","da433143-109e-4992-863f-24df70515103","OS","Windows10","BrowserType","Edge","SessionId","1b0d2d7e-4753-401f-8681-0f534964f022","0","","","","","","","","","","","","US","California","Redlands","""Frontier Communications of America, Inc.""","""Frontier Communications of America, Inc.""","","","AS5650","47.152.60.194-47.152.91.108","US","California","San Bernardino","Frontier Communications of America, Inc.","Frontier Communications Corporation","","0.0001 (Very Low)","5650","47.152.0.0/14","","","","","","","","","","US","California, San Bernardino","Mentone","Frontier Communications Solutions","FTR3 FIOS-D Mentone CA","residential","","",""
"administrator@proseware.com","UserLoginFailed","15","2025-11-30T16:09:13","935697fe-5e37-4520-8179-40c25221f8bb","77ad1bc8-acab-4148-8b4d-da7b4b75ddac","Success","50418c34-c899-46f5-8c24-34c3341ee5d4","0","1","AzureActiveDirectory","47.152.79.2","00000003-0000-0000-c000-000000000000","1","ResultStatusDetail","Success","UserAgent","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.176 Safari/537.36 Edg/141.0.0.176 OS/10.0.26200","RequestType","Login:reprocess","","50418c34-c899-46f5-8c24-34c3341ee5d4","0","administrator@proseware.com","5","77ad1bc8-acab-4148-8b4d-da7b4b75ddac","47.152.79.2","4649c323-dfed-4209-8133-49bd83172767","935697fe-5e37-4520-8179-40c25221f8bb","","00000003-0000-0000-c000-000000000000","0","77ad1bc8-acab-4148-8b4d-da7b4b75ddac","da433143-109e-4992-863f-24df70515103","OS","Windows10","BrowserType","Edge","SessionId","1b0d2d7e-4753-401f-8681-0f534964f022","65001","","","","","","","","","","","DelegationDoesNotExist","US","California","Redlands","""Frontier Communications of America, Inc.""","""Frontier Communications of America, Inc.""","","","AS5650","47.152.60.194-47.152.91.108","US","California","San Bernardino","Frontier Communications of America, Inc.","Frontier Communications Corporation","","0.0001 (Very Low)","5650","47.152.0.0/14","","","","","","","","","","US","California, San Bernardino","Mentone","Frontier Communications Solutions","FTR3 FIOS-D Mentone CA","residential","","",""
"administrator@proseware.com","UserLoggedIn","15","2025-11-30T16:08:47","b13d1dc5-11d3-4dbd-84ad-30e0cc5ea677","77ad1bc8-acab-4148-8b4d-da7b4b75ddac","Success","50418c34-c899-46f5-8c24-34c3341ee5d4","0","1","AzureActiveDirectory","47.152.79.2","979ce1a4-d3ea-47a5-8372-b49792425898","1","ResultStatusDetail","Redirect","UserAgent","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.176 Safari/537.36 Edg/141.0.0.176","RequestType","OAuth2:Authorize","","50418c34-c899-46f5-8c24-34c3341ee5d4","0","administrator@proseware.com","5","77ad1bc8-acab-4148-8b4d-da7b4b75ddac","47.152.79.2","2fcd0c62-2ab2-4d5d-8b65-552b249e6e60","b13d1dc5-11d3-4dbd-84ad-30e0cc5ea677","","979ce1a4-d3ea-47a5-8372-b49792425898","0","77ad1bc8-acab-4148-8b4d-da7b4b75ddac","430bffc9-eea5-48e5-89a5-e1a0e090a969","OS","Windows10","BrowserType","Edge","SessionId","1b0d2d7e-4753-401f-8681-0f534964f022","0","","","","","","","","","","","","US","California","Redlands","""Frontier Communications of America, Inc.""","""Frontier Communications of America, Inc.""","","","AS5650","47.152.60.194-47.152.91.108","US","California","San Bernardino","Frontier Communications of America, Inc.","Frontier Communications Corporation","","0.0001 (Very Low)","5650","47.152.0.0/14","","","","","","","","","","US","California, San Bernardino","Mentone","Frontier Communications Solutions","FTR3 FIOS-D Mentone CA","residential","","",""
