"Id","DisplayName","UserPrincipalName","Mail","ProxyAddresses","UserType","CreatedDateTime","CreationType","EmployeeType","MemberOf","AssignedLicensesName","LicenseDetails","OnPremisesSyncEnabled","OnPremisesSamAccountName","ManagedDevices","AccountEnabled","PasswordPolicies","LastSignInDate","LastPasswordChangeDateTime","LastPasswordChangeTimeStampISO"
"0d70806b-134f-428c-83e4-a8cb909943db","Baker Frank","kimberly@consolidatedmsgr.com","kimberly@consolidatedmsgr.com","smtp:kimberly@consolidatedmsgr.onmicrosoft.com;SMTP:kimberly@consolidatedmsgr.com","Member","2025-06-12 18:34:06",,,,"Microsoft 365 Paul Premium ",,"True","Kimberly",,"True","DisablePasswordExpiration","2025-09-29 20:18:14","2025-06-12 18:33:16","2025-06-12T18:33:16.000Z"
"ce25c70f-7804-4bd6-87de-20c497d1fb69","Accounting","accounting@consolidatedmsgr.microsoftonline.com","accounting@consolidatedmsgr.com","SMTP:accounting@consolidatedmsgr.com;smtp:accounting@consolidatedmsgr.microsoftonline.com;smtp:accounting@consolidatedmsgr.onmicrosoft.com","Member","2024-07-28 15:31:19",,,,"",,,,,"True",,,"2024-07-28 15:31:19","2024-07-28T15:31:19.000Z"
"e31f44ec-4c3f-4817-87e4-5721f78fff71","King Cooper","jose@consolidatedmsgr.com","jose@consolidatedmsgr.com","smtp:jose@consolidatedmsgr.onmicrosoft.com;SMTP:jose@consolidatedmsgr.com","Member","2016-08-06 21:29:42",,,,"",,,,,"False","DisablePasswordExpiration",,"2017-08-10 20:18:04","2017-08-10T20:18:04.000Z"
"263b1058-d2be-4326-8878-8ce79c878792","Admin","admin@consolidatedmsgr.microsoftonline.com","admin@consolidatedmsgr.microsoftonline.com","SMTP:admin@consolidatedmsgr.microsoftonline.com",,"2011-09-10 06:09:58",,,,"",,,,,"True","DisablePasswordExpiration","2025-12-14 18:09:14","2023-04-27 21:37:58","2023-04-27T21:37:58.000Z"
"376696f4-577b-46f9-817f-1d7bc337db28","Raymond Bailey2","samantha@consolidatedmsgr.com","samantha@consolidatedmsgr.com","SMTP:samantha@consolidatedmsgr.com;smtp:samantha@consolidatedmsgr.onmicrosoft.com","Member","2023-12-28 16:59:40",,,,"Microsoft 365 Paul Premium ",,"True","Samantha",,"True","DisablePasswordExpiration","2025-12-10 13:01:47","2025-12-17 18:18:29","2025-12-17T18:18:29.000Z"
"69b0627a-4103-480b-8f54-cfedb5e410b6","Raymond Anna5","larry_partner3029.example#EXT#@consolidatedmsgr.onmicrosoft.com","larry@cook21.example","SMTP:larry@cook21.example","Guest","2024-01-27 20:12:18","Foster4",,,"",,,,,"True",,"2024-01-27 22:02:58","2024-01-27 20:12:18","2024-01-27T20:12:18.000Z"
"fd1011b4-fa76-47c7-8d70-ab0dd680c92c","Johnson Benjamin2","rachel@consolidatedmsgr.com","rachel@consolidatedmsgr.com","smtp:rachel@consolidatedmsgr.microsoftonline.com;SMTP:rachel@consolidatedmsgr.com;smtp:rachel@consolidatedmsgr.onmicrosoft.com","Member","2019-06-28 15:43:51",,,,"Microsoft 365 Paul Premium ",,"True","rachel",,"True","DisablePasswordExpiration","2025-12-13 18:57:37","2025-06-27 11:08:53","2025-06-27T11:08:53.000Z"
"88f43bb1-1463-4df1-87ac-01b4384a4294","Rebecca Julie5","ward_partner3047.example#EXT#@consolidatedmsgr.onmicrosoft.com","ward@cook22.example","SMTP:ward@cook22.example","Guest","2022-10-28 16:10:56","Foster4",,,"",,,,,"True",,"2022-10-30 18:09:37","2022-10-28 16:10:56","2022-10-28T16:10:56.000Z"
"2babc0a3-a0d3-47b9-8997-a8a6d78c9956","William Dennis","flores@consolidatedmsgr.com","flores@consolidatedmsgr.com","x500:/o=MicrosoftOnline/ou=External (FYDIBOHF25SPDLT)/cn=Recipients/cn=d4674b9e63eb4846b6e28739868f7a3f;smtp:flores@consolidatedmsgr.onmicrosoft.com;X500:/o=MicrosoftOnline/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=a54cc72a-ba28-4a2b-804a-1fe55b4ad172;smtp:flores@consolidatedmsgr.microsoftonline.com;SMTP:flores@consolidatedmsgr.com",,"2011-09-10 07:33:21",,,,"Microsoft 365 Paul Premium Microsoft Power Automate Free ",,"True","William.Dennis",,"True","DisablePasswordExpiration","2025-11-13 16:31:52","2025-11-13 16:27:26","2025-11-13T16:27:26.000Z"
"f237eba3-42da-4a0b-824a-07aac90d3514","Ronald Howard3","ronald_partner3028.example#EXT#@consolidatedmsgr.onmicrosoft.com","ronald@cook23.example","SMTP:ronald@cook23.example","Guest","2020-12-09 14:56:15","Foster4",,,"",,,,,"True",,"2024-05-11 16:18:13","2020-12-09 14:56:15","2020-12-09T14:56:15.000Z"
