"Date (UTC)","Request ID","User agent","Correlation ID","User ID","User","Username","User type","Cross tenant access type","Incoming token type","Authentication Protocol","Unique token identifier","Original transfer method","Client credential type","Token Protection - Sign In Session","Token Protection - Sign In Session StatusCode","Application","Application ID ","App owner tenant ID","Resource","Resource ID ","Resource tenant ID","Resource owner tenant ID","Home tenant ID","Home tenant name","IP address","Location","Status","Sign-in error code","Failure reason","Client app","Device ID","Browser","Operating System","Compliant","Managed","Join Type","Multifactor authentication result","Multifactor authentication auth method","Multifactor authentication auth detail","Authentication requirement","Sign-in identifier","Session ID","IP address (seen by resource)","Through Global Secure Access","Global Secure Access IP address","Autonomous system  number","Flagged for review","Token issuer type","Incoming token type","Token issuer name","Latency","Conditional Access","Managed Identity type","Associated Resource Id","Federated Token Id","Federated Token Issuer"
"2025-12-17T21:33:53Z","601f0285-81f8-4088-8c1e-f3515b0ab4ed","Windows-AzureAD-Authentication-Edwards2/1.0","de4edfa2-d57c-44d8-84f0-1a86a9c8a5eb","16040d97-c0b3-43ad-8158-1c920732fd67","Taylor2 Nicholas","bennett4@consolidatedmsgr.com","member","none","primaryRefreshToken","none","Ygr58b7_NE-_nOiWJqkhAA","none","none","bound","","Windows Sign In","38aa3b87-a06d-4817-b275-7a316988d93b","","Bailey5 Stewart Joan Garcia","00000002-0000-0000-c000-000000000000","9fc57536-e8d3-4117-8537-fc27bc714352","f8cdef31-a31e-4b4a-93e4-5f571e91255a","9fc57536-e8d3-4117-8537-fc27bc714352","","73.221.207.13","Stonebridge, Lake District 2, US","Success","","Other.","Mobile Apps and Desktop clients","f26b75bb-4389-4e85-84a7-3cc4b80076ae","","Windows","FALSE","FALSE","Hybrid Azure AD joined","MFA not required during Windows broker logon flow","","","Myers3 authentication","","f4d24834-7ee7-4c4f-85d7-0cd63c411d66","","FALSE","","7922","FALSE","Microsoft Entra ID","Primary refresh token","","128","Not Applied","None","","",""
"2025-12-17T21:33:15Z","45e24c7a-c8b6-4776-8a3f-40530be7e586","Windows-AzureAD-Authentication-Edwards2/1.0","bb27ec3d-a843-4135-81b4-99712f59fb83","16040d97-c0b3-43ad-8158-1c920732fd67","Taylor2 Nicholas","bennett4@consolidatedmsgr.com","member","none","primaryRefreshToken","none","w8iPm12pt0q2l2_ScmcUAA","none","none","unbound","","Windows Sign In","38aa3b87-a06d-4817-b275-7a316988d93b","","Bailey5 Stewart Joan Garcia","00000002-0000-0000-c000-000000000000","9fc57536-e8d3-4117-8537-fc27bc714352","f8cdef31-a31e-4b4a-93e4-5f571e91255a","9fc57536-e8d3-4117-8537-fc27bc714352","","73.221.207.13","Stonebridge, Lake District 2, US","Failure","50126","Error validating credentials due to invalid username or password.","Mobile Apps and Desktop clients","f26b75bb-4389-4e85-84a7-3cc4b80076ae","","Windows","FALSE","FALSE","Hybrid Azure AD joined","The user didn't enter the right credentials.  It's expected to see some number of these errors in your logs due to users making mistakes.","","","Single-factor authentication","","f4d24834-7ee7-4c4f-85d7-0cd63c411d66","","FALSE","","7922","FALSE","Microsoft Entra ID","Primary refresh token","","62","Not Applied","None","","",""
"2025-12-17T21:33:15Z","9008afee-53bf-4889-8eed-a19cf7a8fc72","Windows-AzureAD-Authentication-Edwards2/1.0","bb27ec3d-a843-4135-81b4-99712f59fb83","16040d97-c0b3-43ad-8158-1c920732fd67","Taylor2 Nicholas","bennett4@consolidatedmsgr.com","member","none","primaryRefreshToken","none","w8iPm12pt0q2l2_SYGcUAA","none","none","unbound","","Windows Sign In","38aa3b87-a06d-4817-b275-7a316988d93b","","Bailey5 Stewart Joan Garcia","00000002-0000-0000-c000-000000000000","9fc57536-e8d3-4117-8537-fc27bc714352","f8cdef31-a31e-4b4a-93e4-5f571e91255a","9fc57536-e8d3-4117-8537-fc27bc714352","","73.221.207.13","Stonebridge, Lake District 2, US","Failure","50126","Error validating credentials due to invalid username or password.","Mobile Apps and Desktop clients","f26b75bb-4389-4e85-84a7-3cc4b80076ae","","Windows","FALSE","FALSE","Hybrid Azure AD joined","The user didn't enter the right credentials.  It's expected to see some number of these errors in your logs due to users making mistakes.","","","Single-factor authentication","","f4d24834-7ee7-4c4f-85d7-0cd63c411d66","","FALSE","","7922","FALSE","Microsoft Entra ID","Primary refresh token","","72","Not Applied","None","","",""
"2025-12-17T21:23:03Z","872f153c-cfea-43c9-88c1-9cd9efd36593","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.206 Safari/537.36 Edg/142.0.0.206 Mitchell/5.1.9.115 (win)","a8d1bffe-4910-4918-8dc8-0e24f0e405cd","16040d97-c0b3-43ad-8158-1c920732fd67","Taylor2 Nicholas","bennett4@consolidatedmsgr.com","member","none","primaryRefreshToken","none","Fe7BZRjGQUGBrOefxwMNAA","none","none","unbound","1008","External Application 12","e83c0c8a-c512-49c7-8b28-0dc82272c710","9fc57536-e8d3-4117-8537-fc27bc714352","Bailey5 Stewart Joan Garcia","00000002-0000-0000-c000-000000000000","9fc57536-e8d3-4117-8537-fc27bc714352","f8cdef31-a31e-4b4a-93e4-5f571e91255a","9fc57536-e8d3-4117-8537-fc27bc714352","","2601:603:1f7e:e3b5:129a:d04e:d8b9:d4c5","Stonebridge, Lake District 2, US","Success","","Other.","Browser","f26b75bb-4389-4e85-84a7-3cc4b80076ae","Edge 142.0.0","Windows10","FALSE","FALSE","Hybrid Azure AD joined","MFA requirement skipped due to remembered device","","","Myers3 authentication","bennett4@consolidatedmsgr.com","f4d24834-7ee7-4c4f-85d7-0cd63c411d66","","FALSE","","7922","FALSE","Microsoft Entra ID","Primary refresh token","","110","Success","None","","",""
"2025-12-17T21:23:01Z","df6eb45f-419f-4fc0-8654-9664af647bbd","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.206 Safari/537.36 Edg/142.0.0.206 Mitchell/5.1.9.115 (win)","a8d1bffe-4910-4918-8dc8-0e24f0e405cd","16040d97-c0b3-43ad-8158-1c920732fd67","Taylor2 Nicholas","bennett4@consolidatedmsgr.com","member","none","none","none","acSg1ICmTEC8CFWuV-sgAA","none","none","unbound","1008","External Application 12","e83c0c8a-c512-49c7-8b28-0dc82272c710","9fc57536-e8d3-4117-8537-fc27bc714352","Bailey5 Stewart Joan Garcia","00000002-0000-0000-c000-000000000000","9fc57536-e8d3-4117-8537-fc27bc714352","f8cdef31-a31e-4b4a-93e4-5f571e91255a","9fc57536-e8d3-4117-8537-fc27bc714352","","2601:603:1f7e:e3b5:129a:d04e:d8b9:d4c5","Stonebridge, Lake District 2, US","Interrupted","50140","This occurred due to 'Keep me signed in' interrupt when the user was signing in.","Browser","f26b75bb-4389-4e85-84a7-3cc4b80076ae","Edge 142.0.0","Windows10","FALSE","FALSE","Hybrid Azure AD joined","This is an expected part of the login flow, where a user is asked if they want to remain signed into this browser to make further logins easier. For more details, see https://techcommunity.microsoft.com/t5/microsoft-entra/the-new-azure-ad-sign-in-and-keep-me-signed-in-experiences/td-p/128267","Mobile app samuel5","","Myers3 authentication","bennett4@consolidatedmsgr.com","50c65a69-9313-4906-851c-1b5f81435f3b","","FALSE","","7922","FALSE","Microsoft Entra ID","None","","96","Success","None","","",""
"2025-12-17T21:22:26Z","7e87f9b7-be05-4a0a-8dbb-09eead290ef5","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.206 Safari/537.36 Edg/142.0.0.206 OS/10.0.26200","d9c73d1b-8507-42a6-88c7-c78128a275a4","16040d97-c0b3-43ad-8158-1c920732fd67","Taylor2 Nicholas","bennett4@consolidatedmsgr.com","member","none","primaryRefreshToken","none","qE2eczrWC0yiLvCI4K8UAA","none","none","unbound","1008","OfficeHome","4765445b-32c6-49b0-83e6-1d93765276ca","f8cdef31-a31e-4b4a-93e4-5f571e91255a","OfficeHome","4765445b-32c6-49b0-83e6-1d93765276ca","9fc57536-e8d3-4117-8537-fc27bc714352","","9fc57536-e8d3-4117-8537-fc27bc714352","","2601:603:1f7e:e3b5:129a:d04e:d8b9:d4c5","Stonebridge, Lake District 2, US","Success","","Other.","Browser","f26b75bb-4389-4e85-84a7-3cc4b80076ae","Edge 142.0.0","Windows10","FALSE","FALSE","Hybrid Azure AD joined","MFA requirement satisfied by claim in the token","","","Myers3 authentication","","6ba5e246-79c8-47cb-8ff3-ce439a84b26b","","FALSE","","7922","FALSE","Microsoft Entra ID","Primary refresh token","","107","Success","None","","",""
"2025-12-17T21:22:25Z","bf57463a-53eb-4c96-8111-c7bc5fb227bc","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.206 Safari/537.36 Edg/142.0.0.206 OS/10.0.26200","d9c73d1b-8507-42a6-88c7-c78128a275a4","16040d97-c0b3-43ad-8158-1c920732fd67","Taylor2 Nicholas","bennett4@consolidatedmsgr.com","member","none","primaryRefreshToken","none","Zm-iCBPOgE6ev_dCxKwlAA","none","none","bound","","OfficeHome","4765445b-32c6-49b0-83e6-1d93765276ca","f8cdef31-a31e-4b4a-93e4-5f571e91255a","OfficeHome","4765445b-32c6-49b0-83e6-1d93765276ca","9fc57536-e8d3-4117-8537-fc27bc714352","","9fc57536-e8d3-4117-8537-fc27bc714352","","2601:603:1f7e:e3b5:129a:d04e:d8b9:d4c5","Stonebridge, Lake District 2, US","Success","","Other.","Browser","f26b75bb-4389-4e85-84a7-3cc4b80076ae","Edge 142.0.0","Windows10","FALSE","FALSE","Hybrid Azure AD joined","MFA requirement skipped due to remembered device","","","Myers3 authentication","bennett4@consolidatedmsgr.com","6ba5e246-79c8-47cb-8ff3-ce439a84b26b","","FALSE","","7922","FALSE","Microsoft Entra ID","Primary refresh token","","94","Success","None","","",""
"2025-12-17T21:22:23Z","ab5b27b5-5885-4abf-827c-f8a9bb7eced9","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.206 Safari/537.36 Edg/142.0.0.206 OS/10.0.26200","d9c73d1b-8507-42a6-88c7-c78128a275a4","16040d97-c0b3-43ad-8158-1c920732fd67","Taylor2 Nicholas","bennett4@consolidatedmsgr.com","member","none","none","none","TEiJOYj3uUSjWTgHW60VAA","none","none","bound","","OfficeHome","4765445b-32c6-49b0-83e6-1d93765276ca","f8cdef31-a31e-4b4a-93e4-5f571e91255a","OfficeHome","4765445b-32c6-49b0-83e6-1d93765276ca","9fc57536-e8d3-4117-8537-fc27bc714352","","9fc57536-e8d3-4117-8537-fc27bc714352","","2601:603:1f7e:e3b5:129a:d04e:d8b9:d4c5","Stonebridge, Lake District 2, US","Interrupted","50140","This occurred due to 'Keep me signed in' interrupt when the user was signing in.","Browser","f26b75bb-4389-4e85-84a7-3cc4b80076ae","Edge 142.0.0","Windows10","FALSE","FALSE","Hybrid Azure AD joined","This is an expected part of the login flow, where a user is asked if they want to remain signed into this browser to make further logins easier. For more details, see https://techcommunity.microsoft.com/t5/microsoft-entra/the-new-azure-ad-sign-in-and-keep-me-signed-in-experiences/td-p/128267","Mobile app samuel5","","Myers3 authentication","bennett4@consolidatedmsgr.com","6ba5e246-79c8-47cb-8ff3-ce439a84b26b","","FALSE","","7922","FALSE","Microsoft Entra ID","None","","83","Success","None","","",""
"2025-12-17T21:18:43Z","1f812e16-f472-4f36-84a5-07fa7df36896","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.206 Safari/537.36 Edg/142.0.0.206 Mitchell/5.1.9.115 (win)","b5894dfa-921d-4933-8e31-6f49cf149367","16040d97-c0b3-43ad-8158-1c920732fd67","Taylor2 Nicholas","bennett4@consolidatedmsgr.com","member","none","none","none","4lB3rhAdGUeu9dFru-4mAA","none","none","unbound","1008","External Application 12","e83c0c8a-c512-49c7-8b28-0dc82272c710","9fc57536-e8d3-4117-8537-fc27bc714352","Bailey5 Stewart Joan Garcia","00000002-0000-0000-c000-000000000000","9fc57536-e8d3-4117-8537-fc27bc714352","f8cdef31-a31e-4b4a-93e4-5f571e91255a","9fc57536-e8d3-4117-8537-fc27bc714352","","2601:603:1f7e:e3b5:129a:d04e:d8b9:d4c5","Stonebridge, Lake District 2, US","Interrupted","50072","Due to a christina white made by your administrator, or because you moved to a new location, you must enroll in multi-factor authentication to access '{identifier}'.","Browser","f26b75bb-4389-4e85-84a7-3cc4b80076ae","Edge 142.0.0","Windows10","FALSE","FALSE","Hybrid Azure AD joined","The user was presented options to provide rivera options so that they can do MFA.","","","Myers3 authentication","bennett4@consolidatedmsgr.com","e48c2264-bf0e-4fce-8ff6-215d39aa20a0","","FALSE","","7922","FALSE","Microsoft Entra ID","None","","103","Failure","None","","",""
"2025-12-17T21:13:12Z","a1f08986-ef1c-4ec5-8a62-87ce79ee2edb","Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","d2f9efae-b705-4bd7-8828-ce9f5ac574f2","16040d97-c0b3-43ad-8158-1c920732fd67","Taylor2 Nicholas","bennett4@consolidatedmsgr.com","member","none","none","none","10jf7rsWPEuBAVw0m7EPAA","none","none","unbound","1002","Microsoft Authentication Broker","29d9ed98-a469-4536-ade2-f981bc1d605e","f8cdef31-a31e-4b4a-93e4-5f571e91255a","","9e4d1eb5-a163-46dd-82a2-4faec12b4a6b","9fc57536-e8d3-4117-8537-fc27bc714352","538835a7-5878-4c75-8c10-792210402dee","9fc57536-e8d3-4117-8537-fc27bc714352","","2601:603:1f7e:b9c0:25c4:cc03:654f:9d04","Stonebridge, Lake District 2, US","Interrupted","50072","Due to a christina white made by your administrator, or because you moved to a new location, you must enroll in multi-factor authentication to access '{identifier}'.","Mobile Apps and Desktop clients","","Mobile Safari 18.2","Ios 18.6.2","FALSE","FALSE","","The user was presented options to provide rivera options so that they can do MFA.","","","Myers3 authentication","bennett4@consolidatedmsgr.com","4f582cfa-8660-4062-8d6d-c7e22ace7937","","FALSE","","7922","FALSE","Microsoft Entra ID","None","","241","Not Applied","None","","",""
