Display Name,Recipient Type Details,Primary SMTP Address,Alias
Taylor2 Kathleen3,UserMailbox,ortiz3@consolidatedmsgr.com,"ortiz3@consolidatedmsgr.microsoftonline.com,ortiz3@consolidatedmsgr.onmicrosoft.com"
Ortiz Roberts4,SharedMailbox,aaron@consolidatedmsgr.com,"aaron@consolidatedmsgr.microsoftonline.com,aaron@consolidatedmsgr.onmicrosoft.com"
Brenda5 Kevin6,SharedMailbox,patricia2@consolidatedmsgr.com,"patricia2@consolidatedmsgr.microsoftonline.com,patricia2@consolidatedmsgr.onmicrosoft.com"
Taylor2 Nicholas,UserMailbox,bennett4@consolidatedmsgr.com,"bennett4@consolidatedmsgr.microsoftonline.com,bennett4@consolidatedmsgr.onmicrosoft.com"
Anthony Jonathan7 Mailbox,DiscoveryMailbox,DiscoverySearchMailbox{78638af6-90a6-431d-8351-4cd597de37c7}@consolidatedmsgr.onmicrosoft.com,-
Johnson Benjamin2,UserMailbox,rachel@consolidatedmsgr.com,"rachel@consolidatedmsgr.onmicrosoft.com,rachel@consolidatedmsgr.microsoftonline.com"
Clark Myers2,UserMailbox,gutierrez2@consolidatedmsgr.com,gutierrez2@consolidatedmsgr.onmicrosoft.com
William Dennis,UserMailbox,flores@consolidatedmsgr.com,"flores@consolidatedmsgr.microsoftonline.com,flores@consolidatedmsgr.onmicrosoft.com"
Ruth2 Adam,UserMailbox,adams2@consolidatedmsgr.com,adams2@consolidatedmsgr.microsoftonline.com
Jonathan6 Charles2,UserMailbox,jackson3@consolidatedmsgr.com,jackson3@consolidatedmsgr.onmicrosoft.com
Raymond Bailey2,UserMailbox,samantha@consolidatedmsgr.com,samantha@consolidatedmsgr.onmicrosoft.com
King Cooper,SharedMailbox,jose@consolidatedmsgr.com,jose@consolidatedmsgr.onmicrosoft.com
Reed2 Kevin6,UserMailbox,jackson2@consolidatedmsgr.com,jackson2@consolidatedmsgr.onmicrosoft.com
Kathleen2 Green2,UserMailbox,kenneth2@consolidatedmsgr.com,kenneth2@consolidatedmsgr.onmicrosoft.com
Christine3 Eric,GuestMailUser,torres2@cook27.example,-
Donna2 Jonathan3,GuestMailUser,donald2@cook23.example,-
cox Jessica2,MailContact,cox.jessica2@cook212.example,-
"Wilson6, Bennett3 {Sanchez4}",GuestMailUser,bennett3.wilson6@cook24.example,-
phillips2,GuestMailUser,phillips2@cook211.example,-
Jacob2.Roberts2,GuestMailUser,jacob2.roberts2@cook213.example,-
Gray4 Reyes4,SharedMailbox,walker3@consolidatedmsgr.onmicrosoft.com,walker3@consolidatedmsgr.com
Edwards3 Joyce,SharedMailbox,michelle3@consolidatedmsgr.onmicrosoft.com,michelle3@consolidatedmsgr.com
Harris6,MailUser,jack4@cook212.example,harris6@consolidatedmsgr.microsoftonline.com
Evans3,SharedMailbox,evans3@consolidatedmsgr.com,"evans3@consolidatedmsgr.microsoftonline.com,evans3@consolidatedmsgr.onmicrosoft.com"
Sandra4 Rogers Morales2,RoomMailbox,rivera3@consolidatedmsgr.com,"rivera3@consolidatedmsgr.microsoftonline.com,rivera3@consolidatedmsgr.onmicrosoft.com"
alvarez3.patrick2,GuestMailUser,alvarez3.patrick2@cook210.example,-
Rebecca Julie5,GuestMailUser,ward@cook22.example,-
susan2.emily.eric3,GuestMailUser,susan2.emily.eric3@freemail1.example,-
Ronald Howard3,GuestMailUser,ronald@cook23.example,-
emilymthompson1,GuestMailUser,carol2@freemail1.example,-
Gray2 Shirley (Jackson6 Sandra3),GuestMailUser,diaz2@cook25.example,-
mitchell2.rogers2.roberts4,GuestMailUser,mitchell2.rogers2.roberts4@freemail1.example,-
Frank2 Ramos3 (Jackson6 Sandra3),GuestMailUser,christine2@cook25.example,-
hill5.frank4,GuestMailUser,hill5.frank4@freemail1.example,-
Hill5 Frank4,GuestMailUser,hill5.frank4@cook26.example,-
Raymond Anna5,GuestMailUser,larry@cook21.example,-
Katherine2 Ryan2,GuestMailUser,katherine2.ryan2@cook26.example,-
Pamela2 James2 (Jackson6 Sandra3),GuestMailUser,samuel3@cook25.example,-
Myers Support,MailContact,martinez2@cook212.example,-
Myers Gregory2,MailContact,gregory2@cook212.example,-
Lewis5,SharedMailbox,lewis5@consolidatedmsgr.com,"lewis5@consolidatedmsgr.onmicrosoft.com,lewis5@consolidatedmsgr.microsoftonline.com"
Accounting,SharedMailbox,accounting@consolidatedmsgr.com,"accounting@consolidatedmsgr.onmicrosoft.com,accounting@consolidatedmsgr.microsoftonline.com"
frank2.angela,GuestMailUser,frank2.angela@cook28.example,-
Young3 Bailey,GuestMailUser,young3.bailey@cook28.example,-
"Gray, Betty3",GuestMailUser,betty3.gray@cook210.example,-
"Ramos, Clark2",GuestMailUser,clark2.ramos@cook210.example,-
daniel3.reyes4,GuestMailUser,daniel3.reyes4@cook29.example,-
Clark3 Robert4,GuestMailUser,rogers3@cook29.example,-
Tyler3 Stephanie3,UserMailbox,garcia2@consolidatedmsgr.com,garcia2@consolidatedmsgr.onmicrosoft.com
Baker Frank,UserMailbox,kimberly@consolidatedmsgr.com,kimberly@consolidatedmsgr.onmicrosoft.com
Maria3 Richardson3,UserMailbox,taylor3@consolidatedmsgr.com,taylor3@consolidatedmsgr.onmicrosoft.com
Lisa2 Benjamin2,UserMailbox,murphy2@consolidatedmsgr.com,murphy2@consolidatedmsgr.onmicrosoft.com
Jason Kevin6,UserMailbox,reyes@consolidatedmsgr.com,-
info,MailUniversalDistributionGroup,info@consolidatedmsgr.com,info@consolidatedmsgr.microsoftonline.com
JOAN2 Contacts,GroupMailbox,sandra2@consolidatedmsgr.microsoftonline.com,sandra2@consolidatedmsgr.onmicrosoft.com
administrator,MailUniversalDistributionGroup,administrator@consolidatedmsgr.com,-
Sales,MailUniversalDistributionGroup,sales@consolidatedmsgr.com,-
Outlook Walker Manager,GroupMailbox,Gomez-3005e1c4-9270-4b5a-8329-be44f29d5fc3@consolidatedmsgr.microsoftonline.com,Gomez-3005e1c4-9270-4b5a-8329-be44f29d5fc3@consolidatedmsgr.onmicrosoft.com
All Company,GroupMailbox,gonzalez.3368822.harris8@consolidatedmsgr.microsoftonline.com,gonzalez.3368822.harris8@consolidatedmsgr.onmicrosoft.com
Tumble videos,GroupMailbox,bailey4@consolidatedmsgr.microsoftonline.com,bailey4@consolidatedmsgr.onmicrosoft.com
Tumble 2,GroupMailbox,morales4@consolidatedmsgr.microsoftonline.com,morales4@consolidatedmsgr.onmicrosoft.com
Kevin supply,GroupMailbox,kevin@consolidatedmsgr.microsoftonline.com,kevin@consolidatedmsgr.onmicrosoft.com
Jackson6 Sandra3,GroupMailbox,morales3@consolidatedmsgr.microsoftonline.com,"morales3@consolidatedmsgr.onmicrosoft.com,paul6@consolidatedmsgr.onmicrosoft.com"
Stephanie2,GroupMailbox,stephanie2@consolidatedmsgr.microsoftonline.com,"stephanie2@consolidatedmsgr.onmicrosoft.com,bennett2@consolidatedmsgr.onmicrosoft.com"
Cynthia2,MailUniversalDistributionGroup,cynthia2@consolidatedmsgr.com,cynthia2@consolidatedmsgr.onmicrosoft.com
Kenneth testing,GroupMailbox,kenneth4@consolidatedmsgr.microsoftonline.com,"kenneth4@consolidatedmsgr.onmicrosoft.com,robert3@consolidatedmsgr.onmicrosoft.com"
Multivac & JOAN2 File Sharing,GroupMailbox,bailey3@consolidatedmsgr.microsoftonline.com,bailey3@consolidatedmsgr.onmicrosoft.com
Brenda,MailUniversalDistributionGroup,brenda@consolidatedmsgr.com,brenda@consolidatedmsgr.onmicrosoft.com
Dr. Aaron Team,GroupMailbox,aaron2.lisa@consolidatedmsgr.microsoftonline.com,aaron2.lisa@consolidatedmsgr.onmicrosoft.com
Martin team,GroupMailbox,martin@consolidatedmsgr.microsoftonline.com,martin@consolidatedmsgr.onmicrosoft.com
Cooper provisions,GroupMailbox,cooper3@consolidatedmsgr.microsoftonline.com,cooper3@consolidatedmsgr.onmicrosoft.com
Field Service,GroupMailbox,kim2@consolidatedmsgr.microsoftonline.com,"dennis2@consolidatedmsgr.onmicrosoft.com,kim2@consolidatedmsgr.onmicrosoft.com"
Tyson Danville,GroupMailbox,samuel6@consolidatedmsgr.microsoftonline.com,"barbara5@consolidatedmsgr.onmicrosoft.com,samuel6@consolidatedmsgr.onmicrosoft.com"
Cooper supply,GroupMailbox,cooper2@consolidatedmsgr.microsoftonline.com,"harris5@consolidatedmsgr.onmicrosoft.com,cooper2@consolidatedmsgr.onmicrosoft.com"
