"Name","UPN","Department","Christina2 Status","SignIn Status","Authentication Methods","MFA Status","MFA Phone","Microsoft Authenticator Configured Device","Is 3rd-Party Authenticator Used","Additional Details"
"Baker Frank","kimberly@consolidatedmsgr.com",,"Licensed","Allowed","AuthenticatorApp,PasswordAuthentication","Strong","-","iPhone 15 Plus","False","AuthenticatorApp : iPhone 15 Plus"
"Accounting","accounting@consolidatedmsgr.microsoftonline.com",,"Unlicensed","Allowed","PasswordAuthentication","Disabled","-","-","False",""
"King Cooper","jose@consolidatedmsgr.com",,"Unlicensed","Blocked","PasswordAuthentication","Disabled","-","-","False",""
"Admin","admin@consolidatedmsgr.microsoftonline.com",,"Unlicensed","Allowed","EmailAuthentication,PasswordAuthentication,PhoneAuthentication,SoftwareOath","Strong","+1 8035550100","-","True","EmailAuthentication : gregory2@cook212.example, PhoneAuthentication : mobile +1 8035550100, SoftwareOath : mobile +1 8035550100, SoftwareOath : mobile +1 8035550100"
"Raymond Bailey2","samantha@consolidatedmsgr.com",,"Licensed","Allowed","AuthenticatorApp,PasswordAuthentication","Strong","-","iPhone","False","AuthenticatorApp : iPhone"
"Raymond Anna5","larry_partner3029.example#EXT#@consolidatedmsgr.onmicrosoft.com",,"Unlicensed","Allowed","AuthenticatorApp,PasswordAuthentication","Strong","-","SM-S901U","False","AuthenticatorApp : SM-S901U"
"Johnson Benjamin2","rachel@consolidatedmsgr.com",,"Licensed","Allowed","AuthenticatorApp,PasswordAuthentication,PhoneAuthentication","Strong","+1 8035550100","iPhone","False","PhoneAuthentication : mobile +1 8035550100, AuthenticatorApp : iPhone 13 Pro, AuthenticatorApp : iPhone"
"Rebecca Julie5","ward_partner3047.example#EXT#@consolidatedmsgr.onmicrosoft.com",,"Unlicensed","Allowed","PasswordAuthentication,PhoneAuthentication","Strong","+1 8035550100x223","-","False","PhoneAuthentication : office +1 8035550100x223"
"William Dennis","flores@consolidatedmsgr.com",,"Licensed","Allowed","AuthenticatorApp,PasswordAuthentication,PhoneAuthentication","Strong","+1 8035550100","SM-A136U","False","PhoneAuthentication : mobile +1 8035550100, AuthenticatorApp : SM-A136U"
"Ronald Howard3","ronald_partner3028.example#EXT#@consolidatedmsgr.onmicrosoft.com",,"Unlicensed","Allowed","PasswordAuthentication","Disabled","-","-","False",""
"Jason Kevin6","reyes@consolidatedmsgr.com",,"Licensed","Allowed","AuthenticatorApp,PasswordAuthentication","Strong","-","iPhone 16 Pro","False","AuthenticatorApp : iPhone 16 Pro"
"Ortiz Roberts4","aaron@consolidatedmsgr.com",,"Unlicensed","Blocked","AuthenticatorApp,PasswordAuthentication","Strong","-","iPhone 13","False","AuthenticatorApp : iPhone 13"
"Clark Myers2","gutierrez2@consolidatedmsgr.com",,"Licensed","Allowed","AuthenticatorApp,PasswordAuthentication","Strong","-","SM-S938U","False","AuthenticatorApp : SM-S938U"
"Lisa2 Benjamin2","murphy2@consolidatedmsgr.com",,"Licensed","Allowed","PasswordAuthentication","Disabled","-","-","False",""
"emilymthompson1","emilymthompson1_partner3038.example#EXT#@consolidatedmsgr.onmicrosoft.com",,"Unlicensed","Allowed","PasswordAuthentication","Disabled","-","-","False",""
"mitchell2.rogers2.roberts4","mitchell2.rogers2.roberts4_partner3038.example#EXT#@consolidatedmsgr.onmicrosoft.com",,"Unlicensed","Allowed","PasswordAuthentication","Disabled","-","-","False",""
"Wilson6, Bennett3 {Sanchez4}","ge.wilson6_partner3060.example#EXT#@consolidatedmsgr.onmicrosoft.com",,"Unlicensed","Allowed","PasswordAuthentication","Disabled","-","-","False",""
"Pamela2 James2 (Jackson6 Sandra3)","samuel3_partner3049.example#EXT#@consolidatedmsgr.onmicrosoft.com",,"Unlicensed","Allowed","PasswordAuthentication,PhoneAuthentication","Strong","+1 773-555-0173","-","False","PhoneAuthentication : mobile +1 773-555-0173"
"Brenda2 Cox2","gary3@consolidatedmsgr.com",,"Unlicensed","Allowed","PasswordAuthentication,PhoneAuthentication","Strong","+1 8035550100","-","False","PhoneAuthentication : mobile +1 8035550100"
"susan2.emily.eric3","susan2.emily.eric3_partner3038.example#EXT#@consolidatedmsgr.onmicrosoft.com",,"Unlicensed","Allowed","PasswordAuthentication","Disabled","-","-","False",""
"Katherine2 Ryan2","grant.ryan2_partner3053.example#EXT#@consolidatedmsgr.onmicrosoft.com",,"Unlicensed","Allowed","PasswordAuthentication","Disabled","-","-","False",""
"Anna2","anna2@consolidatedmsgr.com",,"Unlicensed","Allowed","AuthenticatorApp,PasswordAuthentication","Strong","-","Pixel 4a","False","AuthenticatorApp : Pixel 4a"
"Donna2 Jonathan3","donald2_partner3028.example#EXT#@consolidatedmsgr.onmicrosoft.com",,"Unlicensed","Allowed","PasswordAuthentication","Disabled","-","-","False",""
"Taylor2 Nicholas","bennett4@consolidatedmsgr.com",,"Licensed","Allowed","AuthenticatorApp,PasswordAuthentication","Strong","-","iPhone 12 Pro","False","AuthenticatorApp : iPhone 12 Pro"
"Gray2 Shirley (Jackson6 Sandra3)","diaz2_partner3049.example#EXT#@consolidatedmsgr.onmicrosoft.com",,"Unlicensed","Allowed","PasswordAuthentication,PhoneAuthentication","Strong","+1 8035550100","-","False","PhoneAuthentication : mobile +1 8035550100"
"Christine3 Eric","torres2_partner3008.example#EXT#@consolidatedmsgr.onmicrosoft.com",,"Unlicensed","Allowed","PasswordAuthentication","Disabled","-","-","False",""
"frank2.angela","frank2.angela_partner3082.example#EXT#@consolidatedmsgr.onmicrosoft.com",,"Unlicensed","Allowed","PasswordAuthentication","Disabled","-","-","False",""
"Kathleen2 Green2","kenneth2@consolidatedmsgr.com",,"Licensed","Allowed","AuthenticatorApp,PasswordAuthentication,PhoneAuthentication","Strong","+1 8035550100","samsungSM-G988U","False","PhoneAuthentication : mobile +1 8035550100, AuthenticatorApp : samsungSM-S928U, AuthenticatorApp : samsungSM-G988U"
"Taylor2 Kathleen3","ortiz3@consolidatedmsgr.com",,"Licensed","Allowed","AuthenticatorApp,PasswordAuthentication","Strong","-","iPad","False","AuthenticatorApp : iPhone, AuthenticatorApp : iPad"
"daniel3.reyes4","daniel3.reyes4_partner3059.example#EXT#@consolidatedmsgr.onmicrosoft.com",,"Unlicensed","Allowed","PasswordAuthentication","Disabled","-","-","False",""
"Reed2 Kevin6","jackson2@consolidatedmsgr.com",,"Licensed","Allowed","AuthenticatorApp,Fido2,PasswordAuthentication","Strong","-","iPhone","False","Fido2 : Microsoft Authenticator - iOS, AuthenticatorApp : iPhone 16 Pro Max, AuthenticatorApp : iPhone 14 Pro Max, AuthenticatorApp : iPhone"
"Frank2 Ramos3 (Jackson6 Sandra3)","christine2_partner3049.example#EXT#@consolidatedmsgr.onmicrosoft.com",,"Unlicensed","Allowed","PasswordAuthentication,PhoneAuthentication","Strong","+1 8035550100","-","False","PhoneAuthentication : mobile +1 8035550100"
"Ramos, Clark2","clark2.ramos_partner3094.example#EXT#@consolidatedmsgr.onmicrosoft.com",,"Unlicensed","Allowed","AuthenticatorApp,PasswordAuthentication","Strong","-","iPhone 16 Pro","False","AuthenticatorApp : iPhone 16 Pro"
"Jonathan6 Charles2","jackson3@consolidatedmsgr.com",,"Licensed","Allowed","AuthenticatorApp,PasswordAuthentication","Strong","-","iPhone 16","False","AuthenticatorApp : iPhone 16"
"alvarez3.patrick2","alvarez3.patrick2_partner3094.example#EXT#@consolidatedmsgr.onmicrosoft.com",,"Unlicensed","Allowed","PasswordAuthentication","Disabled","-","-","False",""
"Tyler3 Stephanie3","garcia2@consolidatedmsgr.com",,"Licensed","Allowed","AuthenticatorApp,PasswordAuthentication","Strong","-","iPhone 15","False","AuthenticatorApp : iPhone 15"
"Clark3 Robert4","rogers3_partner3059.example#EXT#@consolidatedmsgr.onmicrosoft.com",,"Unlicensed","Allowed","PasswordAuthentication","Disabled","-","-","False",""
"phillips2","phillips2_partner3077.example#EXT#@consolidatedmsgr.onmicrosoft.com",,"Unlicensed","Allowed","PasswordAuthentication","Disabled","-","-","False",""
"Young3 Bailey","Young3.Bailey_partner3082.example#EXT#@consolidatedmsgr.onmicrosoft.com",,"Unlicensed","Allowed","AuthenticatorApp,PasswordAuthentication","Strong","-","iPhone 8","False","AuthenticatorApp : iPhone 8"
"Maria3 Richardson3","taylor3@consolidatedmsgr.com",,"Licensed","Allowed","PasswordAuthentication","Disabled","-","-","False",""
"Lewis5","lewis5@consolidatedmsgr.microsoftonline.com",,"Unlicensed","Allowed","PasswordAuthentication","Disabled","-","-","False",""
"Harris6","harris6@consolidatedmsgr.microsoftonline.com",,"Unlicensed","Allowed","PasswordAuthentication","Disabled","-","-","False",""
"Gray4 Reyes4","walker3@consolidatedmsgr.com",,"Unlicensed","Blocked","PasswordAuthentication,PhoneAuthentication","Strong","+1 8035550100","-","False","PhoneAuthentication : mobile +1 8035550100"
"Evans3","evans3@consolidatedmsgr.com",,"Unlicensed","Allowed","PasswordAuthentication","Disabled","-","-","False",""
"Gray, Betty3","betty3.gray_partner3094.example#EXT#@consolidatedmsgr.onmicrosoft.com",,"Unlicensed","Allowed","PasswordAuthentication","Disabled","-","-","False",""
"Jacob2.Roberts2","Jacob2.Roberts2_partner3056.example#EXT#@consolidatedmsgr.onmicrosoft.com",,"Unlicensed","Allowed","PasswordAuthentication","Disabled","-","-","False",""
"Ruth2 Adam","adams2@consolidatedmsgr.com",,"Licensed","Allowed","AuthenticatorApp,PasswordAuthentication","Strong","-","iPhone X","False","AuthenticatorApp : adams2’s iPhone, AuthenticatorApp : adams2’s iPhone, AuthenticatorApp : iPhone X"
"hill5.frank4","hill5.frank4_partner3038.example#EXT#@consolidatedmsgr.onmicrosoft.com",,"Unlicensed","Allowed","AuthenticatorApp,PasswordAuthentication","Strong","-","iPhone 13 Pro Max","False","AuthenticatorApp : iPhone 13 Pro Max"
"Hill5 Frank4","Hill5.frank4_partner3053.example#EXT#@consolidatedmsgr.onmicrosoft.com",,"Unlicensed","Allowed","PasswordAuthentication","Disabled","-","-","False",""
"Brenda5 Kevin6","patricia2@consolidatedmsgr.com",,"Licensed","Blocked","AuthenticatorApp,PasswordAuthentication","Strong","-","iPhone 14 Pro","False","AuthenticatorApp : iPhone 14 Pro"
"On-Premises Garcia Baker5 Service Maria","sync_joan2-jackson_964824156613@consolidatedmsgr.onmicrosoft.com",,"Unlicensed","Allowed","PasswordAuthentication","Disabled","-","-","False",""
