"DateUTC","DateOnly","TimeOnly","User","Username","IPaddress","IPaddressFrequency","City","Region","Country","Status","SignInErrorCode","UserType","AuthRequirement","ConditionalAccess","TokenType","Application","ApplicationID","Resource","ResourceID","FailureReason","ClientApp","DeviceID","Browser","OS","UserAgent","Compliant","Managed","JoinType","Latency","MFAResult","MFAMethod","MFADetail","SignInIdentifier","SessionID","AuthenticationProtocol","UniqueToken","TransferMethod","ClientCredential","TokenProtectionSession","TokenProtectionStatusCode","CorrelationID","IP_Country_geolite2local","IP_Region_geolite2local","IP_City_geolite2local","IP_ISP_geolite2local","IP_Org_geolite2local","IP_Type_geolite2local","IP_Score_geolite2local","IP_ASN_geolite2local","IP_Range_geolite2local","IP_Country_ipapiis","IP_Region_ipapiis","IP_City_ipapiis","IP_ISP_ipapiis","IP_Org_ipapiis","IP_Type_ipapiis","IP_Score_ipapiis","IP_ASN_ipapiis","IP_Range_ipapiis","IP_Country_scamalytics","IP_Region_scamalytics","IP_City_scamalytics","IP_ISP_scamalytics","IP_Org_scamalytics","IP_Type_scamalytics","IP_Score_scamalytics","IP_ASN_scamalytics","IP_Range_scamalytics","IP_Country_findipnet","IP_Region_findipnet","IP_City_findipnet","IP_ISP_findipnet","IP_Org_findipnet","IP_Type_findipnet","IP_Score_findipnet","IP_ASN_findipnet","IP_Range_findipnet"
"2025-12-17T21:33:53Z","2025-12-17","21:33:53","Taylor2 Nicholas","bennett4@consolidatedmsgr.com","73.221.207.13","5","Stonebridge"," Lake District 2"," US","Success","","member","Myers3 authentication","Not Applied","primaryRefreshToken","Windows Sign In","38aa3b87-a06d-4817-b275-7a316988d93b","Bailey5 Stewart Joan Garcia","00000002-0000-0000-c000-000000000000","Other.","Mobile Apps and Desktop clients","f26b75bb-4389-4e85-84a7-3cc4b80076ae","","Windows","Windows-AzureAD-Authentication-Edwards2/1.0","FALSE","FALSE","Hybrid Azure AD joined","128","MFA not required during Windows broker logon flow","","","","f4d24834-7ee7-4c4f-85d7-0cd63c411d66","none","Ygr58b7_NE-_nOiWJqkhAA","none","none","bound","","de4edfa2-d57c-44d8-84f0-1a86a9c8a5eb","US","Washington","Tacoma","""Comcast Cable Communications, LLC""","""Comcast Cable Communications, LLC""","","","AS7922","73.220.217.253-73.222.28.164","US","Washington","Tacoma","Comcast Cable Communications, LLC","Comcast IP Services, L.L.C.","","0.0003 (Very Low)","7922","73.0.0.0/8","","","","","","","16","","","US","Washington, King","Burien","Comcast Cable Communications","Comcast IP Services, L.L.C.","residential","","",""
"2025-12-17T21:33:15Z","2025-12-17","21:33:15","Taylor2 Nicholas","bennett4@consolidatedmsgr.com","73.221.207.13","5","Stonebridge"," Lake District 2"," US","Failure","50126","member","Single-factor authentication","Not Applied","primaryRefreshToken","Windows Sign In","38aa3b87-a06d-4817-b275-7a316988d93b","Bailey5 Stewart Joan Garcia","00000002-0000-0000-c000-000000000000","Error validating credentials due to invalid username or password.","Mobile Apps and Desktop clients","f26b75bb-4389-4e85-84a7-3cc4b80076ae","","Windows","Windows-AzureAD-Authentication-Edwards2/1.0","FALSE","FALSE","Hybrid Azure AD joined","62","The user didn't enter the right credentials. ?It's expected to see some number of these errors in your logs due to users making mistakes.","","","","f4d24834-7ee7-4c4f-85d7-0cd63c411d66","none","w8iPm12pt0q2l2_ScmcUAA","none","none","unbound","","bb27ec3d-a843-4135-81b4-99712f59fb83","US","Washington","Tacoma","""Comcast Cable Communications, LLC""","""Comcast Cable Communications, LLC""","","","AS7922","73.220.217.253-73.222.28.164","US","Washington","Tacoma","Comcast Cable Communications, LLC","Comcast IP Services, L.L.C.","","0.0003 (Very Low)","7922","73.0.0.0/8","","","","","","","16","","","US","Washington, King","Burien","Comcast Cable Communications","Comcast IP Services, L.L.C.","residential","","",""
"2025-12-17T21:33:15Z","2025-12-17","21:33:15","Taylor2 Nicholas","bennett4@consolidatedmsgr.com","73.221.207.13","5","Stonebridge"," Lake District 2"," US","Failure","50126","member","Single-factor authentication","Not Applied","primaryRefreshToken","Windows Sign In","38aa3b87-a06d-4817-b275-7a316988d93b","Bailey5 Stewart Joan Garcia","00000002-0000-0000-c000-000000000000","Error validating credentials due to invalid username or password.","Mobile Apps and Desktop clients","f26b75bb-4389-4e85-84a7-3cc4b80076ae","","Windows","Windows-AzureAD-Authentication-Edwards2/1.0","FALSE","FALSE","Hybrid Azure AD joined","72","The user didn't enter the right credentials. ?It's expected to see some number of these errors in your logs due to users making mistakes.","","","","f4d24834-7ee7-4c4f-85d7-0cd63c411d66","none","w8iPm12pt0q2l2_SYGcUAA","none","none","unbound","","bb27ec3d-a843-4135-81b4-99712f59fb83","US","Washington","Tacoma","""Comcast Cable Communications, LLC""","""Comcast Cable Communications, LLC""","","","AS7922","73.220.217.253-73.222.28.164","US","Washington","Tacoma","Comcast Cable Communications, LLC","Comcast IP Services, L.L.C.","","0.0003 (Very Low)","7922","73.0.0.0/8","","","","","","","16","","","US","Washington, King","Burien","Comcast Cable Communications","Comcast IP Services, L.L.C.","residential","","",""
"2025-12-17T21:23:03Z","2025-12-17","21:23:03","Taylor2 Nicholas","bennett4@consolidatedmsgr.com","2601:603:1f7e:e3b5:129a:d04e:d8b9:d4c5","26","Stonebridge"," Lake District 2"," US","Success","","member","Myers3 authentication","Success","primaryRefreshToken","External Application 12","e83c0c8a-c512-49c7-8b28-0dc82272c710","Bailey5 Stewart Joan Garcia","00000002-0000-0000-c000-000000000000","Other.","Browser","f26b75bb-4389-4e85-84a7-3cc4b80076ae","Edge 142.0.0","Windows10","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.206 Safari/537.36 Edg/142.0.0.206 Mitchell/5.1.9.115 (win)","FALSE","FALSE","Hybrid Azure AD joined","110","MFA requirement skipped due to remembered device","","","bennett4@consolidatedmsgr.com","f4d24834-7ee7-4c4f-85d7-0cd63c411d66","none","Fe7BZRjGQUGBrOefxwMNAA","none","none","unbound","1008","a8d1bffe-4910-4918-8dc8-0e24f0e405cd","US","Washington","Gig Harbor","""Comcast Cable Communications, LLC""","""Comcast Cable Communications, LLC""","","","AS7922","2601:601:513:370a::-2601:640:8000:c02f:ffff:ffff:ffff:ffff","US","Washington","Seattle","Comcast Cable Communications, LLC","Comcast Cable Communications, LLC","","0.0003 (Very Low)","7922","2601::/20","","","","","","","5","","","US","Washington, Pierce","Tacoma","Comcast Cable Communications, LLC","Comcast Cable Communications, LLC","residential","","",""
"2025-12-17T21:23:01Z","2025-12-17","21:23:01","Taylor2 Nicholas","bennett4@consolidatedmsgr.com","2601:603:1f7e:e3b5:129a:d04e:d8b9:d4c5","26","Stonebridge"," Lake District 2"," US","Interrupted","50140","member","Myers3 authentication","Success","none","External Application 12","e83c0c8a-c512-49c7-8b28-0dc82272c710","Bailey5 Stewart Joan Garcia","00000002-0000-0000-c000-000000000000","This occurred due to 'Keep me signed in' interrupt when the user was signing in.","Browser","f26b75bb-4389-4e85-84a7-3cc4b80076ae","Edge 142.0.0","Windows10","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.206 Safari/537.36 Edg/142.0.0.206 Mitchell/5.1.9.115 (win)","FALSE","FALSE","Hybrid Azure AD joined","96","This is an expected part of the login flow, where a user is asked if they want to remain signed into this browser to make further logins easier. For more details, see https://techcommunity.microsoft.com/t5/microsoft-entra/the-new-azure-ad-sign-in-and-keep-me-signed-in-experiences/td-p/128267","Mobile app samuel5","","bennett4@consolidatedmsgr.com","50c65a69-9313-4906-851c-1b5f81435f3b","none","acSg1ICmTEC8CFWuV-sgAA","none","none","unbound","1008","a8d1bffe-4910-4918-8dc8-0e24f0e405cd","US","Washington","Gig Harbor","""Comcast Cable Communications, LLC""","""Comcast Cable Communications, LLC""","","","AS7922","2601:601:513:370a::-2601:640:8000:c02f:ffff:ffff:ffff:ffff","US","Washington","Seattle","Comcast Cable Communications, LLC","Comcast Cable Communications, LLC","","0.0003 (Very Low)","7922","2601::/20","","","","","","","5","","","US","Washington, Pierce","Tacoma","Comcast Cable Communications, LLC","Comcast Cable Communications, LLC","residential","","",""
"2025-12-17T21:22:26Z","2025-12-17","21:22:26","Taylor2 Nicholas","bennett4@consolidatedmsgr.com","2601:603:1f7e:e3b5:129a:d04e:d8b9:d4c5","26","Stonebridge"," Lake District 2"," US","Success","","member","Myers3 authentication","Success","primaryRefreshToken","OfficeHome","4765445b-32c6-49b0-83e6-1d93765276ca","OfficeHome","4765445b-32c6-49b0-83e6-1d93765276ca","Other.","Browser","f26b75bb-4389-4e85-84a7-3cc4b80076ae","Edge 142.0.0","Windows10","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.206 Safari/537.36 Edg/142.0.0.206 OS/10.0.26200","FALSE","FALSE","Hybrid Azure AD joined","107","MFA requirement satisfied by claim in the token","","","","6ba5e246-79c8-47cb-8ff3-ce439a84b26b","none","qE2eczrWC0yiLvCI4K8UAA","none","none","unbound","1008","d9c73d1b-8507-42a6-88c7-c78128a275a4","US","Washington","Gig Harbor","""Comcast Cable Communications, LLC""","""Comcast Cable Communications, LLC""","","","AS7922","2601:601:513:370a::-2601:640:8000:c02f:ffff:ffff:ffff:ffff","US","Washington","Seattle","Comcast Cable Communications, LLC","Comcast Cable Communications, LLC","","0.0003 (Very Low)","7922","2601::/20","","","","","","","5","","","US","Washington, Pierce","Tacoma","Comcast Cable Communications, LLC","Comcast Cable Communications, LLC","residential","","",""
"2025-12-17T21:22:25Z","2025-12-17","21:22:25","Taylor2 Nicholas","bennett4@consolidatedmsgr.com","2601:603:1f7e:e3b5:129a:d04e:d8b9:d4c5","26","Stonebridge"," Lake District 2"," US","Success","","member","Myers3 authentication","Success","primaryRefreshToken","OfficeHome","4765445b-32c6-49b0-83e6-1d93765276ca","OfficeHome","4765445b-32c6-49b0-83e6-1d93765276ca","Other.","Browser","f26b75bb-4389-4e85-84a7-3cc4b80076ae","Edge 142.0.0","Windows10","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.206 Safari/537.36 Edg/142.0.0.206 OS/10.0.26200","FALSE","FALSE","Hybrid Azure AD joined","94","MFA requirement skipped due to remembered device","","","bennett4@consolidatedmsgr.com","6ba5e246-79c8-47cb-8ff3-ce439a84b26b","none","Zm-iCBPOgE6ev_dCxKwlAA","none","none","bound","","d9c73d1b-8507-42a6-88c7-c78128a275a4","US","Washington","Gig Harbor","""Comcast Cable Communications, LLC""","""Comcast Cable Communications, LLC""","","","AS7922","2601:601:513:370a::-2601:640:8000:c02f:ffff:ffff:ffff:ffff","US","Washington","Seattle","Comcast Cable Communications, LLC","Comcast Cable Communications, LLC","","0.0003 (Very Low)","7922","2601::/20","","","","","","","5","","","US","Washington, Pierce","Tacoma","Comcast Cable Communications, LLC","Comcast Cable Communications, LLC","residential","","",""
"2025-12-17T21:22:23Z","2025-12-17","21:22:23","Taylor2 Nicholas","bennett4@consolidatedmsgr.com","2601:603:1f7e:e3b5:129a:d04e:d8b9:d4c5","26","Stonebridge"," Lake District 2"," US","Interrupted","50140","member","Myers3 authentication","Success","none","OfficeHome","4765445b-32c6-49b0-83e6-1d93765276ca","OfficeHome","4765445b-32c6-49b0-83e6-1d93765276ca","This occurred due to 'Keep me signed in' interrupt when the user was signing in.","Browser","f26b75bb-4389-4e85-84a7-3cc4b80076ae","Edge 142.0.0","Windows10","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.206 Safari/537.36 Edg/142.0.0.206 OS/10.0.26200","FALSE","FALSE","Hybrid Azure AD joined","83","This is an expected part of the login flow, where a user is asked if they want to remain signed into this browser to make further logins easier. For more details, see https://techcommunity.microsoft.com/t5/microsoft-entra/the-new-azure-ad-sign-in-and-keep-me-signed-in-experiences/td-p/128267","Mobile app samuel5","","bennett4@consolidatedmsgr.com","6ba5e246-79c8-47cb-8ff3-ce439a84b26b","none","TEiJOYj3uUSjWTgHW60VAA","none","none","bound","","d9c73d1b-8507-42a6-88c7-c78128a275a4","US","Washington","Gig Harbor","""Comcast Cable Communications, LLC""","""Comcast Cable Communications, LLC""","","","AS7922","2601:601:513:370a::-2601:640:8000:c02f:ffff:ffff:ffff:ffff","US","Washington","Seattle","Comcast Cable Communications, LLC","Comcast Cable Communications, LLC","","0.0003 (Very Low)","7922","2601::/20","","","","","","","5","","","US","Washington, Pierce","Tacoma","Comcast Cable Communications, LLC","Comcast Cable Communications, LLC","residential","","",""
"2025-12-17T21:18:43Z","2025-12-17","21:18:43","Taylor2 Nicholas","bennett4@consolidatedmsgr.com","2601:603:1f7e:e3b5:129a:d04e:d8b9:d4c5","26","Stonebridge"," Lake District 2"," US","Interrupted","50072","member","Myers3 authentication","Failure","none","External Application 12","e83c0c8a-c512-49c7-8b28-0dc82272c710","Bailey5 Stewart Joan Garcia","00000002-0000-0000-c000-000000000000","Due to a christina white made by your administrator, or because you moved to a new location, you must enroll in multi-factor authentication to access '{identifier}'.","Browser","f26b75bb-4389-4e85-84a7-3cc4b80076ae","Edge 142.0.0","Windows10","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.206 Safari/537.36 Edg/142.0.0.206 Mitchell/5.1.9.115 (win)","FALSE","FALSE","Hybrid Azure AD joined","103","The user was presented options to provide rivera options so that they can do MFA.","","","bennett4@consolidatedmsgr.com","e48c2264-bf0e-4fce-8ff6-215d39aa20a0","none","4lB3rhAdGUeu9dFru-4mAA","none","none","unbound","1008","b5894dfa-921d-4933-8e31-6f49cf149367","US","Washington","Gig Harbor","""Comcast Cable Communications, LLC""","""Comcast Cable Communications, LLC""","","","AS7922","2601:601:513:370a::-2601:640:8000:c02f:ffff:ffff:ffff:ffff","US","Washington","Seattle","Comcast Cable Communications, LLC","Comcast Cable Communications, LLC","","0.0003 (Very Low)","7922","2601::/20","","","","","","","5","","","US","Washington, Pierce","Tacoma","Comcast Cable Communications, LLC","Comcast Cable Communications, LLC","residential","","",""
"2025-12-17T21:13:12Z","2025-12-17","21:13:12","Taylor2 Nicholas","bennett4@consolidatedmsgr.com","2601:603:1f7e:b9c0:25c4:cc03:654f:9d04","2","Stonebridge"," Lake District 2"," US","Interrupted","50072","member","Myers3 authentication","Not Applied","none","Microsoft Authentication Broker","29d9ed98-a469-4536-ade2-f981bc1d605e","","9e4d1eb5-a163-46dd-82a2-4faec12b4a6b","Due to a christina white made by your administrator, or because you moved to a new location, you must enroll in multi-factor authentication to access '{identifier}'.","Mobile Apps and Desktop clients","","Mobile Safari 18.2","Ios 18.6.2","Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","FALSE","FALSE","","241","The user was presented options to provide rivera options so that they can do MFA.","","","bennett4@consolidatedmsgr.com","4f582cfa-8660-4062-8d6d-c7e22ace7937","none","10jf7rsWPEuBAVw0m7EPAA","none","none","unbound","1002","d2f9efae-b705-4bd7-8828-ce9f5ac574f2","US","Washington","Gig Harbor","""Comcast Cable Communications, LLC""","""Comcast Cable Communications, LLC""","","","AS7922","2601:601:513:370a::-2601:640:8000:c02f:ffff:ffff:ffff:ffff","US","Washington","Seattle","Comcast Cable Communications, LLC","Comcast Cable Communications, LLC","","0.0003 (Very Low)","7922","2601::/20","","","","","","","5","","","US","Washington, Pierce","Tacoma","Comcast Cable Communications, LLC","Comcast Cable Communications, LLC","residential","","",""
