UserId,Operation,Recordtypes,AppAccessContext.AADSessionId,AppAccessContext.APIId,AppAccessContext.ClientAppId,AppAccessContext.IssuedAtTime,AppAccessContext.UniqueTokenId,CreationTime,Id,OrganizationId,ResultStatus,UserKey,UserType,Version,Workload,ClientIP,AppId,AuthType,ClientAppId,ClientIPAddress,ClientInfoString,ExternalAccess,HostAppId,InternalLogonType,LogonType,LogonUserSid,MailboxGuid,MailboxOwnerSid,MailboxOwnerUPN,OrganizationName,OriginatingServer,TokenObjectId,TokenTenantId,TokenType,Item.Attachments,Item.Id,Item.ImmutableId,Item.InternetMessageId,Item.IsRecord,Item.ParentFolder.Id,Item.ParentFolder.Path,Item.SizeInBytes,Item.Subject,ObjectId,AppPoolName,CorrelationID,Parameters.1.Name,Parameters.1.Value,Parameters.2.Name,Parameters.2.Value,Parameters.3.Name,Parameters.3.Value,Parameters.4.Name,Parameters.4.Value,Parameters.5.Name,Parameters.5.Value,Parameters.6.Name,Parameters.6.Value,RequestId,SessionId,SaveToSentItems,ActorInfoString,ModifiedProperties.1,AzureActiveDirectoryEventType,ExtendedProperties.1.Name,ExtendedProperties.1.Value,ExtendedProperties.2.Name,ExtendedProperties.2.Value,ExtendedProperties.3.Name,ExtendedProperties.3.Value,ExtendedProperties.4.Name,ExtendedProperties.4.Value,ModifiedProperties,Actor.1.ID,Actor.1.Type,Actor.2.ID,Actor.2.Type,ActorContextId,ActorIpAddress,InterSystemsId,IntraSystemId,SupportTicketId,Target.1.ID,Target.1.Type,TargetContextId,ApplicationId,DeviceProperties.1.Name,DeviceProperties.1.Value,DeviceProperties.2.Name,DeviceProperties.2.Value,ErrorNumber,ExtendedProperties.5.Name,ExtendedProperties.5.Value,DeviceProperties.3.Name,DeviceProperties.3.Value,LogonError
bennett4@consolidatedmsgr.com,UserLoggedIn,15,,,,,,2025-12-17T18:53:00,81ce8f3f-4amanda-420c-8091-d8a3f7ad3c75,9fc57536-e8d3-4117-8537-fc27bc714352,Success,16040d97-c0b3-43ad-8158-1c920732fd67,0,1,AzureActiveDirectory,2a05:541:116:5e33:4aec:2433:45e1:ce28,,,,,,,,,,,,,,,,,,,,,,,,,,,,4765445b-32c6-49b0-83e6-1d93765276ca,,,,,,,,,,,,,,,,,,,,1,ResultStatusDetail,Success,KeepMeSignedIn,TRUE,UserAgent,axios/1.13.2,RequestType,SAS:ProcessAuth,,16040d97-c0b3-43ad-8158-1c920732fd67,0,bennett4@consolidatedmsgr.com,5,9fc57536-e8d3-4117-8537-fc27bc714352,2a05:541:116:5e33:4aec:2433:45e1:ce28,02d03055-704d-46e2-8787-72addf63b989,81ce8f3f-4amanda-420c-8091-d8a3f7ad3c75,,4765445b-32c6-49b0-83e6-1d93765276ca,0,9fc57536-e8d3-4117-8537-fc27bc714352,4765445b-32c6-49b0-83e6-1d93765276ca,BrowserType,Other,SessionId,deda489c-d060-42b4-8d67-58ebb6c194f9,50140,,,,,
bennett4@consolidatedmsgr.com,UserLoggedIn,15,,,,,,2025-12-17T18:53:00,c59bc046-a41f-4d07-8257-beff86053b68,9fc57536-e8d3-4117-8537-fc27bc714352,Success,16040d97-c0b3-43ad-8158-1c920732fd67,0,1,AzureActiveDirectory,2a05:541:116:5e33:4aec:2433:45e1:ce28,,,,,,,,,,,,,,,,,,,,,,,,,,,,4765445b-32c6-49b0-83e6-1d93765276ca,,,,,,,,,,,,,,,,,,,,1,ResultStatusDetail,Success,UserAgent,axios/1.13.2,RequestType,Kmsi:kmsi,,,,16040d97-c0b3-43ad-8158-1c920732fd67,0,bennett4@consolidatedmsgr.com,5,9fc57536-e8d3-4117-8537-fc27bc714352,2a05:541:116:5e33:4aec:2433:45e1:ce28,02d03055-704d-46e2-8787-72addf63b989,c59bc046-a41f-4d07-8257-beff86053b68,,4765445b-32c6-49b0-83e6-1d93765276ca,0,9fc57536-e8d3-4117-8537-fc27bc714352,4765445b-32c6-49b0-83e6-1d93765276ca,BrowserType,Other,SessionId,deda489c-d060-42b4-8d67-58ebb6c194f9,0,,,,,
Not Available,UserLoggedIn,15,,,,,,2025-12-17T18:52:59,be079011-c3af-430f-823d-150447635877,9fc57536-e8d3-4117-8537-fc27bc714352,Success,16040d97-c0b3-43ad-8158-1c920732fd67,4,1,AzureActiveDirectory,2a05:541:116:5e33:4aec:2433:45e1:ce28,,,,,,,,,,,,,,,,,,,,,,,,,,,,4765445b-32c6-49b0-83e6-1d93765276ca,,,,,,,,,,,,,,,,,,,,1,ResultStatusDetail,Success,UserAgent,axios/1.13.2,RequestType,SAS:EndAuth,,,,16040d97-c0b3-43ad-8158-1c920732fd67,0,,,9fc57536-e8d3-4117-8537-fc27bc714352,2a05:541:116:5e33:4aec:2433:45e1:ce28,02d03055-704d-46e2-8787-72addf63b989,be079011-c3af-430f-823d-150447635877,,4765445b-32c6-49b0-83e6-1d93765276ca,0,9fc57536-e8d3-4117-8537-fc27bc714352,4765445b-32c6-49b0-83e6-1d93765276ca,BrowserType,Other,,,0,,,,,
Not Available,UserLoggedIn,15,,,,,,2025-12-17T18:52:34,c3ee2bc3-50ae-46e2-84ee-a3a412da4c9c,9fc57536-e8d3-4117-8537-fc27bc714352,Success,16040d97-c0b3-43ad-8158-1c920732fd67,4,1,AzureActiveDirectory,2a05:541:116:5e33:4aec:2433:45e1:ce28,,,,,,,,,,,,,,,,,,,,,,,,,,,,4765445b-32c6-49b0-83e6-1d93765276ca,,,,,,,,,,,,,,,,,,,,1,ResultStatusDetail,Success,UserAgent,axios/1.13.2,RequestType,SAS:BeginAuth,,,,16040d97-c0b3-43ad-8158-1c920732fd67,0,,,9fc57536-e8d3-4117-8537-fc27bc714352,2a05:541:116:5e33:4aec:2433:45e1:ce28,02d03055-704d-46e2-8787-72addf63b989,c3ee2bc3-50ae-46e2-84ee-a3a412da4c9c,,4765445b-32c6-49b0-83e6-1d93765276ca,0,9fc57536-e8d3-4117-8537-fc27bc714352,4765445b-32c6-49b0-83e6-1d93765276ca,BrowserType,Other,,,0,,,,,
bennett4@consolidatedmsgr.com,UserLoginFailed,15,,,,,,2025-12-17T18:52:25,356e9ed8-8fc5-4212-8f09-fe2890b3978f,9fc57536-e8d3-4117-8537-fc27bc714352,Success,16040d97-c0b3-43ad-8158-1c920732fd67,0,1,AzureActiveDirectory,2a05:541:116:5e33:4aec:2433:45e1:ce28,,,,,,,,,,,,,,,,,,,,,,,,,,,,4765445b-32c6-49b0-83e6-1d93765276ca,,,,,,,,,,,,,,,,,,,,1,ResultStatusDetail,Success,UserAgent,axios/1.13.2,UserAuthenticationMethod,16,RequestType,SAS:BeginAuth,,16040d97-c0b3-43ad-8158-1c920732fd67,0,bennett4@consolidatedmsgr.com,5,9fc57536-e8d3-4117-8537-fc27bc714352,2a05:541:116:5e33:4aec:2433:45e1:ce28,02d03055-704d-46e2-8787-72addf63b989,356e9ed8-8fc5-4212-8f09-fe2890b3978f,,4765445b-32c6-49b0-83e6-1d93765276ca,0,9fc57536-e8d3-4117-8537-fc27bc714352,4765445b-32c6-49b0-83e6-1d93765276ca,BrowserType,Other,SessionId,deda489c-d060-42b4-8d67-58ebb6c194f9,50074,,,,,UserStrongAuthClientAuthNRequiredInterrupt
bennett4@consolidatedmsgr.com,UserLoggedIn,15,,,,,,2025-12-17T18:48:46,201b8dab-2a52-4cfe-8de4-410dcb80db12,9fc57536-e8d3-4117-8537-fc27bc714352,Success,16040d97-c0b3-43ad-8158-1c920732fd67,0,1,AzureActiveDirectory,2a05:541:116:d573:cf62:ebf1:5b13:efa2,,,,,,,,,,,,,,,,,,,,,,,,,,,,4765445b-32c6-49b0-83e6-1d93765276ca,,,,,,,,,,,,,,,,,,,,1,ResultStatusDetail,Success,UserAgent,axios/1.13.2,RequestType,Kmsi:kmsi,,,,16040d97-c0b3-43ad-8158-1c920732fd67,0,bennett4@consolidatedmsgr.com,5,9fc57536-e8d3-4117-8537-fc27bc714352,2a05:541:116:d573:cf62:ebf1:5b13:efa2,2473fe8a-aa95-43f2-8576-6593e4d6b5aa,201b8dab-2a52-4cfe-8de4-410dcb80db12,,4765445b-32c6-49b0-83e6-1d93765276ca,0,9fc57536-e8d3-4117-8537-fc27bc714352,4765445b-32c6-49b0-83e6-1d93765276ca,BrowserType,Other,SessionId,7e37e017-d69a-42b2-84b1-05bf87d522a7,0,,,,,
bennett4@consolidatedmsgr.com,UserLoggedIn,15,,,,,,2025-12-17T18:48:45,f5e0072f-4681-4611-816d-b17dd15a5737,9fc57536-e8d3-4117-8537-fc27bc714352,Success,16040d97-c0b3-43ad-8158-1c920732fd67,0,1,AzureActiveDirectory,2a05:541:116:d573:cf62:ebf1:5b13:efa2,,,,,,,,,,,,,,,,,,,,,,,,,,,,4765445b-32c6-49b0-83e6-1d93765276ca,,,,,,,,,,,,,,,,,,,,1,ResultStatusDetail,Success,KeepMeSignedIn,TRUE,UserAgent,axios/1.13.2,UserAuthenticationMethod,16,,16040d97-c0b3-43ad-8158-1c920732fd67,0,bennett4@consolidatedmsgr.com,5,9fc57536-e8d3-4117-8537-fc27bc714352,2a05:541:116:d573:cf62:ebf1:5b13:efa2,2473fe8a-aa95-43f2-8576-6593e4d6b5aa,f5e0072f-4681-4611-816d-b17dd15a5737,,4765445b-32c6-49b0-83e6-1d93765276ca,0,9fc57536-e8d3-4117-8537-fc27bc714352,4765445b-32c6-49b0-83e6-1d93765276ca,BrowserType,Other,SessionId,7e37e017-d69a-42b2-84b1-05bf87d522a7,50140,RequestType,SAS:ProcessAuth,,,
Not Available,UserLoggedIn,15,,,,,,2025-12-17T18:48:45,6ceb2b13-ee88-4c49-8983-4b289bfbca9e,9fc57536-e8d3-4117-8537-fc27bc714352,Success,16040d97-c0b3-43ad-8158-1c920732fd67,4,1,AzureActiveDirectory,2a05:541:116:d573:cf62:ebf1:5b13:efa2,,,,,,,,,,,,,,,,,,,,,,,,,,,,4765445b-32c6-49b0-83e6-1d93765276ca,,,,,,,,,,,,,,,,,,,,1,ResultStatusDetail,Success,UserAgent,axios/1.13.2,RequestType,SAS:EndAuth,,,,16040d97-c0b3-43ad-8158-1c920732fd67,0,,,9fc57536-e8d3-4117-8537-fc27bc714352,2a05:541:116:d573:cf62:ebf1:5b13:efa2,2473fe8a-aa95-43f2-8576-6593e4d6b5aa,6ceb2b13-ee88-4c49-8983-4b289bfbca9e,,4765445b-32c6-49b0-83e6-1d93765276ca,0,9fc57536-e8d3-4117-8537-fc27bc714352,4765445b-32c6-49b0-83e6-1d93765276ca,BrowserType,Other,,,0,,,,,
Not Available,UserLoggedIn,15,,,,,,2025-12-17T18:48:37,3c3ccfec-f6b9-4890-879d-0c045c50b650,9fc57536-e8d3-4117-8537-fc27bc714352,Success,16040d97-c0b3-43ad-8158-1c920732fd67,4,1,AzureActiveDirectory,2a05:541:116:d573:cf62:ebf1:5b13:efa2,,,,,,,,,,,,,,,,,,,,,,,,,,,,4765445b-32c6-49b0-83e6-1d93765276ca,,,,,,,,,,,,,,,,,,,,1,ResultStatusDetail,Success,UserAgent,axios/1.13.2,RequestType,SAS:EndAuth,,,,16040d97-c0b3-43ad-8158-1c920732fd67,0,,,9fc57536-e8d3-4117-8537-fc27bc714352,2a05:541:116:d573:cf62:ebf1:5b13:efa2,2473fe8a-aa95-43f2-8576-6593e4d6b5aa,3c3ccfec-f6b9-4890-879d-0c045c50b650,,4765445b-32c6-49b0-83e6-1d93765276ca,0,9fc57536-e8d3-4117-8537-fc27bc714352,4765445b-32c6-49b0-83e6-1d93765276ca,BrowserType,Other,,,0,,,,,
Not Available,UserLoggedIn,15,,,,,,2025-12-17T18:48:28,5716cc05-d49b-4dbd-82ff-a4284653ab48,9fc57536-e8d3-4117-8537-fc27bc714352,Success,16040d97-c0b3-43ad-8158-1c920732fd67,4,1,AzureActiveDirectory,2a05:541:116:d573:cf62:ebf1:5b13:efa2,,,,,,,,,,,,,,,,,,,,,,,,,,,,4765445b-32c6-49b0-83e6-1d93765276ca,,,,,,,,,,,,,,,,,,,,1,ResultStatusDetail,Success,UserAgent,axios/1.13.2,RequestType,SAS:EndAuth,,,,16040d97-c0b3-43ad-8158-1c920732fd67,0,,,9fc57536-e8d3-4117-8537-fc27bc714352,2a05:541:116:d573:cf62:ebf1:5b13:efa2,2473fe8a-aa95-43f2-8576-6593e4d6b5aa,5716cc05-d49b-4dbd-82ff-a4284653ab48,,4765445b-32c6-49b0-83e6-1d93765276ca,0,9fc57536-e8d3-4117-8537-fc27bc714352,4765445b-32c6-49b0-83e6-1d93765276ca,BrowserType,Other,,,0,,,,,
