Description,Enabled,Patel26,InError,ErrorType,Name,Priority,RuleIdentity,SupportedByTask,Legacy,BodyContainsWords,ExceptIfBodyContainsWords,FlaggedForAction,ExceptIfFlaggedForAction,FromAddressContainsWords,ExceptIfFromAddressContainsWords,From,ExceptIfFrom,HasAttachment,ExceptIfHasAttachment,HasClassification,ExceptIfHasClassification,HeaderContainsWords,ExceptIfHeaderContainsWords,MessageTypeMatches,ExceptIfMessageTypeMatches,MyNameInCcBox,ExceptIfMyNameInCcBox,MyNameInToBox,ExceptIfMyNameInToBox,MyNameInToOrCcBox,ExceptIfMyNameInToOrCcBox,MyNameNotInToBox,ExceptIfMyNameNotInToBox,ReceivedAfterDate,ExceptIfReceivedAfterDate,ReceivedBeforeDate,ExceptIfReceivedBeforeDate,RecipientAddressContainsWords,ExceptIfRecipientAddressContainsWords,SentOnlyToMe,ExceptIfSentOnlyToMe,SentTo,ExceptIfSentTo,SubjectContainsWords,ExceptIfSubjectContainsWords,SubjectOrBodyContainsWords,ExceptIfSubjectOrBodyContainsWords,WithImportance,ExceptIfWithImportance,WithinSizeRangeMaximum,ExceptIfWithinSizeRangeMaximum,WithinSizeRangeMinimum,ExceptIfWithinSizeRangeMinimum,WithSensitivity,ExceptIfWithSensitivity,ApplyCategory,ApplySystemCategory,CopyToFolder,DeleteMessage,DeleteSystemCategory,ForwardAsAttachmentTo,ForwardTo,MarkAsRead,MarkImportance,MoveToFolder,PinMessage,RedirectTo,SendTextMessageNotificationTo,SoftDeleteMessage,StopProcessingRules,DisplayAlert,PlaySound,MailboxOwnerId,IsValid,ObjectState
"If the message:
	the message was received from 'carolyn27.paul28@cruz291.example'
Take the following actions:
	move the message to folder 'Gomez45'
	and stop processing more rules on this message
",TRUE,ruiz15\8107123003214528513,FALSE,None,carolyn27.paul28@cruz291.example,1,8.11E+18,TRUE,,,,,,,,"""carolyn27.paul28@cruz291.example"" [SMTP:carolyn27.paul28@cruz291.example]",,FALSE,FALSE,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,FALSE,,,,FALSE,,Gomez45,FALSE,,,FALSE,TRUE,,,ruiz15,TRUE,Unchanged
"If the message:
	the message was received from 'info@cruz292.example'
Take the following actions:
	move the message to folder 'Gomez45'
	and stop processing more rules on this message
",TRUE,ruiz15\8035065409176600577,FALSE,None,info@cruz292.example,2,8.04E+18,TRUE,,,,,,,,"""info@cruz292.example"" [SMTP:info@cruz292.example]",,FALSE,FALSE,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,FALSE,,,,FALSE,,Gomez45,FALSE,,,FALSE,TRUE,,,ruiz15,TRUE,Unchanged
"If the message:
	the message was received from 'support@cruz293.example'
	and the message includes specific words in the subject 'Summary of Loan Changes'
Take the following actions:
	move the message to folder '[folder not found]'
",TRUE,ruiz15\7475723971279716353,TRUE,PropertiesInError,support@cruz293.example,4,7.48E+18,TRUE,,,,,,,,"""support@cruz293.example"" [SMTP:support@cruz293.example]",,FALSE,FALSE,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,FALSE,FALSE,,,Summary of Loan Changes,,,,,,,,,,,,,,,FALSE,,,,FALSE,,,FALSE,,,FALSE,FALSE,,,ruiz15,TRUE,Unchanged
"If the message:
	the message was received from 'support@cruz293.example'
	and the message includes specific words in the subject 'Notice of Recorded Anna26'
Take the following actions:
	move the message to folder 'Catherine33 Notices'
	and stop processing more rules on this message
",TRUE,ruiz15\7547781565317644289,FALSE,None,Catherine33 Timothy41,5,7.55E+18,TRUE,,,,,,,,"""support@cruz293.example"" [SMTP:support@cruz293.example]",,FALSE,FALSE,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,FALSE,FALSE,,,Notice of Recorded Anna26,,,,,,,,,,,,,,,FALSE,,,,FALSE,,Catherine33 Notices,FALSE,,,FALSE,TRUE,,,ruiz15,TRUE,Unchanged
"If the message:
	the message includes specific words in the subject 'Catherine33'
Take the following actions:
	move the message to folder 'Courier'
	and stop processing more rules on this message
",TRUE,Parker13\6880828012472827905,FALSE,None,Catherine33,1,6.88E+18,TRUE,,,,,,,,,,FALSE,FALSE,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,FALSE,FALSE,,,Catherine33,,,,,,,,,,,,,,,FALSE,,,,FALSE,,Courier,FALSE,,,FALSE,TRUE,,,Parker13,TRUE,Unchanged
"If the message:
	the message includes specific words in the subject 'Rejection '
Take the following actions:
	move the message to folder 'Rejections'
	and stop processing more rules on this message
",TRUE,Parker13\6952885606510755841,FALSE,None,Rejection ,2,6.95E+18,TRUE,,,,,,,,,,FALSE,FALSE,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,FALSE,FALSE,,,eCourier Rejection ,,,,,,,,,,,,,,,FALSE,,,,FALSE,,Rejections,FALSE,,,FALSE,TRUE,,,Parker13,TRUE,Unchanged
"If the message:
	the message includes specific words in the subject 'Notice of Rejected Anna26'
Take the following actions:
	move the message to folder 'Melissa28 Nathan38 Rejections'
	and stop processing more rules on this message
",TRUE,Parker13\7097000794586611713,FALSE,None,Notice of Rejected Anna26 (1),4,7.10E+18,TRUE,,,,,,,,,,FALSE,FALSE,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,FALSE,FALSE,,,Notice of Rejected Anna26,,,,,,,,,,,,,,,FALSE,,,,FALSE,,Melissa28 Nathan38 Rejections,FALSE,,,FALSE,TRUE,,,Parker13,TRUE,Unchanged
"If the message:
	the message was received from 'External Vendor 5 - System Message'
Take the following actions:
	move the message to folder 'External Vendor 5'
	and stop processing more rules on this message
",TRUE,Parker13\7169058388624539649,FALSE,None,External Vendor 5 - System Message (1),5,7.17E+18,TRUE,,,,,,,,"""External Vendor 5 - System Message"" [SMTP:eric25-phillips34@cruz293.example]",,FALSE,FALSE,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,FALSE,,,,FALSE,,External Vendor 5,FALSE,,,FALSE,TRUE,,,Parker13,TRUE,Unchanged
"If the message:
	the message includes specific words in the subject 'Notice of Rejected Anna26'
Take the following actions:
	move the message to folder 'Melissa28 Nathan38 Rejections'
	and stop processing more rules on this message
",TRUE,Parker13\7241115982662467585,FALSE,None,Notice of Rejected Anna26,6,7.24E+18,TRUE,,,,,,,,,,FALSE,FALSE,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,FALSE,FALSE,,,Notice of Rejected Anna26,,,,,,,,,,,,,,,FALSE,,,,FALSE,,Melissa28 Nathan38 Rejections,FALSE,,,FALSE,TRUE,,,Parker13,TRUE,Unchanged
"If the message:
	the message was received from 'External Vendor 5 - System Message'
Take the following actions:
	move the message to folder 'External Vendor 5'
	and stop processing more rules on this message
",TRUE,Parker13\7313173576700395521,FALSE,None,External Vendor 5 - System Message,7,7.31E+18,TRUE,,,,,,,,"""External Vendor 5 - System Message"" [SMTP:support@cruz293.example]",,FALSE,FALSE,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,FALSE,,,,FALSE,,External Vendor 5,FALSE,,,FALSE,TRUE,,,Parker13,TRUE,Unchanged
