"Date (UTC)","CorrelationId","Service","Category","Activity","Result","ResultReason","User Agent","ActorType","ActorDisplayName","ActorObjectId","ActorUserPrincipalName","IPAddress","ActorHomeTenantId","ActorHomeTenantName","ActorServicePrincipalId","ActorServicePrincipalName","Target1Type","Target1DisplayName","Target1ObjectId","Target1UserPrincipalName","Target1ModifiedProperty1Name","Target1ModifiedProperty1OldValue","Target1ModifiedProperty1NewValue","Target1ModifiedProperty2Name","Target1ModifiedProperty2OldValue","Target1ModifiedProperty2NewValue","Target1ModifiedProperty3Name","Target1ModifiedProperty3OldValue","Target1ModifiedProperty3NewValue","Target1ModifiedProperty4Name","Target1ModifiedProperty4OldValue","Target1ModifiedProperty4NewValue","Target1ModifiedProperty5Name","Target1ModifiedProperty5OldValue","Target1ModifiedProperty5NewValue","Target2Type","Target2DisplayName","Target2ObjectId","Target2UserPrincipalName","Target2ModifiedProperty1Name","Target2ModifiedProperty1OldValue","Target2ModifiedProperty1NewValue","Target2ModifiedProperty2Name","Target2ModifiedProperty2OldValue","Target2ModifiedProperty2NewValue","Target2ModifiedProperty3Name","Target2ModifiedProperty3OldValue","Target2ModifiedProperty3NewValue","Target2ModifiedProperty4Name","Target2ModifiedProperty4OldValue","Target2ModifiedProperty4NewValue","Target2ModifiedProperty5Name","Target2ModifiedProperty5OldValue","Target2ModifiedProperty5NewValue","Target3Type","Target3DisplayName","Target3ObjectId","Target3UserPrincipalName","Target3ModifiedProperty1Name","Target3ModifiedProperty1OldValue","Target3ModifiedProperty1NewValue","Target3ModifiedProperty2Name","Target3ModifiedProperty2OldValue","Target3ModifiedProperty2NewValue","Target3ModifiedProperty3Name","Target3ModifiedProperty3OldValue","Target3ModifiedProperty3NewValue","Target3ModifiedProperty4Name","Target3ModifiedProperty4OldValue","Target3ModifiedProperty4NewValue","Target3ModifiedProperty5Name","Target3ModifiedProperty5OldValue","Target3ModifiedProperty5NewValue","AdditionalDetail1Key","AdditionalDetail1Value","AdditionalDetail2Key","AdditionalDetail2Value","AdditionalDetail3Key","AdditionalDetail3Value","AdditionalDetail4Key","AdditionalDetail4Value","AdditionalDetail5Key","AdditionalDetail5Value","AdditionalDetail6Key","AdditionalDetail6Value"
2025-09-29T20:30:30.62924Z,6665eed7-6c2c-4f81-89b5-ece2bc9a9404,Self-service Password Management,UserManagement,Change password (self-service),Success,None,,User,,52b9c00a-3d50-4d6f-8452-6d833f86f23b,betty20@contoso.com,,,,,,User,Betty20 Deborah51,52b9c00a-3d50-4d6f-8452-6d833f86f23b,betty20@contoso.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OnPremisesAgent,None,,,,,,,,,,,{84},{85}
2025-09-29T20:30:30.5767394Z,84ede042-9485-4101-8ae4-278ee6509b34,Core Directory,UserManagement,Update StsRefreshTokenValidFrom Timestamp,Success,,,Application,Ruth29 johnson35 kelly64 service,,,,,,f7a5f972-f757-4e9a-8b07-0b61476e75b8,,User,,52b9c00a-3d50-4d6f-8452-6d833f86f23b,betty20@contoso.com,ActorId.ServicePrincipalNames,,"""https://passwordreset.microsoftonline.com/;9d9c527b-c354-42c8-8389-dc5c7f54ec07;SelfServicePasswordReset""",SPN,,"""https://passwordreset.microsoftonline.com/;9d9c527b-c354-42c8-8389-dc5c7f54ec07;SelfServicePasswordReset""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{84},{85}
2025-09-29T20:30:30.5757364Z,84ede042-9485-4101-8ae4-278ee6509b34,Core Directory,UserManagement,Change user password,Success,,,Application,Ruth29 johnson35 kelly64 service,,,,,,f7a5f972-f757-4e9a-8b07-0b61476e75b8,,User,,52b9c00a-3d50-4d6f-8452-6d833f86f23b,betty20@contoso.com,ActorId.ServicePrincipalNames,,"""https://passwordreset.microsoftonline.com/;9d9c527b-c354-42c8-8389-dc5c7f54ec07;SelfServicePasswordReset""",SPN,,"""https://passwordreset.microsoftonline.com/;9d9c527b-c354-42c8-8389-dc5c7f54ec07;SelfServicePasswordReset""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{84},{85}
2025-09-29T20:30:30.3647356Z,84ede042-9485-4101-8ae4-278ee6509b34,Core Directory,UserManagement,Update PasswordProfile,Success,,,Application,Ruth29 johnson35 kelly64 service,,,,,,f7a5f972-f757-4e9a-8b07-0b61476e75b8,,User,,52b9c00a-3d50-4d6f-8452-6d833f86f23b,betty20@contoso.com,ForceChangePassword,"""True""","""False""",Password,,,ActorId.ServicePrincipalNames,,"""https://passwordreset.microsoftonline.com/;9d9c527b-c354-42c8-8389-dc5c7f54ec07;SelfServicePasswordReset""",SPN,,"""https://passwordreset.microsoftonline.com/;9d9c527b-c354-42c8-8389-dc5c7f54ec07;SelfServicePasswordReset""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{84},{85}
2025-09-29T20:29:57.8193409Z,50c9bb2d-eaab-42dc-8482-8b4ca1ffde4c,Authentication Methods,PolicyManagement,POST UserAuthMethod.SecurityInfoRegistrationCallback,Success,NoContent,,User,Betty20 Deborah51,,betty20@contoso.com,104.210.141.82,,,,,,,,,,,,,,,,,,,,,,,,Policy,Jacob35 Authentication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{85}
2025-09-29T20:29:57.7261368Z,158b165d-236d-41dd-8089-49d9d607cf9f,Core Directory,UserManagement,Update user,Success,,,Application,Patel14 Gray19 King17 Taylor29 Service,,,,,,613ec37b-cbb0-4b92-845d-1bb588276afe,,User,,52b9c00a-3d50-4d6f-8452-6d833f86f23b,betty20@contoso.com,Included Updated Properties,,"""""",TargetId.UserType,,"""Member""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UserType,Member,,,,,,,,,,,{84},{85}
2025-09-29T20:29:57Z,a0efceb0-d819-44b4-8722-2577e2dacdc2,Authentication Methods,UserManagement,User registered all required security info,Success,User registered all required security info,,User,Betty20 Deborah51,52b9c00a-3d50-4d6f-8452-6d833f86f23b,betty20@contoso.com,137.27.96.204,,,,,User,Betty20 Deborah51,52b9c00a-3d50-4d6f-8452-6d833f86f23b,betty20@contoso.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{84},{85}
2025-09-29T20:29:51.2308406Z,802cffd8-3c83-43f8-8bdc-20160094ed92,Core Directory,UserManagement,Update user,Success,,,User,Ruth29 App Ward11 Kelly59,52b9c00a-3d50-4d6f-8452-6d833f86f23b,betty20@contoso.com,104.210.141.57,,,,,User,,52b9c00a-3d50-4d6f-8452-6d833f86f23b,betty20@contoso.com,TargetId.UserType,,"""Member""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UserType,Member,,,,,,,,,,,{84},{85}
2025-09-29T20:29:51.2248439Z,802cffd8-3c83-43f8-8bdc-20160094ed92,Core Directory,UserManagement,Update user,Success,,,User,Ruth29 App Ward11 Kelly59,52b9c00a-3d50-4d6f-8452-6d833f86f23b,betty20@contoso.com,104.210.141.57,,,,,User,,52b9c00a-3d50-4d6f-8452-6d833f86f23b,betty20@contoso.com,TargetId.UserType,,"""Member""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UserType,Member,,,,,,,,,,,{84},{85}
2025-09-29T20:29:51.2208446Z,802cffd8-3c83-43f8-8bdc-20160094ed92,Core Directory,UserManagement,Create application password for user,Success,,,User,Ruth29 App Ward11 Kelly59,52b9c00a-3d50-4d6f-8452-6d833f86f23b,betty20@contoso.com,104.210.141.57,,,,,User,,52b9c00a-3d50-4d6f-8452-6d833f86f23b,betty20@contoso.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{84},{85}
