ActivityDateTime,ActivityDisplayName,AdditionalDetails.1.Key,AdditionalDetails.1.Value,AdditionalDetails.1.AdditionalProperties,Category,CorrelationId,Id,InitiatedBy.App.AppId,InitiatedBy.App.DisplayName,InitiatedBy.App.ServicePrincipalId,InitiatedBy.App.ServicePrincipalName,InitiatedBy.App.AdditionalProperties,InitiatedBy.User.DisplayName,InitiatedBy.User.HomeTenantId,InitiatedBy.User.HomeTenantName,InitiatedBy.User.IPAddress,InitiatedBy.User.Id,InitiatedBy.User.UserPrincipalName,InitiatedBy.User.AdditionalProperties,InitiatedBy.AdditionalProperties,LoggedByService,OperationType,Result,ResultReason,TargetResources.1.DisplayName,TargetResources.1.GroupType,TargetResources.1.Id,TargetResources.1.ModifiedProperties,TargetResources.1.Type,TargetResources.1.UserPrincipalName,TargetResources.1.AdditionalProperties,UserAgent,AdditionalProperties
2025-09-29 20:30,Change password (self-service),OnPremisesAgent,None,,UserManagement,6665eed7-6c2c-4f81-89b5-ece2bc9a9404,SSPR_6665eed7-6c2c-4f81-89b5-ece2bc9a9404_Z0UX8_59766265,,,,,,,,,,52b9c00a-3d50-4d6f-8452-6d833f86f23b,betty20@contoso.com,,,Self-service Password Matthew13,Update,success,None,Betty20 Deborah51,,52b9c00a-3d50-4d6f-8452-6d833f86f23b,Microsoft.Graph.Beta.Chavez45.Models.IMicrosoftGraphModifiedProperty[],User,betty20@contoso.com,,,
2025-09-29 20:30,Update StsRefreshTokenValidFrom Timestamp,,,,UserManagement,84ede042-9485-4101-8ae4-278ee6509b34,Directory_84ede042-9485-4101-8ae4-278ee6509b34_8K4FE_218770458,,Ruth29 johnson35 kelly64 service,f7a5f972-f757-4e9a-8b07-0b61476e75b8,,,,,,,,,,,Core Directory,Update,success,,,,52b9c00a-3d50-4d6f-8452-6d833f86f23b,,User,betty20@contoso.com,,,
2025-09-29 20:30,Change user password,,,,UserManagement,84ede042-9485-4101-8ae4-278ee6509b34,Directory_84ede042-9485-4101-8ae4-278ee6509b34_8K4FE_218770451,,Ruth29 johnson35 kelly64 service,f7a5f972-f757-4e9a-8b07-0b61476e75b8,,,,,,,,,,,Core Directory,Update,success,,,,52b9c00a-3d50-4d6f-8452-6d833f86f23b,,User,betty20@contoso.com,,,
2025-09-29 20:30,Update PasswordProfile,,,,UserManagement,84ede042-9485-4101-8ae4-278ee6509b34,Directory_84ede042-9485-4101-8ae4-278ee6509b34_8K4FE_218769439,,Ruth29 johnson35 kelly64 service,f7a5f972-f757-4e9a-8b07-0b61476e75b8,,,,,,,,,,,Core Directory,Update,success,,,,52b9c00a-3d50-4d6f-8452-6d833f86f23b,,User,betty20@contoso.com,,,
2025-09-29 20:29,POST UserAuthMethod.SecurityInfoRegistrationCallback,,,,PolicyManagement,50c9bb2d-eaab-42dc-8482-8b4ca1ffde4c,Authentication Methods_50c9bb2d-eaab-42dc-8482-8b4ca1ffde4c_H3WJQ_182260437,,,,,,Betty20 Deborah51,,,104.210.141.82,,betty20@contoso.com,,,Authentication Methods,ServiceApi,success,NoContent,,,,Microsoft.Graph.Beta.Chavez45.Models.IMicrosoftGraphModifiedProperty[],,,,,
2025-09-29 20:29,Update user,UserType,Member,,UserManagement,158b165d-236d-41dd-8089-49d9d607cf9f,Directory_158b165d-236d-41dd-8089-49d9d607cf9f_045MV_86740739,,Patel14 Gray19 King17 Taylor29 Service,613ec37b-cbb0-4b92-845d-1bb588276afe,,,,,,,,,,,Core Directory,Update,success,,,,52b9c00a-3d50-4d6f-8452-6d833f86f23b,,User,betty20@contoso.com,,,
2025-09-29 20:29,User registered all required security info,,,,UserManagement,a0efceb0-d819-44b4-8722-2577e2dacdc2,Authentication Methods_a0efceb0-d819-44b4-8722-2577e2dacdc2_67NRR_181280707,,,,,,Betty20 Deborah51,,,137.27.96.204,52b9c00a-3d50-4d6f-8452-6d833f86f23b,betty20@contoso.com,,,Authentication Methods,Add,success,User registered all required security info,Betty20 Deborah51,,52b9c00a-3d50-4d6f-8452-6d833f86f23b,Microsoft.Graph.Beta.Chavez45.Models.IMicrosoftGraphModifiedProperty[],User,betty20@contoso.com,,,
2025-09-29 20:29,Update user,UserType,Member,,UserManagement,802cffd8-3c83-43f8-8bdc-20160094ed92,Directory_802cffd8-3c83-43f8-8bdc-20160094ed92_2NJKE_98709718,,,,,,Ruth29 App Ward11 Kelly59,,,104.210.141.57,52b9c00a-3d50-4d6f-8452-6d833f86f23b,betty20@contoso.com,,,Core Directory,Update,success,,,,52b9c00a-3d50-4d6f-8452-6d833f86f23b,,User,betty20@contoso.com,,,
2025-09-29 20:29,Update user,UserType,Member,,UserManagement,802cffd8-3c83-43f8-8bdc-20160094ed92,Directory_802cffd8-3c83-43f8-8bdc-20160094ed92_2NJKE_98709684,,,,,,Ruth29 App Ward11 Kelly59,,,104.210.141.57,52b9c00a-3d50-4d6f-8452-6d833f86f23b,betty20@contoso.com,,,Core Directory,Update,success,,,,52b9c00a-3d50-4d6f-8452-6d833f86f23b,,User,betty20@contoso.com,,,
2025-09-29 20:29,Create application password for user,,,,UserManagement,802cffd8-3c83-43f8-8bdc-20160094ed92,Directory_802cffd8-3c83-43f8-8bdc-20160094ed92_2NJKE_98709664,,,,,,Ruth29 App Ward11 Kelly59,,,104.210.141.57,52b9c00a-3d50-4d6f-8452-6d833f86f23b,betty20@contoso.com,,,Core Directory,Update,success,,,,52b9c00a-3d50-4d6f-8452-6d833f86f23b,Microsoft.Graph.Beta.Chavez45.Models.IMicrosoftGraphModifiedProperty[],User,betty20@contoso.com,,,
