"Activity","ActivityDateTime","AdditionalInfo","CorrelationId","DetectedDateTime","DetectionTimingType","IPAddress","Id","LastUpdatedDateTime","Location","RequestId","RiskDetail","RiskEventType","RiskLevel","RiskState","Source","TokenIssuerType","UserDisplayName","UserId","UserPrincipalName","AdditionalProperties"
"signin","2025-09-04 17:50:58","[{""Key"":""riskReasons"",""Value"":[""UnfamiliarASN"",""UnfamiliarBrowser"",""UnfamiliarDevice"",""UnfamiliarIP"",""UnfamiliarLocation"",""UnfamiliarEASId"",""UnfamiliarTenantIPsubnet""]},{""Key"":""userAgent"",""Value"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64; WebView/3.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.20348""},{""Key"":""alertUrl"",""Value"":null},{""Key"":""mitreTechniques"",""Value"":""T1078.004""}]","7106b496-dc21-4b14-8a44-fc37bef4aaa8","2025-09-04 17:50:58","realtime","108.165.237.205","e4ccc339bb4620fbd5d938a200dc4b886ce139ff9f4938ea87edcc8768c2d96f","2025-09-05 02:04:54","Microsoft.Graph.Chavez45.Models.MicrosoftGraphSignInLocation","df61879f-90c8-431f-80a8-041facd9b984","hidden","generic","hidden","remediated","IdentityProtection","AzureAD","Morgan16 Christine16","bdce25d5-bc10-4969-815b-61ed6da7ad63","george26@contoso.com","System.Collections.Generic.Linda13`2[System.String,System.Object]"
"signin","2025-09-04 19:06:54","[{""Key"":""userAgent"",""Value"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64; WebView/3.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.20348""},{""Key"":""mitreTechniques"",""Value"":""T1110.003,T1110.001""}]","409d0057-5008-4054-877c-fce6237502c8","2025-09-04 19:06:54","realtime","108.165.237.205","f62c2cd338f21a82222d7c1cf56733f0aa4c4c9ff4a3a75757ba2a6f060349ea","2025-09-04 20:45:44","Microsoft.Graph.Chavez45.Models.MicrosoftGraphSignInLocation","a3a0c12b-7e9f-4063-83a3-4e30a84d2a09","hidden","generic","hidden","remediated","IdentityProtection","AzureAD","Morgan16 Christine16","bdce25d5-bc10-4969-815b-61ed6da7ad63","george26@contoso.com","System.Collections.Generic.Linda13`2[System.String,System.Object]"
"signin","2025-09-04 19:30:24","[{""Key"":""riskReasons"",""Value"":[""UnfamiliarASN"",""UnfamiliarBrowser"",""UnfamiliarDevice"",""UnfamiliarIP"",""UnfamiliarLocation"",""UnfamiliarEASId"",""UnfamiliarTenantIPsubnet""]},{""Key"":""userAgent"",""Value"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64; WebView/3.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.20348""},{""Key"":""alertUrl"",""Value"":null},{""Key"":""mitreTechniques"",""Value"":""T1078.004""}]","409d0057-5008-4054-877c-fce6237502c8","2025-09-04 19:30:24","realtime","108.165.237.205","79e96d5e88045e3df487021e9d8e6fa07376f07deca6955282adf031c8edcac8","2025-09-04 20:45:44","Microsoft.Graph.Chavez45.Models.MicrosoftGraphSignInLocation","c7ea1379-d221-404a-875d-e2255fa3b6bd","hidden","generic","hidden","remediated","IdentityProtection","AzureAD","Morgan16 Christine16","bdce25d5-bc10-4969-815b-61ed6da7ad63","george26@contoso.com","System.Collections.Generic.Linda13`2[System.String,System.Object]"
"signin","2025-09-04 19:40:22","[{""Key"":""riskReasons"",""Value"":[""UnfamiliarASN"",""UnfamiliarBrowser"",""UnfamiliarDevice"",""UnfamiliarIP"",""UnfamiliarLocation"",""UnfamiliarEASId"",""UnfamiliarTenantIPsubnet""]},{""Key"":""userAgent"",""Value"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64; WebView/3.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.20348""},{""Key"":""alertUrl"",""Value"":null},{""Key"":""mitreTechniques"",""Value"":""T1078.004""}]","409d0057-5008-4054-877c-fce6237502c8","2025-09-04 19:40:22","realtime","108.165.237.205","325b95d2403e5d586a48da3fe04f8594ff26b5934a0a5d6b4ea51903ff632771","2025-09-04 19:47:54","Microsoft.Graph.Chavez45.Models.MicrosoftGraphSignInLocation","3276c125-a8fd-4f3c-8bd6-d75790fe8b75","hidden","generic","hidden","remediated","IdentityProtection","AzureAD","Morgan16 Christine16","bdce25d5-bc10-4969-815b-61ed6da7ad63","george26@contoso.com","System.Collections.Generic.Linda13`2[System.String,System.Object]"
"signin","2025-09-08 16:39:28","[{""Key"":""riskReasons"",""Value"":[""UnfamiliarASN"",""UnfamiliarBrowser"",""UnfamiliarDevice"",""UnfamiliarIP"",""UnfamiliarLocation"",""UnfamiliarEASId"",""UnfamiliarTenantIPsubnet""]},{""Key"":""userAgent"",""Value"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.164 Safari/537.36 Edg/138.0.0.164""},{""Key"":""alertUrl"",""Value"":null},{""Key"":""mitreTechniques"",""Value"":""T1078.004""}]","68e61f43-0f82-4f0c-855b-dbe68c338e62","2025-09-08 16:39:10","realtime","92.118.112.17","bdadac2a13b8149a71f2dd24a1442021ffa82ea0f8a58f41344a5ab095eb35b4","2025-09-08 16:41:53","Microsoft.Graph.Chavez45.Models.MicrosoftGraphSignInLocation","03c53ede-da49-4db9-83d5-83e278842279","hidden","generic","hidden","remediated","IdentityProtection","AzureAD","Betty20 Deborah51","52b9c00a-3d50-4d6f-8452-6d833f86f23b","betty20@contoso.com","System.Collections.Generic.Linda13`2[System.String,System.Object]"
"signin","2025-09-08 17:23:29","[{""Key"":""userAgent"",""Value"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.164 Safari/537.36 Edg/138.0.0.164""},{""Key"":""mitreTechniques"",""Value"":""T1090.003,T1078""}]","103da961-643a-4dfa-8cb4-c17e4ad6957d","2025-09-08 17:23:29","realtime","143.244.49.45","d299d1e4012144941c83a9e4d8cebe806206436b65fa42b7d10082cc07751b44","2025-09-08 17:26:32","Microsoft.Graph.Chavez45.Models.MicrosoftGraphSignInLocation","442e1433-9c53-4aff-8537-8c8d5ae8dedc","hidden","anonymizedIPAddress","hidden","remediated","IdentityProtection","AzureAD","Betty20 Deborah51","52b9c00a-3d50-4d6f-8452-6d833f86f23b","betty20@contoso.com","System.Collections.Generic.Linda13`2[System.String,System.Object]"
"user","2025-09-08 16:47:05","[{""Key"":""riskReasons"",""Value"":[""NotSet""]},{""Key"":""userAgent"",""Value"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.164 Safari/537.36""},{""Key"":""alertUrl"",""Value"":""""},{""Key"":""mitreTechniques"",""Value"":""T1078,T1539""}]","9bd4c13e-aa0f-408b-85fb-8baa769a173b","2025-09-09 03:31:11","thompson25","191.101.130.4","79beb3dac3500e923df8d84a81b89e7672718d0566b741ee7ad77736170420f7","2025-09-29 19:42:58","Microsoft.Graph.Chavez45.Models.MicrosoftGraphSignInLocation","376adfae-accc-42f5-89fc-6bba6b301d75","hidden","generic","hidden","remediated","IdentityProtection","AzureAD","Betty20 Deborah51","52b9c00a-3d50-4d6f-8452-6d833f86f23b","betty20@contoso.com","System.Collections.Generic.Linda13`2[System.String,System.Object]"
"signin","2025-09-04 17:50:58","[{""Key"":""userAgent"",""Value"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64; WebView/3.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.20348""},{""Key"":""mitreTechniques"",""Value"":""T1110.003,T1110.001""}]","7106b496-dc21-4b14-8a44-fc37bef4aaa8","2025-09-04 17:50:58","realtime","108.165.237.205","0ef14bb92590f8be7deabe598c3955e2d09f1fdafc2charles27112a3821ebbcf6dd0","2025-09-05 02:04:54","Microsoft.Graph.Chavez45.Models.MicrosoftGraphSignInLocation","df61879f-90c8-431f-80a8-041facd9b984","hidden","generic","hidden","remediated","IdentityProtection","AzureAD","Morgan16 Christine16","bdce25d5-bc10-4969-815b-61ed6da7ad63","george26@contoso.com","System.Collections.Generic.Linda13`2[System.String,System.Object]"
"signin","2025-09-04 17:52:27","[{""Key"":""riskReasons"",""Value"":[""UnfamiliarASN"",""UnfamiliarBrowser"",""UnfamiliarDevice"",""UnfamiliarIP"",""UnfamiliarLocation"",""UnfamiliarEASId"",""UnfamiliarTenantIPsubnet""]},{""Key"":""userAgent"",""Value"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64; WebView/3.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.20348""},{""Key"":""alertUrl"",""Value"":null},{""Key"":""mitreTechniques"",""Value"":""T1078.004""}]","7106b496-dc21-4b14-8a44-fc37bef4aaa8","2025-09-04 17:52:27","realtime","108.165.237.205","41e88ae8cee83186ed3ddcf607e2d293a1a5f6a219481b93142cc6ffadd615a3","2025-09-04 20:45:44","Microsoft.Graph.Chavez45.Models.MicrosoftGraphSignInLocation","6d7a0f15-089c-42b8-81b0-37884e22b75c","hidden","generic","hidden","remediated","IdentityProtection","AzureAD","Morgan16 Christine16","bdce25d5-bc10-4969-815b-61ed6da7ad63","george26@contoso.com","System.Collections.Generic.Linda13`2[System.String,System.Object]"
"signin","2025-09-04 17:52:27","[{""Key"":""userAgent"",""Value"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64; WebView/3.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.20348""},{""Key"":""mitreTechniques"",""Value"":""T1110.003,T1110.001""}]","7106b496-dc21-4b14-8a44-fc37bef4aaa8","2025-09-04 17:52:27","realtime","108.165.237.205","f49867672f8d2f8ac6b558208a63e867cbe5aa2eec2bbf3937a5f09a2c50cd2a","2025-09-04 20:45:44","Microsoft.Graph.Chavez45.Models.MicrosoftGraphSignInLocation","6d7a0f15-089c-42b8-81b0-37884e22b75c","hidden","generic","hidden","remediated","IdentityProtection","AzureAD","Morgan16 Christine16","bdce25d5-bc10-4969-815b-61ed6da7ad63","george26@contoso.com","System.Collections.Generic.Linda13`2[System.String,System.Object]"
