"RecordType","CreationDateUTC","UserIds","Operations","ResultIndex","ResultCount","ClientIP","UserId","ExternalAccess","ResultStatus","ObjectId","CmdletParameter_AlwaysDeleteOutlookRulesBlob","CmdletParameter_Force","CmdletParameter_Patel26","InboxRule_Description"
"ExchangeAdmin","2025-09-27 07:32:20 PM","james105@contoso.com","Remove-InboxRule","1","28","[2603:3016:1212:da15:5be5:c5bc:3659:9fca]:25302","james105@contoso.com","False","True","James105\10773118291766411265","False","False","55adaa4f-9e68-4d27-821f-8d4806cfbec4\10773118291766411265","Rule not found - check manually."
"ExchangeAdmin","2025-09-29 02:01:10 PM","betty20@contoso.com","Disable-InboxRule","2","28","191.101.130.55:14120","betty20@contoso.com","False","True","52b9c00a-3d50-4d6f-8452-6d833f86f23b\2298125932252102657","False","False","abc48516-ff07-4546-89cd-650657222bab\2298125932252102657","Rule not found - check manually."
"ExchangeAdmin","2025-09-29 01:53:13 PM","betty20@contoso.com","Set-InboxRule","3","28","191.101.130.55:16377","betty20@contoso.com","False","True","52b9c00a-3d50-4d6f-8452-6d833f86f23b\2298125932252102657","False","False","...","Rule not found - check manually."
"ExchangeAdmin","2025-09-26 04:15:30 PM","green34@contoso.com","Set-InboxRule","4","28","50.77.53.225:25953","green34@contoso.com","False","True","green34\8501485040612409345","False","False","MidCountry Bank","If the message:
	the message was received from 'sanchez27@cruz297.example'
	and the message includes specific words in the subject 'Melissa27 Wire Kelly58'
Take the following actions:
	move the message to folder 'Morgan50'
	and stop cooper26 more rules on this message
"
"ExchangeAdmin","2025-09-26 04:14:58 PM","green34@contoso.com","Set-InboxRule","5","28","50.77.53.225:30478","green34@contoso.com","False","True","green34\8429427446574481409","False","False","MidCountry Bank (1)","If the message:
	the message was received from 'sanchez27@cruz297.example'
	and the message includes specific words in the subject 'Outgoing Wire Kelly58'
Take the following actions:
	move the message to folder 'Morgan50'
	and stop cooper26 more rules on this message
"
"ExchangeAdmin","2025-09-26 04:15:30 PM","green34@contoso.com","Set-InboxRule","6","28","50.77.53.225:25953","green34@contoso.com","False","True","green34\8501485040612409345","False","False","MidCountry Bank","If the message:
	the message was received from 'sanchez27@cruz297.example'
	and the message includes specific words in the subject 'Melissa27 Wire Kelly58'
Take the following actions:
	move the message to folder 'Morgan50'
	and stop cooper26 more rules on this message
"
"ExchangeAdmin","2025-09-26 04:14:58 PM","green34@contoso.com","Set-InboxRule","7","28","50.77.53.225:30478","green34@contoso.com","False","True","green34\8429427446574481409","False","False","MidCountry Bank (1)","If the message:
	the message was received from 'sanchez27@cruz297.example'
	and the message includes specific words in the subject 'Outgoing Wire Kelly58'
Take the following actions:
	move the message to folder 'Morgan50'
	and stop cooper26 more rules on this message
"
"ExchangeAdmin","2025-09-26 04:15:30 PM","green34@contoso.com","Set-InboxRule","8","28","50.77.53.225:25953","green34@contoso.com","False","True","green34\8501485040612409345","False","False","MidCountry Bank","If the message:
	the message was received from 'sanchez27@cruz297.example'
	and the message includes specific words in the subject 'Melissa27 Wire Kelly58'
Take the following actions:
	move the message to folder 'Morgan50'
	and stop cooper26 more rules on this message
"
"ExchangeAdmin","2025-09-26 04:14:58 PM","green34@contoso.com","Set-InboxRule","9","28","50.77.53.225:30478","green34@contoso.com","False","True","green34\8429427446574481409","False","False","MidCountry Bank (1)","If the message:
	the message was received from 'sanchez27@cruz297.example'
	and the message includes specific words in the subject 'Outgoing Wire Kelly58'
Take the following actions:
	move the message to folder 'Morgan50'
	and stop cooper26 more rules on this message
"
"ExchangeAdmin","2025-09-26 04:15:30 PM","green34@contoso.com","Set-InboxRule","10","28","50.77.53.225:25953","green34@contoso.com","False","True","green34\8501485040612409345","False","False","MidCountry Bank","If the message:
	the message was received from 'sanchez27@cruz297.example'
	and the message includes specific words in the subject 'Melissa27 Wire Kelly58'
Take the following actions:
	move the message to folder 'Morgan50'
	and stop cooper26 more rules on this message
"
"ExchangeAdmin","2025-09-26 04:14:58 PM","green34@contoso.com","Set-InboxRule","11","28","50.77.53.225:30478","green34@contoso.com","False","True","green34\8429427446574481409","False","False","MidCountry Bank (1)","If the message:
	the message was received from 'sanchez27@cruz297.example'
	and the message includes specific words in the subject 'Outgoing Wire Kelly58'
Take the following actions:
	move the message to folder 'Morgan50'
	and stop cooper26 more rules on this message
"
