"Mailbox","UPN","Permission","AssignedTo","MailboxType"
"Betty12 Accounting","phillips14@contoso.com","FullAccess","ortiz29@contoso.com","UserMailbox"
"Betty12 Accounting","phillips14@contoso.com","FullAccess","cruz16@contoso.com","UserMailbox"
"Betty12 Accounting","phillips14@contoso.com","FullAccess","samuel14@contoso.com","UserMailbox"
"Betty12 Accounting","phillips14@contoso.com","FullAccess","martinez23@contoso.com","UserMailbox"
"Betty12 Accounting","phillips14@contoso.com","FullAccess","scott59@contoso.com","UserMailbox"
"Betty12 Accounting","phillips14@contoso.com","FullAccess","christine13@contoso.com","UserMailbox"
"Betty12 Sandoval19","sandoval19@contoso.com","FullAccess","christine13@contoso.com","UserMailbox"
"Betty12 Sandoval19","sandoval19@contoso.com","FullAccess","john22@contoso.com","UserMailbox"
"Betty12 Sandoval19","sandoval19@contoso.com","FullAccess","catherine24@contoso.com","UserMailbox"
"Betty12 Sandoval19","sandoval19@contoso.com","FullAccess","alexander18@contoso.com","UserMailbox"
"Betty12 Sandoval19","sandoval19@contoso.com","FullAccess","stephanie23@contoso.com","UserMailbox"
"Betty12 Sandoval19","sandoval19@contoso.com","FullAccess","scott59@contoso.com","UserMailbox"
"Betty12 Foster24 Support","mendoza9@contoso.com","FullAccess","martinez23@contoso.com","UserMailbox"
"Betty12 Cooper26","cooper26@contoso.com","FullAccess","tyler25@contoso.com","UserMailbox"
"Betty12 Cooper26","cooper26@contoso.com","FullAccess","patel13@contoso.com","UserMailbox"
"Betty12 Support","tyler21@contoso.com","FullAccess","betty20@contoso.com","UserMailbox"
"Betty12 Support","tyler21@contoso.com","FullAccess","ortiz29@contoso.com","UserMailbox"
"Betty12 Support","tyler21@contoso.com","FullAccess","cruz16@contoso.com","UserMailbox"
"Betty12 Support","tyler21@contoso.com","FullAccess","samuel20@contoso.com","UserMailbox"
"Betty12 Support","tyler21@contoso.com","FullAccess","rogers27@contoso.com","UserMailbox"
"Betty12 Support","tyler21@contoso.com","FullAccess","daniel29@contoso.com","UserMailbox"
"Betty12 Support","tyler21@contoso.com","FullAccess","john22@contoso.com","UserMailbox"
"Betty12 Support","tyler21@contoso.com","FullAccess","scott58@contoso.com","UserMailbox"
"Betty12 Support","tyler21@contoso.com","FullAccess","ross13@contoso.com","UserMailbox"
"Betty12 Support","tyler21@contoso.com","FullAccess","howard28@contoso.com","UserMailbox"
"Betty12 Support","tyler21@contoso.com","FullAccess","george26@contoso.com","UserMailbox"
"Betty12 Support","tyler21@contoso.com","FullAccess","lopez17@contoso.com","UserMailbox"
"Betty12 Support","tyler21@contoso.com","FullAccess","rebecca23@contoso.com","UserMailbox"
"Betty12 Support","tyler21@contoso.com","FullAccess","david30@contoso.com","UserMailbox"
"Betty12 Support","tyler21@contoso.com","FullAccess","catherine24@contoso.com","UserMailbox"
"Betty12 Support","tyler21@contoso.com","FullAccess","johnson30@contoso.com","UserMailbox"
"Betty12 Support","tyler21@contoso.com","FullAccess","linda18@contoso.com","UserMailbox"
"Betty12 Support","tyler21@contoso.com","FullAccess","heather13@contoso.com","UserMailbox"
"Betty12 Support","tyler21@contoso.com","FullAccess","christine13@contoso.com","UserMailbox"
"Betty12 Support","tyler21@contoso.com","FullAccess","cook32@contoso.com","UserMailbox"
"Betty12 Support","tyler21@contoso.com","FullAccess","patricia12@contoso.com","UserMailbox"
"Betty12 Support","tyler21@contoso.com","FullAccess","perez25@contoso.com","UserMailbox"
"Betty12 Support","tyler21@contoso.com","FullAccess","pamela29@contoso.com","UserMailbox"
"Betty12 Support","tyler21@contoso.com","FullAccess","jonathan24@contoso.com","UserMailbox"
"Betty12 Support","tyler21@contoso.com","FullAccess","nguyen22@contoso.com","UserMailbox"
"Betty12 Support","tyler21@contoso.com","FullAccess","parker34@contoso.com","UserMailbox"
"Betty12 Support","tyler21@contoso.com","FullAccess","betty14@contoso.com","UserMailbox"
"Betty12 Support","tyler21@contoso.com","FullAccess","james105@contoso.com","UserMailbox"
"Betty12 Support","tyler21@contoso.com","FullAccess","cooper27@contoso.com","UserMailbox"
"Betty12 Support","tyler21@contoso.com","FullAccess","tyler25@contoso.com","UserMailbox"
"Betty12 Support","tyler21@contoso.com","FullAccess","ronald17@contoso.com","UserMailbox"
"Betty12 Support","tyler21@contoso.com","FullAccess","shirley15@contoso.com","UserMailbox"
"Betty12 Support","tyler21@contoso.com","FullAccess","taylor32@contoso.com","UserMailbox"
"Betty12 Support","tyler21@contoso.com","FullAccess","parker13@contoso.com","UserMailbox"
"Betty12 Support","tyler21@contoso.com","FullAccess","patel13@contoso.com","UserMailbox"
"Betty12 Support","tyler21@contoso.com","FullAccess","green34@contoso.com","UserMailbox"
"Betty12 Support","tyler21@contoso.com","FullAccess","walker21@contoso.com","UserMailbox"
"Betty12 Support","tyler21@contoso.com","FullAccess","jimenez20@contoso.com","UserMailbox"
"Betty12 Support","tyler21@contoso.com","FullAccess","gutierrez15@contoso.com","UserMailbox"
"Betty12 Support","tyler21@contoso.com","FullAccess","ruiz15@contoso.com","UserMailbox"
"Betty12 Support","tyler21@contoso.com","FullAccess","bailey38@contoso.com","UserMailbox"
"Betty12 Support","tyler21@contoso.com","FullAccess","patrick15@contoso.com","UserMailbox"
"Powell33 Support","powell33@contoso.com","FullAccess","patel13@contoso.com","UserMailbox"
"Powell33 Support","powell33@contoso.com","FullAccess","rebecca23@contoso.com","UserMailbox"
"Powell33 Support","powell33@contoso.com","FullAccess","jonathan24@contoso.com","UserMailbox"
"Powell33 Support","powell33@contoso.com","FullAccess","rodriguez27@contoso.com","UserMailbox"
"Powell33 Support","powell33@contoso.com","FullAccess","cook32@contoso.com","UserMailbox"
"Melissa28 Nathan38","sanchez31@contoso.com","FullAccess","ortiz29@contoso.com","UserMailbox"
"Melissa28 Nathan38","sanchez31@contoso.com","FullAccess","tyler25@contoso.com","UserMailbox"
"Melissa28 Nathan38","sanchez31@contoso.com","FullAccess","cook32@contoso.com","UserMailbox"
"Melissa28 Nathan38","sanchez31@contoso.com","FullAccess","rodriguez27@contoso.com","UserMailbox"
"Melissa28 Nathan38","sanchez31@contoso.com","FullAccess","parker13@contoso.com","UserMailbox"
"Melissa28 Nathan38","sanchez31@contoso.com","FullAccess","eric26@contoso.com","UserMailbox"
"Andrew36 Donna15","ruth31@contoso.com","FullAccess","ross13@contoso.com","UserMailbox"
"Andrew36 Donna15","ruth31@contoso.com","FullAccess","catherine34@contoso.com","UserMailbox"
"Andrew36 Donna15","ruth31@contoso.com","FullAccess","ruiz15@contoso.com","UserMailbox"
