SuspectTrait,DisplayName,PrimarySmtpAddress,MailboxGuid,RuleName,RulePriority,RuleIdentity,RuleDescription,RuleEnabled,RuleForwardTo,RuleForwardAttTo,ExternalRecipients,RuleMoveTo,RuleDelete,RuleSoftDelete,RuleBodyContains,RuleSubjectContains,RuleSubjectOrBodyContains,RuleFrom,RuleFromContains
MessageForwarding,Betty12 Accounting,phillips14@contoso.com,c47ffe10-099d-4c99-85a2-e4b8519ad0a6,Trustone Melissa28 Nathan38 Morgan50,12,4.4704E+18,"If the message:
	the body of the message contains the words 'Financial'
	and the message was received from 'sanchez27@cruz297.example'
	and the message was sent to 'Betty12 Accounting'
Take the following actions:
	forward the message to 'Melissa28 Nathan38'
	and stop processing more rules on this message
Except if the message:
	the body of the message contains the words 'Torres23' or '#'
",TRUE,"""Melissa28 Nathan38"" [EX:/o=ExchangeLabs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=7486d6b235244f9d99ba8a61169d6bc8-lenderservi]",,,,FALSE,FALSE,Financial,,,"""sanchez27@cruz297.example"" [SMTP:sanchez27@cruz297.example]",
MessageDeletion,Betty12 Dennis25,dennis25@contoso.com,6d481cbe-351d-41f1-8ffc-9c8cfaf7f6d2,For all messages sent to Betty12 Morgan50,1,7.1158E+18,"If the message:
	the message was sent to 'Betty12 Morgan50'
Take the following actions:
	delete the message
	and mark the message as Read
	and stop processing more rules on this message
",TRUE,,,,,TRUE,FALSE,,,,,
MessageForwarding,Betty12 Support,tyler21@contoso.com,8e877ee4-aaca-4a4e-8b09-15da75a5946b,For all messages from Title Quote App - Message Center,5,1.46002E+19,"If the message:
	the message was received from 'nancy29-service@cruz2923.example'
Take the following actions:
	forward the message to 'Betty12 Sales'
	and mark the message as Read
	and move the message to folder 'Completed'
	and stop processing more rules on this message
",TRUE,"""Betty12 Sales"" [EX:/o=ExchangeLabs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=57bb7c8caa1f4b2eb5f598baa609dac5-Betty12 Sale]",,,Completed,FALSE,FALSE,,,,"""nancy29-service@cruz2923.example"" [SMTP:nancy29-service@cruz2923.example]",
MessageForwarding,Betty12 Support,tyler21@contoso.com,8e877ee4-aaca-4a4e-8b09-15da75a5946b,Assessment Emails - St Cloud,35,1.6834E+19,"If the message:
	the message was received from 'garcia43@cruz294.example'
	and the message includes specific words in the subject or body 'Kelly67 Cloud - Betty12'
Take the following actions:
	forward the message to 'Joshua30 Support'
	and stop processing more rules on this message
",TRUE,"""Joshua30 Support"" [EX:/o=ExchangeLabs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=3731d65ffdb84703aa8bdb09104647fe-Powell38]",,,,FALSE,FALSE,,,Kelly67 Cloud - Betty12,"""garcia43@cruz294.example"" [SMTP:garcia43@cruz294.example]",
MessageDeletion,Betty12 Support,tyler21@contoso.com,8e877ee4-aaca-4a4e-8b09-15da75a5946b,MidCountry Morgan50 - Outgoing,1,1.42399E+19,"If the message:
	the message was received from 'sanchez27@cruz297.example'
	and the message includes specific words in the subject 'Outgoing Wire Kelly58'
Take the following actions:
	delete the message
	and mark the message as Read
	and stop processing more rules on this message
",TRUE,,,,,TRUE,FALSE,,Outgoing Wire Kelly58,,"""sanchez27@cruz297.example"" [SMTP:sanchez27@cruz297.example]",
MessageDeletion,Betty12 Support,tyler21@contoso.com,8e877ee4-aaca-4a4e-8b09-15da75a5946b,Morgan50 - Melissa27,2,1.4312E+19,"If the message:
	the message was received from 'sanchez27@cruz297.example'
	and the message includes specific words in the subject 'Melissa27 Wire Kelly58'
Take the following actions:
	delete the message
	and mark the message as Read
	and stop processing more rules on this message
",TRUE,,,,,TRUE,FALSE,,Melissa27 Wire Kelly58,,"""sanchez27@cruz297.example"" [SMTP:sanchez27@cruz297.example]",
MessageDeletion,Betty12 Support,tyler21@contoso.com,8e877ee4-aaca-4a4e-8b09-15da75a5946b,Website Laura30 - Melissa28 Nathan38,10,1.51046E+19,"If the message:
	the body of the message contains the words  '(Melissa28 Donna15 in-house)'
	and the message was received from 'brooks37@cruz2921.example'
Take the following actions:
	delete the message
	and mark the message as Read
	and stop processing more rules on this message
",TRUE,,,,,TRUE,FALSE,(Melissa28 Donna15 in-house),,,"""brooks37@cruz2921.example"" [SMTP:brooks37@cruz2921.example]",
MessageDeletion,Betty12 Support,tyler21@contoso.com,8e877ee4-aaca-4a4e-8b09-15da75a5946b,Delete messages from noreply@cruz2922.example,38,1.70502E+19,"If the message:
	the message was received from 'noreply@cruz2922.example'
	and the message was sent to 'Betty12 Support'
	and the message includes specific words in the subject or body 'submitted successfully'
Take the following actions:
	delete the message
	and stop processing more rules on this message
",TRUE,,,,,TRUE,FALSE,,,submitted successfully,"""noreply@cruz2922.example"" [SMTP:noreply@cruz2922.example]",
RuleContainsKeywords,Betty12 Support,tyler21@contoso.com,8e877ee4-aaca-4a4e-8b09-15da75a5946b,Ramos24 Kimberly21,39,1.71222E+19,"If the message:
	the message was received from 'Ramos24 Kimberly21'
	and the message includes specific words in the subject 'wire'
Take the following actions:
	delete the message
	and stop processing more rules on this message
",TRUE,,,,,TRUE,FALSE,,wire,,"""Ramos24 Kimberly21"" [EX:/o=ExchangeLabs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=5c008bb3b3a446d9b1279df2bcfcc6d3-Ramos24]",
RuleContainsKeywords,Betty12 Support,tyler21@contoso.com,8e877ee4-aaca-4a4e-8b09-15da75a5946b,Ramos24 Kimberly21,39,1.71222E+19,"If the message:
	the message was received from 'Ramos24 Kimberly21'
	and the message includes specific words in the subject 'wire'
Take the following actions:
	delete the message
	and stop processing more rules on this message
",TRUE,,,,,TRUE,FALSE,,wire,,"""Ramos24 Kimberly21"" [EX:/o=ExchangeLabs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=5c008bb3b3a446d9b1279df2bcfcc6d3-Ramos24]",
