RecordType,CreationDate,UserIds,Operations,AuditData,ResultIndex,ResultCount,Patel26,IsValid,ObjectState
AzureActiveDirectoryStsLogon,2025-09-28 17:42:01,betty20@contoso.com,UserLoggedIn,"{""CreationTime"":""2025-09-28T17:42:01"",""Id"":""55cb4394-38f3-4fbc-8e46-e35ae9b456d5"",""Operation"":""UserLoggedIn"",""OrganizationId"":""063b27d9-43ef-4b3c-88e0-ca84cb74ae45"",""RecordType"":15,""ResultStatus"":""Success"",""UserKey"":""52b9c00a-3d50-4d6f-8452-6d833f86f23b"",""UserType"":0,""Version"":1,""Workload"":""AzureActiveDirectory"",""ClientIP"":""191.101.130.55"",""ObjectId"":""00000003-0000-0000-c000-000000000000"",""UserId"":""betty20@contoso.com"",""AzureActiveDirectoryEventType"":1,""ExtendedProperties"":[{""Name"":""ResultStatusDetail"",""Value"":""Redirect""},{""Name"":""UserAgent"",""Value"":""Mozilla\/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/139.0.0.235 Safari\/537.36 Edg\/139.0.0.235 OS\/10.0.14393""},{""Name"":""RequestType"",""Value"":""OAuth2:Authorize""}],""ModifiedProperties"":[],""Actor"":[{""ID"":""52b9c00a-3d50-4d6f-8452-6d833f86f23b"",""Type"":0},{""ID"":""betty20@contoso.com"",""Type"":5}],""ActorContextId"":""063b27d9-43ef-4b3c-88e0-ca84cb74ae45"",""ActorIpAddress"":""191.101.130.55"",""InterSystemsId"":""5fcb747c-13f1-4382-8291-cb299d9d2bde"",""IntraSystemId"":""55cb4394-38f3-4fbc-8e46-e35ae9b456d5"",""SupportTicketId"":"""",""Target"":[{""ID"":""00000003-0000-0000-c000-000000000000"",""Type"":0}],""TargetContextId"":""063b27d9-43ef-4b3c-88e0-ca84cb74ae45"",""ApplicationId"":""587f2663-ad7f-4547-8e52-48474c3c0554"",""DeviceProperties"":[{""Name"":""OS"",""Value"":""Windows10""},{""Name"":""BrowserType"",""Value"":""Edge""},{""Name"":""SessionId"",""Value"":""f8a0fb2c-c7ab-4fa8-86c5-431b627f7676""}],""ErrorNumber"":""0""}",-1,0,55cb4394-38f3-4fbc-8e46-e35ae9b456d5,True,Unchanged
SharePointListOperation,2025-09-29 12:56:33,betty20@contoso.com,ListViewed,"{""AppAccessContext"":{""AADSessionId"":""f8a0fb2c-c7ab-4fa8-86c5-431b627f7676"",""AuthTime"":""2025-09-08T16:39:28"",""ClientAppName"":""ListApp"",""CorrelationId"":""a5221aea-0a82-4691-84c1-2f95fbb24350"",""DeviceId"":"""",""TokenIssuedAtTime"":""2025-09-29T12:56:32"",""UniqueTokenId"":""2db965t8j0KXxqwXZX1OAA"",""UserObjectId"":""52b9c00a-3d50-4d6f-8452-6d833f86f23b""},""CreationTime"":""2025-09-29T12:56:33"",""Id"":""1ddcab33-4e6f-4386-8bb5-1d84ae2c526d"",""Operation"":""ListViewed"",""OrganizationId"":""063b27d9-43ef-4b3c-88e0-ca84cb74ae45"",""RecordType"":36,""UserKey"":""i:0h.f|collins28|rebecca3@freemail4.example"",""UserType"":0,""Version"":1,""Workload"":""SharePoint"",""ClientIP"":""191.101.130.55"",""UserId"":""betty20@contoso.com"",""AuthenticationType"":""FormsCookieAuth"",""BrowserName"":""Edge"",""BrowserVersion"":""139.0.0.235"",""CorrelationId"":""a5221aea-0a82-4691-84c1-2f95fbb24350"",""EventSource"":""SharePoint"",""GeoLocation"":""NAM"",""IsManagedDevice"":false,""ItemType"":""List"",""ListId"":""077320e6-aa92-4bcc-8dd6-4af5564tyler1942"",""Martinez36"":""WinDesktop"",""Sandoval28"":""af3c87dd-5d12-4d37-8584-722d34f11ea6"",""UserAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.235 Safari/537.36 Edg/139.0.0.235"",""WebId"":""74e0f3e4-fa65-44f8-8124-ba6098c10329"",""DeviceDisplayName"":""2a01:111:2054:79c9:af50:c002:4978:2c03"",""CustomizedDoclib"":false,""FromApp"":false,""ItemCount"":2815,""ListBaseTemplateType"":""100"",""ListBaseType"":""GenericList"",""ListColor"":"""",""ListIcon"":"""",""Source"":""Unknown"",""TemplateTypeId"":"""",""ListTitle"":""077320e6-aa92-4bcc-8dd6-4af5564tyler1942"",""ListName"":""Wire Requests"",""ListUrl"":""/sites/Davis15/accountingteam/Lists/Morgan50 List New"",""ApplicationDisplayName"":""ListApp"",""ObjectId"":""https://contoso.sharepoint.com/sites/Davis15/accountingteam/Lists/077320e6-aa92-4bcc-8dd6-4af5564tyler1942""}",-1,0,1ddcab33-4e6f-4386-8bb5-1d84ae2c526d,True,Unchanged
ExchangeAdmin,2025-09-29 14:01:10,betty20@contoso.com,Disable-InboxRule,"{""AppAccessContext"":{""AADSessionId"":""f8a0fb2c-c7ab-4fa8-86c5-431b627f7676"",""IssuedAtTime"":""2025-09-29T13:54:23"",""UniqueTokenId"":""jynSC62AtUGT2z53czsGAA""},""CreationTime"":""2025-09-29T14:01:10"",""Id"":""6e0d50fb-fc4e-4d1a-8091-495b4189cd55"",""Operation"":""Disable-InboxRule"",""OrganizationId"":""063b27d9-43ef-4b3c-88e0-ca84cb74ae45"",""RecordType"":1,""ResultStatus"":""True"",""UserKey"":""betty20@contoso.com"",""UserType"":2,""Version"":1,""Workload"":""Exchange"",""ClientIP"":""191.101.130.55:14120"",""ObjectId"":""52b9c00a-3d50-4d6f-8452-6d833f86f23b\\2298125932252102657"",""UserId"":""betty20@contoso.com"",""AppId"":"""",""AppPoolName"":""MSExchangeOWAAppPool"",""ClientAppId"":"""",""CorrelationID"":"""",""ExternalAccess"":false,""OrganizationName"":""contoso.onmicrosoft.com"",""OriginatingServer"":""LAB51XX6201MB634 (15.20.9052.000)"",""Parameters"":[{""Name"":""AlwaysDeleteOutlookRulesBlob"",""Value"":""False""},{""Name"":""Force"",""Value"":""False""},{""Name"":""Patel26"",""Value"":""abc48516-ff07-4546-89cd-650657222bab\\2298125932252102657""}],""RequestId"":""1ae459b7-434a-44cd-8980-3d676d422cdb"",""SessionId"":""f8a0fb2c-c7ab-4fa8-86c5-431b627f7676"",""TokenObjectId"":""52b9c00a-3d50-4d6f-8452-6d833f86f23b"",""TokenTenantId"":""063b27d9-43ef-4b3c-88e0-ca84cb74ae45""}",-1,0,6e0d50fb-fc4e-4d1a-8091-495b4189cd55,True,Unchanged
ExchangeItem,2025-09-29 09:44:59,betty20@contoso.com,Update,"{""AppAccessContext"":{""APIId"":""584ef7ef-2bab-426d-8c95-50df85675910"",""ClientAppId"":""a8f8652f-ee7f-4ec4-8151-c691842e7e21"",""IssuedAtTime"":""2025-09-29T09:41:09"",""UniqueTokenId"":""ad4e5a33-5dbb-4647-8381-35944409bfde""},""CreationTime"":""2025-09-29T09:44:59"",""Id"":""cfaf7d5a-0be7-4f69-854c-511c7b2d7caf"",""Operation"":""Update"",""OrganizationId"":""063b27d9-43ef-4b3c-88e0-ca84cb74ae45"",""RecordType"":2,""ResultStatus"":""Succeeded"",""UserKey"":""10032003596A8D04"",""UserType"":0,""Version"":1,""Workload"":""Exchange"",""ClientIP"":""102.129.145.193"",""UserId"":""betty20@contoso.com"",""ActorInfoString"":""Mozilla\/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/139.0.0.235 Safari\/537.36 Edg\/139.0.0.235"",""ClientAppId"":""a8f8652f-ee7f-4ec4-8151-c691842e7e21"",""ClientIPAddress"":""102.129.145.193"",""ClientInfoString"":""Client=OWA;Mozilla\/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/139.0.0.235 Safari\/537.36 Edg\/139.0.0.235;"",""ExternalAccess"":false,""InternalLogonType"":0,""LogonType"":0,""LogonUserSid"":""S-1-5-21-3421515247-1784439087-2623626124-1914689"",""MailboxGuid"":""331759a7-16e4-4b93-85ab-d7b8e7f61d9a"",""MailboxOwnerSid"":""S-1-5-21-3421515247-1784439087-2623626124-1914689"",""MailboxOwnerUPN"":""betty20@contoso.com"",""OrganizationName"":""contoso.onmicrosoft.com"",""OriginatingServer"":""LAB51XX6201MB634 (15.20.4200.000)\r\n"",""TokenObjectId"":""52b9c00a-3d50-4d6f-8452-6d833f86f23b"",""TokenTenantId"":""063b27d9-43ef-4b3c-88e0-ca84cb74ae45"",""Item"":{""Attachments"":""attachment_1.dat (2847b); attachment_2.dat (11682b); attachment_3.dat (10471b); attachment_4.dat (17616b); attachment_5.dat (3869b)"",""Id"":""LgAAAAAdhAMRqmYRzZvIAKoAL8RaDQBOqncIMRUzS4U+wtfUGfX5AAFjV6bwAAAJ"",""ImmutableId"":""LgAAAAAdhAMRqmYRzZvIAKoAL8RaDQBOqncIMRUzS4U+wtfUGfX5AAFjV6bwAAAJ"",""InternetMessageId"":""<katherine48@sj0pr06mb7323.namprd06.prod.outlook.com>"",""IsRecord"":false,""ParentFolder"":{""Id"":""LgAAAAA0bFhziVIhR62MMUP7F8+XAQBOqncIMRUzS4U+wtfUGfX5AAAAAAEJAAAB"",""Brooks38"":""\\Sent Items""},""SizeInBytes"":90426,""Subject"":""Generic Email Subject""},""ModifiedProperties"":[""AttachmentCollection""]}",-1,0,cfaf7d5a-0be7-4f69-854c-511c7b2d7caf,True,Unchanged
SharePoint,2025-09-29 12:56:35,betty20@contoso.com,PageViewed,"{""AppAccessContext"":{""AADSessionId"":""f8a0fb2c-c7ab-4fa8-86c5-431b627f7676"",""AuthTime"":""2025-09-08T16:39:28"",""ClientAppName"":""Unknown"",""CorrelationId"":""fdfbfd96-1611-446f-8b77-65f993f12ebf"",""DeviceId"":"""",""TokenIssuedAtTime"":""2025-09-29T12:56:32"",""UniqueTokenId"":""2db965t8j0KXxqwXZX1OAA"",""UserObjectId"":""52b9c00a-3d50-4d6f-8452-6d833f86f23b""},""CreationTime"":""2025-09-29T12:56:35"",""Id"":""70c9e5d3-472e-4ee9-8e4c-c10be82cc61c"",""Operation"":""PageViewed"",""OrganizationId"":""063b27d9-43ef-4b3c-88e0-ca84cb74ae45"",""RecordType"":4,""UserKey"":""i:0h.f|collins28|rebecca3@freemail4.example"",""UserType"":0,""Version"":1,""Workload"":""SharePoint"",""ClientIP"":""191.101.130.55"",""UserId"":""betty20@contoso.com"",""AuthenticationType"":""FormsCookieAuth"",""BrowserName"":""Edge"",""BrowserVersion"":""139.0.0.235"",""CorrelationId"":""fdfbfd96-1611-446f-8b77-65f993f12ebf"",""CustomUniqueId"":true,""EventSource"":""SharePoint"",""GeoLocation"":""NAM"",""IsManagedDevice"":false,""ItemType"":""Page"",""ListItemUniqueId"":""bf6c5774-fcae-4785-86b5-5d5eaaddebb5"",""Martinez36"":""WinDesktop"",""Sandoval28"":""af3c87dd-5d12-4d37-8584-722d34f11ea6"",""UserAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.235 Safari/537.36 Edg/139.0.0.235"",""WebId"":""74e0f3e4-fa65-44f8-8124-ba6098c10329"",""DeviceDisplayName"":""2a01:111:2054:79c9:af50:c002:4978:2c03"",""ApplicationDisplayName"":""Unknown"",""ObjectId"":""https://contoso.sharepoint.com/sites/Davis15/accountingteam/_layouts/15/serviceworkerproxy.aspx""}",-1,0,70c9e5d3-472e-4ee9-8e4c-c10be82cc61c,True,Unchanged
ExchangeItem,2025-09-28 16:49:42,betty20@contoso.com,Update,"{""AppAccessContext"":{""APIId"":""584ef7ef-2bab-426d-8c95-50df85675910"",""ClientAppId"":""a8f8652f-ee7f-4ec4-8151-c691842e7e21"",""IssuedAtTime"":""2025-09-28T16:45:51"",""UniqueTokenId"":""df9e879e-1e89-4d16-89ad-bc8990e10f77""},""CreationTime"":""2025-09-28T16:49:42"",""Id"":""f140a352-1b65-45be-8e8a-79458564eb4b"",""Operation"":""Update"",""OrganizationId"":""063b27d9-43ef-4b3c-88e0-ca84cb74ae45"",""RecordType"":2,""ResultStatus"":""Succeeded"",""UserKey"":""10032003596A8D04"",""UserType"":0,""Version"":1,""Workload"":""Exchange"",""ClientIP"":""191.101.130.55"",""UserId"":""betty20@contoso.com"",""ActorInfoString"":""Mozilla\/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/139.0.0.235 Safari\/537.36 Edg\/139.0.0.235"",""ClientAppId"":""a8f8652f-ee7f-4ec4-8151-c691842e7e21"",""ClientIPAddress"":""191.101.130.55"",""ClientInfoString"":""Client=OWA;Action=ViaProxy"",""ExternalAccess"":false,""InternalLogonType"":0,""LogonType"":0,""LogonUserSid"":""S-1-5-21-3421515247-1784439087-2623626124-1914689"",""MailboxGuid"":""331759a7-16e4-4b93-85ab-d7b8e7f61d9a"",""MailboxOwnerSid"":""S-1-5-21-3421515247-1784439087-2623626124-1914689"",""MailboxOwnerUPN"":""betty20@contoso.com"",""OrganizationName"":""contoso.onmicrosoft.com"",""OriginatingServer"":""LAB51XX6201MB634 (15.20.4200.000)\r\n"",""TokenObjectId"":""52b9c00a-3d50-4d6f-8452-6d833f86f23b"",""TokenTenantId"":""063b27d9-43ef-4b3c-88e0-ca84cb74ae45"",""Item"":{""Attachments"":""attachment_1.dat (2847b); attachment_2.dat (11682b); attachment_3.dat (10480b)"",""Id"":""LgAAAAAdhAMRqmYRzZvIAKoAL8RaDQBOqncIMRUzS4U+wtfUGfX5AAFYjXnFAAAJ"",""ImmutableId"":""LgAAAAAdhAMRqmYRzZvIAKoAL8RaDQBOqncIMRUzS4U+wtfUGfX5AAFYjXnFAAAJ"",""InternetMessageId"":""<ramirez36@sj0pr06mb7323.namprd06.prod.outlook.com>"",""IsRecord"":false,""ParentFolder"":{""Id"":""LgAAAAA0bFhziVIhR62MMUP7F8+XAQBOqncIMRUzS4U+wtfUGfX5AAAAAAEJAAAB"",""Brooks38"":""\\Sent Items""},""SizeInBytes"":57458,""Subject"":""Generic Email Subject""},""ModifiedProperties"":[""AttachmentCollection""]}",-1,0,f140a352-1b65-45be-8e8a-79458564eb4b,True,Unchanged
AzureActiveDirectoryStsLogon,2025-09-29 18:53:15,betty20@contoso.com,UserLoggedIn,"{""CreationTime"":""2025-09-29T18:53:15"",""Id"":""0db7ed8f-cdc8-4748-85ec-0ebc63b6461a"",""Operation"":""UserLoggedIn"",""OrganizationId"":""063b27d9-43ef-4b3c-88e0-ca84cb74ae45"",""RecordType"":15,""ResultStatus"":""Success"",""UserKey"":""52b9c00a-3d50-4d6f-8452-6d833f86f23b"",""UserType"":0,""Version"":1,""Workload"":""AzureActiveDirectory"",""ClientIP"":""191.101.130.55"",""ObjectId"":""fc812c10-4c2f-47de-8e9f-54e3e591d0f4"",""UserId"":""betty20@contoso.com"",""AzureActiveDirectoryEventType"":1,""ExtendedProperties"":[{""Name"":""ResultStatusDetail"",""Value"":""Redirect""},{""Name"":""UserAgent"",""Value"":""Mozilla\/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/139.0.0.235 Safari\/537.36 Edg\/139.0.0.235""},{""Name"":""RequestType"",""Value"":""OAuth2:Authorize""}],""ModifiedProperties"":[],""Actor"":[{""ID"":""52b9c00a-3d50-4d6f-8452-6d833f86f23b"",""Type"":0},{""ID"":""betty20@contoso.com"",""Type"":5}],""ActorContextId"":""063b27d9-43ef-4b3c-88e0-ca84cb74ae45"",""ActorIpAddress"":""191.101.130.55"",""InterSystemsId"":""2152726c-93f4-41ca-8d57-31a4d03ea746"",""IntraSystemId"":""0db7ed8f-cdc8-4748-85ec-0ebc63b6461a"",""SupportTicketId"":"""",""Target"":[{""ID"":""fc812c10-4c2f-47de-8e9f-54e3e591d0f4"",""Type"":0}],""TargetContextId"":""063b27d9-43ef-4b3c-88e0-ca84cb74ae45"",""ApplicationId"":""571a182c-fa74-434f-82f8-c68629a1de50"",""DeviceProperties"":[{""Name"":""OS"",""Value"":""Windows10""},{""Name"":""BrowserType"",""Value"":""Edge""},{""Name"":""SessionId"",""Value"":""f8a0fb2c-c7ab-4fa8-86c5-431b627f7676""}],""ErrorNumber"":""0""}",-1,0,0db7ed8f-cdc8-4748-85ec-0ebc63b6461a,True,Unchanged
AzureActiveDirectoryStsLogon,2025-09-29 09:23:30,betty20@contoso.com,UserLoggedIn,"{""CreationTime"":""2025-09-29T09:23:30"",""Id"":""d1712e35-36e0-4f38-8c49-72e9e70ba0e5"",""Operation"":""UserLoggedIn"",""OrganizationId"":""063b27d9-43ef-4b3c-88e0-ca84cb74ae45"",""RecordType"":15,""ResultStatus"":""Success"",""UserKey"":""52b9c00a-3d50-4d6f-8452-6d833f86f23b"",""UserType"":0,""Version"":1,""Workload"":""AzureActiveDirectory"",""ClientIP"":""102.129.145.193"",""ObjectId"":""00000002-0000-0ff1-ce00-000000000000"",""UserId"":""betty20@contoso.com"",""AzureActiveDirectoryEventType"":1,""ExtendedProperties"":[{""Name"":""ResultStatusDetail"",""Value"":""Redirect""},{""Name"":""UserAgent"",""Value"":""Mozilla\/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/139.0.0.235 Safari\/537.36 Edg\/139.0.0.235""},{""Name"":""RequestType"",""Value"":""OAuth2:Authorize""}],""ModifiedProperties"":[],""Actor"":[{""ID"":""52b9c00a-3d50-4d6f-8452-6d833f86f23b"",""Type"":0},{""ID"":""betty20@contoso.com"",""Type"":5}],""ActorContextId"":""063b27d9-43ef-4b3c-88e0-ca84cb74ae45"",""ActorIpAddress"":""102.129.145.193"",""InterSystemsId"":""7b51f39f-5a27-4e05-889f-b12fe9183ead"",""IntraSystemId"":""d1712e35-36e0-4f38-8c49-72e9e70ba0e5"",""SupportTicketId"":"""",""Target"":[{""ID"":""00000002-0000-0ff1-ce00-000000000000"",""Type"":0}],""TargetContextId"":""063b27d9-43ef-4b3c-88e0-ca84cb74ae45"",""ApplicationId"":""d57cc67e-5307-454c-8eb3-08f463f7b7aa"",""DeviceProperties"":[{""Name"":""OS"",""Value"":""MacOs""},{""Name"":""BrowserType"",""Value"":""Edge""},{""Name"":""SessionId"",""Value"":""f8a0fb2c-c7ab-4fa8-86c5-431b627f7676""}],""ErrorNumber"":""0""}",-1,0,d1712e35-36e0-4f38-8c49-72e9e70ba0e5,True,Unchanged
SharePointFileOperation,2025-09-29 18:53:12,betty20@contoso.com,FileAccessed,"{""AppAccessContext"":{""AADSessionId"":""f8a0fb2c-c7ab-4fa8-86c5-431b627f7676"",""AuthTime"":""2025-09-08T16:39:28"",""ClientAppName"":""ListApp"",""CorrelationId"":""3e3alexander227-d7cb-481d-8626-17e77b3921ea"",""DeviceId"":"""",""TokenIssuedAtTime"":""2025-09-29T12:56:32"",""UniqueTokenId"":""2db965t8j0KXxqwXZX1OAA"",""UserObjectId"":""52b9c00a-3d50-4d6f-8452-6d833f86f23b""},""CreationTime"":""2025-09-29T18:53:12"",""Id"":""bbc18276-9d06-4642-8600-4ecff3025c7a"",""Operation"":""FileAccessed"",""OrganizationId"":""063b27d9-43ef-4b3c-88e0-ca84cb74ae45"",""RecordType"":6,""UserKey"":""i:0h.f|collins28|rebecca3@freemail4.example"",""UserType"":0,""Version"":1,""Workload"":""SharePoint"",""ClientIP"":""191.101.130.55"",""UserId"":""betty20@contoso.com"",""AuthenticationType"":""FormsCookieAuth"",""BrowserName"":""Edge"",""BrowserVersion"":""139.0.0.235"",""CorrelationId"":""3e3alexander227-d7cb-481d-8626-17e77b3921ea"",""EventSource"":""SharePoint"",""GeoLocation"":""NAM"",""IsManagedDevice"":false,""ItemType"":""Torres23"",""ListId"":""077320e6-aa92-4bcc-8dd6-4af5564tyler1942"",""ListItemUniqueId"":""eb0c2e47-cd35-4800-8552-217426b24f77"",""Martinez36"":""WinDesktop"",""Sandoval28"":""af3c87dd-5d12-4d37-8584-722d34f11ea6"",""UserAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.235 Safari/537.36 Edg/139.0.0.235"",""WebId"":""74e0f3e4-fa65-44f8-8124-ba6098c10329"",""DeviceDisplayName"":""2a01:111:2054:e7e8:48c9:82f7:8467:bf89"",""HighPriorityMediaProcessing"":false,""ListBaseType"":0,""ListServerTemplate"":100,""SourceRelativeUrl"":""accountingteam/Lists/Morgan50 List New"",""SourceFileName"":""generic_file.aspx"",""SourceFileExtension"":""aspx"",""ApplicationDisplayName"":""ListApp"",""SiteUrl"":""https://contoso.sharepoint.com/sites/Davis15/"",""ObjectId"":""https://contoso.sharepoint.com/sites/Davis15/accountingteam/Lists/Morgan50 List New/Pending Closer Morgan50.aspx""}",-1,0,bbc18276-9d06-4642-8600-4ecff3025c7a,True,Unchanged
ExchangeItem,2025-09-28 18:02:44,betty20@contoso.com,Update,"{""AppAccessContext"":{""APIId"":""584ef7ef-2bab-426d-8c95-50df85675910"",""ClientAppId"":""a8f8652f-ee7f-4ec4-8151-c691842e7e21"",""IssuedAtTime"":""2025-09-28T17:58:00"",""UniqueTokenId"":""d413c6d4-7d47-4894-8788-212f94b4f010""},""CreationTime"":""2025-09-28T18:02:44"",""Id"":""94c8827e-6ff9-4125-8ef2-eb3aa0f717fc"",""Operation"":""Update"",""OrganizationId"":""063b27d9-43ef-4b3c-88e0-ca84cb74ae45"",""RecordType"":2,""ResultStatus"":""Succeeded"",""UserKey"":""10032003596A8D04"",""UserType"":0,""Version"":1,""Workload"":""Exchange"",""ClientIP"":""191.101.130.55"",""UserId"":""betty20@contoso.com"",""ActorInfoString"":""Mozilla\/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/139.0.0.235 Safari\/537.36 Edg\/139.0.0.235"",""ClientAppId"":""a8f8652f-ee7f-4ec4-8151-c691842e7e21"",""ClientIPAddress"":""191.101.130.55"",""ClientInfoString"":""Client=OWA;Mozilla\/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/139.0.0.235 Safari\/537.36 Edg\/139.0.0.235;"",""ExternalAccess"":false,""InternalLogonType"":0,""LogonType"":0,""LogonUserSid"":""S-1-5-21-3421515247-1784439087-2623626124-1914689"",""MailboxGuid"":""331759a7-16e4-4b93-85ab-d7b8e7f61d9a"",""MailboxOwnerSid"":""S-1-5-21-3421515247-1784439087-2623626124-1914689"",""MailboxOwnerUPN"":""betty20@contoso.com"",""OrganizationName"":""contoso.onmicrosoft.com"",""OriginatingServer"":""LAB51XX6201MB634 (15.20.4200.000)\r\n"",""TokenObjectId"":""52b9c00a-3d50-4d6f-8452-6d833f86f23b"",""TokenTenantId"":""063b27d9-43ef-4b3c-88e0-ca84cb74ae45"",""Item"":{""Attachments"":""attachment_1.dat (2847b); attachment_2.dat (11691b); attachment_3.dat (10471b)"",""Id"":""LgAAAAAdhAMRqmYRzZvIAKoAL8RaDQBOqncIMRUzS4U+wtfUGfX5AAFjV6HVAAAJ"",""ImmutableId"":""LgAAAAAdhAMRqmYRzZvIAKoAL8RaDQBOqncIMRUzS4U+wtfUGfX5AAFjV6HVAAAJ"",""InternetMessageId"":""<collins45@sj0pr06mb7323.namprd06.prod.outlook.com>"",""IsRecord"":false,""ParentFolder"":{""Id"":""LgAAAAA0bFhziVIhR62MMUP7F8+XAQBOqncIMRUzS4U+wtfUGfX5AAAAAAEJAAAB"",""Brooks38"":""\\Sent Items""},""SizeInBytes"":55509,""Subject"":""Generic Email Subject""},""ModifiedProperties"":[""AttachmentCollection""]}",-1,0,94c8827e-6ff9-4125-8ef2-eb3aa0f717fc,True,Unchanged
