"Date","ActorUserPrincipalName","IPAddress","UserAgent","Activity","Result","Target1UserPrincipalName","Target1ModifiedProperty1Name","Service","Category","ResultReason","ActorType","ActorDisplayName","Target1Type","Target1DisplayName","Target1ModifiedProperty1OldValue","Target1ModifiedProperty1NewValue","Target1ModifiedProperty2Name","Target1ModifiedProperty2OldValue","Target1ModifiedProperty2NewValue","Target1ModifiedProperty3Name","Target1ModifiedProperty3OldValue","Target1ModifiedProperty3NewValue","Target1ModifiedProperty4Name","Target1ModifiedProperty4OldValue","Target1ModifiedProperty4NewValue","Target1ModifiedProperty5Name","Target1ModifiedProperty5OldValue","Target1ModifiedProperty5NewValue","AdditionalDetail1Key","AdditionalDetail1Value"
"2025-09-29T20:30:30.62924Z","betty20@contoso.com","","","Change password (self-service)","Success","betty20@contoso.com","","Self-service Password Management","UserManagement","None","User","","User","Betty20 Deborah51","","","","","","","","","","","","","","","",""
"2025-09-29T20:30:30.5767394Z","","","","Update StsRefreshTokenValidFrom Timestamp","Success","betty20@contoso.com","ActorId.ServicePrincipalNames","Core Directory","UserManagement","","Application","Ruth29 johnson35 kelly64 service","User","","","""https://passwordreset.microsoftonline.com/;9d9c527b-c354-42c8-8389-dc5c7f54ec07;SelfServicePasswordReset""","SPN","","""https://passwordreset.microsoftonline.com/;9d9c527b-c354-42c8-8389-dc5c7f54ec07;SelfServicePasswordReset""","","","","","","","","","","",""
"2025-09-29T20:30:30.5757364Z","","","","Change user password","Success","betty20@contoso.com","ActorId.ServicePrincipalNames","Core Directory","UserManagement","","Application","Ruth29 johnson35 kelly64 service","User","","","""https://passwordreset.microsoftonline.com/;9d9c527b-c354-42c8-8389-dc5c7f54ec07;SelfServicePasswordReset""","SPN","","""https://passwordreset.microsoftonline.com/;9d9c527b-c354-42c8-8389-dc5c7f54ec07;SelfServicePasswordReset""","","","","","","","","","","",""
"2025-09-29T20:30:30.3647356Z","","","","Update PasswordProfile","Success","betty20@contoso.com","ForceChangePassword","Core Directory","UserManagement","","Application","Ruth29 johnson35 kelly64 service","User","","""True""","""False""","Password","","","ActorId.ServicePrincipalNames","","""https://passwordreset.microsoftonline.com/;9d9c527b-c354-42c8-8389-dc5c7f54ec07;SelfServicePasswordReset""","SPN","","""https://passwordreset.microsoftonline.com/;9d9c527b-c354-42c8-8389-dc5c7f54ec07;SelfServicePasswordReset""","","","","",""
"2025-09-29T20:29:57.8193409Z","betty20@contoso.com","104.210.141.82","","POST UserAuthMethod.SecurityInfoRegistrationCallback","Success","","","Authentication Methods","PolicyManagement","NoContent","User","Betty20 Deborah51","","","","","","","","","","","","","","","","","",""
"2025-09-29T20:29:57.7261368Z","","","","Update user","Success","betty20@contoso.com","Included Updated Properties","Core Directory","UserManagement","","Application","Patel14 Gray19 King17 Taylor29 Service","User","","","""""","TargetId.UserType","","""Member""","","","","","","","","","","",""
"2025-09-29T20:29:57Z","betty20@contoso.com","137.27.96.204","","User registered all required security info","Success","betty20@contoso.com","","Authentication Methods","UserManagement","User registered all required security info","User","Betty20 Deborah51","User","Betty20 Deborah51","","","","","","","","","","","","","","","",""
"2025-09-29T20:29:51.2308406Z","betty20@contoso.com","104.210.141.57","","Update user","Success","betty20@contoso.com","TargetId.UserType","Core Directory","UserManagement","","User","Ruth29 App Ward11 Kelly59","User","","","""Member""","","","","","","","","","","","","","",""
"2025-09-29T20:29:51.2248439Z","betty20@contoso.com","104.210.141.57","","Update user","Success","betty20@contoso.com","TargetId.UserType","Core Directory","UserManagement","","User","Ruth29 App Ward11 Kelly59","User","","","""Member""","","","","","","","","","","","","","",""
"2025-09-29T20:29:51.2208446Z","betty20@contoso.com","104.210.141.57","","Create application password for user","Success","betty20@contoso.com","","Core Directory","UserManagement","","User","Ruth29 App Ward11 Kelly59","User","","","","","","","","","","","","","","","","",""
"2025-09-29T20:29:51Z","betty20@contoso.com","137.27.96.204","","User registered security info","Success","betty20@contoso.com","","Authentication Methods","UserManagement","User registered App Password","User","Betty20 Deborah51","User","Betty20 Deborah51","","","","","","","","","","","","","","","AuthenticationMethodType","AppPassword"
"2025-09-29T20:29:50Z","betty20@contoso.com","137.27.96.204","","User started security info registration","Success","betty20@contoso.com","","Authentication Methods","UserManagement","User started the registration for App Password","User","Betty20 Deborah51","User","Betty20 Deborah51","","","","","","","","","","","","","","","AuthenticationMethodType","AppPassword"
"2025-09-29T20:29:28Z","betty20@contoso.com","137.27.96.204","","User registered security info","Success","betty20@contoso.com","","Authentication Methods","UserManagement","User registered Authenticator App with Notification","User","Betty20 Deborah51","User","Betty20 Deborah51","","","","","","","","","","","","","","","AuthenticationMethodType","AppNotificationOnly"
"2025-09-29T20:29:27.5733568Z","betty20@contoso.com","104.210.141.57","","POST UserAuthMethod.SecurityInfoRegistrationCallback","Success","","","Authentication Methods","PolicyManagement","NoContent","User","Betty20 Deborah51","","","","","","","","","","","","","","","","","",""
"2025-09-29T20:29:27.4714135Z","","","","Update user","Success","betty20@contoso.com","Included Updated Properties","Core Directory","UserManagement","","Application","Patel14 Gray19 King17 Taylor29 Service","User","","","""""","TargetId.UserType","","""Member""","","","","","","","","","","",""
"2025-09-29T20:29:05Z","betty20@contoso.com","137.27.96.204","","User started security info registration","Success","betty20@contoso.com","","Authentication Methods","UserManagement","User started the registration for Authenticator App with Notification","User","Betty20 Deborah51","User","Betty20 Deborah51","","","","","","","","","","","","","","","AuthenticationMethodType","AppNotificationOnly"
"2025-09-29T20:28:40.2633354Z","","","","Update user","Success","betty20@contoso.com","StrongAuthenticationPhoneAppDetail","Core Directory","UserManagement","","Application","Patel14 Jack21 Hernandez35","User","","[]","[{""DeviceName"":""iPhone 14"",""DeviceToken"":""apns2-3ae0636063cf2bb7bc035f327d7f6882297d008aee6d53f2797b62ec78d82d86"",""DeviceTag"":""SoftwareTokenActivated"",""PhoneAppVersion"":""6.8.30"",""OathTokenTimeDrift"":0,""DeviceId"":""f28ea500-6276-48ce-8fb2-edd8a60671ea"",""Id"":""946b409e-62c1-4668-8a50-4dea91c108da"",""TimeInterval"":0,""AuthenticationType"":3,""NotificationType"":2,""LastAuthenticatedTimestamp"":""2025-09-29T20:28:39.7954608Z"",""AuthenticatorFlavor"":""Authenticator"",""HashFunction"":null,""TenantDeviceId"":null,""SecuredPartitionId"":20088,""SecuredKeyId"":7}]","Included Updated Properties","","""StrongAuthenticationPhoneAppDetail""","TargetId.UserType","","""Member""","","","","","","","",""
"2025-09-29T20:28:40.1633277Z","","","","Update user","Success","betty20@contoso.com","StrongAuthenticationMethod","Core Directory","UserManagement","","Application","Patel14 Jack21 Hernandez35","User","","[]","[{""MethodType"":6,""Default"":true},{""MethodType"":7,""Default"":false}]","Included Updated Properties","","""StrongAuthenticationMethod""","TargetId.UserType","","""Member""","","","","","","","",""
"2025-09-29T20:26:52.8758106Z","sandoval42@contoso.com","2603:1036:2405:cddc:5317:3da1:5901:c7","","Update user","Success","betty20@contoso.com","StsRefreshTokensValidFrom","Core Directory","UserManagement","","User","Ruth29 Davis27 365 Barbara23","User","","[""2025-09-29T20:01:46Z""]","[""2025-09-29T20:26:52Z""]","Included Updated Properties","","""StsRefreshTokensValidFrom""","TargetId.UserType","","""Member""","","","","","","","User-Bailey15","O365AdminPortal"
"2025-09-29T20:26:52.8748097Z","sandoval42@contoso.com","2603:1036:2405:cddc:5317:3da1:5901:c7","","Update StsRefreshTokenValidFrom Timestamp","Success","betty20@contoso.com","StsRefreshTokensValidFrom","Core Directory","UserManagement","","User","Ruth29 Davis27 365 Barbara23","User","","[""2025-09-29T20:01:46Z""]","[""2025-09-29T20:26:52Z""]","Included Updated Properties","","""StsRefreshTokensValidFrom""","","","","","","","","","","",""
"2025-09-29T20:26:52.5593582Z","sandoval42@contoso.com","2603:1036:2405:cddc:5317:3da1:5901:c7","","Update user","Success","betty20@contoso.com","AccountEnabled","Core Directory","UserManagement","","User","Ruth29 Davis27 365 Barbara23","User","","[false]","[true]","Included Updated Properties","","""AccountEnabled""","TargetId.UserType","","""Member""","","","","","","","User-Bailey15","O365AdminPortal"
"2025-09-29T20:26:52.5583539Z","sandoval42@contoso.com","2603:1036:2405:cddc:5317:3da1:5901:c7","","Enable account","Success","betty20@contoso.com","AccountEnabled","Core Directory","UserManagement","","User","Ruth29 Davis27 365 Barbara23","User","","[false]","[true]","Included Updated Properties","","""AccountEnabled""","","","","","","","","","","",""
