"ActivityDateTime","ActivityDisplayName","AdditionalDetails.1.Key","AdditionalDetails.1.Value","AdditionalDetails.1.AdditionalProperties","AdditionalDetails.2.Key","AdditionalDetails.2.Value","AdditionalDetails.2.AdditionalProperties","AdditionalDetails.3.Key","AdditionalDetails.3.Value","AdditionalDetails.3.AdditionalProperties","Category","CorrelationId","Id","InitiatedBy.App.AppId","InitiatedBy.App.DisplayName","InitiatedBy.App.ServicePrincipalId","InitiatedBy.App.ServicePrincipalName","InitiatedBy.App.AdditionalProperties","InitiatedBy.LinkableIdentifiers.DeviceId","InitiatedBy.LinkableIdentifiers.SessionId","InitiatedBy.LinkableIdentifiers.TokenDetails.IssuedAtDateTime","InitiatedBy.LinkableIdentifiers.TokenDetails.UniqueTokenIdentifier","InitiatedBy.LinkableIdentifiers.TokenDetails.AdditionalProperties","InitiatedBy.LinkableIdentifiers.AdditionalProperties","InitiatedBy.User.DisplayName","InitiatedBy.User.HomeTenantId","InitiatedBy.User.HomeTenantName","InitiatedBy.User.IPAddress","InitiatedBy.User.Id","InitiatedBy.User.UserPrincipalName","InitiatedBy.User.AdditionalProperties","InitiatedBy.AdditionalProperties","LoggedByService","OperationType","Result","ResultReason","TargetResources.1.DisplayName","TargetResources.1.GroupType","TargetResources.1.Id","TargetResources.1.ModifiedProperties.1.DisplayName","TargetResources.1.ModifiedProperties.1.NewValue","TargetResources.1.ModifiedProperties.1.OldValue","TargetResources.1.ModifiedProperties.1.AdditionalProperties","TargetResources.1.ModifiedProperties.2.DisplayName","TargetResources.1.ModifiedProperties.2.NewValue","TargetResources.1.ModifiedProperties.2.OldValue","TargetResources.1.ModifiedProperties.2.AdditionalProperties","TargetResources.1.ModifiedProperties.3.DisplayName","TargetResources.1.ModifiedProperties.3.NewValue","TargetResources.1.ModifiedProperties.3.OldValue","TargetResources.1.ModifiedProperties.3.AdditionalProperties","TargetResources.1.ModifiedProperties.4.DisplayName","TargetResources.1.ModifiedProperties.4.NewValue","TargetResources.1.ModifiedProperties.4.OldValue","TargetResources.1.ModifiedProperties.4.AdditionalProperties","TargetResources.1.ModifiedProperties.5.DisplayName","TargetResources.1.ModifiedProperties.5.NewValue","TargetResources.1.ModifiedProperties.5.OldValue","TargetResources.1.ModifiedProperties.5.AdditionalProperties","TargetResources.1.ModifiedProperties.6.DisplayName","TargetResources.1.ModifiedProperties.6.NewValue","TargetResources.1.ModifiedProperties.6.OldValue","TargetResources.1.ModifiedProperties.6.AdditionalProperties","TargetResources.1.ModifiedProperties.7.DisplayName","TargetResources.1.ModifiedProperties.7.NewValue","TargetResources.1.ModifiedProperties.7.OldValue","TargetResources.1.ModifiedProperties.7.AdditionalProperties","TargetResources.1.Type","TargetResources.1.UserPrincipalName","TargetResources.1.AdditionalProperties","UserAgent","AdditionalProperties"
"2026-08-05 03:33:15","Add service principal","AppId","de247707-4e4a-47d6-89fd-3c632f870b34",,"AppOwnerOrganizationId","f8cdef31-a31e-4b4a-93e4-5f571e91255a",,"ServicePrincipalProvisioningType","DefaultMicrosoft",,"ApplicationManagement","6a36ba86-cc0a-4904-8c4e-2c48066a6860","Directory_6a36ba86-cc0a-4904-8c4e-2c48066a6860_2RVIZ_5796130",,"Microsoft Azure AD Internal - Jit Provisioning",,,,,,,,,,,,,,,,,,"Core Directory","Add","failure","Microsoft.Online.Workflows.SpnValidationException","CloudLicensingSystem",,"8fa14397-9b22-4123-b7ed-d71ea256b1cf","AccountEnabled","[true]","[]",,"AppPrincipalId","[""de247707-4e4a-47d6-89fd-3c632f870b34""]","[]",,"DisplayName","[""CloudLicensingSystem""]","[]",,"ServicePrincipalName","[""https://cloudlicensing.microsoft.com"",""de247707-4e4a-47d6-89fd-3c632f870b34""]","[]",,"Credential","[{""CredentialType"":2,""KeyStoreId"":""291154f0-a9f5-45bb-87be-9c8ee5b6d62c"",""KeyGroupId"":""5c591d76-bf0d-482f-a0db-50b8aadc33bb""}]","[]",,"Included Updated Properties","""AccountEnabled, AppPrincipalId, DisplayName, ServicePrincipalName, Credential""",,,"MethodExecutionResult.","""Microsoft.Online.Workflows.SpnValidationException""",,,"ServicePrincipal",,,"",
"2026-08-05 03:33:11","Add service principal","AppId","de247707-4e4a-47d6-89fd-3c632f870b34",,"AppOwnerOrganizationId","f8cdef31-a31e-4b4a-93e4-5f571e91255a",,"ServicePrincipalProvisioningType","DefaultMicrosoft",,"ApplicationManagement","3e52fbf5-d737-4c11-85ae-ef9baef51777","Directory_3e52fbf5-d737-4c11-85ae-ef9baef51777_612LS_199919749",,"Microsoft Azure AD Internal - Jit Provisioning",,,,,,,,,,,,,,,,,,"Core Directory","Add","failure","Microsoft.Online.Workflows.SpnValidationException","CloudLicensingSystem",,"f28f0b38-c001-4062-9a9a-241d50d6951f","AccountEnabled","[true]","[]",,"AppPrincipalId","[""de247707-4e4a-47d6-89fd-3c632f870b34""]","[]",,"DisplayName","[""CloudLicensingSystem""]","[]",,"ServicePrincipalName","[""https://cloudlicensing.microsoft.com"",""de247707-4e4a-47d6-89fd-3c632f870b34""]","[]",,"Credential","[{""CredentialType"":2,""KeyStoreId"":""291154f0-a9f5-45bb-87be-9c8ee5b6d62c"",""KeyGroupId"":""5c591d76-bf0d-482f-a0db-50b8aadc33bb""}]","[]",,"Included Updated Properties","""AccountEnabled, AppPrincipalId, DisplayName, ServicePrincipalName, Credential""",,,"MethodExecutionResult.","""Microsoft.Online.Workflows.SpnValidationException""",,,"ServicePrincipal",,,"",
"2026-08-05 03:33:10","Set Company Information","User-Agent","MCAPICommercialProductLicensing",,,,,,,,"DirectoryManagement","cf0a5004-e66c-49c3-b4ab-b86f1a88fdbc","Directory_cf0a5004-e66c-49c3-b4ab-b86f1a88fdbc_TRTTV_8014190",,"CloudLicensingSystem","a6ccb8a3-5a4e-438d-814d-f3dd0ed6678e",,,,,,,,,,,,,,,,,"Core Directory","Update","success","","MSFT",,"eb174bbc-fe94-4978-95b9-a616457dd489","Included Updated Properties","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,"Directory",,,"",
"2026-08-05 03:33:09","Add service principal","AppId","de247707-4e4a-47d6-89fd-3c632f870b34",,"AppOwnerOrganizationId","f8cdef31-a31e-4b4a-93e4-5f571e91255a",,"ServicePrincipalProvisioningType","DefaultMicrosoft",,"ApplicationManagement","fefdee11-23bd-45a2-8bba-185f47fa2eb8","Directory_fefdee11-23bd-45a2-8bba-185f47fa2eb8_6ZX0I_197371431",,"Microsoft Azure AD Internal - Jit Provisioning",,,,,,,,,,,,,,,,,,"Core Directory","Add","success","","CloudLicensingSystem",,"a6ccb8a3-5a4e-438d-814d-f3dd0ed6678e","AccountEnabled","[true]","[]",,"AppPrincipalId","[""de247707-4e4a-47d6-89fd-3c632f870b34""]","[]",,"DisplayName","[""CloudLicensingSystem""]","[]",,"ServicePrincipalName","[""https://cloudlicensing.microsoft.com"",""de247707-4e4a-47d6-89fd-3c632f870b34""]","[]",,"Credential","[{""CredentialType"":2,""KeyStoreId"":""291154f0-a9f5-45bb-87be-9c8ee5b6d62c"",""KeyGroupId"":""5c591d76-bf0d-482f-a0db-50b8aadc33bb""}]","[]",,"Included Updated Properties","""AccountEnabled, AppPrincipalId, DisplayName, ServicePrincipalName, Credential""",,,,,,,"ServicePrincipal",,,"",
"2026-08-01 23:49:44","Validate user authentication","targetTenant","00000000-0000-0000-0000-000000000000",,"targetEntityType","None",,"actorIdentityType","UPN",,"Authentication","510a4922-ee52-4285-9555-c97c856f331b","B2C_510a4922-ee52-4285-9555-c97c856f331b_eb174bbc-fe94-4978-95b9-a616457dd489_134301017847594540",,,,,,,"006f447a-fbee-909a-f003-83b66e67e277","2026-08-01 23:44:43","M90ctFawuUSh5-c_GiE5AA",,,"bitpusher@854jpt.onmicrosoft.com",,,"20.190.132.42","2da85e45-0c0e-4f90-8587-f770888de158","bitpusher@854jpt.onmicrosoft.com",,,"B2C","Read","success","Token is valid","00000000-0000-0000-0000-000000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Other",,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36 Edg/150.0.0.0",
"2026-08-01 22:17:40","GroupLifecyclePolicies_Get",,,,,,,,,,"GroupManagement","423fc1f0-5af0-41f6-8180-0c7937d8556b","SSGM_423fc1f0-5af0-41f6-8180-0c7937d8556b_0HRD2_98322091",,,,,,,,,,,,,,,"20.190.190.224","cf74c28f-b71b-4588-b74d-9476484c25fa",,,,"Self-service Group Management","Update","success","OK",,,"00000000-0000-0000-0000-000000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N/A",,,"",
"2026-07-31 06:45:42","Add delegated permission grant","User-Agent","Mozilla/5.0 (Windows NT 10.0; Microsoft Windows 10.0.22631; en-US) PowerShell/7.6.4",,"AppId","00000003-0000-0000-c000-000000000000",,"ServicePrincipalProvisioningType","Other",,"ApplicationManagement","8d61d7e0-ec31-4448-99bb-1deed3d04f93","Directory_8d61d7e0-ec31-4448-99bb-1deed3d04f93_HJ21N_7540365",,,,,,,"006f929a-e3d0-b29e-6f70-56322b097e69","2026-07-31 06:39:33","KQSv5XmIpU-AFOgnLF8fAA",,,,,,"47.152.78.88","2da85e45-0c0e-4f90-8587-f770888de158","bitpusher@854jpt.onmicrosoft.com",,,"Core Directory","Assign","success","","Microsoft Graph",,"3f2a49db-c4cd-4130-972f-30d8210eecaf","DelegatedPermissionGrant.Scope","""Mail.Read""",,,"DelegatedPermissionGrant.ConsentType","""AllPrincipals""",,,"ServicePrincipal.ObjectID","""62e9c035-8de2-4933-ba4c-d088e13d5f11""",,,"ServicePrincipal.DisplayName",,,,"ServicePrincipal.AppId",,,,"ServicePrincipal.Name",,,,"TargetId.ServicePrincipalNames","""00000003-0000-0000-c000-000000000000/ags.windows.net;00000003-0000-0000-c000-000000000000;https://canary.graph.microsoft.com;https://graph.microsoft.com;https://ags.windows.net;https://graph.microsoft.us;https://graph.microsoft.com/;https://dod-graph.microsoft.us;https://canary.graph.microsoft.com/;https://graph.microsoft.us/;https://dod-graph.microsoft.us/""",,,"ServicePrincipal",,,"",
"2026-07-31 06:45:41","Add service principal","User-Agent","Mozilla/5.0 (Windows NT 10.0; Microsoft Windows 10.0.22631; en-US) PowerShell/7.6.4",,"AppId","1950a258-227b-4e31-a9cf-717495945fc2",,"AppOwnerOrganizationId","f8cdef31-a31e-4b4a-93e4-5f571e91255a",,"ApplicationManagement","568ff636-7000-4775-9f07-4caae1efbc87","Directory_568ff636-7000-4775-9f07-4caae1efbc87_I317B_7071896",,,,,,,"006f929a-e3d0-b29e-6f70-56322b097e69","2026-07-31 06:39:33","KQSv5XmIpU-AFOgnLF8fAA",,,,,,"47.152.78.88","2da85e45-0c0e-4f90-8587-f770888de158","bitpusher@854jpt.onmicrosoft.com",,,"Core Directory","Add","success","","Microsoft Azure PowerShell",,"62e9c035-8de2-4933-ba4c-d088e13d5f11","AccountEnabled","[true]","[]",,"AppAddress","[{""AddressType"":0,""Address"":""ms-appx-web://microsoft.aad.brokerplugin/1950a258-227b-4e31-a9cf-717495945fc2"",""ReplyAddressClientType"":2,""ReplyAddressIndex"":null,""IsReplyAddressDefault"":false},{""AddressType"":0,""Address"":""urn:ietf:wg:oauth:2.0:oob"",""ReplyAddressClientType"":2,""ReplyAddressIndex"":null,""IsReplyAddressDefault"":false},{""AddressType"":0,""Address"":""http://localhost"",""ReplyAddressClientType"":2,""ReplyAddressIndex"":null,""IsReplyAddressDefault"":false},{""AddressType"":0,""Address"":""https://login.microsoftonline.com/common/oauth2/nativeclient"",""ReplyAddressClientType"":2,""ReplyAddressIndex"":null,""IsReplyAddressDefault"":false}]","[]",,"AppPrincipalId","[""1950a258-227b-4e31-a9cf-717495945fc2""]","[]",,"DisplayName","[""Microsoft Azure PowerShell""]","[]",,"ServicePrincipalName","[""1950a258-227b-4e31-a9cf-717495945fc2""]","[]",,"Credential","[{""CredentialType"":2,""KeyStoreId"":""291154f0-a9f5-45bb-87be-9c8ee5b6d62c"",""KeyGroupId"":""291154f0-a9f5-45bb-87be-9c8ee5b6d62c""}]","[]",,"Included Updated Properties","""AccountEnabled, AppAddress, AppPrincipalId, DisplayName, ServicePrincipalName, Credential""",,,"ServicePrincipal",,,"",
"2026-07-31 06:45:38","Add app role assignment to service principal","User-Agent","Mozilla/5.0 (Windows NT 10.0; Microsoft Windows 10.0.22631; en-US) PowerShell/7.6.4",,"AppId","00000003-0000-0000-c000-000000000000",,"ServicePrincipalProvisioningType","Other",,"ApplicationManagement","c9dba816-d2ed-4771-85ec-cdda88dab3d5","Directory_c9dba816-d2ed-4771-85ec-cdda88dab3d5_HJ21N_7540064",,,,,,,"006f929a-e3d0-b29e-6f70-56322b097e69","2026-07-31 06:39:33","KQSv5XmIpU-AFOgnLF8fAA",,,,,,"47.152.78.88","2da85e45-0c0e-4f90-8587-f770888de158","bitpusher@854jpt.onmicrosoft.com",,,"Core Directory","Assign","success","","Microsoft Graph",,"3f2a49db-c4cd-4130-972f-30d8210eecaf","AppRole.Id","""df021288-bdef-4463-88db-98f22de89214""",,,"AppRole.Value","""User.Read.All""",,,"AppRole.DisplayName","""Read all users' full profiles""",,,"AppRoleAssignment.CreatedDateTime","""2026-07-31T06:45:37.9016627Z""",,,"AppRoleAssignment.LastModifiedDateTime","""2026-07-31T06:45:37.9016627Z""",,,"ServicePrincipal.ObjectID","""e1ad4340-0b0d-42c2-b211-3c7ca70aa40b""",,,"ServicePrincipal.DisplayName","""PowerShellMailRead""",,,"ServicePrincipal",,,"",
"2026-07-31 06:45:37","Add app role assignment to service principal","User-Agent","Mozilla/5.0 (Windows NT 10.0; Microsoft Windows 10.0.22631; en-US) PowerShell/7.6.4",,"AppId","00000003-0000-0000-c000-000000000000",,"ServicePrincipalProvisioningType","Other",,"ApplicationManagement","be5ffdd6-36d6-484d-aa11-29523975805a","Directory_be5ffdd6-36d6-484d-aa11-29523975805a_I317B_7071576",,,,,,,"006f929a-e3d0-b29e-6f70-56322b097e69","2026-07-31 06:39:33","KQSv5XmIpU-AFOgnLF8fAA",,,,,,"47.152.78.88","2da85e45-0c0e-4f90-8587-f770888de158","bitpusher@854jpt.onmicrosoft.com",,,"Core Directory","Assign","success","","Microsoft Graph",,"3f2a49db-c4cd-4130-972f-30d8210eecaf","AppRole.Id","""810c84a8-4a9e-49e6-bf7d-12d183f40d01""",,,"AppRole.Value","""Mail.Read""",,,"AppRole.DisplayName","""Read mail in all mailboxes""",,,"AppRoleAssignment.CreatedDateTime","""2026-07-31T06:45:37.6288789Z""",,,"AppRoleAssignment.LastModifiedDateTime","""2026-07-31T06:45:37.6288789Z""",,,"ServicePrincipal.ObjectID","""e1ad4340-0b0d-42c2-b211-3c7ca70aa40b""",,,"ServicePrincipal.DisplayName","""PowerShellMailRead""",,,"ServicePrincipal",,,"",
