"RecordType","CreationDate","UserIds","Operations","AuditData","ResultIndex","ResultCount","AuditSearchRequestMetadata","Identity","IsValid","ObjectState"
"ExchangeAdmin","2026-07-24 09:37:52","PattiF@854jpt.onmicrosoft.com","Set-Mailbox","{""AppAccessContext"":{""AADSessionId"":""006e812a-7a51-1bfb-6f95-5c86f1a62e20"",""IssuedAtTime"":""2026-07-24T09:03:33"",""UniqueTokenId"":""kLkkc0xBO0u_JVaawaUEAA""},""CreationTime"":""2026-07-24T09:37:52"",""Id"":""4a5f14a9-318a-4894-f878-08dee9673be2"",""Operation"":""Set-Mailbox"",""OrganizationId"":""eb174bbc-fe94-4978-95b9-a616457dd489"",""RecordType"":1,""ResultStatus"":""True"",""UserKey"":""PattiF@854jpt.onmicrosoft.com"",""UserType"":2,""Version"":1,""Workload"":""Exchange"",""ClientIP"":""45.9.249.58:15384"",""ObjectId"":""1bd04873-b0e9-4e06-b762-ef4f65f724c9"",""UserId"":""PattiF@854jpt.onmicrosoft.com"",""AppId"":"""",""AppPoolName"":""MSExchangeOwaServerNetCore"",""ClientAppId"":"""",""CorrelationID"":"""",""ExternalAccess"":false,""OrganizationName"":""854jpt.onmicrosoft.com"",""OriginatingServer"":""BY5PR10MB3746 (15.21.0245.008)"",""Parameters"":[{""Name"":""Identity"",""Value"":""NAMPR10A011.PROD.OUTLOOK.COM\/Microsoft Exchange Hosted Organizations\/854jpt.onmicrosoft.com\/1bd04873-b0e9-4e06-b762-ef4f65f724c9""},{""Name"":""ForwardingSmtpAddress"",""Value"":""smtp:PattiF-Waverly@guerrillamail.com""},{""Name"":""DeliverToMailboxAndForward"",""Value"":""True""}],""RequestId"":""84db1e17-4205-424c-2dc6-b2fbdfd5b220"",""SessionId"":""006e812a-7a51-1bfb-6f95-5c86f1a62e20"",""TokenObjectId"":""1bd04873-b0e9-4e06-b762-ef4f65f724c9"",""TokenTenantId"":""eb174bbc-fe94-4978-95b9-a616457dd489""}","1","32","{
  ""moreRecordsAvailable"": false
}","4a5f14a9-318a-4894-f878-08dee9673be2","True","Unchanged"
"ExchangeAdmin","2026-07-29 00:38:51","NT SERVICE\MSExchangeAdminApiNetCore (Microsoft.Exchange.AdminApi.NetCore)","Set-Mailbox","{""AppAccessContext"":{""IssuedAtTime"":""2026-07-29T00:38:27"",""UniqueTokenId"":""9654a43c-9a51-887e-a2a3-1d8dab4eab29""},""CreationTime"":""2026-07-29T00:38:51"",""Id"":""15efc040-361a-4f97-d872-08deed09c317"",""Operation"":""Set-Mailbox"",""OrganizationId"":""eb174bbc-fe94-4978-95b9-a616457dd489"",""RecordType"":1,""ResultStatus"":""True"",""UserKey"":""NT SERVICE\\MSExchangeAdminApiNetCore (Microsoft.Exchange.AdminApi.NetCore)"",""UserType"":2,""Version"":1,""Workload"":""Exchange"",""ClientIP"":""[2603:1036:306:7::5]:29758"",""ObjectId"":""SystemMailbox{bb558c35-97f1-4cb9-8ff7-d53741dc928c}"",""UserId"":""NT SERVICE\\MSExchangeAdminApiNetCore (Microsoft.Exchange.AdminApi.NetCore)"",""AppId"":"""",""AppPoolName"":""MSExchangeAdminApiNetCore"",""ClientAppId"":"""",""CorrelationID"":"""",""ExternalAccess"":false,""OrganizationName"":""854jpt.onmicrosoft.com"",""OriginatingServer"":""SA7PR10MB997774 (15.21.0245.008)"",""Parameters"":[{""Name"":""Force"",""Value"":""True""},{""Name"":""SuiteServiceStorage"",""Value"":""True""},{""Name"":""OABGen"",""Value"":""True""},{""Name"":""ApprovalApplication"",""Value"":""True""},{""Name"":""MailRouting"",""Value"":""True""},{""Name"":""Arbitration"",""Value"":""True""},{""Name"":""ClientExtensions"",""Value"":""True""},{""Name"":""UMGrammar"",""Value"":""True""},{""Name"":""MaxSendSize"",""Value"":""1 GB (1,073,741,824 bytes)""},{""Name"":""MessageTracking"",""Value"":""True""},{""Name"":""OMEncryption"",""Value"":""True""},{""Name"":""Identity"",""Value"":""SystemMailbox{bb558c35-97f1-4cb9-8ff7-d53741dc928c}""},{""Name"":""GMGen"",""Value"":""True""}],""RequestId"":""7ba6144c-2935-58f1-8b63-d09db58b3b36"",""SessionId"":"""",""TokenTenantId"":""eb174bbc-fe94-4978-95b9-a616457dd489""}","2","32","{
  ""moreRecordsAvailable"": false
}","15efc040-361a-4f97-d872-08deed09c317","True","Unchanged"
"ExchangeAdmin","2026-07-29 00:38:52","NT SERVICE\MSExchangeAdminApiNetCore (Microsoft.Exchange.AdminApi.NetCore)","Set-Mailbox","{""AppAccessContext"":{""IssuedAtTime"":""2026-07-29T00:38:27"",""UniqueTokenId"":""9654a43c-9a51-887e-a2a3-1d8dab4eab29""},""CreationTime"":""2026-07-29T00:38:52"",""Id"":""3e94b0d0-d63c-4150-5ee5-08deed09c36c"",""Operation"":""Set-Mailbox"",""OrganizationId"":""eb174bbc-fe94-4978-95b9-a616457dd489"",""RecordType"":1,""ResultStatus"":""True"",""UserKey"":""NT SERVICE\\MSExchangeAdminApiNetCore (Microsoft.Exchange.AdminApi.NetCore)"",""UserType"":2,""Version"":1,""Workload"":""Exchange"",""ClientIP"":""[2603:1036:306:7::5]:29758"",""ObjectId"":""SystemMailbox{e0dc1c29-89c3-4034-b678-e6c29d823ed9}"",""UserId"":""NT SERVICE\\MSExchangeAdminApiNetCore (Microsoft.Exchange.AdminApi.NetCore)"",""AppId"":"""",""AppPoolName"":""MSExchangeAdminApiNetCore"",""ClientAppId"":"""",""CorrelationID"":"""",""ExternalAccess"":false,""OrganizationName"":""854jpt.onmicrosoft.com"",""OriginatingServer"":""SA7PR10MB997774 (15.21.0245.008)"",""Parameters"":[{""Name"":""Arbitration"",""Value"":""True""},{""Name"":""Identity"",""Value"":""SystemMailbox{e0dc1c29-89c3-4034-b678-e6c29d823ed9}""},{""Name"":""UMDataStorage"",""Value"":""True""},{""Name"":""ApprovalApplication"",""Value"":""False""},{""Name"":""Force"",""Value"":""True""}],""RequestId"":""7ba6144c-2935-58f1-8b63-d09db58b3b36"",""SessionId"":"""",""TokenTenantId"":""eb174bbc-fe94-4978-95b9-a616457dd489""}","3","32","{
  ""moreRecordsAvailable"": false
}","3e94b0d0-d63c-4150-5ee5-08deed09c36c","True","Unchanged"
"ExchangeAdmin","2026-07-29 00:38:52","NT SERVICE\MSExchangeAdminApiNetCore (Microsoft.Exchange.AdminApi.NetCore)","Set-Mailbox","{""AppAccessContext"":{""IssuedAtTime"":""2026-07-29T00:38:27"",""UniqueTokenId"":""9654a43c-9a51-887e-a2a3-1d8dab4eab29""},""CreationTime"":""2026-07-29T00:38:52"",""Id"":""194dcc7f-2cdc-425b-7f7c-08deed09c3aa"",""Operation"":""Set-Mailbox"",""OrganizationId"":""eb174bbc-fe94-4978-95b9-a616457dd489"",""RecordType"":1,""ResultStatus"":""True"",""UserKey"":""NT SERVICE\\MSExchangeAdminApiNetCore (Microsoft.Exchange.AdminApi.NetCore)"",""UserType"":2,""Version"":1,""Workload"":""Exchange"",""ClientIP"":""[2603:1036:306:7::5]:29758"",""ObjectId"":""OrgExtensionProperties0_ED5B1323-0DC1-43D3-96C7-0049903548CF"",""UserId"":""NT SERVICE\\MSExchangeAdminApiNetCore (Microsoft.Exchange.AdminApi.NetCore)"",""AppId"":"""",""AppPoolName"":""MSExchangeAdminApiNetCore"",""ClientAppId"":"""",""CorrelationID"":"""",""ExternalAccess"":false,""OrganizationName"":""854jpt.onmicrosoft.com"",""OriginatingServer"":""SA7PR10MB997774 (15.21.0245.008)"",""Parameters"":[{""Name"":""Arbitration"",""Value"":""True""},{""Name"":""Identity"",""Value"":""OrgExtensionProperties0_ED5B1323-0DC1-43D3-96C7-0049903548CF""},{""Name"":""ApprovalApplication"",""Value"":""True""},{""Name"":""Force"",""Value"":""True""}],""RequestId"":""7ba6144c-2935-58f1-8b63-d09db58b3b36"",""SessionId"":"""",""TokenTenantId"":""eb174bbc-fe94-4978-95b9-a616457dd489""}","4","32","{
  ""moreRecordsAvailable"": false
}","194dcc7f-2cdc-425b-7f7c-08deed09c3aa","True","Unchanged"
"ExchangeAdmin","2026-07-29 00:38:53","NT SERVICE\MSExchangeAdminApiNetCore (Microsoft.Exchange.AdminApi.NetCore)","Set-Mailbox","{""AppAccessContext"":{""IssuedAtTime"":""2026-07-29T00:38:27"",""UniqueTokenId"":""9654a43c-9a51-887e-a2a3-1d8dab4eab29""},""CreationTime"":""2026-07-29T00:38:53"",""Id"":""9bcb2346-f414-425a-1a07-08deed09c3e7"",""Operation"":""Set-Mailbox"",""OrganizationId"":""eb174bbc-fe94-4978-95b9-a616457dd489"",""RecordType"":1,""ResultStatus"":""True"",""UserKey"":""NT SERVICE\\MSExchangeAdminApiNetCore (Microsoft.Exchange.AdminApi.NetCore)"",""UserType"":2,""Version"":1,""Workload"":""Exchange"",""ClientIP"":""[2603:1036:306:7::5]:29758"",""ObjectId"":""TenantSetting_AC9A8876-0461-47EA-9d4C-FE8D02AEF7D5"",""UserId"":""NT SERVICE\\MSExchangeAdminApiNetCore (Microsoft.Exchange.AdminApi.NetCore)"",""AppId"":"""",""AppPoolName"":""MSExchangeAdminApiNetCore"",""ClientAppId"":"""",""CorrelationID"":"""",""ExternalAccess"":false,""OrganizationName"":""854jpt.onmicrosoft.com"",""OriginatingServer"":""SA7PR10MB997774 (15.21.0245.008)"",""Parameters"":[{""Name"":""Arbitration"",""Value"":""True""},{""Name"":""Identity"",""Value"":""TenantSetting_AC9A8876-0461-47EA-9d4C-FE8D02AEF7D5""},{""Name"":""ApprovalApplication"",""Value"":""True""},{""Name"":""Force"",""Value"":""True""}],""RequestId"":""7ba6144c-2935-58f1-8b63-d09db58b3b36"",""SessionId"":"""",""TokenTenantId"":""eb174bbc-fe94-4978-95b9-a616457dd489""}","5","32","{
  ""moreRecordsAvailable"": false
}","9bcb2346-f414-425a-1a07-08deed09c3e7","True","Unchanged"
"ExchangeAdmin","2026-07-29 00:38:53","NT SERVICE\MSExchangeAdminApiNetCore (Microsoft.Exchange.AdminApi.NetCore)","Set-Mailbox","{""AppAccessContext"":{""IssuedAtTime"":""2026-07-29T00:38:27"",""UniqueTokenId"":""9654a43c-9a51-887e-a2a3-1d8dab4eab29""},""CreationTime"":""2026-07-29T00:38:53"",""Id"":""5d01ffab-6ba8-45d4-e13c-08deed09c422"",""Operation"":""Set-Mailbox"",""OrganizationId"":""eb174bbc-fe94-4978-95b9-a616457dd489"",""RecordType"":1,""ResultStatus"":""True"",""UserKey"":""NT SERVICE\\MSExchangeAdminApiNetCore (Microsoft.Exchange.AdminApi.NetCore)"",""UserType"":2,""Version"":1,""Workload"":""Exchange"",""ClientIP"":""[2603:1036:306:7::5]:29758"",""ObjectId"":""TenantSetting_E29644B8-9FC2-458D-8512-BF925256183E"",""UserId"":""NT SERVICE\\MSExchangeAdminApiNetCore (Microsoft.Exchange.AdminApi.NetCore)"",""AppId"":"""",""AppPoolName"":""MSExchangeAdminApiNetCore"",""ClientAppId"":"""",""CorrelationID"":"""",""ExternalAccess"":false,""OrganizationName"":""854jpt.onmicrosoft.com"",""OriginatingServer"":""SA7PR10MB997774 (15.21.0245.008)"",""Parameters"":[{""Name"":""Arbitration"",""Value"":""True""},{""Name"":""Identity"",""Value"":""TenantSetting_E29644B8-9FC2-458D-8512-BF925256183E""},{""Name"":""ApprovalApplication"",""Value"":""True""},{""Name"":""Force"",""Value"":""True""}],""RequestId"":""7ba6144c-2935-58f1-8b63-d09db58b3b36"",""SessionId"":"""",""TokenTenantId"":""eb174bbc-fe94-4978-95b9-a616457dd489""}","6","32","{
  ""moreRecordsAvailable"": false
}","5d01ffab-6ba8-45d4-e13c-08deed09c422","True","Unchanged"
"ExchangeAdmin","2026-07-29 00:38:53","NT SERVICE\MSExchangeAdminApiNetCore (Microsoft.Exchange.AdminApi.NetCore)","Set-Mailbox","{""AppAccessContext"":{""IssuedAtTime"":""2026-07-29T00:38:27"",""UniqueTokenId"":""9654a43c-9a51-887e-a2a3-1d8dab4eab29""},""CreationTime"":""2026-07-29T00:38:53"",""Id"":""6efa11c8-a0d4-44e2-150f-08deed09c460"",""Operation"":""Set-Mailbox"",""OrganizationId"":""eb174bbc-fe94-4978-95b9-a616457dd489"",""RecordType"":1,""ResultStatus"":""True"",""UserKey"":""NT SERVICE\\MSExchangeAdminApiNetCore (Microsoft.Exchange.AdminApi.NetCore)"",""UserType"":2,""Version"":1,""Workload"":""Exchange"",""ClientIP"":""[2603:1036:306:7::5]:29758"",""ObjectId"":""OrgContacts_38CF9FA0-F551-44EB-A9C5-0A7B41019E0D"",""UserId"":""NT SERVICE\\MSExchangeAdminApiNetCore (Microsoft.Exchange.AdminApi.NetCore)"",""AppId"":"""",""AppPoolName"":""MSExchangeAdminApiNetCore"",""ClientAppId"":"""",""CorrelationID"":"""",""ExternalAccess"":false,""OrganizationName"":""854jpt.onmicrosoft.com"",""OriginatingServer"":""SA7PR10MB997774 (15.21.0245.008)"",""Parameters"":[{""Name"":""Arbitration"",""Value"":""True""},{""Name"":""Identity"",""Value"":""OrgContacts_38CF9FA0-F551-44EB-A9C5-0A7B41019E0D""},{""Name"":""ApprovalApplication"",""Value"":""True""},{""Name"":""Force"",""Value"":""True""}],""RequestId"":""7ba6144c-2935-58f1-8b63-d09db58b3b36"",""SessionId"":"""",""TokenTenantId"":""eb174bbc-fe94-4978-95b9-a616457dd489""}","7","32","{
  ""moreRecordsAvailable"": false
}","6efa11c8-a0d4-44e2-150f-08deed09c460","True","Unchanged"
"ExchangeAdmin","2026-07-29 00:38:54","NT SERVICE\MSExchangeAdminApiNetCore (Microsoft.Exchange.AdminApi.NetCore)","Set-Mailbox","{""AppAccessContext"":{""IssuedAtTime"":""2026-07-29T00:38:27"",""UniqueTokenId"":""9654a43c-9a51-887e-a2a3-1d8dab4eab29""},""CreationTime"":""2026-07-29T00:38:54"",""Id"":""889d64b7-a858-4b59-f2fa-08deed09c4a9"",""Operation"":""Set-Mailbox"",""OrganizationId"":""eb174bbc-fe94-4978-95b9-a616457dd489"",""RecordType"":1,""ResultStatus"":""True"",""UserKey"":""NT SERVICE\\MSExchangeAdminApiNetCore (Microsoft.Exchange.AdminApi.NetCore)"",""UserType"":2,""Version"":1,""Workload"":""Exchange"",""ClientIP"":""[2603:1036:306:7::5]:29758"",""ObjectId"":""Migration.8f3e7716-2011-43e4-96b1-aba62d229136"",""UserId"":""NT SERVICE\\MSExchangeAdminApiNetCore (Microsoft.Exchange.AdminApi.NetCore)"",""AppId"":"""",""AppPoolName"":""MSExchangeAdminApiNetCore"",""ClientAppId"":"""",""CorrelationID"":"""",""ExternalAccess"":false,""OrganizationName"":""854jpt.onmicrosoft.com"",""OriginatingServer"":""SA7PR10MB997774 (15.21.0245.008)"",""Parameters"":[{""Name"":""Arbitration"",""Value"":""True""},{""Name"":""UseDatabaseQuotaDefaults"",""Value"":""False""},{""Name"":""SCLJunkEnabled"",""Value"":""False""},{""Name"":""SCLDeleteEnabled"",""Value"":""False""},{""Name"":""Management"",""Value"":""True""},{""Name"":""DisplayName"",""Value"":""Microsoft Exchange Migration""},{""Name"":""HiddenFromAddressListsEnabled"",""Value"":""True""},{""Name"":""Identity"",""Value"":""Migration.8f3e7716-2011-43e4-96b1-aba62d229136""},{""Name"":""RecoverableItemsQuota"",""Value"":""30 GB (32,212,254,720 bytes)""},{""Name"":""SCLRejectEnabled"",""Value"":""False""},{""Name"":""Force"",""Value"":""True""},{""Name"":""ProhibitSendQuota"",""Value"":""10 GB (10,737,418,240 bytes)""},{""Name"":""SCLQuarantineEnabled"",""Value"":""False""},{""Name"":""IssueWarningQuota"",""Value"":""9 GB (9,663,676,416 bytes)""},{""Name"":""ProhibitSendReceiveQuota"",""Value"":""10 GB (10,737,418,240 bytes)""},{""Name"":""Migration"",""Value"":""True""},{""Name"":""RecoverableItemsWarningQuota"",""Value"":""20 GB (21,474,836,480 bytes)""}],""RequestId"":""7ba6144c-2935-58f1-8b63-d09db58b3b36"",""SessionId"":"""",""TokenTenantId"":""eb174bbc-fe94-4978-95b9-a616457dd489""}","8","32","{
  ""moreRecordsAvailable"": false
}","889d64b7-a858-4b59-f2fa-08deed09c4a9","True","Unchanged"
"ExchangeAdmin","2026-07-29 00:38:54","NT SERVICE\MSExchangeAdminApiNetCore (Microsoft.Exchange.AdminApi.NetCore)","Set-Mailbox","{""AppAccessContext"":{""IssuedAtTime"":""2026-07-29T00:38:27"",""UniqueTokenId"":""9654a43c-9a51-887e-a2a3-1d8dab4eab29""},""CreationTime"":""2026-07-29T00:38:54"",""Id"":""677ed845-bbc2-4a8b-a76a-08deed09c4e3"",""Operation"":""Set-Mailbox"",""OrganizationId"":""eb174bbc-fe94-4978-95b9-a616457dd489"",""RecordType"":1,""ResultStatus"":""True"",""UserKey"":""NT SERVICE\\MSExchangeAdminApiNetCore (Microsoft.Exchange.AdminApi.NetCore)"",""UserType"":2,""Version"":1,""Workload"":""Exchange"",""ClientIP"":""[2603:1036:306:7::5]:29758"",""ObjectId"":""SystemMailbox{D0E409A0-AF9B-4720-92FE-AAC869B0D201}"",""UserId"":""NT SERVICE\\MSExchangeAdminApiNetCore (Microsoft.Exchange.AdminApi.NetCore)"",""AppId"":"""",""AppPoolName"":""MSExchangeAdminApiNetCore"",""ClientAppId"":"""",""CorrelationID"":"""",""ExternalAccess"":false,""OrganizationName"":""854jpt.onmicrosoft.com"",""OriginatingServer"":""SA7PR10MB997774 (15.21.0245.008)"",""Parameters"":[{""Name"":""Arbitration"",""Value"":""True""},{""Name"":""Identity"",""Value"":""SystemMailbox{D0E409A0-AF9B-4720-92FE-AAC869B0D201}""},{""Name"":""ApprovalApplication"",""Value"":""True""},{""Name"":""Force"",""Value"":""True""}],""RequestId"":""7ba6144c-2935-58f1-8b63-d09db58b3b36"",""SessionId"":"""",""TokenTenantId"":""eb174bbc-fe94-4978-95b9-a616457dd489""}","9","32","{
  ""moreRecordsAvailable"": false
}","677ed845-bbc2-4a8b-a76a-08deed09c4e3","True","Unchanged"
"ExchangeAdmin","2026-07-29 00:38:55","NT SERVICE\MSExchangeAdminApiNetCore (Microsoft.Exchange.AdminApi.NetCore)","Set-Mailbox","{""AppAccessContext"":{""IssuedAtTime"":""2026-07-29T00:38:27"",""UniqueTokenId"":""9654a43c-9a51-887e-a2a3-1d8dab4eab29""},""CreationTime"":""2026-07-29T00:38:55"",""Id"":""5b4111dc-9f97-4fde-1751-08deed09c55d"",""Operation"":""Set-Mailbox"",""OrganizationId"":""eb174bbc-fe94-4978-95b9-a616457dd489"",""RecordType"":1,""ResultStatus"":""True"",""UserKey"":""NT SERVICE\\MSExchangeAdminApiNetCore (Microsoft.Exchange.AdminApi.NetCore)"",""UserType"":2,""Version"":1,""Workload"":""Exchange"",""ClientIP"":""[2603:1036:306:7::5]:29758"",""ObjectId"":""SystemMailbox{0AF09B7F-434F-4B2F-9CBC-57639EDCFD9C}"",""UserId"":""NT SERVICE\\MSExchangeAdminApiNetCore (Microsoft.Exchange.AdminApi.NetCore)"",""AppId"":"""",""AppPoolName"":""MSExchangeAdminApiNetCore"",""ClientAppId"":"""",""CorrelationID"":"""",""ExternalAccess"":false,""OrganizationName"":""854jpt.onmicrosoft.com"",""OriginatingServer"":""SA7PR10MB997774 (15.21.0245.008)"",""Parameters"":[{""Name"":""SCLDeleteEnabled"",""Value"":""False""},{""Name"":""UseDatabaseQuotaDefaults"",""Value"":""False""},{""Name"":""IssueWarningQuota"",""Value"":""90 GB (96,636,764,160 bytes)""},{""Name"":""HiddenFromAddressListsEnabled"",""Value"":""True""},{""Name"":""Arbitration"",""Value"":""True""},{""Name"":""SCLQuarantineEnabled"",""Value"":""False""},{""Name"":""RecoverableItemsQuota"",""Value"":""30 GB (32,212,254,720 bytes)""},{""Name"":""SCLJunkEnabled"",""Value"":""False""},{""Name"":""Force"",""Value"":""True""},{""Name"":""ProhibitSendQuota"",""Value"":""99 GB (106,300,440,576 bytes)""},{""Name"":""Identity"",""Value"":""SystemMailbox{0AF09B7F-434F-4B2F-9CBC-57639EDCFD9C}""},{""Name"":""OMEncryptionStore"",""Value"":""True""},{""Name"":""RecoverableItemsWarningQuota"",""Value"":""20 GB (21,474,836,480 bytes)""},{""Name"":""SCLRejectEnabled"",""Value"":""False""},{""Name"":""ProhibitSendReceiveQuota"",""Value"":""100 GB (107,374,182,400 bytes)""}],""RequestId"":""7ba6144c-2935-58f1-8b63-d09db58b3b36"",""SessionId"":"""",""TokenTenantId"":""eb174bbc-fe94-4978-95b9-a616457dd489""}","10","32","{
  ""moreRecordsAvailable"": false
}","5b4111dc-9f97-4fde-1751-08deed09c55d","True","Unchanged"
