"DateUTC","DateOnly","TimeOnly","User","Username","IPaddress","City","Region","Country","Status","SignInErrorCode","UserType","AuthRequirement","ConditionalAccess","TokenType","Application","ApplicationID","Resource","ResourceID","FailureReason","ClientApp","DeviceID","Browser","OS","UserAgent","Compliant","Managed","JoinType","Latency","MFAResult","MFAMethod","MFADetail","SignInIdentifier","SessionID","AuthenticationProtocol","UniqueToken","TransferMethod","ClientCredential","TokenProtectionSession","TokenProtectionStatusCode","CorrelationID"
"2026-07-29T06:39:55Z","2026-07-29","06:39:55","Vince V","bitpusher@854jpt.onmicrosoft.com","47.152.78.88","Highland"," California"," US","Success","","member","Multifactor authentication","Not Applied","none","Office365 Shell WCSS-Client","89bee1f7-5e6e-4d8a-9f3d-ecd601259da7","Microsoft Graph","00000003-0000-0000-c000-000000000000","Other.","Browser","","Edge 150.0.0","Windows10","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36 Edg/150.0.0.0","false","false","","65","MFA requirement satisfied by claim in the token","","","","006f447a-fbee-909a-f003-83b66e67e277","none","EsOIZgUn6kulvcTa_LGNAA","none","none","unbound","1002","019fac99-9ba2-7f9f-b36d-c493840a6f6a"
"2026-07-29T06:39:55Z","2026-07-29","06:39:55","Vince V","bitpusher@854jpt.onmicrosoft.com","47.152.78.88","Highland"," California"," US","Success","","member","Multifactor authentication","Not Applied","none","Office365 Shell WCSS-Client","89bee1f7-5e6e-4d8a-9f3d-ecd601259da7","Office365 Shell WCSS-Server","5f09333a-842c-47da-a157-57da27fcbca5","Other.","Browser","","Edge 150.0.0","Windows10","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36 Edg/150.0.0.0","false","false","","48","MFA requirement satisfied by claim in the token","","","","006f447a-fbee-909a-f003-83b66e67e277","none","OT2v_KWzzEOaKXxtJFiJAA","none","none","unbound","1002","019fac99-9b9e-778c-92c7-59f7800cf81c"
"2026-07-29T06:39:51Z","2026-07-29","06:39:51","Vince V","bitpusher@854jpt.onmicrosoft.com","47.152.78.88","Highland"," California"," US","Success","","member","Multifactor authentication","Not Applied","none","Office365 Shell WCSS-Client","89bee1f7-5e6e-4d8a-9f3d-ecd601259da7","Microsoft Graph","00000003-0000-0000-c000-000000000000","Other.","Browser","","Edge 150.0.0","Windows10","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36 Edg/150.0.0.0","false","false","","74","MFA requirement satisfied by claim in the token","","","","006f447a-fbee-909a-f003-83b66e67e277","none","k09y2cQM7E-fs82TmhaNAA","none","none","unbound","1002","019fac99-8cd5-7f42-9614-0436210b06ab"
"2026-07-29T06:39:49Z","2026-07-29","06:39:49","Vince V","bitpusher@854jpt.onmicrosoft.com","47.152.78.88","Highland"," California"," US","Success","","member","Multifactor authentication","Not Applied","none","Office365 Shell WCSS-Client","89bee1f7-5e6e-4d8a-9f3d-ecd601259da7","Microsoft Graph","00000003-0000-0000-c000-000000000000","Other.","Browser","","Edge 150.0.0","Windows10","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36 Edg/150.0.0.0","false","false","","56","MFA requirement satisfied by claim in the token","","","","006f447a-fbee-909a-f003-83b66e67e277","none","dZqMWKmiB0qiVDVuGZ6GAA","none","none","unbound","1002","019fac99-8708-774f-860d-ffdc13f877cc"
"2026-07-29T06:39:38Z","2026-07-29","06:39:38","Vince V","bitpusher@854jpt.onmicrosoft.com","47.152.78.88","Highland"," California"," US","Success","","member","Multifactor authentication","Not Applied","none","Office 365 SharePoint Online","00000003-0000-0ff1-ce00-000000000000","Office 365 SharePoint Online","00000003-0000-0ff1-ce00-000000000000","Other.","Browser","","Edge 150.0.0","Windows10","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36 Edg/150.0.0.0 OS/10.0.22631","false","false","","83","MFA requirement satisfied by claim in the token","","","","006f447a-fbee-909a-f003-83b66e67e277","none","tKz1gURixU6AJNXNVheOAA","none","none","unbound","1002","67ec2ba2-80ab-e000-ab60-a1cd908409ad"
"2026-07-29T06:39:36Z","2026-07-29","06:39:36","Vince V","bitpusher@854jpt.onmicrosoft.com","47.152.78.88","Highland"," California"," US","Success","","member","Multifactor authentication","Not Applied","none","Exchange Admin Center","497effe9-df71-4043-a8bb-14cf78c4b63b","Microsoft Graph","00000003-0000-0000-c000-000000000000","Other.","Browser","","Edge 150.0.0","Windows10","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36 Edg/150.0.0.0 OS/10.0.22631","false","false","","59","MFA requirement satisfied by claim in the token","","","","006f447a-fbee-909a-f003-83b66e67e277","none","cmddPuREm0qkzvK-dgMPAA","none","none","unbound","1002","d28c4c6d-9987-426b-951d-da1e0bdae011"
"2026-07-29T06:39:36Z","2026-07-29","06:39:36","Vince V","bitpusher@854jpt.onmicrosoft.com","47.152.78.88","Highland"," California"," US","Success","","member","Multifactor authentication","Not Applied","none","Azure Portal","c44b4083-3bb0-49c1-b47d-974e53cbdf3c","Azure Resource Manager","797f4846-ba00-4fd7-ba43-dac1f8f63013","Other.","Browser","","Edge 150.0.0","Windows10","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36 Edg/150.0.0.0 OS/10.0.22631","false","false","","67","MFA requirement satisfied by claim in the token","","","","006f447a-fbee-909a-f003-83b66e67e277","none","usQLb7GvdEiQKjJr0OCLAA","none","none","unbound","1002","019fac99-54db-71e0-8ed2-c5f4f637af09"
"2026-07-29T06:39:35Z","2026-07-29","06:39:35","Vince V","bitpusher@854jpt.onmicrosoft.com","47.152.78.88","Highland"," California"," US","Success","","member","Multifactor authentication","Not Applied","none","Azure Portal","c44b4083-3bb0-49c1-b47d-974e53cbdf3c","Azure Resource Manager","797f4846-ba00-4fd7-ba43-dac1f8f63013","Other.","Browser","","Edge 150.0.0","Windows10","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36 Edg/150.0.0.0 OS/10.0.22631","false","false","","69","MFA requirement satisfied by claim in the token","","","","006f447a-fbee-909a-f003-83b66e67e277","none","usQLb7GvdEiQKjJrsOCLAA","none","none","unbound","1002","019fac99-504c-7ba7-9437-0f3f717eb2cf"
"2026-07-29T06:39:34Z","2026-07-29","06:39:34","Vince V","bitpusher@854jpt.onmicrosoft.com","47.152.78.88","Highland"," California"," US","Success","","member","Multifactor authentication","Not Applied","none","Azure Portal","c44b4083-3bb0-49c1-b47d-974e53cbdf3c","Azure Resource Manager","797f4846-ba00-4fd7-ba43-dac1f8f63013","Other.","Browser","","Edge 150.0.0","Windows10","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36 Edg/150.0.0.0 OS/10.0.22631","false","false","","65","MFA requirement satisfied by claim in the token","","","","006f447a-fbee-909a-f003-83b66e67e277","none","mR8JG-Kyb0CJ1EfUS9KnAA","none","none","unbound","1002","019fac99-4ee9-7771-bf25-74f62ebf2b62"
"2026-07-29T06:39:34Z","2026-07-29","06:39:34","Vince V","bitpusher@854jpt.onmicrosoft.com","47.152.78.88","Highland"," California"," US","Success","","member","Multifactor authentication","Not Applied","none","Azure Portal","c44b4083-3bb0-49c1-b47d-974e53cbdf3c","Azure Resource Manager","797f4846-ba00-4fd7-ba43-dac1f8f63013","Other.","Browser","","Edge 150.0.0","Windows10","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36 Edg/150.0.0.0 OS/10.0.22631","false","false","","49","MFA requirement satisfied by claim in the token","","","","006f447a-fbee-909a-f003-83b66e67e277","none","9ppHQmrQgUGhc_T9nw8_AA","none","none","unbound","1002","019fac99-4e33-71aa-a575-942c871a0442"
