"Display Name","Recipient Type Details","Primary SMTP Address","Alias"
"Discovery Search Mailbox","DiscoveryMailbox","DiscoverySearchMailbox{D919BA05-46A6-415f-80AD-7E09334BB852}@854jpt.onmicrosoft.com","-"
"Vince V","UserMailbox","bitpusher@854jpt.onmicrosoft.com","t1xb0@854jpt.onmicrosoft.com"
"Lee Gu","UserMailbox","LeeG@854jpt.onmicrosoft.com","-"
"Adele Vance","UserMailbox","AdeleV@854jpt.onmicrosoft.com","-"
"Henrietta Mueller","UserMailbox","HenriettaM@854jpt.onmicrosoft.com","-"
"Patti Fernandez","UserMailbox","PattiF@854jpt.onmicrosoft.com","-"
"Johanna Lorenz","UserMailbox","JohannaL@854jpt.onmicrosoft.com","-"
"Nestor Wilke","UserMailbox","NestorW@854jpt.onmicrosoft.com","-"
"Joni Sherman","UserMailbox","JoniS@854jpt.onmicrosoft.com","-"
"Grady Archie","UserMailbox","GradyA@854jpt.onmicrosoft.com","-"
"Alex Wilber","UserMailbox","AlexW@854jpt.onmicrosoft.com","-"
"Isaiah Langer","UserMailbox","IsaiahL@854jpt.onmicrosoft.com","-"
"Miriam Graham","UserMailbox","MiriamG@854jpt.onmicrosoft.com","-"
"Diego Siciliani","UserMailbox","DiegoS@854jpt.onmicrosoft.com","-"
"Lidia Holloway","UserMailbox","LidiaH@854jpt.onmicrosoft.com","-"
"Megan Bowen","UserMailbox","MeganB@854jpt.onmicrosoft.com","-"
"Pradeep Gupta","UserMailbox","PradeepG@854jpt.onmicrosoft.com","-"
"Lynne Robbins","UserMailbox","LynneR@854jpt.onmicrosoft.com","-"
"All Company","GroupMailbox","allcompany@854jpt.onmicrosoft.com","-"
"MSFT","GroupMailbox","MSFT@854jpt.onmicrosoft.com","-"
"Digital Initiative Public Relations","GroupMailbox","DigitalInitiativePublicRelations@854jpt.onmicrosoft.com","-"
"Mark 8 Project Team","GroupMailbox","Mark8ProjectTeam@854jpt.onmicrosoft.com","-"
"Retail","GroupMailbox","Retail@854jpt.onmicrosoft.com","-"
"Sales and Marketing","GroupMailbox","SalesandMarketing@854jpt.onmicrosoft.com","-"
"U.S. Sales","GroupMailbox","U.S.Sales@854jpt.onmicrosoft.com","-"
