"Name","UPN","Department","License Status","SignIn Status","Authentication Methods","MFA Status","MFA Phone","Microsoft Authenticator Configured Device","Is 3rd-Party Authenticator Used","Additional Details"
"Adele Vance","AdeleV@854jpt.onmicrosoft.com","Retail","Licensed","Allowed","PasswordAuthentication,SoftwareOath","Weak","-","-","True",""
"Alex Wilber","AlexW@854jpt.onmicrosoft.com","Marketing","Licensed","Allowed","PasswordAuthentication,SoftwareOath","Weak","-","-","True",""
"Vince V","bitpusher@854jpt.onmicrosoft.com",,"Licensed","Allowed","PasswordAuthentication,SoftwareOath","Weak","-","-","True",""
"Diego Siciliani","DiegoS@854jpt.onmicrosoft.com","HR","Licensed","Allowed","PasswordAuthentication,SoftwareOath","Weak","-","-","True",""
"Grady Archie","GradyA@854jpt.onmicrosoft.com","R&D","Licensed","Allowed","PasswordAuthentication,SoftwareOath","Weak","-","-","True",""
"Henrietta Mueller","HenriettaM@854jpt.onmicrosoft.com","R&D","Licensed","Allowed","PasswordAuthentication,SoftwareOath","Weak","-","-","True",""
"Isaiah Langer","IsaiahL@854jpt.onmicrosoft.com","Sales","Licensed","Allowed","PasswordAuthentication,SoftwareOath","Weak","-","-","True",""
"Johanna Lorenz","JohannaL@854jpt.onmicrosoft.com","Engineering","Licensed","Allowed","PasswordAuthentication,SoftwareOath","Weak","-","-","True",""
"Joni Sherman","JoniS@854jpt.onmicrosoft.com","Legal","Licensed","Allowed","PasswordAuthentication,SoftwareOath","Weak","-","-","True",""
"Lee Gu","LeeG@854jpt.onmicrosoft.com","Manufacturing","Licensed","Allowed","PasswordAuthentication,SoftwareOath","Weak","-","-","True",""
"Lidia Holloway","LidiaH@854jpt.onmicrosoft.com","Engineering","Licensed","Allowed","PasswordAuthentication,SoftwareOath","Weak","-","-","True",""
"Lynne Robbins","LynneR@854jpt.onmicrosoft.com","Retail","Licensed","Allowed","PasswordAuthentication,SoftwareOath","Weak","-","-","True",""
"Megan Bowen","MeganB@854jpt.onmicrosoft.com","Marketing","Licensed","Allowed","PasswordAuthentication,SoftwareOath","Weak","-","-","True",""
"Miriam Graham","MiriamG@854jpt.onmicrosoft.com","Sales & Marketing","Licensed","Allowed","PasswordAuthentication,SoftwareOath","Weak","-","-","True",""
"Nestor Wilke","NestorW@854jpt.onmicrosoft.com","Operations","Licensed","Allowed","PasswordAuthentication,SoftwareOath","Weak","-","-","True",""
"Patti Fernandez","PattiF@854jpt.onmicrosoft.com","Executive Management","Licensed","Allowed","PasswordAuthentication,SoftwareOath","Weak","-","-","True",""
"Pradeep Gupta","PradeepG@854jpt.onmicrosoft.com","Finance","Licensed","Allowed","PasswordAuthentication,SoftwareOath","Weak","-","-","True",""
"Security Reader","secreader@854jpt.onmicrosoft.com",,"Unlicensed","Allowed","PasswordAuthentication,SoftwareOath","Weak","-","-","True",""
