"Date (UTC)","Request ID","User agent","Correlation ID","User ID","User","Username","User type","Cross tenant access type","Incoming token type","Authentication Protocol","Unique token identifier","Original transfer method","Client credential type","Token Protection - Sign In Session","Token Protection - Sign In Session StatusCode","Application","Application ID ","App owner tenant ID","Resource","Resource ID ","Resource tenant ID","Resource owner tenant ID","Home tenant ID","Home tenant name","IP address","Location","Status","Sign-in error code","Failure reason","Client app","Device ID","Browser","Operating System","Compliant","Managed","Join Type","Multifactor authentication result","Multifactor authentication auth method","Multifactor authentication auth detail","Authentication requirement","Sign-in identifier","Session ID","IP address (seen by resource)","Through Global Secure Access","Global Secure Access IP address","Autonomous system  number","Flagged for review","Token issuer type","Incoming token type","Token issuer name","Latency","Conditional Access","Managed Identity type","Associated Resource Id","Federated Token Id","Federated Token Issuer"
"2026-07-29T06:39:59Z","fc2be655-d29d-4415-95a2-63f0568a8200","","868bf180-91ef-4f4c-bdf6-fa0813461280","2da85e45-0c0e-4f90-8587-f770888de158","Vince V","bitpusher@854jpt.onmicrosoft.com","member","none","none","none","VeYr_J3SFUSVomPwVoqCAA","none","clientAssertion","unbound","1002","Microsoft 365 Security and Compliance Center","80ccca67-54bd-44ab-8625-4b79c4dc7775","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Microsoft Cloud App Security","05a65629-4c1b-48c1-a78b-804c4abdd4af","eb174bbc-fe94-4978-95b9-a616457dd489","f8cdef31-a31e-4b4a-93e4-5f571e91255a","eb174bbc-fe94-4978-95b9-a616457dd489","","47.152.78.88","Highland, California, US","Success","","Other.","Browser","","Rich Client 4.83.1.0","Windows10","false","false","","MFA requirement satisfied by claim in the token","","","Multifactor authentication","","006f447a-fbee-909a-f003-83b66e67e277","","false","","5650","false","Microsoft Entra ID","None","","82","Not Applied","None","","",""
"2026-07-29T06:39:59Z","59007a5a-b197-4819-aeaa-0630285b9500","","868bf180-91ef-4f4c-bdf6-fa0813461280","2da85e45-0c0e-4f90-8587-f770888de158","Vince V","bitpusher@854jpt.onmicrosoft.com","member","none","none","none","WnoAWZexGUiuqgYwKFuVAA","none","clientAssertion","unbound","1002","Microsoft 365 Security and Compliance Center","80ccca67-54bd-44ab-8625-4b79c4dc7775","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Office 365 Exchange Microservices","ec156f81-f23a-47bd-b16f-9fb2c66420f9","eb174bbc-fe94-4978-95b9-a616457dd489","","eb174bbc-fe94-4978-95b9-a616457dd489","","47.152.78.88","Highland, California, US","Success","","Other.","Browser","","Rich Client 4.83.1.0","Windows10","false","false","","MFA requirement satisfied by claim in the token","","","Multifactor authentication","","006f447a-fbee-909a-f003-83b66e67e277","","false","","5650","false","Microsoft Entra ID","None","","49","Not Applied","None","","",""
"2026-07-29T06:39:59Z","1da31fc6-ca9a-457b-9e53-227de1a39f00","","a7ef0ce6-dad9-4c32-af08-2026896d3d5b","2da85e45-0c0e-4f90-8587-f770888de158","Vince V","bitpusher@854jpt.onmicrosoft.com","member","none","none","none","xh-jHZrKe0WeUyJ94aOfAA","none","clientAssertion","none","1002","WindowsDefenderATP","fc780465-2017-40d4-a0c5-307022471b92","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Azure Advanced Threat Protection","7b7531ad-5926-4f2d-8a1d-38495ad33e17","eb174bbc-fe94-4978-95b9-a616457dd489","f8cdef31-a31e-4b4a-93e4-5f571e91255a","eb174bbc-fe94-4978-95b9-a616457dd489","","47.152.78.88","Highland, California, US","Success","","Other.","Browser","","Rich Client 4.72.1.0","Windows","false","false","","MFA requirement satisfied by claim in the token","","","Multifactor authentication","","006f447a-fbee-909a-f003-83b66e67e277","","false","","5650","false","Microsoft Entra ID","None","","74","Not Applied","None","","",""
"2026-07-29T06:39:58Z","673e6fbd-c6c0-4b81-8856-971eeb578f00","","5a0b2437-5a51-4dac-ba50-b573447e89e5","2da85e45-0c0e-4f90-8587-f770888de158","Vince V","bitpusher@854jpt.onmicrosoft.com","member","none","none","none","vW8-Z8DGgUuIVpce61ePAA","none","clientAssertion","none","1002","WindowsDefenderATP","fc780465-2017-40d4-a0c5-307022471b92","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Azure Advanced Threat Protection","7b7531ad-5926-4f2d-8a1d-38495ad33e17","eb174bbc-fe94-4978-95b9-a616457dd489","f8cdef31-a31e-4b4a-93e4-5f571e91255a","eb174bbc-fe94-4978-95b9-a616457dd489","","47.152.78.88","Highland, California, US","Success","","Other.","Browser","","Rich Client 4.72.1.0","Windows","false","false","","MFA requirement satisfied by claim in the token","","","Multifactor authentication","","006f447a-fbee-909a-f003-83b66e67e277","","false","","5650","false","Microsoft Entra ID","None","","57","Not Applied","None","","",""
"2026-07-29T06:39:58Z","588c9a75-a2a9-4a07-a254-356e339f8600","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36 Edg/150.0.0.0","74900656-ac9b-40cd-943f-ad63444563d8","2da85e45-0c0e-4f90-8587-f770888de158","Vince V","bitpusher@854jpt.onmicrosoft.com","member","none","none","none","dZqMWKmiB0qiVDVuM5-GAA","none","none","unbound","1002","Identity Protection UX","7f7ba5f2-edd7-4b6c-af4c-f48dfb5beec5","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Security Copilot API","bb3d68c2-d09e-4455-94a0-e323996dbaa3","eb174bbc-fe94-4978-95b9-a616457dd489","","eb174bbc-fe94-4978-95b9-a616457dd489","","47.152.78.88","Highland, California, US","Success","","Other.","Browser","","Edge 150.0.0","Windows10","false","false","","MFA requirement satisfied by claim in the token","","","Multifactor authentication","","006f447a-fbee-909a-f003-83b66e67e277","","false","","5650","false","Microsoft Entra ID","None","","71","Not Applied","None","","",""
"2026-07-29T06:39:57Z","4932e32b-e596-4dbc-b8f5-f6ad842a9100","","2541d830-d1ba-4713-99a3-818741048606","2da85e45-0c0e-4f90-8587-f770888de158","Vince V","bitpusher@854jpt.onmicrosoft.com","member","none","none","none","K-MySZblvE249fathCqRAA","none","clientAssertion","none","1002","Microsoft Exchange Online Protection","00000007-0000-0ff1-ce00-000000000000","f8cdef31-a31e-4b4a-93e4-5f571e91255a","ComplianceAuthServer","9e5d84af-8971-422f-968a-354cd675ae5b","eb174bbc-fe94-4978-95b9-a616457dd489","","eb174bbc-fe94-4978-95b9-a616457dd489","","47.152.78.88","Highland, California, US","Success","","Other.","Browser","","Rich Client 4.83.1.0","Windows10","false","false","","MFA requirement satisfied by claim in the token","","","Multifactor authentication","","006f447a-fbee-909a-f003-83b66e67e277","","false","","5650","false","Microsoft Entra ID","None","","53","Not Applied","None","","",""
"2026-07-29T06:39:56Z","009e52bd-c9ab-4018-b288-b15a3cf37a00","","0452137e-0735-419b-a343-5ae76f4558ae","2da85e45-0c0e-4f90-8587-f770888de158","Vince V","bitpusher@854jpt.onmicrosoft.com","member","none","none","none","vVKeAKvJGECyiLFaPPN6AA","none","clientAssertion","unbound","1002","Microsoft 365 Security and Compliance Center","80ccca67-54bd-44ab-8625-4b79c4dc7775","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Microsoft Exchange Online Protection","00000007-0000-0ff1-ce00-000000000000","eb174bbc-fe94-4978-95b9-a616457dd489","f8cdef31-a31e-4b4a-93e4-5f571e91255a","eb174bbc-fe94-4978-95b9-a616457dd489","","47.152.78.88","Highland, California, US","Success","","Other.","Browser","","Rich Client 4.83.1.0","Windows10","false","false","","MFA requirement satisfied by claim in the token","","","Multifactor authentication","","006f447a-fbee-909a-f003-83b66e67e277","","false","","5650","false","Microsoft Entra ID","None","","115","Not Applied","None","","",""
"2026-07-29T06:39:56Z","98255d27-462c-49b7-ae7a-ea6e401c8e00","","b618760b-7046-47f9-a40d-f7ce50852487","2da85e45-0c0e-4f90-8587-f770888de158","Vince V","bitpusher@854jpt.onmicrosoft.com","member","none","none","none","J10lmCxGt0mueupuQByOAA","none","clientAssertion","none","1002","WindowsDefenderATP","fc780465-2017-40d4-a0c5-307022471b92","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Microsoft Cloud App Security","05a65629-4c1b-48c1-a78b-804c4abdd4af","eb174bbc-fe94-4978-95b9-a616457dd489","f8cdef31-a31e-4b4a-93e4-5f571e91255a","eb174bbc-fe94-4978-95b9-a616457dd489","","47.152.78.88","Highland, California, US","Success","","Other.","Browser","","Rich Client 4.72.1.0","Windows","false","false","","MFA requirement satisfied by claim in the token","","","Multifactor authentication","","006f447a-fbee-909a-f003-83b66e67e277","","false","","5650","false","Microsoft Entra ID","None","","95","Not Applied","None","","",""
"2026-07-29T06:39:56Z","efbf3561-bc7c-406b-898a-1a3cd60d8d00","","7df29502-ae64-4a50-bbcf-2e3f24fa3fba","2da85e45-0c0e-4f90-8587-f770888de158","Vince V","bitpusher@854jpt.onmicrosoft.com","member","none","none","none","YTW_73y8a0CJiho81g2NAA","none","clientAssertion","unbound","1002","Microsoft 365 Security and Compliance Center","80ccca67-54bd-44ab-8625-4b79c4dc7775","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Microsoft Exchange Online Protection","00000007-0000-0ff1-ce00-000000000000","eb174bbc-fe94-4978-95b9-a616457dd489","f8cdef31-a31e-4b4a-93e4-5f571e91255a","eb174bbc-fe94-4978-95b9-a616457dd489","","47.152.78.88","Highland, California, US","Success","","Other.","Browser","","Rich Client 4.83.1.0","Windows10","false","false","","MFA requirement satisfied by claim in the token","","","Multifactor authentication","","006f447a-fbee-909a-f003-83b66e67e277","","false","","5650","false","Microsoft Entra ID","None","","116","Not Applied","None","","",""
"2026-07-29T06:39:56Z","06a36dae-8ab1-45e9-8250-a1f37a1c9100","","7df29502-ae64-4a50-bbcf-2e3f24fa3fba","2da85e45-0c0e-4f90-8587-f770888de158","Vince V","bitpusher@854jpt.onmicrosoft.com","member","none","none","none","rm2jBrGK6UWCUKHzehyRAA","none","clientAssertion","unbound","1002","Microsoft 365 Security and Compliance Center","80ccca67-54bd-44ab-8625-4b79c4dc7775","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Microsoft Exchange Online Protection","00000007-0000-0ff1-ce00-000000000000","eb174bbc-fe94-4978-95b9-a616457dd489","f8cdef31-a31e-4b4a-93e4-5f571e91255a","eb174bbc-fe94-4978-95b9-a616457dd489","","47.152.78.88","Highland, California, US","Success","","Other.","Browser","","Rich Client 4.83.1.0","Windows10","false","false","","MFA requirement satisfied by claim in the token","","","Multifactor authentication","","006f447a-fbee-909a-f003-83b66e67e277","","false","","5650","false","Microsoft Entra ID","None","","83","Not Applied","None","","",""
