"Identity","ReceivedTime","Organization","MessageId","SenderAddress","RecipientAddress","Subject","Size","Type","PolicyType","PolicyName","TagName","PermissionToBlockSender","PermissionToDelete","PermissionToPreview","PermissionToRelease","PermissionToRequestRelease","PermissionToViewHeader","PermissionToDownload","PermissionToAllowSender","Released","ReleaseStatus","SystemReleased","RecipientCount","QuarantineTypes","Expires","RecipientTag","DeletedForRecipients","QuarantinedUser","ReleasedUser","Reported","Direction","CustomData","EntityType","SourceId","TeamsConversationType","ApprovalUPN","ApprovalId","MoveToQuarantineAdminActionTakenBy","MoveToQuarantineApprovalId","OverrideReasonIntValue","OverrideReason","ReleasedCount","ReleasedBy"
"f764aa1f-fefa-4667-b029-08dee9609f39\b744edf2-631f-5eec-71a2-664895746705","2026-07-24 01:50:33","eb174bbc-fe94-4978-95b9-a616457dd489","<fd181d1b-c79a-4d8b-9501-5ba2c272735a@BN3PEPF0000B371.namprd21.prod.outlook.com>","gradya@854jpt.onmicrosoft.com","meganb@854jpt.onmicrosoft.com","Grady Archie shared ""Q3 Board Review - Confidential.xlsx"" with you","84244","High Confidence Phish","HostedContentFilterPolicy","Default","AdminOnlyAccessPolicy","False","True","True","True","False","False","True","True","True","RELEASED","False","1","HighConfPhish","2026-08-08 01:50:33","","","","","False","Inbound",,"Email","","","","","","","0","None","1","bitpusher@854jpt.onmicrosoft.com"
"e4582c7e-18d0-4175-9a6d-08dee9609a84\f81dbfb8-5892-c109-ec3f-5840b8fb9dd4","2026-07-24 01:50:25","eb174bbc-fe94-4978-95b9-a616457dd489","<238ee693-bcd6-45b9-82cd-c749e2d4146d@BN3PEPF0000B371.namprd21.prod.outlook.com>","gradya@854jpt.onmicrosoft.com","adelev@854jpt.onmicrosoft.com","Grady Archie shared ""Q3 Board Review - Confidential.xlsx"" with you","83822","High Confidence Phish","HostedContentFilterPolicy","Default","AdminOnlyAccessPolicy","False","True","True","True","False","False","True","True","True","RELEASED","False","1","HighConfPhish","2026-08-08 01:50:25","","","","","False","Inbound",,"Email","","","","","","","0","None","1","bitpusher@854jpt.onmicrosoft.com"
"083b94cb-0bdf-49ac-b284-08dee960982d\7efb025b-7a4f-0180-c519-4313fa9792dd","2026-07-24 01:50:21","eb174bbc-fe94-4978-95b9-a616457dd489","<0dddd476-0968-458b-9566-47d1895ab012@BN3PEPF0000B371.namprd21.prod.outlook.com>","gradya@854jpt.onmicrosoft.com","pradeepg@854jpt.onmicrosoft.com","Grady Archie shared ""Q3 Board Review - Confidential.xlsx"" with you","84750","High Confidence Phish","HostedContentFilterPolicy","Default","AdminOnlyAccessPolicy","False","True","True","True","False","False","True","True","True","RELEASED","False","1","HighConfPhish","2026-08-08 01:50:21","","","","","False","Inbound",,"Email","","","","","","","0","None","1","bitpusher@854jpt.onmicrosoft.com"
"78bb1329-b3c9-456d-7c23-08dee96091ce\c771e0a5-f95e-79a3-604d-f46a820fe3ef","2026-07-24 01:50:10","eb174bbc-fe94-4978-95b9-a616457dd489","<87a39141-0e2a-4de1-a87a-e9a3c04d4522@BN3PEPF0000B371.namprd21.prod.outlook.com>","gradya@854jpt.onmicrosoft.com","gradya@854jpt.onmicrosoft.com","Grady Archie shared ""Q3 Board Review - Confidential.xlsx"" with you","82378","High Confidence Phish","HostedContentFilterPolicy","Default","AdminOnlyAccessPolicy","False","True","True","True","False","False","True","True","True","RELEASED","False","1","HighConfPhish","2026-08-08 01:50:10","","","","","False","Inbound",,"Email","","","","","","","0","None","1","bitpusher@854jpt.onmicrosoft.com"
"2173fef7-bf31-49fb-d22c-08dee95d4704\60affca1-3151-b893-4411-96fcb44aac65","2026-07-24 01:26:36","eb174bbc-fe94-4978-95b9-a616457dd489","<7c93f4c8-c5eb-49db-b6eb-52323750f2a1@SJ1PEPF00001CE4.namprd03.prod.outlook.com>","shipping-notify@fedx-tracking-update.com","diegos@854jpt.onmicrosoft.com","Your shipment #1Z9847293847 is on its way - Delivery Thursday","74558","High Confidence Phish","HostedContentFilterPolicy","Default","AdminOnlyAccessPolicy","False","True","True","True","False","False","True","True","True","RELEASED","False","1","HighConfPhish","2026-08-08 01:26:36","","","","","False","Inbound",,"Email","","","","","","","0","None","1","bitpusher@854jpt.onmicrosoft.com"
"532012cf-2339-4050-85a1-08dee95c3152\a6d08627-0742-fb23-be8d-7693e644cef5","2026-07-24 01:18:50","eb174bbc-fe94-4978-95b9-a616457dd489","<028b0f43-6d2a-457d-847a-e1fe7a3b6bb8@MN1PEPF0000F0E3.namprd04.prod.outlook.com>","rewards@amazonprime-renewal-notice.com","gradya@854jpt.onmicrosoft.com","Your Amazon Prime membership requires payment update","78722","High Confidence Phish","HostedContentFilterPolicy","Default","AdminOnlyAccessPolicy","False","True","True","True","False","False","True","True","True","RELEASED","False","1","HighConfPhish","2026-08-08 01:18:50","","","","","False","Inbound",,"Email","","","","","","","0","None","1","bitpusher@854jpt.onmicrosoft.com"
"cbe353b7-4ef1-4aad-211e-08dee95c2f98\17f5c56b-a98e-b452-c0b9-eeab864aadb8","2026-07-24 01:18:47","eb174bbc-fe94-4978-95b9-a616457dd489","<2c8e10b7-5e64-48d2-a375-08baecf07633@MN1PEPF0000F0E3.namprd04.prod.outlook.com>","rewards@amazonprime-renewal-notice.com","leeg@854jpt.onmicrosoft.com","Your Amazon Prime membership requires payment update","79073","High Confidence Phish","HostedContentFilterPolicy","Default","AdminOnlyAccessPolicy","False","True","True","True","False","False","True","True","True","RELEASED","False","1","HighConfPhish","2026-08-08 01:18:47","","","","","False","Inbound",,"Email","","","","","","","0","None","1","bitpusher@854jpt.onmicrosoft.com"
"cf828ae1-2399-40f5-ec91-08dee95c2df4\5cca0443-fab2-19f5-1fe6-7e5d5a5f355e","2026-07-24 01:18:45","eb174bbc-fe94-4978-95b9-a616457dd489","<dc7382e4-0608-40e4-8614-906af19b7194@MN1PEPF0000F0E3.namprd04.prod.outlook.com>","rewards@amazonprime-renewal-notice.com","johannal@854jpt.onmicrosoft.com","Your Amazon Prime membership requires payment update","78665","High Confidence Phish","HostedContentFilterPolicy","Default","AdminOnlyAccessPolicy","False","True","True","True","False","False","True","True","True","RELEASED","False","1","HighConfPhish","2026-08-08 01:18:45","","","","","False","Inbound",,"Email","","","","","","","0","None","1","bitpusher@854jpt.onmicrosoft.com"
"ab377ed0-9621-48d0-b227-08dee95c2c61\0ec13550-bd22-54ee-12e7-53a2a586e01f","2026-07-24 01:18:42","eb174bbc-fe94-4978-95b9-a616457dd489","<a9a8a05a-f5c8-4279-9a88-5cdf0049d7d3@MN1PEPF0000F0E3.namprd04.prod.outlook.com>","rewards@amazonprime-renewal-notice.com","meganb@854jpt.onmicrosoft.com","Your Amazon Prime membership requires payment update","78934","High Confidence Phish","HostedContentFilterPolicy","Default","AdminOnlyAccessPolicy","False","True","True","True","False","False","True","True","True","RELEASED","False","1","HighConfPhish","2026-08-08 01:18:42","","","","","False","Inbound",,"Email","","","","","","","0","None","1","bitpusher@854jpt.onmicrosoft.com"
"9eb0f0f9-306f-4e44-1101-08dee95c2ab2\ce2c2b2c-586c-76ea-bef8-e455c82b3dc5","2026-07-24 01:18:39","eb174bbc-fe94-4978-95b9-a616457dd489","<5a5aba4b-55d2-4e39-8acb-019eb17f19b6@MN1PEPF0000F0E3.namprd04.prod.outlook.com>","rewards@amazonprime-renewal-notice.com","lidiah@854jpt.onmicrosoft.com","Your Amazon Prime membership requires payment update","78725","High Confidence Phish","HostedContentFilterPolicy","Default","AdminOnlyAccessPolicy","False","True","True","True","False","False","True","True","True","RELEASED","False","1","HighConfPhish","2026-08-08 01:18:39","","","","","False","Inbound",,"Email","","","","","","","0","None","1","bitpusher@854jpt.onmicrosoft.com"
"cc7f52f8-ac81-4f7b-956b-08dee95c28f6\e07b238a-4532-c460-d939-e36adf286b7d","2026-07-24 01:18:36","eb174bbc-fe94-4978-95b9-a616457dd489","<cde92728-253e-46bc-91ab-b65174dd68c0@MN1PEPF0000F0E3.namprd04.prod.outlook.com>","rewards@amazonprime-renewal-notice.com","jonis@854jpt.onmicrosoft.com","Your Amazon Prime membership requires payment update","77349","High Confidence Phish","HostedContentFilterPolicy","Default","AdminOnlyAccessPolicy","False","True","True","True","False","False","True","True","True","RELEASED","False","1","HighConfPhish","2026-08-08 01:18:36","","","","","False","Inbound",,"Email","","","","","","","0","None","1","bitpusher@854jpt.onmicrosoft.com"
"42a9e2e6-f8aa-4da6-f0e1-08dee95c2122\698edcb0-539e-5bc5-3f50-c19a42feafb2","2026-07-24 01:18:23","eb174bbc-fe94-4978-95b9-a616457dd489","<9d17f114-1489-4829-b82e-d743f51b6e00@MN1PEPF0000F0E3.namprd04.prod.outlook.com>","shipping-notify@fedx-tracking-update.com","lynner@854jpt.onmicrosoft.com","Your shipment #1Z9847293847 is on its way - Delivery Thursday","74234","High Confidence Phish","HostedContentFilterPolicy","Default","AdminOnlyAccessPolicy","False","True","True","True","False","False","True","True","True","RELEASED","False","1","HighConfPhish","2026-08-08 01:18:23","","","","","False","Inbound",,"Email","","","","","","","0","None","1","bitpusher@854jpt.onmicrosoft.com"
"37ba4943-1a75-44fa-f8d4-08dee95c1f34\f9a0e034-fa62-8d86-0b14-45eb5c4e55ec","2026-07-24 01:18:20","eb174bbc-fe94-4978-95b9-a616457dd489","<19cf52f5-530f-405b-9276-9f2211487eb7@MN1PEPF0000F0E3.namprd04.prod.outlook.com>","shipping-notify@fedx-tracking-update.com","nestorw@854jpt.onmicrosoft.com","Your shipment #1Z9847293847 is on its way - Delivery Thursday","75128","High Confidence Phish","HostedContentFilterPolicy","Default","AdminOnlyAccessPolicy","False","True","True","True","False","False","True","True","True","RELEASED","False","1","HighConfPhish","2026-08-08 01:18:20","","","","","False","Inbound",,"Email","","","","","","","0","None","1","bitpusher@854jpt.onmicrosoft.com"
"272d9c5b-18e4-4316-fccb-08dee95c1d3b\3ab2c205-ffab-6706-4813-2372d69e1f72","2026-07-24 01:18:16","eb174bbc-fe94-4978-95b9-a616457dd489","<7ec5fb71-3824-4394-b18c-318e213364d6@MN1PEPF0000F0E3.namprd04.prod.outlook.com>","shipping-notify@fedx-tracking-update.com","miriamg@854jpt.onmicrosoft.com","Your shipment #1Z9847293847 is on its way - Delivery Thursday","36585","High Confidence Phish","HostedContentFilterPolicy","Default","AdminOnlyAccessPolicy","False","True","True","True","False","False","True","True","True","RELEASED","False","1","HighConfPhish","2026-08-08 01:18:16","","","","","False","Inbound",,"Email","","","","","","","0","None","1","bitpusher@854jpt.onmicrosoft.com"
"b29f1bdd-89c5-4044-3d39-08dee95c1af6\73cb2fc0-0ce5-e76a-0ec7-6505e7ffde20","2026-07-24 01:18:13","eb174bbc-fe94-4978-95b9-a616457dd489","<c8a6eeb7-770c-42bd-ab0a-43759d65fabb@MN1PEPF0000F0E3.namprd04.prod.outlook.com>","shipping-notify@fedx-tracking-update.com","henriettam@854jpt.onmicrosoft.com","Your shipment #1Z9847293847 is on its way - Delivery Thursday","73718","High Confidence Phish","HostedContentFilterPolicy","Default","AdminOnlyAccessPolicy","False","True","True","True","False","False","True","True","True","RELEASED","False","1","HighConfPhish","2026-08-08 01:18:13","","","","","False","Inbound",,"Email","","","","","","","0","None","1","bitpusher@854jpt.onmicrosoft.com"
"5680d2a0-31ef-4eb4-0988-08dee95c1947\61d2c61f-571c-f7e2-ad0b-03b324e38fa2","2026-07-24 01:18:10","eb174bbc-fe94-4978-95b9-a616457dd489","<ae34161f-f8a6-4be2-8558-8d2b6c401ca3@MN1PEPF0000F0E3.namprd04.prod.outlook.com>","shipping-notify@fedx-tracking-update.com","pattif@854jpt.onmicrosoft.com","Your shipment #1Z9847293847 is on its way - Delivery Thursday","74263","High Confidence Phish","HostedContentFilterPolicy","Default","AdminOnlyAccessPolicy","False","True","True","True","False","False","True","True","True","RELEASED","False","1","HighConfPhish","2026-08-08 01:18:10","","","","","False","Inbound",,"Email","","","","","","","0","None","1","bitpusher@854jpt.onmicrosoft.com"
