"RecordType","CreationDate","UserIds","Operations","AuditData","ResultIndex","ResultCount","AuditSearchRequestMetadata","Identity","IsValid","ObjectState"
"AzureActiveDirectoryStsLogon","2026-07-24 09:06:07","pradeepg@854jpt.onmicrosoft.com","UserLoginFailed","{""CreationTime"":""2026-07-24T09:06:07"",""Id"":""ea876796-4af4-439d-9cc2-04e3a72c5500"",""Operation"":""UserLoginFailed"",""OrganizationId"":""eb174bbc-fe94-4978-95b9-a616457dd489"",""RecordType"":15,""ResultStatus"":""Success"",""UserKey"":""33a120c1-a818-4fd7-8045-c6a29a2bc165"",""UserType"":0,""Version"":1,""Workload"":""AzureActiveDirectory"",""ClientIP"":""45.9.249.58"",""ObjectId"":""00000002-0000-0ff1-ce00-000000000000"",""UserId"":""pradeepg@854jpt.onmicrosoft.com"",""AzureActiveDirectoryEventType"":1,""ExtendedProperties"":[{""Name"":""ResultStatusDetail"",""Value"":""Success""},{""Name"":""UserAgent"",""Value"":""Mozilla\/5.0 (Windows NT 10.0; Win64; x64; rv:154.0) Gecko\/20100101 Firefox\/154.0""},{""Name"":""UserAuthenticationMethod"",""Value"":""1""},{""Name"":""RequestType"",""Value"":""Login:login""}],""ModifiedProperties"":[],""Actor"":[{""ID"":""33a120c1-a818-4fd7-8045-c6a29a2bc165"",""Type"":0},{""ID"":""pradeepg@854jpt.onmicrosoft.com"",""Type"":5}],""ActorContextId"":""eb174bbc-fe94-4978-95b9-a616457dd489"",""ActorIpAddress"":""45.9.249.58"",""InterSystemsId"":""28647223-9eac-6dea-6a7b-48ba16ddc506"",""IntraSystemId"":""ea876796-4af4-439d-9cc2-04e3a72c5500"",""SupportTicketId"":"""",""Target"":[{""ID"":""00000002-0000-0ff1-ce00-000000000000"",""Type"":0}],""TargetContextId"":""eb174bbc-fe94-4978-95b9-a616457dd489"",""ApplicationId"":""9199bf20-a13f-4107-85dc-02114787ef48"",""DeviceProperties"":[{""Name"":""OS"",""Value"":""Windows10""},{""Name"":""BrowserType"",""Value"":""Firefox""},{""Name"":""IsCompliant"",""Value"":""False""},{""Name"":""IsCompliantAndManaged"",""Value"":""False""},{""Name"":""SessionId"",""Value"":""006e812a-419e-10b6-8046-06cf06f17e57""}],""ErrorNumber"":""50074"",""LogonError"":""UserStrongAuthClientAuthNRequiredInterrupt""}","1","43","{
  ""moreRecordsAvailable"": false
}","ea876796-4af4-439d-9cc2-04e3a72c5500","True","Unchanged"
"AzureActiveDirectoryStsLogon","2026-07-24 09:06:09","Not Available","UserLoggedIn","{""CreationTime"":""2026-07-24T09:06:09"",""Id"":""663f555e-381c-457b-8179-69fb3f3f3100"",""Operation"":""UserLoggedIn"",""OrganizationId"":""eb174bbc-fe94-4978-95b9-a616457dd489"",""RecordType"":15,""ResultStatus"":""Success"",""UserKey"":""33a120c1-a818-4fd7-8045-c6a29a2bc165"",""UserType"":4,""Version"":1,""Workload"":""AzureActiveDirectory"",""ClientIP"":""45.9.249.58"",""ObjectId"":""00000002-0000-0ff1-ce00-000000000000"",""UserId"":""Not Available"",""AzureActiveDirectoryEventType"":1,""ExtendedProperties"":[{""Name"":""ResultStatusDetail"",""Value"":""Success""},{""Name"":""UserAgent"",""Value"":""Mozilla\/5.0 (Windows NT 10.0; Win64; x64; rv:154.0) Gecko\/20100101 Firefox\/154.0""},{""Name"":""RequestType"",""Value"":""SAS:BeginAuth""}],""ModifiedProperties"":[],""Actor"":[{""ID"":""33a120c1-a818-4fd7-8045-c6a29a2bc165"",""Type"":0}],""ActorContextId"":""eb174bbc-fe94-4978-95b9-a616457dd489"",""ActorIpAddress"":""45.9.249.58"",""InterSystemsId"":""28647223-9eac-6dea-6a7b-48ba16ddc506"",""IntraSystemId"":""663f555e-381c-457b-8179-69fb3f3f3100"",""SupportTicketId"":"""",""Target"":[{""ID"":""00000002-0000-0ff1-ce00-000000000000"",""Type"":0}],""TargetContextId"":""eb174bbc-fe94-4978-95b9-a616457dd489"",""ApplicationId"":""9199bf20-a13f-4107-85dc-02114787ef48"",""DeviceProperties"":[{""Name"":""OS"",""Value"":""Windows""},{""Name"":""BrowserType"",""Value"":""Firefox""},{""Name"":""IsCompliant"",""Value"":""False""},{""Name"":""IsCompliantAndManaged"",""Value"":""False""}],""ErrorNumber"":""0""}","2","43","{
  ""moreRecordsAvailable"": false
}","663f555e-381c-457b-8179-69fb3f3f3100","True","Unchanged"
"AzureActiveDirectoryStsLogon","2026-07-24 09:06:33","pradeepg@854jpt.onmicrosoft.com","UserLoginFailed","{""CreationTime"":""2026-07-24T09:06:33"",""Id"":""ea876796-4af4-439d-9cc2-04e30a335500"",""Operation"":""UserLoginFailed"",""OrganizationId"":""eb174bbc-fe94-4978-95b9-a616457dd489"",""RecordType"":15,""ResultStatus"":""Success"",""UserKey"":""33a120c1-a818-4fd7-8045-c6a29a2bc165"",""UserType"":0,""Version"":1,""Workload"":""AzureActiveDirectory"",""ClientIP"":""45.9.249.58"",""ObjectId"":""00000002-0000-0ff1-ce00-000000000000"",""UserId"":""pradeepg@854jpt.onmicrosoft.com"",""AzureActiveDirectoryEventType"":1,""ExtendedProperties"":[{""Name"":""ResultStatusDetail"",""Value"":""Success""},{""Name"":""UserAgent"",""Value"":""Mozilla\/5.0 (Windows NT 10.0; Win64; x64; rv:154.0) Gecko\/20100101 Firefox\/154.0""},{""Name"":""UserAuthenticationMethod"",""Value"":""1""},{""Name"":""RequestType"",""Value"":""Login:login""}],""ModifiedProperties"":[],""Actor"":[{""ID"":""33a120c1-a818-4fd7-8045-c6a29a2bc165"",""Type"":0},{""ID"":""pradeepg@854jpt.onmicrosoft.com"",""Type"":5}],""ActorContextId"":""eb174bbc-fe94-4978-95b9-a616457dd489"",""ActorIpAddress"":""45.9.249.58"",""InterSystemsId"":""28647223-9eac-6dea-6a7b-48ba16ddc506"",""IntraSystemId"":""ea876796-4af4-439d-9cc2-04e30a335500"",""SupportTicketId"":"""",""Target"":[{""ID"":""00000002-0000-0ff1-ce00-000000000000"",""Type"":0}],""TargetContextId"":""eb174bbc-fe94-4978-95b9-a616457dd489"",""ApplicationId"":""9199bf20-a13f-4107-85dc-02114787ef48"",""DeviceProperties"":[{""Name"":""OS"",""Value"":""Windows10""},{""Name"":""BrowserType"",""Value"":""Firefox""},{""Name"":""IsCompliant"",""Value"":""False""},{""Name"":""IsCompliantAndManaged"",""Value"":""False""},{""Name"":""SessionId"",""Value"":""006e812a-3b1c-373b-20e1-050e56978a6d""}],""ErrorNumber"":""50074"",""LogonError"":""UserStrongAuthClientAuthNRequiredInterrupt""}","3","43","{
  ""moreRecordsAvailable"": false
}","ea876796-4af4-439d-9cc2-04e30a335500","True","Unchanged"
"AzureActiveDirectoryStsLogon","2026-07-24 09:06:34","Not Available","UserLoggedIn","{""CreationTime"":""2026-07-24T09:06:34"",""Id"":""fe75b47f-161a-447d-8325-e4c6b1752500"",""Operation"":""UserLoggedIn"",""OrganizationId"":""eb174bbc-fe94-4978-95b9-a616457dd489"",""RecordType"":15,""ResultStatus"":""Success"",""UserKey"":""33a120c1-a818-4fd7-8045-c6a29a2bc165"",""UserType"":4,""Version"":1,""Workload"":""AzureActiveDirectory"",""ClientIP"":""45.9.249.58"",""ObjectId"":""00000002-0000-0ff1-ce00-000000000000"",""UserId"":""Not Available"",""AzureActiveDirectoryEventType"":1,""ExtendedProperties"":[{""Name"":""ResultStatusDetail"",""Value"":""Success""},{""Name"":""UserAgent"",""Value"":""Mozilla\/5.0 (Windows NT 10.0; Win64; x64; rv:154.0) Gecko\/20100101 Firefox\/154.0""},{""Name"":""RequestType"",""Value"":""SAS:BeginAuth""}],""ModifiedProperties"":[],""Actor"":[{""ID"":""33a120c1-a818-4fd7-8045-c6a29a2bc165"",""Type"":0}],""ActorContextId"":""eb174bbc-fe94-4978-95b9-a616457dd489"",""ActorIpAddress"":""45.9.249.58"",""InterSystemsId"":""28647223-9eac-6dea-6a7b-48ba16ddc506"",""IntraSystemId"":""fe75b47f-161a-447d-8325-e4c6b1752500"",""SupportTicketId"":"""",""Target"":[{""ID"":""00000002-0000-0ff1-ce00-000000000000"",""Type"":0}],""TargetContextId"":""eb174bbc-fe94-4978-95b9-a616457dd489"",""ApplicationId"":""9199bf20-a13f-4107-85dc-02114787ef48"",""DeviceProperties"":[{""Name"":""OS"",""Value"":""Windows""},{""Name"":""BrowserType"",""Value"":""Firefox""},{""Name"":""IsCompliant"",""Value"":""False""},{""Name"":""IsCompliantAndManaged"",""Value"":""False""}],""ErrorNumber"":""0""}","4","43","{
  ""moreRecordsAvailable"": false
}","fe75b47f-161a-447d-8325-e4c6b1752500","True","Unchanged"
"AzureActiveDirectoryStsLogon","2026-07-24 09:06:45","Not Available","UserLoggedIn","{""CreationTime"":""2026-07-24T09:06:45"",""Id"":""a9bd8767-e928-4eac-8c11-afd22a0e5200"",""Operation"":""UserLoggedIn"",""OrganizationId"":""eb174bbc-fe94-4978-95b9-a616457dd489"",""RecordType"":15,""ResultStatus"":""Success"",""UserKey"":""33a120c1-a818-4fd7-8045-c6a29a2bc165"",""UserType"":4,""Version"":1,""Workload"":""AzureActiveDirectory"",""ClientIP"":""45.9.249.58"",""ObjectId"":""00000002-0000-0ff1-ce00-000000000000"",""UserId"":""Not Available"",""AzureActiveDirectoryEventType"":1,""ExtendedProperties"":[{""Name"":""ResultStatusDetail"",""Value"":""Success""},{""Name"":""UserAgent"",""Value"":""Mozilla\/5.0 (Windows NT 10.0; Win64; x64; rv:154.0) Gecko\/20100101 Firefox\/154.0""},{""Name"":""RequestType"",""Value"":""SAS:EndAuth""}],""ModifiedProperties"":[],""Actor"":[{""ID"":""33a120c1-a818-4fd7-8045-c6a29a2bc165"",""Type"":0}],""ActorContextId"":""eb174bbc-fe94-4978-95b9-a616457dd489"",""ActorIpAddress"":""45.9.249.58"",""InterSystemsId"":""28647223-9eac-6dea-6a7b-48ba16ddc506"",""IntraSystemId"":""a9bd8767-e928-4eac-8c11-afd22a0e5200"",""SupportTicketId"":"""",""Target"":[{""ID"":""00000002-0000-0ff1-ce00-000000000000"",""Type"":0}],""TargetContextId"":""eb174bbc-fe94-4978-95b9-a616457dd489"",""ApplicationId"":""9199bf20-a13f-4107-85dc-02114787ef48"",""DeviceProperties"":[{""Name"":""OS"",""Value"":""Windows""},{""Name"":""BrowserType"",""Value"":""Firefox""},{""Name"":""IsCompliant"",""Value"":""False""},{""Name"":""IsCompliantAndManaged"",""Value"":""False""}],""ErrorNumber"":""0""}","5","43","{
  ""moreRecordsAvailable"": false
}","a9bd8767-e928-4eac-8c11-afd22a0e5200","True","Unchanged"
"AzureActiveDirectoryStsLogon","2026-07-24 09:06:46","pradeepg@854jpt.onmicrosoft.com","UserLoggedIn","{""CreationTime"":""2026-07-24T09:06:46"",""Id"":""a4a99f65-943e-4b63-94c9-cb89dc8b5500"",""Operation"":""UserLoggedIn"",""OrganizationId"":""eb174bbc-fe94-4978-95b9-a616457dd489"",""RecordType"":15,""ResultStatus"":""Success"",""UserKey"":""33a120c1-a818-4fd7-8045-c6a29a2bc165"",""UserType"":0,""Version"":1,""Workload"":""AzureActiveDirectory"",""ClientIP"":""45.9.249.58"",""ObjectId"":""00000002-0000-0ff1-ce00-000000000000"",""UserId"":""pradeepg@854jpt.onmicrosoft.com"",""AzureActiveDirectoryEventType"":1,""ExtendedProperties"":[{""Name"":""ResultStatusDetail"",""Value"":""Success""},{""Name"":""KeepMeSignedIn"",""Value"":""true""},{""Name"":""UserAgent"",""Value"":""Mozilla\/5.0 (Windows NT 10.0; Win64; x64; rv:154.0) Gecko\/20100101 Firefox\/154.0""},{""Name"":""RequestType"",""Value"":""SAS:ProcessAuth""}],""ModifiedProperties"":[],""Actor"":[{""ID"":""33a120c1-a818-4fd7-8045-c6a29a2bc165"",""Type"":0},{""ID"":""pradeepg@854jpt.onmicrosoft.com"",""Type"":5}],""ActorContextId"":""eb174bbc-fe94-4978-95b9-a616457dd489"",""ActorIpAddress"":""45.9.249.58"",""InterSystemsId"":""28647223-9eac-6dea-6a7b-48ba16ddc506"",""IntraSystemId"":""a4a99f65-943e-4b63-94c9-cb89dc8b5500"",""SupportTicketId"":"""",""Target"":[{""ID"":""00000002-0000-0ff1-ce00-000000000000"",""Type"":0}],""TargetContextId"":""eb174bbc-fe94-4978-95b9-a616457dd489"",""ApplicationId"":""9199bf20-a13f-4107-85dc-02114787ef48"",""DeviceProperties"":[{""Name"":""OS"",""Value"":""Windows10""},{""Name"":""BrowserType"",""Value"":""Firefox""},{""Name"":""IsCompliant"",""Value"":""False""},{""Name"":""IsCompliantAndManaged"",""Value"":""False""},{""Name"":""SessionId"",""Value"":""006e812a-3b1c-373b-20e1-050e56978a6d""}],""ErrorNumber"":""50140""}","6","43","{
  ""moreRecordsAvailable"": false
}","a4a99f65-943e-4b63-94c9-cb89dc8b5500","True","Unchanged"
"AzureActiveDirectoryStsLogon","2026-07-24 09:06:50","pradeepg@854jpt.onmicrosoft.com","UserLoggedIn","{""CreationTime"":""2026-07-24T09:06:50"",""Id"":""a9bd8767-e928-4eac-8c11-afd2070f5200"",""Operation"":""UserLoggedIn"",""OrganizationId"":""eb174bbc-fe94-4978-95b9-a616457dd489"",""RecordType"":15,""ResultStatus"":""Success"",""UserKey"":""33a120c1-a818-4fd7-8045-c6a29a2bc165"",""UserType"":0,""Version"":1,""Workload"":""AzureActiveDirectory"",""ClientIP"":""45.9.249.58"",""ObjectId"":""00000002-0000-0ff1-ce00-000000000000"",""UserId"":""pradeepg@854jpt.onmicrosoft.com"",""AzureActiveDirectoryEventType"":1,""ExtendedProperties"":[{""Name"":""ResultStatusDetail"",""Value"":""Redirect""},{""Name"":""UserAgent"",""Value"":""Mozilla\/5.0 (Windows NT 10.0; Win64; x64; rv:154.0) Gecko\/20100101 Firefox\/154.0""},{""Name"":""RequestType"",""Value"":""Kmsi:kmsi""}],""ModifiedProperties"":[],""Actor"":[{""ID"":""33a120c1-a818-4fd7-8045-c6a29a2bc165"",""Type"":0},{""ID"":""pradeepg@854jpt.onmicrosoft.com"",""Type"":5}],""ActorContextId"":""eb174bbc-fe94-4978-95b9-a616457dd489"",""ActorIpAddress"":""45.9.249.58"",""InterSystemsId"":""28647223-9eac-6dea-6a7b-48ba16ddc506"",""IntraSystemId"":""a9bd8767-e928-4eac-8c11-afd2070f5200"",""SupportTicketId"":"""",""Target"":[{""ID"":""00000002-0000-0ff1-ce00-000000000000"",""Type"":0}],""TargetContextId"":""eb174bbc-fe94-4978-95b9-a616457dd489"",""ApplicationId"":""9199bf20-a13f-4107-85dc-02114787ef48"",""DeviceProperties"":[{""Name"":""OS"",""Value"":""Windows10""},{""Name"":""BrowserType"",""Value"":""Firefox""},{""Name"":""IsCompliant"",""Value"":""False""},{""Name"":""IsCompliantAndManaged"",""Value"":""False""},{""Name"":""SessionId"",""Value"":""006e812a-3b1c-373b-20e1-050e56978a6d""}],""ErrorNumber"":""0""}","7","43","{
  ""moreRecordsAvailable"": false
}","a9bd8767-e928-4eac-8c11-afd2070f5200","True","Unchanged"
"AzureActiveDirectoryStsLogon","2026-07-24 09:06:53","pradeepg@854jpt.onmicrosoft.com","UserLoggedIn","{""CreationTime"":""2026-07-24T09:06:53"",""Id"":""d581b352-91fc-4535-b923-70c58b1f1400"",""Operation"":""UserLoggedIn"",""OrganizationId"":""eb174bbc-fe94-4978-95b9-a616457dd489"",""RecordType"":15,""ResultStatus"":""Success"",""UserKey"":""33a120c1-a818-4fd7-8045-c6a29a2bc165"",""UserType"":0,""Version"":1,""Workload"":""AzureActiveDirectory"",""ClientIP"":""45.9.249.58"",""ObjectId"":""00000002-0000-0ff1-ce00-000000000000"",""UserId"":""pradeepg@854jpt.onmicrosoft.com"",""AzureActiveDirectoryEventType"":1,""ExtendedProperties"":[{""Name"":""ResultStatusDetail"",""Value"":""Success""},{""Name"":""UserAgent"",""Value"":""Mozilla\/5.0 (Windows NT 10.0; Win64; x64; rv:154.0) Gecko\/20100101 Firefox\/154.0""},{""Name"":""RequestType"",""Value"":""OAuth2:Token""}],""ModifiedProperties"":[],""Actor"":[{""ID"":""33a120c1-a818-4fd7-8045-c6a29a2bc165"",""Type"":0},{""ID"":""pradeepg@854jpt.onmicrosoft.com"",""Type"":5}],""ActorContextId"":""eb174bbc-fe94-4978-95b9-a616457dd489"",""ActorIpAddress"":""45.9.249.58"",""InterSystemsId"":""28647223-9eac-6dea-6a7b-48ba16ddc506"",""IntraSystemId"":""d581b352-91fc-4535-b923-70c58b1f1400"",""SupportTicketId"":"""",""Target"":[{""ID"":""00000002-0000-0ff1-ce00-000000000000"",""Type"":0}],""TargetContextId"":""eb174bbc-fe94-4978-95b9-a616457dd489"",""ApplicationId"":""9199bf20-a13f-4107-85dc-02114787ef48"",""DeviceProperties"":[{""Name"":""OS"",""Value"":""Windows10""},{""Name"":""BrowserType"",""Value"":""Firefox""},{""Name"":""IsCompliant"",""Value"":""False""},{""Name"":""IsCompliantAndManaged"",""Value"":""False""},{""Name"":""SessionId"",""Value"":""006e812a-3b1c-373b-20e1-050e56978a6d""}],""ErrorNumber"":""0""}","8","43","{
  ""moreRecordsAvailable"": false
}","d581b352-91fc-4535-b923-70c58b1f1400","True","Unchanged"
"ExchangeItemGroup","2026-07-24 09:07:21","PradeepG@854jpt.onmicrosoft.com","MoveToDeletedItems","{""AppAccessContext"":{""AADSessionId"":""006e812a-3b1c-373b-20e1-050e56978a6d"",""APIId"":""774A8455-3122-4FD5-90F1-C4D1A062AD91"",""ClientAppId"":""9199bf20-a13f-4107-85dc-02114787ef48"",""IssuedAtTime"":""2026-07-24T09:01:53"",""UniqueTokenId"":""UrOB1fyRNUW5I3DFix8UAA""},""CreationTime"":""2026-07-24T09:07:21"",""Id"":""a725cd4d-4447-4c7e-07fa-08dee962f855"",""Operation"":""MoveToDeletedItems"",""OrganizationId"":""eb174bbc-fe94-4978-95b9-a616457dd489"",""RecordType"":3,""ResultStatus"":""Succeeded"",""UserKey"":""10032004A6CFE5AB"",""UserType"":0,""Version"":1,""Workload"":""Exchange"",""ClientIP"":""45.9.249.58"",""UserId"":""PradeepG@854jpt.onmicrosoft.com"",""AppId"":""9199bf20-a13f-4107-85dc-02114787ef48"",""AuthType"":""Bearer"",""ClientAppId"":""9199bf20-a13f-4107-85dc-02114787ef48"",""ClientIPAddress"":""45.9.249.58"",""ClientInfoString"":""Client=OWA;Mozilla\/5.0 (Windows NT 10.0; Win64; x64; rv:154.0) Gecko\/20100101 Firefox\/154.0;"",""ExternalAccess"":false,""HostAppId"":""774A8455-3122-4FD5-90F1-C4D1A062AD91"",""InternalLogonType"":0,""LogonType"":0,""LogonUserSid"":""S-1-5-21-2139797408-3748168429-2429421589-28684046"",""MailboxGuid"":""0ac90fb2-bb95-4f16-8fb5-d3cb32694770"",""MailboxOwnerSid"":""S-1-5-21-2139797408-3748168429-2429421589-28684046"",""MailboxOwnerUPN"":""PradeepG@854jpt.onmicrosoft.com"",""OrganizationName"":""854jpt.onmicrosoft.com"",""OriginatingServer"":""SA2PR10MB4651 (15.20.4200.000)\r\n"",""TokenObjectId"":""33a120c1-a818-4fd7-8045-c6a29a2bc165"",""TokenTenantId"":""eb174bbc-fe94-4978-95b9-a616457dd489"",""TokenType"":""V1AppActAs"",""AffectedItems"":[{""Id"":""RgAAAADTVC6Bee54SLvrZrxUzMuzBwCn+RayMvj+RYhpH\/fe56fqAAAAAAEMAACn+RayMvj+RYhpH\/fe56fqAAEZbJxIAAAJ"",""InternetMessageId"":""<0dddd476-0968-458b-9566-47d1895ab012@BN3PEPF0000B371.namprd21.prod.outlook.com>"",""ParentFolder"":{""Id"":""LgAAAADTVC6Bee54SLvrZrxUzMuzAQCn+RayMvj+RYhpH\/fe56fqAAAAAAEMAAAB"",""Path"":""\\Inbox""},""Subject"":""Grady Archie shared \""Q3 Board Review - Confidential.xlsx\"" with you""}],""CrossMailboxOperation"":false,""DestFolder"":{""Id"":""LgAAAADTVC6Bee54SLvrZrxUzMuzAQCn+RayMvj+RYhpH\/fe56fqAAAAAAEKAAAB"",""Path"":""\\Deleted Items""},""Folder"":{""Id"":""LgAAAADTVC6Bee54SLvrZrxUzMuzAQCn+RayMvj+RYhpH\/fe56fqAAAAAAEMAAAB"",""Path"":""\\Inbox""}}","9","43","{
  ""moreRecordsAvailable"": false
}","a725cd4d-4447-4c7e-07fa-08dee962f855","True","Unchanged"
"AzureActiveDirectoryStsLogon","2026-07-24 09:08:19","pattif@854jpt.onmicrosoft.com","UserLoginFailed","{""CreationTime"":""2026-07-24T09:08:19"",""Id"":""ce739a2d-381e-44de-b771-9c5ad3d25000"",""Operation"":""UserLoginFailed"",""OrganizationId"":""eb174bbc-fe94-4978-95b9-a616457dd489"",""RecordType"":15,""ResultStatus"":""Success"",""UserKey"":""1bd04873-b0e9-4e06-b762-ef4f65f724c9"",""UserType"":0,""Version"":1,""Workload"":""AzureActiveDirectory"",""ClientIP"":""45.9.249.58"",""ObjectId"":""00000002-0000-0ff1-ce00-000000000000"",""UserId"":""pattif@854jpt.onmicrosoft.com"",""AzureActiveDirectoryEventType"":1,""ExtendedProperties"":[{""Name"":""ResultStatusDetail"",""Value"":""Success""},{""Name"":""UserAgent"",""Value"":""Mozilla\/5.0 (Windows NT 10.0; Win64; x64; rv:154.0) Gecko\/20100101 Firefox\/154.0""},{""Name"":""UserAuthenticationMethod"",""Value"":""1""},{""Name"":""RequestType"",""Value"":""Login:login""}],""ModifiedProperties"":[],""Actor"":[{""ID"":""1bd04873-b0e9-4e06-b762-ef4f65f724c9"",""Type"":0},{""ID"":""pattif@854jpt.onmicrosoft.com"",""Type"":5}],""ActorContextId"":""eb174bbc-fe94-4978-95b9-a616457dd489"",""ActorIpAddress"":""45.9.249.58"",""InterSystemsId"":""8dce8314-da0a-9e5f-de5b-f99d8d31cc5e"",""IntraSystemId"":""ce739a2d-381e-44de-b771-9c5ad3d25000"",""SupportTicketId"":"""",""Target"":[{""ID"":""00000002-0000-0ff1-ce00-000000000000"",""Type"":0}],""TargetContextId"":""eb174bbc-fe94-4978-95b9-a616457dd489"",""ApplicationId"":""9199bf20-a13f-4107-85dc-02114787ef48"",""DeviceProperties"":[{""Name"":""OS"",""Value"":""Windows10""},{""Name"":""BrowserType"",""Value"":""Firefox""},{""Name"":""IsCompliant"",""Value"":""False""},{""Name"":""IsCompliantAndManaged"",""Value"":""False""},{""Name"":""SessionId"",""Value"":""006e812a-3b1c-373b-20e1-050e56978a6d""}],""ErrorNumber"":""50074"",""LogonError"":""UserStrongAuthClientAuthNRequiredInterrupt""}","10","43","{
  ""moreRecordsAvailable"": false
}","ce739a2d-381e-44de-b771-9c5ad3d25000","True","Unchanged"
