"RecordType","CreationDate","UserIds","Operations","AuditData","ResultIndex","ResultCount","AuditSearchRequestMetadata","Identity","IsValid","ObjectState"
"AzureActiveDirectoryStsLogon","2026-07-21 20:36:49","adelev@854jpt.onmicrosoft.com","UserLoginFailed","{""CreationTime"":""2026-07-21T20:36:49"",""Id"":""35995a7b-fa09-4894-b218-66b94ea26300"",""Operation"":""UserLoginFailed"",""OrganizationId"":""eb174bbc-fe94-4978-95b9-a616457dd489"",""RecordType"":15,""ResultStatus"":""Success"",""UserKey"":""401c6ceb-1ad3-4ed6-939c-30e8be603cd0"",""UserType"":0,""Version"":1,""Workload"":""AzureActiveDirectory"",""ClientIP"":""47.152.78.88"",""ObjectId"":""00000002-0000-0ff1-ce00-000000000000"",""UserId"":""adelev@854jpt.onmicrosoft.com"",""AzureActiveDirectoryEventType"":1,""ExtendedProperties"":[{""Name"":""ResultStatusDetail"",""Value"":""Success""},{""Name"":""UserAgent"",""Value"":""Mozilla\/5.0 (Windows NT 10.0; Win64; x64; rv:152.0) Gecko\/20100101 Thunderbird\/152.0.1""},{""Name"":""UserAuthenticationMethod"",""Value"":""1""},{""Name"":""RequestType"",""Value"":""Login:login""}],""ModifiedProperties"":[],""Actor"":[{""ID"":""401c6ceb-1ad3-4ed6-939c-30e8be603cd0"",""Type"":0},{""ID"":""adelev@854jpt.onmicrosoft.com"",""Type"":5}],""ActorContextId"":""eb174bbc-fe94-4978-95b9-a616457dd489"",""ActorIpAddress"":""47.152.78.88"",""InterSystemsId"":""5a003d4b-0185-4926-93cd-5d4e1899913a"",""IntraSystemId"":""35995a7b-fa09-4894-b218-66b94ea26300"",""SupportTicketId"":"""",""Target"":[{""ID"":""00000002-0000-0ff1-ce00-000000000000"",""Type"":0}],""TargetContextId"":""eb174bbc-fe94-4978-95b9-a616457dd489"",""ApplicationId"":""9e5f94bc-e8a4-4e73-b8be-63364c29d753"",""DeviceProperties"":[{""Name"":""OS"",""Value"":""Windows10""},{""Name"":""BrowserType"",""Value"":""Other""},{""Name"":""IsCompliant"",""Value"":""False""},{""Name"":""IsCompliantAndManaged"",""Value"":""False""},{""Name"":""SessionId"",""Value"":""006e0bfa-db61-3f0b-0564-4e589b0659e1""}],""ErrorNumber"":""65001"",""LogonError"":""DelegationDoesNotExist""}","1","137","{
  ""moreRecordsAvailable"": false
}","35995a7b-fa09-4894-b218-66b94ea26300","True","Unchanged"
"AzureActiveDirectoryStsLogon","2026-07-21 20:36:53","adelev@854jpt.onmicrosoft.com","UserLoggedIn","{""CreationTime"":""2026-07-21T20:36:53"",""Id"":""d3ee4a33-c960-4a4c-a327-ea8b60447f00"",""Operation"":""UserLoggedIn"",""OrganizationId"":""eb174bbc-fe94-4978-95b9-a616457dd489"",""RecordType"":15,""ResultStatus"":""Success"",""UserKey"":""401c6ceb-1ad3-4ed6-939c-30e8be603cd0"",""UserType"":0,""Version"":1,""Workload"":""AzureActiveDirectory"",""ClientIP"":""47.152.78.88"",""ObjectId"":""00000002-0000-0ff1-ce00-000000000000"",""UserId"":""adelev@854jpt.onmicrosoft.com"",""AzureActiveDirectoryEventType"":1,""ExtendedProperties"":[{""Name"":""ResultStatusDetail"",""Value"":""Redirect""},{""Name"":""UserAgent"",""Value"":""Mozilla\/5.0 (Windows NT 10.0; Win64; x64; rv:152.0) Gecko\/20100101 Thunderbird\/152.0.1""},{""Name"":""RequestType"",""Value"":""Consent:Set""}],""ModifiedProperties"":[],""Actor"":[{""ID"":""401c6ceb-1ad3-4ed6-939c-30e8be603cd0"",""Type"":0},{""ID"":""adelev@854jpt.onmicrosoft.com"",""Type"":5}],""ActorContextId"":""eb174bbc-fe94-4978-95b9-a616457dd489"",""ActorIpAddress"":""47.152.78.88"",""InterSystemsId"":""5a003d4b-0185-4926-93cd-5d4e1899913a"",""IntraSystemId"":""d3ee4a33-c960-4a4c-a327-ea8b60447f00"",""SupportTicketId"":"""",""Target"":[{""ID"":""00000002-0000-0ff1-ce00-000000000000"",""Type"":0}],""TargetContextId"":""eb174bbc-fe94-4978-95b9-a616457dd489"",""ApplicationId"":""9e5f94bc-e8a4-4e73-b8be-63364c29d753"",""DeviceProperties"":[{""Name"":""OS"",""Value"":""Windows10""},{""Name"":""BrowserType"",""Value"":""Other""},{""Name"":""IsCompliant"",""Value"":""False""},{""Name"":""IsCompliantAndManaged"",""Value"":""False""},{""Name"":""SessionId"",""Value"":""006e0bfa-db61-3f0b-0564-4e589b0659e1""}],""ErrorNumber"":""0""}","2","137","{
  ""moreRecordsAvailable"": false
}","d3ee4a33-c960-4a4c-a327-ea8b60447f00","True","Unchanged"
"AzureActiveDirectoryStsLogon","2026-07-21 20:37:35","alexw@854jpt.onmicrosoft.com","UserLoginFailed","{""CreationTime"":""2026-07-21T20:37:35"",""Id"":""d3ee4a33-c960-4a4c-a327-ea8b874c7f00"",""Operation"":""UserLoginFailed"",""OrganizationId"":""eb174bbc-fe94-4978-95b9-a616457dd489"",""RecordType"":15,""ResultStatus"":""Success"",""UserKey"":""22bd2808-791f-4374-a752-a8bdf7b2eae9"",""UserType"":0,""Version"":1,""Workload"":""AzureActiveDirectory"",""ClientIP"":""47.152.78.88"",""ObjectId"":""00000002-0000-0ff1-ce00-000000000000"",""UserId"":""alexw@854jpt.onmicrosoft.com"",""AzureActiveDirectoryEventType"":1,""ExtendedProperties"":[{""Name"":""ResultStatusDetail"",""Value"":""Success""},{""Name"":""UserAgent"",""Value"":""Mozilla\/5.0 (Windows NT 10.0; Win64; x64; rv:152.0) Gecko\/20100101 Thunderbird\/152.0.1""},{""Name"":""UserAuthenticationMethod"",""Value"":""1""},{""Name"":""RequestType"",""Value"":""Login:login""}],""ModifiedProperties"":[],""Actor"":[{""ID"":""22bd2808-791f-4374-a752-a8bdf7b2eae9"",""Type"":0},{""ID"":""alexw@854jpt.onmicrosoft.com"",""Type"":5}],""ActorContextId"":""eb174bbc-fe94-4978-95b9-a616457dd489"",""ActorIpAddress"":""47.152.78.88"",""InterSystemsId"":""3d270098-306e-43f7-b1a8-57cd8e513955"",""IntraSystemId"":""d3ee4a33-c960-4a4c-a327-ea8b874c7f00"",""SupportTicketId"":"""",""Target"":[{""ID"":""00000002-0000-0ff1-ce00-000000000000"",""Type"":0}],""TargetContextId"":""eb174bbc-fe94-4978-95b9-a616457dd489"",""ApplicationId"":""9e5f94bc-e8a4-4e73-b8be-63364c29d753"",""DeviceProperties"":[{""Name"":""OS"",""Value"":""Windows10""},{""Name"":""BrowserType"",""Value"":""Other""},{""Name"":""IsCompliant"",""Value"":""False""},{""Name"":""IsCompliantAndManaged"",""Value"":""False""},{""Name"":""SessionId"",""Value"":""006e0bfa-f035-359a-ca3b-5b169a9640ff""}],""ErrorNumber"":""65001"",""LogonError"":""DelegationDoesNotExist""}","3","137","{
  ""moreRecordsAvailable"": false
}","d3ee4a33-c960-4a4c-a327-ea8b874c7f00","True","Unchanged"
"AzureActiveDirectoryStsLogon","2026-07-21 20:37:38","alexw@854jpt.onmicrosoft.com","UserLoggedIn","{""CreationTime"":""2026-07-21T20:37:38"",""Id"":""57ee7c59-e871-40a6-9667-7e2859c28200"",""Operation"":""UserLoggedIn"",""OrganizationId"":""eb174bbc-fe94-4978-95b9-a616457dd489"",""RecordType"":15,""ResultStatus"":""Success"",""UserKey"":""22bd2808-791f-4374-a752-a8bdf7b2eae9"",""UserType"":0,""Version"":1,""Workload"":""AzureActiveDirectory"",""ClientIP"":""47.152.78.88"",""ObjectId"":""00000002-0000-0ff1-ce00-000000000000"",""UserId"":""alexw@854jpt.onmicrosoft.com"",""AzureActiveDirectoryEventType"":1,""ExtendedProperties"":[{""Name"":""ResultStatusDetail"",""Value"":""Redirect""},{""Name"":""UserAgent"",""Value"":""Mozilla\/5.0 (Windows NT 10.0; Win64; x64; rv:152.0) Gecko\/20100101 Thunderbird\/152.0.1""},{""Name"":""RequestType"",""Value"":""Consent:Set""}],""ModifiedProperties"":[],""Actor"":[{""ID"":""22bd2808-791f-4374-a752-a8bdf7b2eae9"",""Type"":0},{""ID"":""alexw@854jpt.onmicrosoft.com"",""Type"":5}],""ActorContextId"":""eb174bbc-fe94-4978-95b9-a616457dd489"",""ActorIpAddress"":""47.152.78.88"",""InterSystemsId"":""3d270098-306e-43f7-b1a8-57cd8e513955"",""IntraSystemId"":""57ee7c59-e871-40a6-9667-7e2859c28200"",""SupportTicketId"":"""",""Target"":[{""ID"":""00000002-0000-0ff1-ce00-000000000000"",""Type"":0}],""TargetContextId"":""eb174bbc-fe94-4978-95b9-a616457dd489"",""ApplicationId"":""9e5f94bc-e8a4-4e73-b8be-63364c29d753"",""DeviceProperties"":[{""Name"":""OS"",""Value"":""Windows10""},{""Name"":""BrowserType"",""Value"":""Other""},{""Name"":""IsCompliant"",""Value"":""False""},{""Name"":""IsCompliantAndManaged"",""Value"":""False""},{""Name"":""SessionId"",""Value"":""006e0bfa-db61-3f0b-0564-4e589b0659e1""}],""ErrorNumber"":""0""}","4","137","{
  ""moreRecordsAvailable"": false
}","57ee7c59-e871-40a6-9667-7e2859c28200","True","Unchanged"
"AzureActiveDirectoryStsLogon","2026-07-21 20:38:05","diegos@854jpt.onmicrosoft.com","UserLoginFailed","{""CreationTime"":""2026-07-21T20:38:05"",""Id"":""5bff9125-8c49-48a0-bab4-543116f28c00"",""Operation"":""UserLoginFailed"",""OrganizationId"":""eb174bbc-fe94-4978-95b9-a616457dd489"",""RecordType"":15,""ResultStatus"":""Success"",""UserKey"":""c561afd8-dc7e-4684-b3d2-95f9a71db908"",""UserType"":0,""Version"":1,""Workload"":""AzureActiveDirectory"",""ClientIP"":""47.152.78.88"",""ObjectId"":""00000002-0000-0ff1-ce00-000000000000"",""UserId"":""diegos@854jpt.onmicrosoft.com"",""AzureActiveDirectoryEventType"":1,""ExtendedProperties"":[{""Name"":""ResultStatusDetail"",""Value"":""Success""},{""Name"":""UserAgent"",""Value"":""Mozilla\/5.0 (Windows NT 10.0; Win64; x64; rv:152.0) Gecko\/20100101 Thunderbird\/152.0.1""},{""Name"":""UserAuthenticationMethod"",""Value"":""1""},{""Name"":""RequestType"",""Value"":""Login:login""}],""ModifiedProperties"":[],""Actor"":[{""ID"":""c561afd8-dc7e-4684-b3d2-95f9a71db908"",""Type"":0},{""ID"":""diegos@854jpt.onmicrosoft.com"",""Type"":5}],""ActorContextId"":""eb174bbc-fe94-4978-95b9-a616457dd489"",""ActorIpAddress"":""47.152.78.88"",""InterSystemsId"":""7e3d722d-8f35-4616-b1c0-7661296ef2ed"",""IntraSystemId"":""5bff9125-8c49-48a0-bab4-543116f28c00"",""SupportTicketId"":"""",""Target"":[{""ID"":""00000002-0000-0ff1-ce00-000000000000"",""Type"":0}],""TargetContextId"":""eb174bbc-fe94-4978-95b9-a616457dd489"",""ApplicationId"":""9e5f94bc-e8a4-4e73-b8be-63364c29d753"",""DeviceProperties"":[{""Name"":""OS"",""Value"":""Windows10""},{""Name"":""BrowserType"",""Value"":""Other""},{""Name"":""IsCompliant"",""Value"":""False""},{""Name"":""IsCompliantAndManaged"",""Value"":""False""},{""Name"":""SessionId"",""Value"":""006e0bfa-8bd6-52cb-48b2-ee922a136ab8""}],""ErrorNumber"":""50072"",""LogonError"":""UserStrongAuthEnrollmentRequiredInterrupt""}","5","137","{
  ""moreRecordsAvailable"": false
}","5bff9125-8c49-48a0-bab4-543116f28c00","True","Unchanged"
"AzureActiveDirectoryStsLogon","2026-07-21 20:40:51","diegos@854jpt.onmicrosoft.com","UserLoginFailed","{""CreationTime"":""2026-07-21T20:40:51"",""Id"":""45926d2a-364a-4363-a599-d34628ed7900"",""Operation"":""UserLoginFailed"",""OrganizationId"":""eb174bbc-fe94-4978-95b9-a616457dd489"",""RecordType"":15,""ResultStatus"":""Success"",""UserKey"":""c561afd8-dc7e-4684-b3d2-95f9a71db908"",""UserType"":0,""Version"":1,""Workload"":""AzureActiveDirectory"",""ClientIP"":""47.152.78.88"",""ObjectId"":""00000002-0000-0ff1-ce00-000000000000"",""UserId"":""diegos@854jpt.onmicrosoft.com"",""AzureActiveDirectoryEventType"":1,""ExtendedProperties"":[{""Name"":""ResultStatusDetail"",""Value"":""Success""},{""Name"":""UserAgent"",""Value"":""Mozilla\/5.0 (Windows NT 10.0; Win64; x64; rv:152.0) Gecko\/20100101 Thunderbird\/152.0.1""},{""Name"":""RequestType"",""Value"":""SAS:ProcessAuth""}],""ModifiedProperties"":[],""Actor"":[{""ID"":""c561afd8-dc7e-4684-b3d2-95f9a71db908"",""Type"":0},{""ID"":""diegos@854jpt.onmicrosoft.com"",""Type"":5}],""ActorContextId"":""eb174bbc-fe94-4978-95b9-a616457dd489"",""ActorIpAddress"":""47.152.78.88"",""InterSystemsId"":""7e3d722d-8f35-4616-b1c0-7661296ef2ed"",""IntraSystemId"":""45926d2a-364a-4363-a599-d34628ed7900"",""SupportTicketId"":"""",""Target"":[{""ID"":""00000002-0000-0ff1-ce00-000000000000"",""Type"":0}],""TargetContextId"":""eb174bbc-fe94-4978-95b9-a616457dd489"",""ApplicationId"":""9e5f94bc-e8a4-4e73-b8be-63364c29d753"",""DeviceProperties"":[{""Name"":""OS"",""Value"":""Windows10""},{""Name"":""BrowserType"",""Value"":""Other""},{""Name"":""IsCompliant"",""Value"":""False""},{""Name"":""IsCompliantAndManaged"",""Value"":""False""},{""Name"":""SessionId"",""Value"":""006e0bfa-8bd6-52cb-48b2-ee922a136ab8""}],""ErrorNumber"":""65001"",""LogonError"":""DelegationDoesNotExist""}","6","137","{
  ""moreRecordsAvailable"": false
}","45926d2a-364a-4363-a599-d34628ed7900","True","Unchanged"
"AzureActiveDirectoryStsLogon","2026-07-21 20:40:54","diegos@854jpt.onmicrosoft.com","UserLoggedIn","{""CreationTime"":""2026-07-21T20:40:54"",""Id"":""4da0edf0-52d6-4ed2-b14b-38335c6b7b00"",""Operation"":""UserLoggedIn"",""OrganizationId"":""eb174bbc-fe94-4978-95b9-a616457dd489"",""RecordType"":15,""ResultStatus"":""Success"",""UserKey"":""c561afd8-dc7e-4684-b3d2-95f9a71db908"",""UserType"":0,""Version"":1,""Workload"":""AzureActiveDirectory"",""ClientIP"":""47.152.78.88"",""ObjectId"":""00000002-0000-0ff1-ce00-000000000000"",""UserId"":""diegos@854jpt.onmicrosoft.com"",""AzureActiveDirectoryEventType"":1,""ExtendedProperties"":[{""Name"":""ResultStatusDetail"",""Value"":""Redirect""},{""Name"":""UserAgent"",""Value"":""Mozilla\/5.0 (Windows NT 10.0; Win64; x64; rv:152.0) Gecko\/20100101 Thunderbird\/152.0.1""},{""Name"":""RequestType"",""Value"":""Consent:Set""}],""ModifiedProperties"":[],""Actor"":[{""ID"":""c561afd8-dc7e-4684-b3d2-95f9a71db908"",""Type"":0},{""ID"":""diegos@854jpt.onmicrosoft.com"",""Type"":5}],""ActorContextId"":""eb174bbc-fe94-4978-95b9-a616457dd489"",""ActorIpAddress"":""47.152.78.88"",""InterSystemsId"":""7e3d722d-8f35-4616-b1c0-7661296ef2ed"",""IntraSystemId"":""4da0edf0-52d6-4ed2-b14b-38335c6b7b00"",""SupportTicketId"":"""",""Target"":[{""ID"":""00000002-0000-0ff1-ce00-000000000000"",""Type"":0}],""TargetContextId"":""eb174bbc-fe94-4978-95b9-a616457dd489"",""ApplicationId"":""9e5f94bc-e8a4-4e73-b8be-63364c29d753"",""DeviceProperties"":[{""Name"":""OS"",""Value"":""Windows10""},{""Name"":""BrowserType"",""Value"":""Other""},{""Name"":""IsCompliant"",""Value"":""False""},{""Name"":""IsCompliantAndManaged"",""Value"":""False""},{""Name"":""SessionId"",""Value"":""006e0bfa-db61-3f0b-0564-4e589b0659e1""}],""ErrorNumber"":""0""}","7","137","{
  ""moreRecordsAvailable"": false
}","4da0edf0-52d6-4ed2-b14b-38335c6b7b00","True","Unchanged"
"AzureActiveDirectoryStsLogon","2026-07-21 20:43:00","gradya@854jpt.onmicrosoft.com","UserLoginFailed","{""CreationTime"":""2026-07-21T20:43:00"",""Id"":""7caac3f9-ca28-4514-9704-2a4009248800"",""Operation"":""UserLoginFailed"",""OrganizationId"":""eb174bbc-fe94-4978-95b9-a616457dd489"",""RecordType"":15,""ResultStatus"":""Success"",""UserKey"":""fabcead3-aa74-4cc3-b954-f4b356165141"",""UserType"":0,""Version"":1,""Workload"":""AzureActiveDirectory"",""ClientIP"":""47.152.78.88"",""ObjectId"":""00000002-0000-0ff1-ce00-000000000000"",""UserId"":""gradya@854jpt.onmicrosoft.com"",""AzureActiveDirectoryEventType"":1,""ExtendedProperties"":[{""Name"":""ResultStatusDetail"",""Value"":""Success""},{""Name"":""UserAgent"",""Value"":""Mozilla\/5.0 (Windows NT 10.0; Win64; x64; rv:152.0) Gecko\/20100101 Thunderbird\/152.0.1""},{""Name"":""UserAuthenticationMethod"",""Value"":""1""},{""Name"":""RequestType"",""Value"":""Login:login""}],""ModifiedProperties"":[],""Actor"":[{""ID"":""fabcead3-aa74-4cc3-b954-f4b356165141"",""Type"":0},{""ID"":""gradya@854jpt.onmicrosoft.com"",""Type"":5}],""ActorContextId"":""eb174bbc-fe94-4978-95b9-a616457dd489"",""ActorIpAddress"":""47.152.78.88"",""InterSystemsId"":""cf669222-feff-4683-b6a4-0a11ed26ab00"",""IntraSystemId"":""7caac3f9-ca28-4514-9704-2a4009248800"",""SupportTicketId"":"""",""Target"":[{""ID"":""00000002-0000-0ff1-ce00-000000000000"",""Type"":0}],""TargetContextId"":""eb174bbc-fe94-4978-95b9-a616457dd489"",""ApplicationId"":""9e5f94bc-e8a4-4e73-b8be-63364c29d753"",""DeviceProperties"":[{""Name"":""OS"",""Value"":""Windows10""},{""Name"":""BrowserType"",""Value"":""Other""},{""Name"":""IsCompliant"",""Value"":""False""},{""Name"":""IsCompliantAndManaged"",""Value"":""False""},{""Name"":""SessionId"",""Value"":""006e0bfa-4eb4-246c-3b8e-4324fd865b11""}],""ErrorNumber"":""50072"",""LogonError"":""UserStrongAuthEnrollmentRequiredInterrupt""}","8","137","{
  ""moreRecordsAvailable"": false
}","7caac3f9-ca28-4514-9704-2a4009248800","True","Unchanged"
"AzureActiveDirectoryStsLogon","2026-07-21 20:43:50","gradya@854jpt.onmicrosoft.com","UserLoginFailed","{""CreationTime"":""2026-07-21T20:43:50"",""Id"":""374464e5-2599-4113-87cb-973cb2687c00"",""Operation"":""UserLoginFailed"",""OrganizationId"":""eb174bbc-fe94-4978-95b9-a616457dd489"",""RecordType"":15,""ResultStatus"":""Success"",""UserKey"":""fabcead3-aa74-4cc3-b954-f4b356165141"",""UserType"":0,""Version"":1,""Workload"":""AzureActiveDirectory"",""ClientIP"":""47.152.78.88"",""ObjectId"":""00000002-0000-0ff1-ce00-000000000000"",""UserId"":""gradya@854jpt.onmicrosoft.com"",""AzureActiveDirectoryEventType"":1,""ExtendedProperties"":[{""Name"":""ResultStatusDetail"",""Value"":""Success""},{""Name"":""UserAgent"",""Value"":""Mozilla\/5.0 (Windows NT 10.0; Win64; x64; rv:152.0) Gecko\/20100101 Thunderbird\/152.0.1""},{""Name"":""RequestType"",""Value"":""SAS:ProcessAuth""}],""ModifiedProperties"":[],""Actor"":[{""ID"":""fabcead3-aa74-4cc3-b954-f4b356165141"",""Type"":0},{""ID"":""gradya@854jpt.onmicrosoft.com"",""Type"":5}],""ActorContextId"":""eb174bbc-fe94-4978-95b9-a616457dd489"",""ActorIpAddress"":""47.152.78.88"",""InterSystemsId"":""cf669222-feff-4683-b6a4-0a11ed26ab00"",""IntraSystemId"":""374464e5-2599-4113-87cb-973cb2687c00"",""SupportTicketId"":"""",""Target"":[{""ID"":""00000002-0000-0ff1-ce00-000000000000"",""Type"":0}],""TargetContextId"":""eb174bbc-fe94-4978-95b9-a616457dd489"",""ApplicationId"":""9e5f94bc-e8a4-4e73-b8be-63364c29d753"",""DeviceProperties"":[{""Name"":""OS"",""Value"":""Windows10""},{""Name"":""BrowserType"",""Value"":""Other""},{""Name"":""IsCompliant"",""Value"":""False""},{""Name"":""IsCompliantAndManaged"",""Value"":""False""},{""Name"":""SessionId"",""Value"":""006e0bfa-4eb4-246c-3b8e-4324fd865b11""}],""ErrorNumber"":""65001"",""LogonError"":""DelegationDoesNotExist""}","9","137","{
  ""moreRecordsAvailable"": false
}","374464e5-2599-4113-87cb-973cb2687c00","True","Unchanged"
"AzureActiveDirectoryStsLogon","2026-07-21 20:43:52","gradya@854jpt.onmicrosoft.com","UserLoggedIn","{""CreationTime"":""2026-07-21T20:43:52"",""Id"":""488fff08-596c-4117-8326-342dc3c48700"",""Operation"":""UserLoggedIn"",""OrganizationId"":""eb174bbc-fe94-4978-95b9-a616457dd489"",""RecordType"":15,""ResultStatus"":""Success"",""UserKey"":""fabcead3-aa74-4cc3-b954-f4b356165141"",""UserType"":0,""Version"":1,""Workload"":""AzureActiveDirectory"",""ClientIP"":""47.152.78.88"",""ObjectId"":""00000002-0000-0ff1-ce00-000000000000"",""UserId"":""gradya@854jpt.onmicrosoft.com"",""AzureActiveDirectoryEventType"":1,""ExtendedProperties"":[{""Name"":""ResultStatusDetail"",""Value"":""Redirect""},{""Name"":""UserAgent"",""Value"":""Mozilla\/5.0 (Windows NT 10.0; Win64; x64; rv:152.0) Gecko\/20100101 Thunderbird\/152.0.1""},{""Name"":""RequestType"",""Value"":""Consent:Set""}],""ModifiedProperties"":[],""Actor"":[{""ID"":""fabcead3-aa74-4cc3-b954-f4b356165141"",""Type"":0},{""ID"":""gradya@854jpt.onmicrosoft.com"",""Type"":5}],""ActorContextId"":""eb174bbc-fe94-4978-95b9-a616457dd489"",""ActorIpAddress"":""47.152.78.88"",""InterSystemsId"":""cf669222-feff-4683-b6a4-0a11ed26ab00"",""IntraSystemId"":""488fff08-596c-4117-8326-342dc3c48700"",""SupportTicketId"":"""",""Target"":[{""ID"":""00000002-0000-0ff1-ce00-000000000000"",""Type"":0}],""TargetContextId"":""eb174bbc-fe94-4978-95b9-a616457dd489"",""ApplicationId"":""9e5f94bc-e8a4-4e73-b8be-63364c29d753"",""DeviceProperties"":[{""Name"":""OS"",""Value"":""Windows10""},{""Name"":""BrowserType"",""Value"":""Other""},{""Name"":""IsCompliant"",""Value"":""False""},{""Name"":""IsCompliantAndManaged"",""Value"":""False""},{""Name"":""SessionId"",""Value"":""006e0bfa-db61-3f0b-0564-4e589b0659e1""}],""ErrorNumber"":""0""}","10","137","{
  ""moreRecordsAvailable"": false
}","488fff08-596c-4117-8326-342dc3c48700","True","Unchanged"
