"Creationtime","Localtime","ClientIP","Operation","UserId","ResultStatusDetail","KeepMeSignedIn","UserAgent","UserAuthenticationMethod","RequestType","DisplayName","OS","BrowserType","TrustType","IsCompliant","IsCompliantAndManaged","SessionId"
"2026-07-29 06:25:42","2026-07-28 23:25:42","47.152.78.88","UserLoggedIn","bitpusher@854jpt.onmicrosoft.com","Success","Unavailable","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36 Edg/150.0.0.0 OS/10.0.22631","Unavailable","Cmsi:Cmsi","Unavailable","Windows10","Edge","Unavailable","False","False","006f447a-fbee-909a-f003-83b66e67e277"
"2026-07-29 06:25:39","2026-07-28 23:25:39","47.152.78.88","UserLoginFailed","bitpusher@854jpt.onmicrosoft.com","Success","Unavailable","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36 Edg/150.0.0.0 OS/10.0.22631","Unavailable","Login:reprocess","Unavailable","Windows10","Edge","Unavailable","False","False","006f447a-fbee-909a-f003-83b66e67e277"
"2026-07-29 06:25:22","2026-07-28 23:25:22","47.152.78.88","UserLoggedIn","bitpusher@854jpt.onmicrosoft.com","Success","Unavailable","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36 Edg/150.0.0.0 OS/10.0.22631","Unavailable","Login:reprocess","Unavailable","Windows10","Edge","Unavailable","False","False","006f447a-fbee-909a-f003-83b66e67e277"
"2026-07-29 06:22:22","2026-07-28 23:22:22","47.152.78.88","UserLoggedIn","bitpusher@854jpt.onmicrosoft.com","Redirect","Unavailable","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36 Edg/150.0.0.0","Unavailable","OAuth2:Authorize","Unavailable","Windows10","Edge","Unavailable","False","False","006f447a-fbee-909a-f003-83b66e67e277"
"2026-07-29 06:22:16","2026-07-28 23:22:16","47.152.78.88","UserLoggedIn","bitpusher@854jpt.onmicrosoft.com","Success","Unavailable","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36 Edg/150.0.0.0 OS/10.0.22631","Unavailable","Login:reprocess","Unavailable","Windows10","Edge","Unavailable","False","False","006f447a-fbee-909a-f003-83b66e67e277"
"2026-07-29 06:22:13","2026-07-28 23:22:13","47.152.78.88","UserLoggedIn","bitpusher@854jpt.onmicrosoft.com","Success","Unavailable","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36 Edg/150.0.0.0 OS/10.0.22631","Unavailable","Kmsi:kmsi","Unavailable","Windows10","Edge","Unavailable","False","False","006f447a-fbee-909a-f003-83b66e67e277"
"2026-07-29 06:22:11","2026-07-28 23:22:11","47.152.78.88","UserLoggedIn","Not Available","Success","Unavailable","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36 Edg/150.0.0.0 OS/10.0.22631","Unavailable","SAS:EndAuth","Unavailable","Windows","Edge","Unavailable","False","False","Unavailable"
"2026-07-29 06:22:03","2026-07-28 23:22:03","47.152.78.88","UserLoggedIn","Not Available","Success","Unavailable","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36 Edg/150.0.0.0 OS/10.0.22631","Unavailable","SAS:BeginAuth","Unavailable","Windows","Edge","Unavailable","False","False","Unavailable"
"2026-07-24 18:23:57","2026-07-24 11:23:57","2a00:8c40:f01a:86da::3bfa:86da","UserLoggedIn","nestorw@854jpt.onmicrosoft.com","Redirect","Unavailable","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:153.0) Gecko/20100101 Firefox/153.0","Unavailable","Login:reprocess","Unavailable","Windows10","Firefox","Unavailable","False","False","006e812a-c519-8aa0-9bd7-786f5d01c402"
"2026-07-24 09:49:22","2026-07-24 02:49:22","45.9.249.58","UserLoggedIn","pattif@854jpt.onmicrosoft.com","Success","Unavailable","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:154.0) Gecko/20100101 Firefox/154.0","Unavailable","OAuth2:Token","Unavailable","Windows10","Firefox","Unavailable","False","False","006e812a-59a1-c16e-3fde-cc4fddb81453"
"2026-07-24 09:49:19","2026-07-24 02:49:19","45.9.249.58","UserLoggedIn","pattif@854jpt.onmicrosoft.com","Redirect","Unavailable","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:154.0) Gecko/20100101 Firefox/154.0","Unavailable","Kmsi:kmsi","Unavailable","Windows10","Firefox","Unavailable","False","False","006e812a-59a1-c16e-3fde-cc4fddb81453"
"2026-07-24 09:49:16","2026-07-24 02:49:16","45.9.249.58","UserLoggedIn","pattif@854jpt.onmicrosoft.com","Success","true","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:154.0) Gecko/20100101 Firefox/154.0","Unavailable","SAS:ProcessAuth","Unavailable","Windows10","Firefox","Unavailable","False","False","006e812a-59a1-c16e-3fde-cc4fddb81453"
"2026-07-24 09:49:15","2026-07-24 02:49:15","45.9.249.58","UserLoggedIn","Not Available","Success","Unavailable","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:154.0) Gecko/20100101 Firefox/154.0","Unavailable","SAS:EndAuth","Unavailable","Windows","Firefox","Unavailable","False","False","Unavailable"
"2026-07-24 09:49:05","2026-07-24 02:49:05","45.9.249.58","UserLoggedIn","Not Available","Success","Unavailable","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:154.0) Gecko/20100101 Firefox/154.0","Unavailable","SAS:BeginAuth","Unavailable","Windows","Firefox","Unavailable","False","False","Unavailable"
"2026-07-24 09:49:02","2026-07-24 02:49:02","45.9.249.58","UserLoginFailed","pattif@854jpt.onmicrosoft.com","Success","Unavailable","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:154.0) Gecko/20100101 Firefox/154.0","1","Login:login","Unavailable","Windows10","Firefox","Unavailable","False","False","006e812a-59a1-c16e-3fde-cc4fddb81453"
"2026-07-24 09:19:52","2026-07-24 02:19:52","45.9.249.58","UserLoggedIn","pattif@854jpt.onmicrosoft.com","Success","Unavailable","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:154.0) Gecko/20100101 Firefox/154.0","Unavailable","OAuth2:Token","Unavailable","Windows10","Firefox","Unavailable","False","False","006e812a-7a51-1bfb-6f95-5c86f1a62e20"
"2026-07-24 09:19:48","2026-07-24 02:19:48","45.9.249.58","UserLoggedIn","pattif@854jpt.onmicrosoft.com","Redirect","Unavailable","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:154.0) Gecko/20100101 Firefox/154.0","Unavailable","Kmsi:kmsi","Unavailable","Windows10","Firefox","Unavailable","False","False","006e812a-3b1c-373b-20e1-050e56978a6d"
"2026-07-24 09:19:44","2026-07-24 02:19:44","45.9.249.58","UserLoggedIn","pattif@854jpt.onmicrosoft.com","Success","true","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:154.0) Gecko/20100101 Firefox/154.0","Unavailable","SAS:ProcessAuth","Unavailable","Windows10","Firefox","Unavailable","False","False","006e812a-7a51-1bfb-6f95-5c86f1a62e20"
"2026-07-24 09:19:44","2026-07-24 02:19:44","45.9.249.58","UserLoggedIn","Not Available","Success","Unavailable","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:154.0) Gecko/20100101 Firefox/154.0","Unavailable","SAS:EndAuth","Unavailable","Windows","Firefox","Unavailable","False","False","Unavailable"
"2026-07-24 09:19:08","2026-07-24 02:19:08","45.9.249.58","UserLoggedIn","Not Available","Success","Unavailable","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:154.0) Gecko/20100101 Firefox/154.0","Unavailable","SAS:BeginAuth","Unavailable","Windows","Firefox","Unavailable","False","False","Unavailable"
"2026-07-24 09:19:06","2026-07-24 02:19:06","45.9.249.58","UserLoginFailed","pattif@854jpt.onmicrosoft.com","Success","Unavailable","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:154.0) Gecko/20100101 Firefox/154.0","Unavailable","OAuth2:Authorize","Unavailable","Windows10","Firefox","Unavailable","False","False","006e812a-7a51-1bfb-6f95-5c86f1a62e20"
"2026-07-24 09:18:58","2026-07-24 02:18:58","45.9.249.58","UserLoggedIn","pattif@854jpt.onmicrosoft.com","Success","Unavailable","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:154.0) Gecko/20100101 Firefox/154.0","Unavailable","OAuth2:Token","Unavailable","Windows10","Firefox","Unavailable","False","False","006e812a-7a51-1bfb-6f95-5c86f1a62e20"
"2026-07-24 09:18:55","2026-07-24 02:18:55","45.9.249.58","UserLoggedIn","pattif@854jpt.onmicrosoft.com","Redirect","Unavailable","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:154.0) Gecko/20100101 Firefox/154.0","Unavailable","Login:reprocess","Unavailable","Windows10","Firefox","Unavailable","False","False","006e812a-3b1c-373b-20e1-050e56978a6d"
"2026-07-24 09:18:26","2026-07-24 02:18:26","45.9.249.58","UserLoggedIn","pattif@854jpt.onmicrosoft.com","Success","Unavailable","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:154.0) Gecko/20100101 Firefox/154.0","Unavailable","OAuth2:Token","Unavailable","Windows10","Firefox","Unavailable","False","False","006e812a-7a51-1bfb-6f95-5c86f1a62e20"
"2026-07-24 09:18:22","2026-07-24 02:18:22","45.9.249.58","UserLoggedIn","pattif@854jpt.onmicrosoft.com","Redirect","Unavailable","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:154.0) Gecko/20100101 Firefox/154.0","Unavailable","Login:reprocess","Unavailable","Windows10","Firefox","Unavailable","False","False","006e812a-3b1c-373b-20e1-050e56978a6d"
"2026-07-24 09:08:33","2026-07-24 02:08:33","45.9.249.58","UserLoggedIn","pattif@854jpt.onmicrosoft.com","Success","Unavailable","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:154.0) Gecko/20100101 Firefox/154.0","Unavailable","OAuth2:Token","Unavailable","Windows10","Firefox","Unavailable","False","False","006e812a-7a51-1bfb-6f95-5c86f1a62e20"
"2026-07-24 09:08:32","2026-07-24 02:08:32","45.9.249.58","UserLoggedIn","Not Available","Success","Unavailable","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:154.0) Gecko/20100101 Firefox/154.0","Unavailable","SAS:EndAuth","Unavailable","Windows","Firefox","Unavailable","False","False","Unavailable"
"2026-07-24 09:08:32","2026-07-24 02:08:32","45.9.249.58","UserLoggedIn","pattif@854jpt.onmicrosoft.com","Redirect","Unavailable","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:154.0) Gecko/20100101 Firefox/154.0","Unavailable","SAS:ProcessAuth","Unavailable","Windows10","Firefox","Unavailable","False","False","006e812a-3b1c-373b-20e1-050e56978a6d"
"2026-07-24 09:08:22","2026-07-24 02:08:22","45.9.249.58","UserLoggedIn","Not Available","Success","Unavailable","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:154.0) Gecko/20100101 Firefox/154.0","Unavailable","SAS:BeginAuth","Unavailable","Windows","Firefox","Unavailable","False","False","Unavailable"
"2026-07-24 09:08:19","2026-07-24 02:08:19","45.9.249.58","UserLoginFailed","pattif@854jpt.onmicrosoft.com","Success","Unavailable","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:154.0) Gecko/20100101 Firefox/154.0","1","Login:login","Unavailable","Windows10","Firefox","Unavailable","False","False","006e812a-3b1c-373b-20e1-050e56978a6d"
"2026-07-24 09:06:53","2026-07-24 02:06:53","45.9.249.58","UserLoggedIn","pradeepg@854jpt.onmicrosoft.com","Success","Unavailable","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:154.0) Gecko/20100101 Firefox/154.0","Unavailable","OAuth2:Token","Unavailable","Windows10","Firefox","Unavailable","False","False","006e812a-3b1c-373b-20e1-050e56978a6d"
"2026-07-24 09:06:50","2026-07-24 02:06:50","45.9.249.58","UserLoggedIn","pradeepg@854jpt.onmicrosoft.com","Redirect","Unavailable","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:154.0) Gecko/20100101 Firefox/154.0","Unavailable","Kmsi:kmsi","Unavailable","Windows10","Firefox","Unavailable","False","False","006e812a-3b1c-373b-20e1-050e56978a6d"
